time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,6.35,6.35,6.35,6.35,0,,,,,
2018-01-03,6.0,6.0,6.0,6.0,150,,,,,
2018-01-04,6.0,6.0,5.6,5.61,770,,,,,
2018-01-05,5.61,5.61,5.61,5.61,0,,,,,
2018-01-08,5.61,5.61,5.61,5.61,0,,,,,
2018-01-09,6.0,6.0,5.3,5.3,60,,,,,
2018-01-10,5.67,5.67,5.67,5.67,180,,,,,
2018-01-11,5.67,5.67,5.67,5.67,0,,,,,
2018-01-12,6.0,6.06,6.0,6.06,1040,,,,,
2018-01-15,6.48,6.48,6.48,6.48,50,,,,,
2018-01-16,6.93,6.93,6.93,6.93,1500,,,,,
2018-01-17,7.41,7.41,7.41,7.41,4160,,,,,
2018-01-18,7.92,7.92,7.92,7.92,8240,,,,,
2018-01-19,8.1,8.3,8.0,8.0,17210,161.20730438073625,,,,
2018-01-22,8.0,8.0,7.98,7.99,1420,118.37289219212013,,,,71.80851063829788
2018-01-23,7.99,7.99,7.99,7.99,0,96.58820988987267,,,,71.80851063829788
2018-01-24,7.99,7.99,7.99,7.99,0,82.21952207371413,,,,71.80851063829789
2018-01-25,7.45,7.45,7.44,7.44,620,38.26515597410254,,,,60.71595263830206
2018-01-26,6.92,6.92,6.92,6.92,1420,-6.9348659003831745,,,,52.46423315314295
2018-01-29,6.44,6.44,6.44,6.44,10,-55.07065669160421,,,,46.21980936743556
2018-01-30,5.99,6.0,5.99,6.0,14930,-98.82100750267958,,,,41.36013559417772
2018-01-31,5.59,6.0,5.59,6.0,14150,-114.19833988641334,,,,41.36013559417772
2018-02-01,6.41,6.41,5.62,6.4,540,-90.1026150281363,,,,47.21195877773213
2018-02-02,6.5,6.84,6.5,6.84,20,-38.61554122836782,,,,52.79261821837532
2018-02-05,6.84,6.84,6.84,6.84,0,-26.989464245684786,,,,52.79261821837532
2018-02-06,6.84,6.84,6.84,6.84,0,-23.34011168135307,,,,52.79261821837532
2018-02-07,6.84,6.84,6.84,6.84,0,-17.62648056399059,,,,52.79261821837532
2018-02-08,6.84,6.84,6.84,6.84,10,-9.835508861296894,,,,52.79261821837532
2018-02-09,6.84,6.84,6.84,6.84,0,0.516224188790504,,,,52.79261821837532
2018-02-12,6.84,6.84,6.84,6.84,0,15.326441618638093,,,,52.79261821837533
2018-02-13,7.0,7.0,6.7,6.7,1010,27.246253285034403,,,,49.968921235121364
2018-02-21,6.7,6.7,6.7,6.7,0,19.28420061219661,,,,49.968921235121364
2018-02-22,6.24,6.25,6.24,6.24,5230,-70.36627607045506,,,,41.508676317194144
2018-02-23,6.67,6.67,6.5,6.67,1200,7.388710417622778,0.08830570861445697,0.2174771176824089,-0.12917140906795194,50.02632222019554
2018-02-26,7.13,7.13,7.13,7.13,2060,122.68234036868814,0.11267410706873804,0.19651651555967473,-0.08384240849093669,57.20571856725433
2018-02-27,6.65,6.65,6.65,6.65,110,-25.48717948717932,0.0921915234409667,0.17565151713593313,-0.08345999369496643,49.25407548292575
2018-02-28,7.1,7.1,7.1,7.1,70,147.08084428514493,0.11099073543127691,0.16271936079500188,-0.05172862536372497,55.49920137865877
2018-03-01,6.8,7.58,6.8,7.58,310,202.15369554576637,0.16274520937888504,0.16272453051177851,2.067886710652167e-05,61.01102435378475
2018-03-02,7.35,7.35,7.3,7.3,110,149.5967741935482,0.17910275780645346,0.1660001759707135,0.013102581835739951,56.60653556289654
2018-03-05,7.5,7.5,6.79,6.79,3150,46.505291836948274,0.1491936831237055,0.16263887740131192,-0.013445194277606404,49.58496830136262
2018-03-06,6.32,6.8,6.32,6.8,220,-65.14560192134479,0.12485815528823441,0.1550827329786964,-0.030224577690461996,49.71667443004655
2018-03-07,7.27,7.27,6.41,7.0,3220,8.218905472636845,0.12032338954490829,0.14813086429193878,-0.02780747474703049,52.395290898290355
2018-03-08,7.0,7.0,7.0,7.0,0,34.882154882154836,0.11539930368281581,0.14158455217011418,-0.026185248487298363,52.395290898290355
2018-03-09,6.51,6.51,6.51,6.51,140,-88.21548821548821,0.07113799078593086,0.12749523989327752,-0.05635724910734666,45.50715539458711
2018-03-12,6.1,6.7,6.1,6.51,7490,-91.26321647189779,0.03564963463269066,0.10912611884116015,-0.07347648420846949,45.5071553945871
2018-03-13,6.7,6.7,6.7,6.7,10,-29.716193656093537,0.022595798505420817,0.09182005477401228,-0.06922425626859147,48.548954434534856
2018-03-14,6.5,6.5,6.5,6.5,140,-86.2920011894144,-0.003843483913441581,0.07268734703652151,-0.07653083094996309,45.659703863907595
2018-03-15,6.1,6.1,6.1,6.1,360,-155.66013071895463,-0.05642305294345107,0.04686526704052699,-0.10328831998397806,40.472005345196536
2018-03-16,6.15,6.15,6.15,6.15,170,-123.5617416131333,-0.09298627024111195,0.0188949595841992,-0.11188122982531115,41.368743272130395
