time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,7.33,7.38,7.19,7.24,15520,,,,,
2018-01-03,7.24,7.43,7.24,7.29,34500,,,,,
2018-01-04,7.29,7.29,7.24,7.29,12500,,,,,
2018-01-05,7.38,7.43,7.33,7.33,4700,,,,,
2018-01-08,7.33,7.48,7.33,7.48,16310,,,,,
2018-01-09,7.43,7.57,7.43,7.48,16300,,,,,
2018-01-10,7.53,7.53,7.38,7.53,24200,,,,,
2018-01-11,7.48,7.53,7.48,7.53,2000,,,,,
2018-01-12,7.53,8.1,7.53,7.72,31700,,,,,
2018-01-15,7.77,7.81,7.67,7.67,8100,,,,,
2018-01-16,7.67,8.25,7.67,8.25,3910,,,,,
2018-01-17,8.25,8.39,7.86,7.86,27357,,,,,
2018-01-18,8.34,8.39,7.67,8.25,5102,,,,,
2018-01-19,8.2,8.2,7.72,8.05,3600,88.13516896120149,,,,
2018-01-22,7.91,8.15,7.67,8.15,9900,75.5477651183172,,,,70.77625570776259
2018-01-23,8.1,8.1,8.1,8.1,2600,89.1820580474933,,,,69.07781967775111
2018-01-24,8.05,8.05,7.96,7.96,1590,53.79222434671742,,,,64.41657444977254
2018-01-25,7.77,7.96,7.67,7.67,4600,-15.495495495495591,,,,55.98869489872925
2018-01-26,7.96,7.96,7.91,7.91,2200,25.040650406504067,,,,60.58472801179134
2018-01-29,7.72,7.91,7.67,7.91,6070,-18.829413354960447,,,,60.58472801179134
2018-01-30,7.91,7.91,7.91,7.91,0,0.9553053565336938,,,,60.58472801179134
2018-01-31,7.67,7.96,7.67,7.86,2000,-62.52771618625255,,,,58.98203096271975
2018-02-01,7.67,7.81,7.67,7.81,5800,-101.6776075857044,,,,57.348252572371614
2018-02-02,8.01,8.01,7.91,7.91,300,-1.54241645244286,,,,59.74961725016339
2018-02-05,7.77,7.91,7.67,7.67,30200,-117.14876033057843,,,,52.159467208317324
2018-02-06,7.57,7.57,6.9,7.38,14700,-274.9760765550237,,,,44.760346492517975
2018-02-07,7.19,7.48,7.19,7.48,4196,-177.29257641921396,,,,47.52466977739998
2018-02-08,7.67,7.67,7.48,7.48,12200,-92.33850129198973,,,,47.52466977739998
2018-02-09,7.48,7.48,7.48,7.48,0,-96.18320610687017,,,,47.52466977739998
2018-02-12,7.53,7.53,7.48,7.53,5430,-67.97245963912628,,,,49.11487361846356
2018-02-13,7.72,7.72,7.72,7.72,1000,11.731593424166766,,,,54.72904371166706
2018-02-21,7.43,7.53,7.43,7.43,6300,-71.18080304110237,,,,46.32744165968615
2018-02-22,7.53,7.53,7.48,7.48,3620,-50.49462365591429,,,,47.81490881131492
2018-02-23,7.48,7.48,7.48,7.48,0,-49.14154902708877,-0.0345963331806276,0.021896235643764465,-0.05649256882439207,47.81490881131493
2018-02-26,7.48,7.48,7.48,7.48,0,-42.607381826030824,-0.041519321221862526,0.009213124270639065,-0.05073244549250159,47.81490881131493
2018-02-27,7.57,8.01,7.57,8.01,21935,116.29613945938307,-0.00419095776446099,0.006532307863619054,-0.010723265628080044,61.82247710904578
2018-02-28,8.15,8.15,8.15,8.15,600,183.28420322524707,0.03627076241173022,0.012479998773241288,0.023790763638488928,64.53082377849184
2018-03-01,8.15,8.15,8.15,8.15,43,162.54018445322745,0.06755819830576382,0.023495638679745794,0.04406255962601802,64.53082377849184
2018-03-02,7.62,8.1,7.62,8.1,5300,86.26303987520669,0.08731264866939892,0.03625904067767642,0.0510536079917225,62.688789422911384
2018-03-05,7.91,8.1,7.91,8.1,5960,94.22073079791184,0.10179476620592887,0.04936618578332691,0.052428580422601956,62.688789422911384
2018-03-06,8.1,8.1,8.1,8.1,86,93.54608027174382,0.11198110027351404,0.061889168681364334,0.05009193159214971,62.688789422911384
2018-03-07,7.77,7.77,7.77,7.77,1020,2.6982560052648576,0.09236092211821934,0.06798351936873534,0.024377402749483995,50.74767962151599
2018-03-08,8.05,8.05,7.48,7.77,710,-4.213855729006993,0.07593644154506052,0.06957410380400038,0.0063623377410601395,50.747679621516006
2018-03-09,7.91,8.05,7.91,7.91,5450,44.59161147902864,0.07337097737469289,0.07033347851813888,0.003037498856554008,54.96812515308501
2018-03-12,8.05,8.05,8.05,8.05,225,64.07045408267184,0.0816929529976278,0.07260537341403667,0.009087579583591132,58.772660287564506
2018-03-13,7.67,8.05,7.67,8.05,5100,18.76170411985074,0.08728204554553809,0.07554070784033695,0.011741337705201138,58.77266028756451
2018-03-14,8.15,8.15,8.05,8.05,1050,67.49118957377502,0.090666297022727,0.07856582567681496,0.012100471345912037,58.77266028756451
2018-03-15,8.05,8.05,8.05,8.05,0,47.65663542180609,0.09228454194619129,0.08130956893069022,0.010974973015501072,58.772660287564506
2018-03-16,7.96,8.05,7.96,7.96,2600,1.4141414141408812,0.08532123478427689,0.08211190210140755,0.0032093326828693397,54.77147026790078
2018-03-19,7.57,7.67,7.57,7.67,280,-186.8525896414335,0.05575942735218664,0.07684140715156337,-0.021081979799376732,44.30487335435646
2018-03-20,7.91,7.91,7.77,7.86,6790,-59.047619047617985,0.04711972720052415,0.07089707116135553,-0.02377734396083138,50.92211809708623
2018-03-21,7.91,7.91,7.81,7.86,6630,-41.86189889025806,0.03981375440705115,0.06468040781049465,-0.024866653403443503,50.92211809708623
2018-03-22,7.81,7.91,7.77,7.86,9500,-43.81008436334965,0.03363598364969089,0.0584715229783339,-0.024835539328643005,50.92211809708623
2018-03-23,7.67,7.67,7.67,7.67,4210,-120.30360531309267,0.013255838655751084,0.049428386113817335,-0.03617254745806625,44.342057506357136
2018-03-26,7.67,7.67,7.67,7.67,500,-106.3192904656317,-0.00286257509911092,0.038970193871231684,-0.041832768970342604,44.342057506357136
2018-03-27,7.67,7.67,7.67,7.67,2400,-97.41697416974189,-0.015458340005636728,0.028084487095858,-0.04354282710149473,44.34205750635713
2018-03-28,7.53,7.86,7.53,7.86,6300,-54.966483851309775,-0.009993958208691645,0.020468798034948072,-0.030462756243639717,52.076453946078956
2018-03-29,7.86,7.91,7.86,7.86,6800,13.38432122370999,-0.005598856137481789,0.0152552672004621,-0.02085412333794389,52.076453946078956
2018-03-30,7.72,7.86,7.67,7.86,14800,-21.312119426438937,-0.0020915954704365802,0.011785894666282363,-0.013877490136718943,52.076453946078956
2018-04-02,7.57,7.57,7.57,7.57,500,-124.2706393544375,-0.022453808959555843,0.004937953941114721,-0.027391762900670566,41.17009876531665
2018-04-03,7.91,7.91,7.62,7.91,12930,14.764267990074254,-0.011028719140950827,0.0017446193247016109,-0.012773338465652437,53.47303021348273
2018-04-04,7.86,7.86,7.86,7.86,100,57.48322923895441,-0.005940358523628397,0.00020762375503560922,-0.0061479822786640066,51.75879499846809
2018-04-05,7.86,7.91,7.86,7.86,18200,79.9850634802093,-0.001886054808932336,-0.00021111195775797985,-0.001674942851174356,51.75879499846809
2018-04-06,7.86,7.91,7.86,7.91,8400,83.9034738796074,0.005300491461087908,0.0008912087260111979,0.00440928273507671,53.488090275109734
2018-04-09,7.96,8.01,7.91,7.91,7200,111.09439638961916,0.010870571969381793,0.0028870813746853167,0.007983490594696475,53.488090275109734
2018-04-10,7.96,8.05,7.96,8.05,9000,144.45961319681524,0.02627880516568748,0.007565426132885749,0.01871337903280173,58.33784861576592
2018-04-11,8.25,8.25,8.1,8.1,2000,180.15873015872978,0.042039913166602716,0.014460323539629142,0.027579589626973572,59.9442264480891
2018-04-12,8.1,8.1,8.1,8.1,0,130.86622807017494,0.05390927227653286,0.022350113287009886,0.031559158989522974,59.9442264480891
2018-04-13,8.1,8.1,8.1,8.1,100,112.39224137931095,0.06259427702332676,0.03039894603427326,0.0321953309890535,59.9442264480891
2018-04-16,8.1,8.1,8.01,8.01,4600,67.66794101583824,0.061505955648041066,0.03662034795702682,0.024885607691014243,55.16258330609497
2018-04-17,7.96,8.1,7.96,7.96,5500,41.69986719787544,0.055963755645774604,0.04048902949477638,0.015474726150998222,52.64989019507471
2018-04-18,7.96,7.96,7.96,7.96,3400,12.645687645687975,0.050983812559716846,0.04258798610776447,0.008395826451952373,52.64989019507471
2018-04-19,7.96,7.96,7.96,7.96,2500,6.602357984994957,0.046501135639759994,0.043370616014163574,0.00313051962559642,52.64989019507471
