time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,18.0,18.0,17.18,17.18,2810,,,,,
2018-01-03,17.18,17.18,17.18,17.18,80,,,,,
2018-01-04,16.36,17.18,16.36,17.18,500,,,,,
2018-01-05,17.18,17.18,17.18,17.18,43,,,,,
2018-01-08,17.18,17.18,17.18,17.18,18,,,,,
2018-01-09,16.36,16.36,16.36,16.36,1100,,,,,
2018-01-10,16.03,16.85,16.03,16.85,598,,,,,
2018-01-11,16.85,16.85,16.77,16.77,1064,,,,,
2018-01-12,16.36,16.36,16.36,16.36,108,,,,,
2018-01-15,16.36,17.18,16.36,17.18,2364,,,,,
2018-01-16,17.18,17.18,17.18,17.18,856,,,,,
2018-01-17,17.18,17.18,17.18,17.18,0,,,,,
2018-01-18,16.52,16.52,16.52,16.52,140,,,,,
2018-01-19,17.18,17.18,17.18,17.18,1955,57.79220779220703,,,,
2018-01-22,16.52,16.52,16.52,16.52,1137,-78.29092051523824,,,,42.82608695652175
2018-01-23,16.52,16.52,16.52,16.52,2000,-67.10454296661322,,,,42.82608695652174
2018-01-24,16.44,16.69,16.44,16.69,18200,-41.438539989265074,,,,45.1758930333531
2018-01-25,16.44,16.85,16.36,16.36,25200,-52.38673139158647,,,,41.60157205667513
2018-01-26,16.36,16.77,16.36,16.77,2100,-19.307227526406756,,,,47.191954246538714
2018-01-29,16.44,16.77,16.44,16.44,20732,-47.45990588687189,,,,43.576157251907524
2018-01-30,16.44,16.44,16.36,16.36,1500,-86.2045108620451,,,,42.721593917055884
2018-01-31,17.02,17.02,16.93,16.93,1404,62.31959659189515,,,,50.213262339791264
2018-02-01,16.36,16.36,16.36,16.36,1100,-91.04503564597539,,,,44.01371058224816
2018-02-02,16.52,16.52,16.52,16.52,520,-45.06273867976076,,,,46.02808183688468
2018-02-05,17.39,17.39,17.21,17.21,2029,148.2504604051545,,,,53.7554587720939
2018-02-06,17.21,17.21,17.21,17.21,0,130.68122724908835,,,,53.7554587720939
2018-02-07,17.21,17.21,17.21,17.21,0,103.12109862671606,,,,53.7554587720939
2018-02-08,15.58,15.58,15.58,15.58,100,-231.31800336511537,,,,37.7912327804004
2018-02-09,15.66,15.66,15.49,15.66,3400,-180.54439982150873,,,,38.75262333764476
2018-02-12,15.66,15.66,15.66,15.66,0,-134.33884744296833,,,,38.75262333764477
2018-02-13,15.66,15.66,15.66,15.66,0,-107.49988244698353,,,,38.75262333764477
2018-02-21,14.2,17.21,14.11,17.21,3210,-31.825473211421738,,,,55.42326381634047
2018-02-22,17.99,17.99,17.99,17.99,100,166.7873910127426,,,,61.15340519405338
2018-02-23,17.99,17.99,17.99,17.99,0,129.74176598744012,0.04232615102824866,-0.17578732538546482,0.21811347641371348,61.15340519405338
2018-02-26,16.35,16.35,16.35,16.35,1100,-24.413145539906253,0.0013652110905972847,-0.1403568180902524,0.1417220291808497,46.55918097587717
2018-02-27,17.39,17.39,17.39,17.39,100,67.0409933351591,0.05222071158285502,-0.10184131215563091,0.15406202373848593,54.04837998304871
2018-02-28,16.78,16.78,16.78,16.78,300,9.912536443148424,0.04280868818980821,-0.07291131208654308,0.11572000027635129,49.65306961995422
2018-03-01,16.78,16.78,16.78,16.78,0,8.291363551576087,0.03494674748938564,-0.05133970017135733,0.08628644766074298,49.65306961995422
2018-03-02,16.78,16.78,16.78,16.78,0,11.983270109911386,0.028388853806841752,-0.03539398937571751,0.06378284318255927,49.65306961995422
2018-03-05,16.78,16.78,16.78,16.78,0,15.494238932686372,0.022927383214454977,-0.023729714857683014,0.04665709807213799,49.653069619954216
2018-03-06,16.95,17.39,15.66,16.52,6912,-5.346263831903641,-0.002353568197978717,-0.019454485525742155,0.017100917327763438,47.44127175295558
2018-03-07,16.52,16.52,16.52,16.52,0,-14.200361261637154,-0.022133760122841295,-0.019990340445161982,-0.0021434196776793125,47.44127175295557
2018-03-08,16.52,16.52,16.52,16.52,0,-24.670433145009735,-0.03737882490587907,-0.0234680373373054,-0.013910787568573672,47.44127175295557
2018-03-09,16.35,16.78,16.35,16.78,2448,-21.445476060440768,-0.028156253725569513,-0.024405680614958222,-0.003750573110611291,50.2112998294568
2018-03-12,16.35,16.35,15.23,15.23,3045,-177.2005772005769,-0.14425644720281383,-0.048375833932529345,-0.09588061327028449,37.516962698926335
2018-03-13,16.35,16.7,16.35,16.7,5024,-34.40963855421709,-0.11630923186785935,-0.06196251351959535,-0.054346718348264,50.339875470438955
2018-03-14,16.35,16.35,16.35,16.35,200,-65.32589937607852,-0.12100803202573829,-0.07377161722082394,-0.04723641480491435,47.82335763480386
2018-03-15,16.7,16.7,15.92,15.92,2142,-95.14328808446493,-0.15761241355085076,-0.0905397764868293,-0.06707263706402146,44.85648944379491
2018-03-16,15.92,15.92,15.92,15.92,8,-137.22312263641294,-0.18449490718390749,-0.10933080262624494,-0.07516410455766255,44.85648944379491
2018-03-19,15.92,15.92,15.92,15.92,400,-109.72704529330524,-0.20345418388007275,-0.1281554788770105,-0.07529870500306224,44.85648944379491
2018-03-20,14.63,16.7,14.63,16.7,5139,-75.07377816166412,-0.15376752962344753,-0.13327788902629792,-0.02048964059714961,51.6519287616942
2018-03-21,15.66,16.78,15.66,16.78,3300,15.555555555555346,-0.1067051363497562,-0.12796333849098956,0.021258202141233362,52.301177115535914
2018-03-22,15.92,16.78,15.92,16.78,5660,41.948842874543246,-0.06861687795755245,-0.11609404638430214,0.04747716842674969,52.301177115535914
2018-03-23,16.78,16.78,16.78,16.78,0,110.38570848558655,-0.03799369114932816,-0.10047397533730734,0.062480284187979185,52.301177115535914
2018-03-26,16.7,16.78,16.09,16.78,8292,54.75555555555528,-0.013568189334915104,-0.0830928181368289,0.06952462880191379,52.301177115535914
2018-03-27,16.78,16.78,16.78,16.78,0,100.24691358024702,0.005723223076202544,-0.06532960989422261,0.07105283297042515,52.301177115535914
2018-03-28,16.78,16.78,16.78,16.78,0,91.60226687274577,0.020772355613960514,-0.04810921679258598,0.06888157240654649,52.301177115535914
2018-03-29,16.01,16.01,15.23,15.23,1384,-145.02482871330707,-0.09132045912841136,-0.056751465259751055,-0.0345689938686603,37.20213541723655
2018-03-30,15.92,15.92,15.92,15.92,443,-75.12356963910946,-0.12305904094504783,-0.0700129803968104,-0.05304606054823742,44.83679207471332
2018-04-02,16.7,16.7,16.44,16.61,1800,56.92328525966476,-0.09148033392451893,-0.07430645110235211,-0.017173882822166822,51.22301754936386
