time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,6.71,6.71,6.71,6.71,0,,,,,
2018-01-03,5.96,5.96,5.96,5.96,300,,,,,
2018-01-04,5.96,5.96,5.96,5.96,0,,,,,
2018-01-05,5.96,5.96,5.96,5.96,0,,,,,
2018-01-08,5.96,5.96,5.96,5.96,0,,,,,
2018-01-09,5.96,5.96,5.96,5.96,0,,,,,
2018-01-10,5.96,5.96,5.96,5.96,0,,,,,
2018-01-11,5.96,5.96,5.96,5.96,0,,,,,
2018-01-12,5.96,5.96,5.96,5.96,0,,,,,
2018-01-15,5.96,5.96,5.96,5.96,0,,,,,
2018-01-16,5.96,5.96,5.96,5.96,0,,,,,
2018-01-17,5.96,5.96,5.96,5.96,0,,,,,
2018-01-18,6.86,6.86,6.86,6.86,5100,,,,,
2018-01-19,6.86,6.86,6.86,6.86,0,167.2014260249556,,,,
2018-01-22,6.86,6.86,6.86,6.86,0,155.5555555555555,,,,54.545454545454554
2018-01-23,6.86,6.86,6.86,6.86,0,116.666666666667,,,,54.545454545454554
2018-01-24,6.86,6.86,6.86,6.86,0,93.33333333333343,,,,54.545454545454554
2018-01-25,6.86,6.86,6.86,6.86,1000,77.7777777777779,,,,54.545454545454554
2018-01-26,6.86,6.86,6.86,6.86,0,66.6666666666668,,,,54.545454545454554
2018-01-29,6.86,6.86,6.86,6.86,0,58.333333333333485,,,,54.54545454545454
2018-01-30,6.86,6.86,6.86,6.86,0,51.85185185185192,,,,54.545454545454554
2018-01-31,6.86,6.86,6.86,6.86,0,46.66666666666688,,,,54.545454545454554
2018-02-01,6.86,6.86,6.86,6.86,0,42.424242424242564,,,,54.545454545454554
2018-02-02,6.86,6.86,6.86,6.86,0,38.88888888888896,,,,54.545454545454554
2018-02-05,6.86,6.86,6.86,6.86,0,35.89743589743609,,,,54.545454545454554
2018-02-06,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-07,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-08,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-09,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-12,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-13,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-21,6.86,6.86,6.86,6.86,0,0.0,,,,54.54545454545454
2018-02-22,6.86,6.86,6.86,6.86,0,0.0,,,,54.545454545454554
2018-02-23,6.86,6.86,6.86,6.86,0,0.0,0.208834703432494,0.2897594930958931,-0.08092478966339911,54.54545454545454
2018-02-26,6.46,6.46,6.46,6.46,3900,-466.6666666666678,0.16145663423236645,0.2640989213231878,-0.10264228709082135,26.38540297110703
2018-02-27,6.46,6.46,6.46,6.46,0,-233.33333333333394,0.12249710270255232,0.2357785575990607,-0.11328145489650837,26.38540297110703
2018-02-28,6.46,6.46,6.46,6.46,1300,-155.555555555556,0.0905772748350051,0.20673830104624957,-0.11616102621124447,26.38540297110703
2018-03-01,6.46,6.46,6.46,6.46,0,-116.66666666666639,0.06453664303182727,0.17829796944336512,-0.11376132641153786,26.385402971107037
2018-03-02,6.46,6.46,6.46,6.46,0,-93.33333333333276,0.04339897830817652,0.1513181712163274,-0.10791919290815088,26.38540297110703
2018-03-05,6.46,6.46,6.46,6.46,0,-77.77777777777737,0.02634355462659066,0.12632324789838006,-0.0999796932717894,26.38540297110703
2018-03-06,6.46,6.46,6.46,6.46,0,-66.66666666666607,0.012680831746413546,0.10359476466798676,-0.09091393292157321,26.385402971107037
2018-03-07,6.46,6.46,6.46,6.46,0,-58.333333333332845,0.001831908330360399,0.08324219340046149,-0.08141028507010109,26.385402971107037
2018-03-08,6.46,6.46,6.46,6.46,0,-51.851851851851166,-0.006688836891109773,0.06525598734214724,-0.07194482423325702,26.385402971107037
2018-03-09,6.46,6.46,6.46,6.46,0,-46.66666666666627,-0.013288408367860605,0.04954710820014567,-0.06283551656800627,26.385402971107037
2018-03-12,6.46,6.46,6.46,6.46,0,-42.42424242424175,-0.018307577948018405,0.03597617097051285,-0.05428374891853126,26.385402971107037
2018-03-13,6.46,6.46,6.46,6.46,0,-38.88888888888844,-0.022031342400301135,0.024374668296350054,-0.04640601069665119,26.38540297110704
2018-03-14,6.46,6.46,6.46,6.46,0,-35.89743589743461,-0.024697752242968996,0.014560184188486243,-0.03925793643145524,26.38540297110704
2018-03-15,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.026505363917504354,0.006347074567288122,-0.032852438484792475,26.38540297110704
2018-03-16,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.027619528461171328,-0.000446246038403768,-0.02717328242276756,26.38540297110704
2018-03-19,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.02817769693884653,-0.005992536218492321,-0.02218516072035421,26.38540297110704
2018-03-20,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.02829389506877522,-0.0104528079885489,-0.01784108708022632,26.385402971107048
2018-03-21,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.028062495939018994,-0.013974745578642919,-0.014087750360376076,26.38540297110704
2018-03-22,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.027561399801015796,-0.016692076423117493,-0.010869323377898303,26.385402971107048
2018-03-23,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.026854713085475268,-0.01872460375558905,-0.008130109329886219,26.385402971107048
2018-03-26,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.025995004540985356,-0.020178683912668312,-0.005816320628317044,26.385402971107048
2018-03-27,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.025025204347541852,-0.02114798799964302,-0.0038772163478988306,26.385402971107048
2018-03-28,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.023980201867236595,-0.021714430773161736,-0.0022657710940748588,26.38540297110704
2018-03-29,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.02288818907648782,-0.02194918243382695,-0.0009390066426608681,26.38540297110704
2018-03-30,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.021771789436140665,-0.021913703834289693,0.00014191439814902757,26.38540297110704
2018-04-02,6.46,6.46,6.46,6.46,100,66.66666666666667,-0.020649005792721553,-0.021660764225976063,0.0010117584332545101,26.38540297110704
2018-04-03,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.019534015692689977,-0.021235414519318846,0.0017013988266288693,26.38540297110704
2018-04-04,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.018437838085056946,-0.020675899232466467,0.0022380611474095216,26.385402971107037
2018-04-05,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.017368891662152386,-0.02001449771840365,0.002645606056251266,26.385402971107037
2018-04-06,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.016333461938655702,-0.019278290562454063,0.0029448286237983602,26.385402971107037
2018-04-09,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.01533609150641535,-0.01848985075124632,0.0031537592448309705,26.385402971107037
2018-04-10,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.014379905652023517,-0.01766786173140176,0.0032879560793782417,26.38540297110703
2018-04-11,6.46,6.46,6.46,6.46,50,66.66666666666667,-0.013466883621920722,-0.016827666109505552,0.00336078248758483,26.385402971107023
2018-04-12,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.012598084212330996,-0.01598174973007064,0.003383665517739644,26.385402971107023
2018-04-13,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.011773833002968637,-0.015140166384650239,0.003366333381681602,26.38540297110703
2018-04-16,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.010993877405855557,-0.014310908588891303,0.003317031183035746,26.385402971107023
2018-04-17,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.010257514731128126,-0.013500229817338668,0.0032427150862105424,26.385402971107023
2018-04-18,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.00956369765285281,-0.012712923384441497,0.0031492257315886875,26.385402971107023
2018-04-19,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.008911120766422087,-0.011952562860837615,0.0030414420944155276,26.38540297110702
2018-04-20,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.00829829134524207,-0.011221708557718505,0.002923417212476435,26.38540297110702
2018-04-23,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.007723586911608571,-0.010522084228496518,0.002798497316887947,26.38540297110702
2018-04-24,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.007185301820737067,-0.009854727746944628,0.0026694259262075616,26.38540297110702
2018-04-26,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.006681684706000723,-0.009220119138755848,0.0025384344327551243,26.385402971107013
2018-04-27,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.006210968337406975,-0.008618288978486073,0.0024073206410790988,26.38540297110702
2018-05-02,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.005771393195773911,-0.008048909821943642,0.002277516626169731,26.38540297110702
2018-05-03,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.005361225854656482,-0.00751137302848621,0.002150147173829728,26.385402971107023
2018-05-04,6.46,6.46,6.46,6.46,50,66.66666666666667,-0.00497877308478234,-0.007004853039745436,0.0020260799549630965,26.385402971107023
2018-05-07,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.004622392446450796,-0.006528360921086508,0.0019059684746357119,26.385402971107023
2018-05-08,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.00429050000962139,-0.006080788738793484,0.0017902887291720944,26.385402971107023
2018-05-09,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.003981575735642728,-0.005660946138163333,0.0016793704025206049,26.385402971107023
2018-05-10,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.0036941669655954357,-0.005267590303649754,0.001573423338054318,26.385402971107023
2018-05-11,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.0034268903854659527,-0.004899450320012993,0.0014725599345470405,26.38540297110703
2018-05-14,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.003178432775558626,-0.00455524681112212,0.0013768140355634936,26.38540297110703
2018-05-15,6.46,6.46,6.46,6.46,0,66.66666666666667,-0.002947550798844567,-0.004233707608666609,0.001286156809822042,26.38540297110703
2018-05-16,3.88,3.88,3.88,3.88,15300,-466.66666666666555,-0.2085450358507197,-0.045095973257077225,-0.16344906259364247,0.14407159632049682
2018-05-17,3.88,3.88,3.88,3.88,0,-233.3333333333331,-0.36724910492725193,-0.10952659959111216,-0.2577225053361398,0.1440715963204968
2018-05-18,3.88,3.88,3.88,3.88,0,-155.55555555555554,-0.48740472480285657,-0.18510222463346104,-0.3023025001693955,0.1440715963204968
2018-05-21,3.88,3.88,3.88,3.88,0,-116.66666666666669,-0.5759892734255914,-0.2632796343918871,-0.31270963903370425,0.14407159632049682
2018-05-22,3.88,3.88,3.88,3.88,0,-93.33333333333334,-0.6388291417376992,-0.33838953586104953,-0.3004396058766497,0.14407159632049682
2018-05-23,3.88,3.88,3.88,3.88,0,-77.77777777777781,-0.6807825526176954,-0.4068681392123787,-0.2739144134053167,0.14407159632049685
2018-05-24,3.88,3.88,3.88,3.88,0,-66.66666666666669,-0.705893828348545,-0.4666732770396119,-0.23922055130893305,0.14407159632049685
2018-05-25,3.88,3.88,3.88,3.88,0,-58.33333333333335,-0.7175235306636143,-0.5168433277644124,-0.20068020289920185,0.14407159632049685
2018-05-28,3.88,3.88,3.88,3.88,0,-51.85185185185188,-0.7184582144641549,-0.5571663051043609,-0.16129190935979398,0.14407159632049685
2018-05-29,3.88,3.88,3.88,3.88,0,-46.66666666666669,-0.7110029585874944,-0.5879336358009877,-0.12306932278650673,0.14407159632049682
2018-05-30,3.88,3.88,3.88,3.88,0,-42.42424242424246,-0.6970593483298542,-0.609758778306761,-0.08730057002309322,0.14407159632049685
2018-05-31,3.88,3.88,3.88,3.88,0,-38.88888888888894,-0.6781911710815054,-0.6234452568617098,-0.05474591421979558,0.14407159632049682
2018-06-01,3.88,3.88,3.88,3.88,0,-35.89743589743595,-0.6556797368147755,-0.6298921528523229,-0.02578758396245262,0.14407159632049682
2018-06-04,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.6305704394626117,-0.6300278101743807,-0.0005426292882310113,0.1440715963204968
2018-06-05,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.6037119251329939,-0.6247646331661033,0.021052708033109435,0.14407159632049682
2018-06-06,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.5757890215968775,-0.6149695108522581,0.039180489255380646,0.14407159632049682
2018-06-07,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.5473504046201834,-0.6014456896058432,0.05409528498565985,0.14407159632049685
2018-06-08,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.5188318254547379,-0.5849229167756221,0.0660910913208842,0.14407159632049682
2018-06-11,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.49057559590397926,-0.5660534526012936,0.07547785669731433,0.14407159632049682
2018-06-12,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.46284691923709964,-0.5454121459284548,0.08256522669135513,0.14407159632049682
2018-06-13,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.4358475637945354,-0.5234992295016709,0.08765166570713556,0.14407159632049685
2018-06-14,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.4097272988319043,-0.5007448433677176,0.09101754453581334,0.14407159632049682
2018-06-15,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.38459344680896645,-0.47751456405596737,0.09292111724700092,0.1440715963204968
2018-06-18,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.3605188511008648,-0.4541154214649469,0.09359657036408209,0.1440715963204968
2018-06-19,3.88,3.88,3.88,3.88,0,-66.66666666666667,-0.33754851143097486,-0.4308020394581525,0.09325352802717762,0.1440715963204968
