time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,6.0,6.0,6.0,6.0,0,,,,,
2018-01-03,6.0,6.0,6.0,6.0,0,,,,,
2018-01-04,6.0,6.0,6.0,6.0,17,,,,,
2018-01-05,5.5,5.5,5.5,5.5,100,,,,,
2018-01-08,5.5,5.5,5.5,5.5,0,,,,,
2018-01-09,5.5,5.5,5.5,5.5,0,,,,,
2018-01-10,5.5,5.5,5.5,5.5,0,,,,,
2018-01-11,5.6,5.6,5.6,5.6,100,,,,,
2018-01-12,5.6,5.6,5.6,5.6,0,,,,,
2018-01-15,5.5,5.5,5.5,5.5,300,,,,,
2018-01-16,5.5,5.5,5.5,5.5,0,,,,,
2018-01-17,5.5,5.5,5.5,5.5,0,,,,,
2018-01-18,5.5,5.5,5.5,5.5,0,,,,,
2018-01-19,5.5,5.5,5.5,5.5,0,-49.89517819706504,,,,
2018-01-22,5.5,5.5,5.5,5.5,0,-46.66666666666696,,,,14.28571428571425
2018-01-23,5.5,5.5,5.5,5.5,0,-42.42424242424242,,,,14.28571428571425
2018-01-24,5.5,5.5,5.5,5.5,0,-38.88888888888909,,,,14.285714285714251
2018-01-25,5.5,5.5,5.5,5.5,0,-38.88888888888909,,,,14.28571428571425
2018-01-26,5.5,5.5,5.5,5.5,0,-38.88888888888909,,,,14.285714285714246
2018-01-29,5.5,5.5,5.5,5.5,0,-38.88888888888909,,,,14.285714285714246
2018-01-30,5.0,5.0,5.0,5.0,100,-466.66666666666845,,,,6.756892033121453
2018-01-31,5.0,5.0,5.0,5.0,0,-233.33333333333226,,,,6.756892033121452
2018-02-01,5.0,5.0,5.0,5.0,4,-155.5555555555559,,,,6.756892033121453
2018-02-02,5.0,5.0,5.0,5.0,0,-116.66666666666644,,,,6.756892033121455
2018-02-05,5.0,5.0,5.0,5.0,0,-93.33333333333323,,,,6.756892033121455
2018-02-06,5.0,5.0,5.0,5.0,0,-77.77777777777774,,,,6.756892033121453
2018-02-07,5.0,5.0,5.0,5.0,0,-66.66666666666667,,,,6.756892033121453
2018-02-08,5.0,5.0,5.0,5.0,24,-58.333333333333364,,,,6.756892033121455
2018-02-09,5.0,5.0,5.0,5.0,0,-51.85185185185191,,,,6.756892033121453
2018-02-12,5.0,5.0,5.0,5.0,0,-46.66666666666676,,,,6.756892033121453
2018-02-13,5.0,5.0,5.0,5.0,0,-42.42424242424233,,,,6.756892033121453
2018-02-21,5.0,5.0,5.0,5.0,0,-38.888888888888815,,,,6.756892033121453
2018-02-22,5.5,5.5,5.5,5.5,500,233.33333333333385,,,,59.1478427484224
2018-02-23,5.5,5.5,5.5,5.5,0,233.33333333333385,-0.10674439739148411,-0.18463829991353808,0.07789390252205397,59.147842748422406
2018-02-26,5.5,5.5,5.5,5.5,0,155.5555555555559,-0.0755205996745607,-0.16281475986574262,0.08729416019118191,59.1478427484224
2018-02-27,5.5,5.5,5.5,5.5,0,116.66666666666644,-0.050196876680679736,-0.14029118322873005,0.09009430654805031,59.1478427484224
2018-02-28,5.5,5.5,5.5,5.5,500,93.33333333333323,-0.02978430878882765,-0.11818980834074957,0.08840549955192192,59.1478427484224
2018-03-01,5.5,5.5,5.5,5.5,0,77.77777777777774,-0.013452133844626069,-0.09724227344152488,0.08379013959689881,59.1478427484224
2018-03-02,5.5,5.5,5.5,5.5,0,66.66666666666667,-0.0005029696137608397,-0.07789441267597207,0.07739144306221123,59.147842748422406
2018-03-05,5.5,5.5,5.5,5.5,0,58.333333333333364,0.009648118824823193,-0.06038590637581301,0.0700340252006362,59.1478427484224
2018-03-06,5.5,5.5,5.5,5.5,0,51.85185185185191,0.017491300720297254,-0.044810464956590954,0.06230176567688821,59.1478427484224
2018-03-07,5.5,5.5,5.5,5.5,0,46.66666666666676,0.023436912738457494,-0.03116098941758126,0.054597902156038755,59.1478427484224
2018-03-08,6.0,6.0,6.0,6.0,100,207.4074074074075,0.06771410833401337,-0.011385969867262334,0.07910007820127571,81.25123749929024
2018-03-09,6.0,6.0,6.0,6.0,0,233.33333333333337,0.10163254809310729,0.011217733724811593,0.0904148143682957,81.25123749929024
2018-03-12,6.5,6.5,6.5,6.5,100,248.22695035461027,0.16693465846740452,0.04236111867333017,0.12457353979407434,88.48001917076049
2018-03-13,6.5,6.5,6.5,6.5,0,171.11111111111106,0.2161948912852445,0.07712787319571304,0.13906701808953145,88.48001917076049
2018-03-14,6.5,6.5,6.5,6.5,0,129.62962962962968,0.2523253313415559,0.11216736482488161,0.14015796651667428,88.48001917076049
2018-03-15,6.5,6.5,6.5,6.5,0,105.00000000000009,0.277757153820529,0.1452853226240111,0.13247183119651793,88.48001917076049
2018-03-16,6.5,6.5,6.5,6.5,0,88.88888888888886,0.29451704717219673,0.17513166753364823,0.1193853796385485,88.48001917076049
2018-03-19,6.5,6.5,6.5,6.5,0,77.77777777777779,0.3042916981209709,0.20096367365111276,0.10332802446985814,88.48001917076047
2018-03-20,6.5,6.5,6.5,6.5,30,66.66666666666671,0.3084821887717659,0.22246737667524338,0.08601481209652254,88.48001917076047
2018-03-21,6.5,6.5,6.5,6.5,0,58.333333333333286,0.30824987017883565,0.23962387537596183,0.06862599480287382,88.48001917076047
2018-03-22,6.5,6.5,6.5,6.5,10,51.85185185185183,0.30455503515384663,0.25261010733153877,0.05194492782230786,88.48001917076047
2018-03-23,6.5,6.5,6.5,6.5,0,46.66666666666669,0.2981895087365043,0.26172598761253185,0.03646352112397244,88.48001917076047
2018-03-26,6.5,6.5,6.5,6.5,0,42.4242424242425,0.2898041018997093,0.26734161046996735,0.022462491429741938,88.48001917076049
2018-03-27,6.5,6.5,6.5,6.5,0,38.888888888888815,0.27993172786062726,0.2698596339480993,0.010072093912527946,88.48001917076047
2018-03-28,6.5,6.5,6.5,6.5,0,35.897435897435834,0.2690068567147872,0.26968907850143686,-0.0006822217866496727,88.48001917076049
2018-03-29,6.5,6.5,6.5,6.5,117,0.0,0.25738187952970115,0.2672276387070897,-0.009845759177388558,88.48001917076049
2018-03-30,6.5,6.5,6.5,6.5,10,0.0,0.24534086458948057,0.2628502838835679,-0.017509419294087336,88.48001917076047
2018-04-02,6.5,6.5,6.5,6.5,0,0.0,0.23311111368657844,0.25690244984417,-0.023791336157591547,88.48001917076047
2018-04-03,6.5,6.5,6.5,6.5,10,0.0,0.22087286310810406,0.2496965324969568,-0.028823669388852752,88.48001917076047
2018-04-04,6.5,6.5,6.5,6.5,0,0.0,0.20876742048271169,0.2415107100941078,-0.03274328961139611,88.48001917076047
2018-04-05,6.5,6.5,6.5,6.5,0,0.0,0.19690398343452387,0.232589364762191,-0.03568538132766713,88.48001917076047
2018-04-06,6.5,6.5,6.5,6.5,0,0.0,0.18536534775933955,0.2231445613616207,-0.03777921360228115,88.48001917076047
2018-04-09,6.5,6.5,6.5,6.5,0,0.0,0.174212680517992,0.21335818519289496,-0.039145504674902964,88.48001917076047
2018-04-10,6.5,6.5,6.5,6.5,0,0.0,0.16348950612071977,0.20338444937845992,-0.03989494325774015,88.48001917076047
2018-04-11,6.5,6.5,6.5,6.5,0,0.0,0.1532250303835898,0.1933525655794859,-0.0401275351958961,88.48001917076046
2018-04-12,6.5,6.5,6.5,6.5,0,0.0,0.14343690802106757,0.18336943406780223,-0.03993252604673467,88.48001917076047
2018-04-13,6.5,6.5,6.5,6.5,0,0.0,0.13413354254591692,0.17352225576342517,-0.03938871321750825,88.48001917076047
2018-04-16,6.5,6.5,6.5,6.5,0,0.0,0.1253159936118715,0.16388100333311445,-0.03856500972124294,88.48001917076047
2018-04-17,6.5,6.5,6.5,6.5,0,0.0,0.116979555061131,0.15450071367871776,-0.03752115861758676,88.48001917076047
2018-04-18,6.5,6.5,6.5,6.5,30,0.0,0.10911505699361435,0.14542358234169708,-0.03630852534808274,88.48001917076046
2018-04-19,6.5,6.5,6.5,6.5,0,0.0,0.1017099367755474,0.13668085322846715,-0.03497091645291975,88.48001917076046
2018-04-20,6.5,6.5,6.5,6.5,0,0.0,0.09474911681238307,0.12829450594525033,-0.033545389132867254,88.48001917076047
2018-04-23,6.5,6.5,6.5,6.5,0,0.0,0.08821572092315311,0.12027874894083088,-0.03206302801767777,88.48001917076046
