time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2023-12-01,11.51,11.51,11.51,11.51,1000,,,,,
2023-12-04,12.31,12.31,12.31,12.31,1597400,,,,,
2023-12-05,12.28,12.31,12.02,12.02,359400,,,,,
2023-12-06,11.86,12.47,11.51,11.73,371700,,,,,
2023-12-07,11.76,11.76,10.97,11.03,410200,,,,,
2023-12-08,10.93,11.03,10.26,11.03,307318,,,,,
2023-12-11,11.19,11.19,10.55,10.87,207800,,,,,
2023-12-12,10.55,10.87,10.55,10.55,66746,,,,,
2023-12-13,10.55,10.74,10.36,10.55,44433,,,,,
2023-12-14,10.55,10.81,10.42,10.81,398200,,,,,
2023-12-15,10.74,10.74,10.49,10.74,160826,,,,,
2023-12-18,10.39,10.55,10.39,10.55,97830,,,,,
2023-12-19,10.49,10.61,10.17,10.49,482500,,,,,
2023-12-20,10.42,10.49,10.2,10.36,194300,-82.54414370379428,,,,
2023-12-21,10.23,10.45,10.1,10.45,178863,-77.13791503185267,,,,34.226190476190474
2023-12-22,10.39,10.45,10.23,10.36,166400,-75.79961464354535,,,,33.266577659101024
2023-12-25,10.23,10.36,10.17,10.36,119600,-87.97195253505932,,,,33.266577659101024
2023-12-26,10.2,10.33,10.13,10.33,187416,-95.8360094198249,,,,32.909870551426444
2023-12-27,10.33,10.33,10.04,10.29,195600,-104.39909297052245,,,,32.410851077728644
2023-12-28,10.23,10.23,10.04,10.23,133504,-109.93944181147987,,,,31.635946729601862
2023-12-29,10.13,10.17,9.97,10.04,172500,-140.42186827378336,,,,29.250965821740195
2024-01-02,10.04,10.1,9.88,9.91,146300,-161.21212121212145,,,,27.71160581676187
2024-01-03,9.78,10.2,9.78,10.13,239700,-110.52631578947428,,,,34.038020829919674
2024-01-04,10.13,10.17,9.91,10.1,137569,-88.46268212905156,,,,33.60611342794548
2024-01-05,10.04,10.1,9.72,9.85,148500,-138.64884929472893,,,,30.170443178315114
2024-01-08,9.72,9.91,9.72,9.72,128840,-151.9379844961242,,,,28.53669581998003
2024-01-09,9.62,9.94,9.62,9.94,262900,-111.67848699763542,,,,34.95581846994211
2024-01-10,9.88,9.97,9.88,9.88,217800,-71.60545940621859,,,,34.0573220914003
2024-01-11,9.78,10.04,9.78,10.04,254500,-46.87330070690581,,,,38.590335425214064
2024-01-12,10.04,10.23,9.81,10.23,329300,27.363184079601947,,,,43.55262883405131
2024-01-15,10.23,10.36,10.1,10.23,103000,106.50496141124536,,,,43.55262883405132
2024-01-16,10.33,10.33,9.78,10.1,151400,30.447154471545993,,,,40.928241586915156
2024-01-17,10.04,10.1,9.91,10.04,124600,8.167467398764508,,,,39.73806117049679
2024-01-18,9.91,10.04,9.85,10.04,68802,-10.638297872340415,-0.27730994773245676,-0.3769500193237627,0.09964007159130595,39.73806117049679
2024-01-19,10.04,10.1,9.94,9.94,108100,5.617977528089191,-0.2690325343195301,-0.3553665223229162,0.0863339880033861,37.6232843806665
2024-01-22,9.94,10.01,9.88,9.94,115400,-32.04419889502805,-0.25948148353367984,-0.33618951456506896,0.07670803103138912,37.623284380666504
2024-01-23,9.91,10.23,9.91,10.23,305900,95.53264604811031,-0.2259075094589118,-0.31413311354383755,0.08822560408492575,47.093026357857674
2024-01-24,10.17,10.36,10.1,10.36,288408,162.7097576134269,-0.18665829889367913,-0.2886381506138059,0.10197985172012675,50.705805821007964
2024-01-25,10.26,10.26,10.1,10.26,147400,101.16076610562982,-0.16175754077113247,-0.2632620286452712,0.10150448787413874,47.99105389528351
2024-01-26,10.33,10.42,10.1,10.23,123400,108.45360824742359,-0.1427981714070743,-0.23916925719763182,0.09637108579055753,47.17505270352567
2024-01-29,10.23,10.23,10.04,10.23,111210,51.01580135440237,-0.12631663505167623,-0.21659873276844072,0.09028209771676449,47.175052703525665
2024-01-30,10.26,10.26,10.04,10.04,127900,9.090909090908202,-0.1271209397868862,-0.19870317417212982,0.07158223438524361,41.93743191997769
2024-01-31,9.97,10.01,9.91,9.97,97500,-98.21882951654129,-0.13188646697502193,-0.18533983273270824,0.053453365757686305,40.16801119785091
2024-02-01,9.91,10.1,9.91,10.1,254200,-41.564792176039994,-0.12374679207142414,-0.1730212246004514,0.04927443252902727,44.82397585813246
2024-02-02,10.2,10.2,9.91,10.13,153700,-5.072463768116736,-0.113566171653261,-0.16113021401101332,0.04756404235775233,45.87079219859522
2024-02-05,9.97,10.17,9.97,10.1,145883,-5.655459994787517,-0.10668886310167203,-0.15024194382914507,0.04355308072747305,44.95233892357901
2024-02-06,10.1,10.13,10.01,10.13,170100,-2.1159659247045126,-0.0976916685031135,-0.13973188876393877,0.04204022026082527,46.11426715405187
