time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,12.7,12.7,12.7,12.7,160,,,,,
2018-01-03,12.23,13.19,12.23,13.19,1010,,,,,
2018-01-04,13.19,13.19,13.19,13.19,0,,,,,
2018-01-05,13.19,13.19,13.19,13.19,0,,,,,
2018-01-08,13.19,13.19,13.19,13.19,0,,,,,
2018-01-09,12.45,12.45,12.45,12.45,60,,,,,
2018-01-10,12.45,12.45,12.45,12.45,10,,,,,
2018-01-11,12.45,12.45,12.45,12.45,0,,,,,
2018-01-12,13.16,13.16,12.53,12.53,1330,,,,,
2018-01-15,12.62,13.16,12.62,13.16,50,,,,,
2018-01-16,13.28,13.65,13.28,13.65,920,,,,,
2018-01-17,13.65,13.7,13.65,13.65,400,,,,,
2018-01-18,13.97,13.97,13.31,13.31,30,,,,,
2018-01-19,12.75,13.8,12.75,13.8,40,77.29153059002843,,,,
2018-01-22,13.67,13.67,13.48,13.48,380,82.2467771639045,,,,60.893854748603374
2018-01-23,13.48,13.48,13.48,13.48,0,62.9469355185219,,,,60.89385474860336
2018-01-24,13.48,13.48,13.48,13.48,0,56.9287063267233,,,,60.893854748603374
2018-01-25,13.48,13.48,12.65,13.43,8370,6.075635461872606,,,,59.849846172302016
2018-01-26,13.43,13.43,13.43,13.43,10,43.93900380510968,,,,59.849846172302016
2018-01-29,13.38,13.43,13.38,13.38,130,31.479068524272623,,,,58.68300350899419
2018-01-30,13.4,13.4,13.09,13.09,60,-23.65537432036785,,,,52.3125829765409
2018-01-31,13.07,13.07,13.01,13.01,100,-92.10909848011542,,,,50.67820075760699
2018-02-01,13.01,13.01,13.01,13.01,0,-117.50954478707727,,,,50.67820075760699
2018-02-02,13.01,13.01,13.01,13.01,0,-119.96186390179909,,,,50.67820075760699
2018-02-05,12.8,12.8,12.8,12.8,140,-148.4912705621142,,,,45.969504809142045
2018-02-06,12.05,12.8,12.02,12.8,1100,-179.28436911487728,,,,45.969504809142045
2018-02-07,13.59,13.69,13.59,13.69,150,108.84848484848519,,,,62.90866844686379
2018-02-08,13.33,13.33,12.75,12.75,150,-63.63084395871252,,,,46.372467212081084
2018-02-09,13.14,13.14,13.14,13.14,30,-6.69983416252045,,,,52.008935593318824
2018-02-12,13.14,13.14,13.14,13.14,40,0.07381630285854374,,,,52.008935593318824
2018-02-13,13.14,13.14,13.14,13.14,0,8.417980151781293,,,,52.008935593318824
2018-02-21,13.17,13.17,13.17,13.17,10,19.22535211267619,,,,52.48869873644518
2018-02-22,13.17,13.17,12.57,12.57,20,-101.46341463414589,,,,43.189256423157
2018-02-23,13.33,13.33,13.33,13.33,10,93.66666666666697,0.0027633092388903435,0.04170088927002366,-0.03893758003113332,54.246819243977086
2018-02-26,13.33,13.33,13.33,13.33,0,85.85017835909694,0.01944177390985402,0.03724906619798973,-0.017807292288135712,54.246819243977086
2018-02-27,13.07,13.07,13.07,13.07,700,-1.6887816646564784,0.011546647667334042,0.03210858249185859,-0.02056193482452455,50.35792701238483
2018-02-28,12.57,12.57,12.54,12.54,440,-140.08132442637313,-0.037049780558769285,0.018276909881733014,-0.0553266904405023,43.510425114491504
2018-03-01,13.01,13.04,13.01,13.04,40,-3.890026323486206,-0.034815645629832304,0.007658398779419949,-0.04247404440925225,50.367089306847056
2018-03-02,13.56,13.56,13.56,13.56,20,128.08257918552093,0.008812985959844255,0.00788931621550481,0.0009236697443394445,56.30693433078019
2018-03-05,13.56,13.56,13.56,13.56,0,114.75409836065646,0.04289452938811067,0.014890358850025983,0.028004170538084686,56.30693433078019
2018-03-06,12.62,12.62,12.62,12.62,10,-139.31802366040336,-0.005877988203851103,0.010736689439250565,-0.01661467764310167,45.013167432336196
2018-03-07,13.07,13.07,13.07,13.07,60,-10.934083099031225,-0.008125653118307596,0.006964220927738933,-0.015089874046046529,50.16627955798886
2018-03-08,13.07,13.07,13.07,13.07,0,-9.398907103825124,-0.009794044112615197,0.003612567919668106,-0.013406612032283303,50.16627955798886
2018-03-09,12.8,12.8,12.8,12.8,50,-79.07180385288868,-0.03252803655416514,-0.003615552975098543,-0.028912483579066596,47.09508658395856
2018-03-12,12.8,12.8,12.8,12.8,0,-67.51366120218486,-0.0499688792185804,-0.012886218223794915,-0.03708266099478548,47.09508658395856
2018-03-13,12.8,12.8,12.8,12.8,0,-58.05774278215145,-0.06306391117253973,-0.02292175681354388,-0.04014215435899585,47.09508658395856
2018-03-14,12.07,12.54,12.07,12.54,400,-140.9608485415691,-0.09334561528265084,-0.03700652850736527,-0.05633908677528557,43.865257585311745
2018-03-15,12.54,12.54,12.54,12.54,0,-89.3301562086314,-0.11600682943977247,-0.05280658869384672,-0.06320024074592576,43.865257585311745
2018-03-16,12.54,12.54,12.49,12.49,40,-85.10310864881518,-0.1364279307943299,-0.06953085711394336,-0.06689707368038655,43.204414909488634
2018-03-19,12.49,12.49,12.49,12.49,0,-78.73799725651567,-0.1508726349234646,-0.0857992126758476,-0.06507342224761699,43.20441490948863
2018-03-20,12.49,12.49,12.49,12.49,0,-76.98574338085531,-0.16047036454117958,-0.10073344304891399,-0.05973692149226559,43.204414909488634
2018-03-21,12.44,12.44,12.02,12.44,160,-104.54195535026903,-0.17014983515857907,-0.114616721470847,-0.05553311368773206,42.40648684157321
