time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,3.13,3.53,3.13,3.53,23823877,,,,,
2018-01-03,3.56,3.63,3.49,3.53,15784574,,,,,
2018-01-04,3.56,3.6,3.49,3.53,9071873,,,,,
2018-01-05,3.56,3.56,3.42,3.45,17656627,,,,,
2018-01-08,3.45,3.6,3.42,3.6,16587711,,,,,
2018-01-09,3.6,3.81,3.6,3.78,24929095,,,,,
2018-01-10,3.78,3.88,3.6,3.78,19848231,,,,,
2018-01-11,3.87,4.14,3.83,4.14,27030657,,,,,
2018-01-12,4.18,4.52,3.94,3.94,58717978,,,,,
2018-01-15,3.94,4.18,3.91,4.18,24540678,,,,,
2018-01-16,4.18,4.29,3.98,4.1,16085367,,,,,
2018-01-17,4.1,4.25,4.06,4.1,24291826,,,,,
2018-01-18,4.1,4.29,3.98,4.29,28726359,,,,,
2018-01-19,4.29,4.45,4.29,4.37,20391118,116.00108666123322,,,,
2018-01-22,4.41,4.45,4.33,4.41,17784739,107.70507349454725,,,,77.50000000000003
2018-01-23,4.45,4.64,4.41,4.56,23898768,125.78146944344108,,,,79.56331877729261
2018-01-24,4.64,4.72,4.56,4.6,14055779,136.17798157347244,,,,80.08771355632652
2018-01-25,4.72,4.83,4.56,4.72,24905363,138.03249890206396,,,,81.61207076930232
2018-01-26,4.76,4.83,4.68,4.8,24535202,128.56290995825884,,,,82.57004809953116
2018-01-29,4.8,5.26,4.8,5.14,30786018,166.3064560820172,,,,85.92598652778547
2018-01-30,5.07,5.26,4.99,5.26,22272649,155.31475748193998,,,,86.88571715444378
2018-01-31,5.26,5.34,5.03,5.03,23146958,122.87867736445419,,,,76.16512392169538
2018-02-01,5.03,5.1,4.68,4.8,44337317,57.46102449888638,,,,67.23149553059248
2018-02-02,4.8,4.95,4.76,4.87,16269627,49.36305732484059,,,,68.44460566107962
2018-02-05,4.83,4.91,4.6,4.6,20463642,5.961070559610729,,,,59.32216570188671
2018-02-06,4.56,4.68,4.18,4.49,46248632,-71.4836223506741,,,,56.044829860998036
2018-02-07,4.56,4.91,4.56,4.83,23681715,7.511737089201966,,,,62.87247398166765
2018-02-08,4.83,4.91,4.64,4.64,11863341,-14.840357598978363,,,,57.497580658028
2018-02-09,4.25,4.76,4.25,4.72,22679382,-81.48746968472129,,,,59.08366787143304
2018-02-12,4.8,5.1,4.76,5.1,17536912,67.53402722177702,,,,65.64233190830375
2018-02-13,5.14,5.22,4.99,5.03,16183013,88.557213930348,,,,63.61928207633332
2018-02-21,5.07,5.18,5.03,5.07,22711827,79.59866220735795,,,,64.29642587880909
2018-02-22,5.1,5.14,4.91,4.95,21706521,39.31182795698952,,,,60.64937429706537
2018-02-23,4.95,5.1,4.91,5.1,17889627,53.959965187119366,0.32555012862043853,0.3839031186527899,-0.05835299003235139,63.440921707924836
2018-02-26,5.14,5.26,5.03,5.03,31024645,83.26639892904979,0.31016474182669906,0.36915544328757177,-0.05899070146087271,61.25698305951747
2018-02-27,5.03,5.14,4.99,5.07,16598626,71.98532783127,0.29776690611278234,0.3548777358526139,-0.05711082973983156,62.06070684282828
2018-02-28,4.99,5.14,4.8,5.07,15871272,42.19858156028398,0.28466014700800013,0.34083421808369113,-0.056174071075691,62.060706842828274
2018-03-01,5.07,5.07,4.87,4.91,19129315,19.912763132941492,0.25838379560672653,0.3243441335882982,-0.06596033798157169,56.612482973343624
2018-03-02,4.87,4.95,4.8,4.91,14491541,-9.376308078694132,0.2348523659264492,0.30644578005592843,-0.07159341412947923,56.612482973343624
2018-03-05,4.95,5.03,4.87,4.87,19824420,-11.200000000000257,0.21054879719202813,0.28726638348314837,-0.07671758629112024,55.20726456199154
2018-03-06,4.87,4.91,4.83,4.91,16112460,-41.959064327485436,0.19229900633523567,0.26827290805356585,-0.07597390171833018,56.373448869406516
2018-03-07,4.91,4.95,4.68,4.72,21042737,-110.11749347258542,0.16065260032110817,0.24674884650707432,-0.08609624618596615,49.74802396462137
2018-03-08,4.72,4.8,4.68,4.72,9961556,-170.13888888888903,0.13402760871093822,0.2242045989478471,-0.0901769902369089,49.74802396462137
2018-03-09,4.72,4.87,4.72,4.8,9468362,-102.09790209790194,0.11802195877464072,0.20296807091320584,-0.08494611213856512,52.47550888727892
2018-03-12,4.83,4.99,4.8,4.91,14619324,-27.818930041152218,0.11291186883851445,0.18495683049826755,-0.0720449616597531,56.01093169803095
2018-03-13,4.91,4.95,4.8,4.91,9590264,-29.66718668746784,0.10762149217814798,0.16948976283424363,-0.06186827065609565,56.010931698030966
2018-03-14,4.95,5.1,4.91,5.03,34437210,65.61376476630645,0.11182280400061728,0.15795637106751836,-0.04613356706690108,59.795023188715966
2018-03-15,5.03,5.18,4.99,5.14,26672806,122.42380261248039,0.1226150248985558,0.15088810183372586,-0.02827307693517006,62.94200949185662
2018-03-16,5.14,5.38,5.14,5.34,27719364,210.6440819740678,0.14562756235536245,0.1498359939380532,-0.0042084315826907415,67.8668319234659
2018-03-19,5.34,5.49,5.18,5.22,25184694,174.13671599717944,0.15242510523627395,0.15035381619769733,0.002071289038576618,62.499924124116646
2018-03-20,5.18,5.3,5.14,5.22,15663556,109.4834821087967,0.15601377723429533,0.15148580840501694,0.004527968829278389,62.499924124116646
2018-03-21,5.22,5.3,5.18,5.26,12514459,98.36417270045567,0.16023836324716978,0.1532363193734475,0.0070020438737222745,63.612344025845125
2018-03-22,5.26,5.3,5.1,5.14,18650170,61.68999481596704,0.15214949629717456,0.1530189547581929,-0.000869458461018352,58.04898401310405
2018-03-23,5.1,5.1,4.83,4.99,24972777,-18.744228993536666,0.1321123555665844,0.1488376349198712,-0.0167252793532868,51.93466874838839
2018-03-26,4.99,5.18,4.95,5.14,13430245,21.398002853066824,0.12687399909029207,0.14444490775395538,-0.017570908663663315,56.8313957812784
2018-03-27,5.18,5.26,5.1,5.1,14267904,39.32002956393196,0.11813313291552952,0.1391825527862702,-0.021049419870740688,55.21595168712248
2018-03-28,5.1,5.1,5.03,5.03,9738843,-16.960627115625105,0.10435458382800267,0.1322169589946167,-0.027862375166614023,52.4084031705615
2018-03-29,5.03,5.07,4.99,4.99,7599814,-50.92989985693918,0.08917931506907983,0.12360943020950932,-0.034430115140429485,50.81828518877711
2018-03-30,4.99,5.03,4.91,4.99,8428429,-81.92126658108735,0.07627357099791165,0.11414225836718979,-0.037868687369278134,50.81828518877711
2018-04-02,4.99,5.1,4.99,5.07,14755072,-45.57291666666686,0.07167478494787538,0.1056487636833269,-0.03397397873545152,54.05194908267046
2018-04-03,5.07,5.22,5.03,5.18,15302669,11.287477954144334,0.07602986955314162,0.09972498485728984,-0.023695115304148223,58.12853626825106
2018-04-04,5.18,5.26,5.07,5.07,8898152,2.336928608114847,0.06980060684156175,0.09374010925414422,-0.02393950241258247,53.058945117151346
2018-04-05,5.07,5.14,5.03,5.1,10216115,-21.825396825397522,0.06651784424027785,0.08829565625137095,-0.021777812011093106,54.23131653524439
2018-04-06,5.14,5.22,5.1,5.14,18458245,45.27872582479923,0.06637872431915426,0.08391226986492761,-0.017533545545773355,55.81585311978361
2018-04-09,5.14,5.34,5.14,5.22,29293743,119.19191919191805,0.07189504091292775,0.08150882407452764,-0.009613783161599887,58.88191824589746
2018-04-10,5.26,5.34,5.22,5.3,20093255,160.30204962243738,0.08177939105434096,0.0815629374704903,0.00021645358385065372,61.74104058370396
2018-04-11,5.3,5.38,5.18,5.22,20577857,121.52152152152009,0.08220981477135325,0.0816923129306629,0.0005175018406903542,57.43976535089579
2018-04-12,5.18,5.22,5.1,5.22,13781901,46.312124089901126,0.08161017734426768,0.08167588581338385,-6.570846911617412e-05,57.43976535089579
2018-04-13,5.26,5.26,5.1,5.1,14148721,17.860647693817633,0.07063769585758539,0.07946824782222416,-0.008830551964638764,51.230853353927685
2018-04-16,5.03,5.18,4.95,5.1,8418469,-48.23822887433728,0.06123603434115221,0.07582180512600976,-0.014585770784857552,51.230853353927685
2018-04-17,5.1,5.18,5.07,5.14,12086091,-4.761904761904763,0.056363096864274986,0.0719300634736628,-0.01556696660938782,53.18706927975154
2018-04-18,5.18,5.18,4.95,4.95,23605566,-109.98796630565609,0.03674625870587622,0.06489330252010549,-0.028147043814229264,44.13179656560793
2018-04-19,4.95,4.99,4.83,4.87,17283658,-215.1986183074272,0.014576413895666995,0.05482992479521779,-0.040253510899550794,40.96899561714956
2018-04-20,4.87,4.95,4.83,4.95,7301443,-163.61221779548532,0.0034225307663504623,0.044548445989444324,-0.04112591522309386,45.1985714499081
2018-04-23,4.95,4.99,4.56,4.56,20163549,-217.07925542122445,-0.03646638086791576,0.028345480617972308,-0.06481186148588806,32.84391101253224
2018-04-24,4.56,4.6,4.41,4.56,15081789,-209.20199331012407,-0.06730280587062687,0.009215823320252472,-0.07651862919087934,32.84391101253223
2018-04-26,4.52,4.56,4.18,4.18,12535475,-198.53436324024534,-0.12100880487992338,-0.016829102319782702,-0.10417970256014068,25.093077762945924
2018-04-27,4.18,4.41,4.14,4.41,10558291,-148.47429519071278,-0.14335955846407344,-0.04213519354864085,-0.1012243649154326,35.07938802048434
2018-05-02,4.41,4.49,4.18,4.22,9623370,-122.13039485766758,-0.17439380063440169,-0.06858691496579303,-0.10580688566860866,31.36001442522617
2018-05-03,4.22,4.29,4.02,4.25,13070337,-117.79433481004156,-0.19432782170079133,-0.09373509631279268,-0.10059272538799864,32.5756046332717
