time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,5.86,5.86,5.86,5.86,0,,,,,
2018-01-03,5.86,5.86,5.86,5.86,0,,,,,
2018-01-04,5.86,5.86,5.86,5.86,0,,,,,
2018-01-05,5.86,5.86,5.86,5.86,0,,,,,
2018-01-08,5.86,5.86,5.86,5.86,0,,,,,
2018-01-09,5.86,5.86,5.86,5.86,2000,,,,,
2018-01-10,5.86,5.86,5.86,5.86,0,,,,,
2018-01-11,5.86,5.86,5.86,5.86,0,,,,,
2018-01-12,5.86,5.86,5.86,5.86,0,,,,,
2018-01-15,5.86,5.86,5.86,5.86,0,,,,,
2018-01-16,5.86,5.86,5.86,5.86,400,,,,,
2018-01-17,5.86,5.86,5.86,5.86,20,,,,,
2018-01-18,5.86,5.86,5.86,5.86,10,,,,,
2018-01-19,5.86,5.86,5.86,5.86,31,0.0,,,,
2018-01-22,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-01-23,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-01-24,5.86,5.86,5.86,5.86,30,0.0,,,,0.0
2018-01-25,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-01-26,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-01-29,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-01-30,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-01-31,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-01,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-02,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-05,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-06,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-07,5.86,5.86,5.86,5.86,10,0.0,,,,0.0
2018-02-08,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-09,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-12,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-13,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-21,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-22,5.86,5.86,5.86,5.86,0,0.0,,,,0.0
2018-02-23,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-02-26,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-02-27,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-02-28,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-01,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-02,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-05,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-06,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-07,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-08,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-09,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-12,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-13,5.86,5.86,5.86,5.86,0,0.0,-2.6645352591003757e-15,-2.6645352591003757e-15,0.0,0.0
2018-03-14,5.61,5.61,5.61,5.61,900,-466.6666666666738,-0.019943019943021945,-0.003988603988606521,-0.015954415954415425,0.0
