time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,16.2,16.77,16.03,16.77,711,,,,,
2018-01-03,16.77,16.77,16.77,16.77,0,,,,,
2018-01-04,16.09,16.2,16.03,16.2,700,,,,,
2018-01-05,15.92,17.28,15.92,16.37,1200,,,,,
2018-01-08,15.92,16.49,15.92,16.49,1610,,,,,
2018-01-09,16.49,16.49,16.49,16.49,0,,,,,
2018-01-10,16.49,16.49,16.49,16.49,6,,,,,
2018-01-11,16.49,16.49,16.49,16.49,0,,,,,
2018-01-12,14.9,16.32,14.9,16.15,1700,,,,,
2018-01-15,15.92,16.43,15.92,16.43,332,,,,,
2018-01-16,15.92,16.43,15.92,16.43,900,,,,,
2018-01-17,16.97,17.21,15.6,16.85,400,,,,,
2018-01-18,16.85,16.85,16.85,16.85,1680,,,,,
2018-01-19,17.21,17.21,17.21,17.21,101,211.28716744913993,,,,
2018-01-22,16.07,17.21,16.07,16.67,1700,46.36026263203095,,,,48.21428571428575
2018-01-23,15.72,16.85,15.72,16.85,300,3.058476858203204,,,,51.56731757451184
2018-01-24,16.67,16.91,16.67,16.91,600,96.08266502159148,,,,52.66746503901724
2018-01-25,16.91,16.91,16.91,16.91,0,97.90429933441297,,,,52.66746503901722
2018-01-26,16.91,16.91,16.91,16.91,0,81.95937873357255,,,,52.66746503901722
2018-01-29,16.91,16.91,16.91,16.91,0,70.03934794828555,,,,52.66746503901724
2018-01-30,16.91,16.91,16.91,16.91,2,61.20218579235023,,,,52.66746503901722
2018-01-31,15.54,18.46,15.54,18.46,4300,156.6342372179679,,,,74.41477337610519
2018-02-01,18.46,18.46,18.46,18.46,0,294.9412827461614,,,,74.41477337610519
2018-02-02,16.67,17.5,16.67,17.44,900,43.59814886232148,,,,55.09520592705933
2018-02-05,15.84,17.74,15.84,17.74,1300,14.919813760992874,,,,58.5072615325309
2018-02-06,17.74,17.74,17.74,17.74,0,115.6377430061635,,,,58.507261532530904
2018-02-07,17.74,17.74,17.74,17.74,0,94.73866389754194,,,,58.5072615325309
2018-02-08,17.74,17.74,17.74,17.74,3,79.14695618456744,,,,58.5072615325309
2018-02-09,17.74,17.74,17.74,17.74,4,66.15853658536592,,,,58.507261532530904
2018-02-12,17.74,17.74,17.74,17.74,0,56.06060606060532,,,,58.5072615325309
2018-02-13,17.74,17.74,17.74,17.74,0,48.490587695132795,,,,58.5072615325309
2018-02-21,17.74,17.74,17.74,17.74,0,41.828842315368924,,,,58.5072615325309
2018-02-22,17.74,17.74,17.74,17.74,0,35.179868864079026,,,,58.507261532530904
2018-02-23,17.74,17.74,17.74,17.74,0,28.15669814620454,0.3346007700295637,0.3826605010777738,-0.0480597310482101,58.5072615325309
2018-02-26,16.07,17.74,16.07,17.74,2300,-134.43072702331935,0.31849754657417506,0.369827910177054,-0.05133036360287896,58.507261532530904
2018-02-27,17.74,17.74,17.74,17.74,0,22.20821514864997,0.3022514592906198,0.35631261999976716,-0.05406116070914735,58.5072615325309
2018-02-28,17.74,17.74,17.74,17.74,0,42.42424242424204,0.28607858225317884,0.3422658124504495,-0.05618723019727068,58.5072615325309
2018-03-01,17.74,17.74,17.74,17.74,0,38.88888888888821,0.27014736996170186,0.32784212395269996,-0.057694753990998104,58.507261532530904
2018-03-02,17.74,17.74,17.74,17.74,0,35.897435897433425,0.25458704842323243,0.31319110884680645,-0.05860406042357402,58.507261532530904
2018-03-05,17.74,17.74,17.74,17.74,0,35.897435897433425,0.23949463640963486,0.2984518143593721,-0.05895717794973726,58.507261532530904
2018-03-06,17.74,17.74,17.74,17.74,0,35.897435897433425,0.2249408134769375,0.2837496141828852,-0.058808800705947684,58.5072615325309
2018-03-07,17.27,17.27,17.27,17.27,100,-210.35353535353985,0.17348194008548745,0.26169607936340566,-0.08821413927791821,41.2137905020743
2018-03-08,17.27,17.27,17.27,17.27,0,-144.09124654113842,0.1311881567721187,0.23559449484514827,-0.10440633807302957,41.213790502074296
2018-03-09,17.68,17.68,17.68,17.68,180,20.539065165471857,0.12926353273148194,0.21432830242241502,-0.08506476969093307,54.74638438487253
2018-03-12,17.27,17.27,17.27,17.27,200,-109.38000457561449,0.0935759950046986,0.19017784093887175,-0.09660184593417315,43.8705345965362
2018-03-13,17.27,17.27,17.27,17.27,0,-88.09780654441073,0.06454928031841689,0.16505212881478076,-0.10050284849636387,43.870534596536196
2018-03-14,17.27,17.27,17.27,17.27,0,-73.65560085420401,0.04107194795373914,0.14025609264257244,-0.0991841446888333,43.870534596536196
2018-03-15,17.27,17.27,17.27,17.27,0,-63.18257956449021,0.022209970198467488,0.11664686815375144,-0.09443689795528395,43.870534596536196
2018-03-16,17.27,17.27,17.27,17.27,0,-66.66666666666762,0.007178962325266269,0.09475328698805441,-0.08757432466278814,43.870534596536196
2018-03-19,16.67,17.15,16.07,17.15,600,-168.26923076923157,-0.014251929453742207,0.07295224369969508,-0.08720417315343729,40.46266442124314
2018-03-20,17.15,17.15,17.15,17.15,0,-66.61019342086787,-0.030880099030415664,0.052185775153672925,-0.08306587418408859,40.46266442124315
2018-03-21,17.09,17.09,17.09,17.09,100,-77.92370231394625,-0.04834228204313007,0.032080163714312326,-0.0804224457574424,38.71857460266517
2018-03-22,17.09,17.09,17.09,17.09,0,-76.59334461364926,-0.061472570363143575,0.013369616898821147,-0.07484218726196472,38.718574602665164
2018-03-23,17.03,17.03,17.03,17.03,100,-93.33333333333364,-0.0758456159658536,-0.0044734296741138005,-0.0713721862917398,36.87518172313196
2018-03-26,15.54,17.09,15.54,17.09,701,-218.77756773786945,-0.08145588684016047,-0.019869921107323135,-0.06158596573283734,39.95388707714917
2018-03-27,17.09,17.09,17.09,17.09,0,-22.877569258265716,-0.08492312599421581,-0.03288056208470167,-0.05204256390951414,39.95388707714917
2018-03-28,17.09,17.09,17.09,17.09,0,-18.49816849816771,-0.08667183899532205,-0.04363881746682575,-0.0430330215284963,39.95388707714917
2018-03-29,17.09,17.09,17.09,17.09,0,-3.005323716296769,-0.08705420001903619,-0.05232189397726784,-0.03473230604176835,39.953887077149176
2018-03-30,16.07,18.34,16.07,18.34,3300,196.6767371601214,0.01335339974892591,-0.03918683523202909,0.052540234980954996,74.62850015489809
2018-04-02,17.86,17.86,17.86,17.86,100,224.98632534733503,0.05357754885774213,-0.02063395841407484,0.07421150727181697,60.242351370317905
2018-04-03,17.86,17.86,17.86,17.86,10,167.61632192879708,0.08448162523806602,0.0003891583163533295,0.08409246692171268,60.242351370317905
2018-04-04,17.86,17.86,17.86,17.86,90,129.94252873563207,0.1077314671287688,0.021857620078836425,0.08587384704993237,60.242351370317905
2018-04-05,17.86,17.86,17.86,17.86,0,103.30788804071256,0.1247194461926675,0.04242998530160264,0.08228946089106487,60.242351370317905
2018-04-06,17.86,17.86,17.86,17.86,0,85.73777229757498,0.13660781216930928,0.06126555067514397,0.07534226149416531,60.242351370317905
2018-04-09,17.44,17.44,17.44,17.44,100,9.909340080118591,0.11086100132856558,0.07118464080582829,0.03967636052273729,48.41360485485416
2018-04-10,17.44,17.44,17.44,17.44,0,5.7987637800294625,0.08942562529859543,0.07483283770438172,0.014592787594213716,48.413604854854164
2018-04-11,17.44,17.44,17.44,17.44,0,1.2093569676242326,0.07161243182442334,0.07418875652839005,-0.002576324703966709,48.413604854854164
2018-04-12,17.44,17.44,17.44,17.44,0,-5.176967776016154,0.056840130021871715,0.07071903122708638,-0.013878901205214664,48.413604854854164
2018-04-13,17.44,17.44,17.44,17.44,0,-22.967647328383762,0.04461863852389669,0.06549895268644844,-0.020880314162551747,48.413604854854164
2018-04-16,17.44,17.44,17.44,17.44,0,-32.52056993778766,0.03453492138418568,0.05930614642599589,-0.02477122504181021,48.41360485485416
2018-04-17,17.44,17.44,17.44,17.44,0,-44.07493625983796,0.026241012840149125,0.052693119708826536,-0.02645210686867741,48.41360485485417
2018-04-18,17.44,17.44,17.44,17.44,20,-57.57409104796767,0.019443893464163864,0.046043274459894,-0.026599380995730136,48.413604854854164
2018-04-19,17.44,17.44,17.44,17.44,0,-51.85185185185165,0.013896932204183088,0.03961400600875182,-0.02571707380456873,48.41360485485417
2018-04-20,17.44,17.44,17.44,17.44,50,-46.66666666666612,0.009392652787340694,0.0335697353644696,-0.024177082577128903,48.413604854854164
2018-04-23,17.44,17.44,17.44,17.44,50,-42.42424242424143,0.005756620164032,0.028007112324382077,-0.022250492160350077,48.41360485485417
2018-04-24,17.15,17.15,17.15,17.15,200,-201.81363352095468,-0.02029162898715242,0.018347364062075176,-0.0386389930492276,37.060226638601044
2018-04-26,17.15,17.15,17.15,17.15,0,-233.33333333332664,-0.04046855776386593,0.006584179696886953,-0.047052737460752884,37.06022663860105
2018-04-27,17.15,17.15,17.15,17.15,0,-155.55555555555273,-0.05581551269987983,-0.005895758782466405,-0.04991975391741343,37.06022663860105
2018-05-02,16.07,16.07,15.54,15.54,500,-387.4892887746325,-0.19563645445659006,-0.04384389791729114,-0.1517925565392989,14.11242152815699
2018-05-03,16.07,16.07,16.07,16.07,100,-199.07796779117166,-0.2606740988020846,-0.08720993809424983,-0.17346416070783477,29.572451464370168
2018-05-04,15.48,16.07,15.48,16.07,600,-157.34612310151792,-0.3086588731604962,-0.13149972510749913,-0.1771591480529971,29.572451464370175
2018-05-07,16.07,16.07,16.07,16.07,0,-100.85650592514374,-0.3427363018098468,-0.17374704044796868,-0.16898926136187814,29.572451464370175
2018-05-08,16.07,16.07,16.07,16.07,0,-81.78848728246301,-0.36552931511848286,-0.21210349538207152,-0.15342581973641134,29.572451464370175
2018-05-09,16.07,16.07,16.07,16.07,0,-68.5555897751768,-0.37922151283757444,-0.2455270988731721,-0.13369441396440235,29.572451464370175
2018-05-10,14.53,16.01,14.53,14.88,800,-132.4183006535945,-0.4805561804199101,-0.29253291518251967,-0.18802326523739044,18.652645566096638
2018-05-11,14.88,14.88,14.88,14.88,0,-133.1016662211529,-0.5544730147887513,-0.344920935103766,-0.20955207968498535,18.652645566096638
2018-05-14,14.88,14.88,14.88,14.88,0,-119.85776805251643,-0.6060662837126127,-0.3971500048255353,-0.20891627888707742,18.652645566096634
2018-05-15,14.88,14.88,14.88,14.88,80,-111.21559408365142,-0.639581622228885,-0.44563632830620525,-0.19394529392267978,18.652645566096638
2018-05-16,13.45,14.82,13.45,14.76,500,-135.8313743927285,-0.6681240484484263,-0.49013387233464945,-0.17799017611377688,17.763000182569673
2018-05-17,14.76,14.76,14.76,14.76,0,-82.8107627307092,-0.6828723989230152,-0.5286815776523226,-0.1541908212706926,17.763000182569673
2018-05-18,13.45,14.82,13.45,14.82,500,-103.54706684856725,-0.6818590279395949,-0.5593170677097771,-0.12254196022981778,19.97627144599948
2018-05-21,13.51,14.76,13.45,14.71,800,-99.40514817218254,-0.6820695318364649,-0.5838675605351147,-0.09820197130135022,18.968357990546973
2018-05-22,14.71,14.71,14.71,14.71,0,-50.32095750781574,-0.6744615843843089,-0.6019863653049535,-0.07247521907935539,18.96835799054697
2018-05-23,14.71,14.71,14.71,14.71,200,-44.34676737035432,-0.6608147698917737,-0.6137520462223176,-0.047062723669456075,18.96835799054697
2018-05-24,14.71,14.71,14.71,14.71,200,-38.98201624641971,-0.6425921685669458,-0.6195200706912433,-0.023072097875702524,18.968357990546973
2018-05-25,14.71,14.71,14.71,14.71,0,-33.321096426823466,-0.6209922140410331,-0.6198144993612013,-0.0011777146798318539,18.968357990546973
2018-05-28,14.71,14.71,14.71,14.71,0,-22.108408023901514,-0.5969923383977562,-0.6152500671685123,0.018257728770756043,18.96835799054697
2018-05-29,14.82,14.82,14.82,14.82,300,46.61675579322585,-0.5626107567581773,-0.6047222050864453,0.042111448328267964,24.880812273604427
2018-05-30,14.82,14.82,14.82,14.82,0,59.889066180380624,-0.5292621015504366,-0.5896301843792435,0.0603680828288069,24.88081227360443
2018-05-31,14.82,14.82,14.82,14.82,0,62.57404415724213,-0.49710276084294236,-0.5711246996719833,0.07402193882904096,24.880812273604427
2018-06-01,14.82,14.82,14.82,14.82,0,65.32678974838291,-0.46624170745852034,-0.5501481012292907,0.08390639377077036,24.880812273604434
2018-06-04,14.82,14.82,14.82,14.82,0,68.14990138067002,-0.4367495236677783,-0.5274683857169882,0.09071886204920987,24.880812273604434
2018-06-05,14.82,14.82,14.82,14.82,0,70.76135636596258,-0.408665909316996,-0.5037078904369897,0.09504198111999373,24.880812273604434
2018-06-06,14.82,14.82,14.82,14.82,0,66.66666666666683,-0.3820059162009457,-0.4793674955897809,0.09736157938883522,24.880812273604437
2018-06-07,14.88,14.88,14.88,14.88,100,97.01754385964892,-0.3519787886461945,-0.45388975420106364,0.10191096555486917,29.588504614535637
2018-06-08,13.45,13.45,13.4,13.4,376900,-466.66666666666475,-0.44250478513581903,-0.45161276038801473,0.0091079752521957,11.103617051862773
