time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,26.72,28.14,26.72,28.14,19300,,,,,
2018-01-03,24.92,28.52,24.77,28.52,11400,,,,,
2018-01-04,28.89,28.89,25.74,28.52,26427,,,,,
2018-01-05,26.57,28.14,26.34,26.34,7500,,,,,
2018-01-08,28.14,28.14,25.89,28.14,18200,,,,,
2018-01-09,28.89,28.89,28.14,28.89,43190,,,,,
2018-01-10,28.82,28.82,28.82,28.89,7,,,,,
2018-01-11,28.52,28.52,27.77,27.77,5295,,,,,
2018-01-12,27.77,27.77,27.77,27.77,33,,,,,
2018-01-15,26.64,28.14,26.27,26.49,24761,,,,,
2018-01-16,27.02,28.22,27.02,27.77,34400,,,,,
2018-01-17,27.77,28.29,27.77,28.29,6000,,,,,
2018-01-18,27.92,27.92,27.84,27.84,438,,,,,
2018-01-19,27.99,28.22,27.92,27.92,9528,39.75714845280014,,,,
2018-01-22,28.07,28.14,28.07,28.14,19901,48.43691148775848,,,,50.0
2018-01-23,28.14,28.22,28.14,28.22,8313,52.53601736727801,,,,50.424564063684606
2018-01-24,28.14,28.14,24.09,27.77,7956,-155.51204959679342,,,,47.95773476066337
2018-01-25,26.12,26.12,26.12,27.77,10,-145.8060200668905,,,,47.95773476066337
2018-01-26,26.12,26.12,26.12,27.77,34,-123.43406756516117,,,,47.95773476066337
2018-01-29,27.69,27.77,27.69,27.77,10300,9.687123947051944,,,,47.95773476066337
2018-01-30,27.77,27.77,27.77,27.77,8510,24.803149606298827,,,,47.95773476066337
2018-01-31,27.77,27.77,27.77,27.77,6740,27.85119218615297,,,,47.95773476066337
2018-02-01,27.77,27.77,27.77,27.77,1100,27.85119218615297,,,,47.95773476066337
2018-02-02,27.77,27.77,27.77,27.77,3300,22.747301167657483,,,,47.95773476066337
2018-02-05,28.14,28.29,28.14,28.22,50600,85.2863342860172,,,,52.18928634698125
2018-02-06,28.14,28.14,28.14,28.14,33000,72.97561491109906,,,,51.38930774253867
2018-02-07,28.14,28.14,28.14,28.14,44900,68.60504288786996,,,,51.38930774253867
2018-02-08,28.14,28.44,28.14,28.37,139200,90.41888804265047,,,,53.75298375428058
2018-02-09,28.52,28.74,28.37,28.74,179500,125.43769309989679,,,,57.346116725140206
2018-02-12,28.67,30.02,28.22,30.02,145320,192.49349684132258,,,,66.92102366138987
2018-02-13,29.19,30.47,28.37,30.39,154900,187.03044681692364,,,,69.08159915836033
2018-02-21,28.37,30.17,28.37,30.17,26000,140.0637000637002,,,,66.30833555639141
2018-02-22,25.29,28.22,25.29,28.89,8750,-97.44248511035826,,,,52.981550203925224
2018-02-23,24.32,29.94,24.32,28.14,38900,-92.96074517631403,0.32857981297586036,0.21252708859872904,0.11605272437713132,47.01857850060742
2018-02-26,27.77,30.02,27.09,29.19,65800,43.4132738427217,0.3344802733416259,0.23691772554730842,0.09756254779431747,54.70465008874052
2018-02-27,28.67,29.87,28.14,28.82,27600,52.68817204301105,0.30577573062715047,0.2506893265632768,0.05508640406387366,51.8501631851955
2018-02-28,30.39,30.39,27.47,28.89,92200,42.08037825059147,0.2853858384078052,0.25762862893218247,0.027757209475622713,52.35667187559952
2018-03-01,27.84,30.39,27.84,30.39,80211,96.03019653781078,0.3858167110176325,0.28326624534927247,0.10255046566836001,61.66316808351989
2018-03-02,28.97,30.62,28.82,30.39,72726,117.98229659270012,0.46010509598524507,0.31863401547646697,0.1414710805087781,61.66316808351989
2018-03-05,28.97,31.15,28.97,31.15,105805,139.03955888952942,0.5736916643104664,0.36964554524326687,0.2040461190671995,65.61048392645696
2018-03-06,29.42,31.82,29.34,30.62,63100,127.7467411545619,0.6138669908979146,0.4184898343741964,0.19537715652371823,60.90116384039425
2018-03-07,30.39,31.82,27.02,31.67,91985,79.63736556750432,0.7221084349091846,0.47921355448119407,0.24289488042799057,66.09353361461099
2018-03-08,30.02,32.2,28.59,31.52,107526,115.69478190443105,0.786718017141272,0.5407144470132097,0.2460035701280623,64.77021696044676
2018-03-09,30.77,32.35,30.09,31.97,72150,143.24296805396446,0.8642700486092458,0.6054255673324169,0.2588444812768289,66.91063766219604
2018-03-12,31.52,32.65,31.52,32.27,61317,152.0730429576409,0.939112579832198,0.6721629698323731,0.26694960999982487,68.2936585237868
2018-03-13,32.12,32.42,31.97,32.2,44755,126.87549653841789,0.9814637073734609,0.7340231173405907,0.24744059003287022,67.58384430711143
2018-03-14,32.27,32.35,32.05,32.2,67198,113.17829457364317,1.0034600186109337,0.7879104975946593,0.21554952101627445,67.58384430711143
2018-03-15,32.12,32.27,32.12,32.2,39898,100.7696331166402,1.0092581539837582,0.832180028872479,0.17707812511127918,67.58384430711143
2018-03-16,31.97,32.2,31.52,31.9,19210,68.67371667768228,0.9783677112817379,0.8614175653543308,0.11695014592740716,64.02203197266637
2018-03-19,31.37,31.37,27.32,30.77,68750,-72.1428073356111,0.8528738577541546,0.8597088238342956,-0.006834966080141003,52.74593056924448
2018-03-20,30.77,33.02,30.77,32.27,146820,67.04732243273692,0.8644912219960297,0.8606653034666424,0.0038259185293872955,62.25060094578949
2018-03-21,31.9,32.35,31.15,32.2,187055,50.3579436475137,0.8581573481456921,0.8601637124024524,-0.0020063642567602624,61.62763428387509
2018-03-22,31.45,32.65,31.3,32.57,267961,65.26022194528574,0.8729310099649936,0.8627171719149607,0.010213838050032953,63.69571512597309
2018-03-23,32.27,33.17,32.12,33.02,123907,106.85439051500614,0.9104553203936199,0.8722648016106925,0.03819051878292734,66.08946645584415
2018-03-26,33.1,33.17,32.35,32.35,50409,87.52059169608364,0.8760318562520162,0.8730182125389573,0.0030136437130589,59.77038212991089
2018-03-27,32.95,32.95,32.05,32.27,31689,66.8443866493283,0.8326968703148445,0.8649539440941347,-0.03225707377929021,59.044442015528595
2018-03-28,32.27,32.42,32.2,32.27,25533,45.40884539280201,0.7892555352322752,0.8498142623217628,-0.06055872708948762,59.044442015528595
2018-03-29,32.65,33.02,32.27,33.02,114091,111.96654148173513,0.8060549959484113,0.8410624090470925,-0.03500741309868116,63.82194163686334
2018-03-30,32.65,35.65,32.65,35.5,231516,283.3499212075985,1.007865912510077,0.8744231097396894,0.13344280277038767,74.43963132575723
2018-04-02,38.88,38.88,38.88,38.88,174454,357.0913127948939,1.4241238566822076,0.984363259128193,0.43976059755401464,82.13509989163836
2018-04-03,44.65,44.65,44.65,44.65,420610,298.6126682260891,2.1943074442053003,1.2263520961436145,0.9679553480616858,88.50016980997863
2018-04-04,51.33,51.33,51.33,51.33,121035,255.3062771858418,3.3055987740971204,1.6422014317343159,1.6633973423628046,92.03728436618948
2018-04-05,58.99,58.99,58.99,58.99,62529,223.31613894718018,4.749652109207837,2.26369156722902,2.485960541978817,94.22922515593577
2018-04-06,67.77,67.77,67.77,67.77,49569,204.63199540489427,6.527304698149763,3.1164141934131684,3.4108905047365945,95.6927953309498
2018-04-09,77.9,77.9,57.64,57.71,577984,135.50334495546227,7.043160091786319,3.9017633730877987,3.1413967186985206,72.88410319276201
2018-04-10,51.26,65.29,50.96,53.28,257882,73.37035366522777,7.013666054415687,4.524143909353376,2.4895221450623106,65.48233119463794
2018-04-11,46.53,47.36,43.98,47.36,285439,9.10992969324444,6.438379659844209,4.906991059451543,1.531388600392666,57.13231404635065
2018-04-12,50.96,50.96,37.82,50.96,1178530,5.593215092704419,6.2014643403384255,5.165885715628919,1.0355786247095065,60.43621167599802
2018-04-13,48.03,48.03,48.03,48.03,173,8.539167254763642,5.711442772744562,5.274997127052048,0.43644564569251365,56.61189343157824
