time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-09-05,5.79,5.79,5.79,5.79,500,,,,,
2018-09-06,5.01,5.01,5.01,5.01,10000,,,,,
2018-09-07,4.29,4.29,4.29,4.29,14600,,,,,
2018-09-10,3.71,3.97,3.71,3.97,36900,,,,,
2018-09-11,4.42,4.42,4.42,4.42,1000,,,,,
2018-09-12,4.55,4.55,4.55,4.55,10000,,,,,
2018-09-13,4.55,4.55,4.55,4.55,0,,,,,
2018-09-14,4.23,4.23,4.23,4.23,2000,,,,,
2018-09-17,4.1,4.23,4.1,4.23,17000,,,,,
2018-09-18,4.23,4.23,4.23,4.23,34000,,,,,
2018-09-19,4.23,4.23,4.23,4.23,1000,,,,,
2018-09-20,4.23,4.23,4.23,4.23,1500,,,,,
2018-09-21,4.68,4.68,4.23,4.23,26700,,,,,
2018-09-24,4.23,4.23,4.23,4.23,12400,-46.886200716845934,,,,
2018-09-25,4.23,4.23,4.23,4.23,31000,-38.15513626834403,,,,21.323529411764703
2018-09-26,4.36,4.36,4.36,4.36,1000,41.48148148148127,,,,25.174825174825173
2018-09-27,5.01,5.01,4.29,4.29,4900,108.95741556534502,,,,24.479942059308726
2018-09-28,4.42,4.42,4.23,4.23,65700,-22.7200318598171,,,,23.87171353460843
2018-10-01,4.29,4.42,4.23,4.42,113000,17.813934084271867,,,,29.81829467319473
2018-10-02,5.01,5.07,4.94,4.94,4200,288.5328306628961,,,,42.95221818954924
2018-10-03,5.01,5.72,5.01,5.53,23500,279.04259866077655,,,,53.569379286916444
2018-10-04,4.81,4.81,4.81,4.81,3000,85.67479266147237,,,,43.04186394098406
2018-10-05,4.23,4.23,4.23,4.23,100,-58.31857660848321,,,,36.77263412788247
2018-10-08,4.29,4.29,4.29,4.29,9700,-44.91532635520384,,,,37.78222527614783
2018-10-09,4.29,4.29,4.29,4.29,7000,-46.41415442755309,,,,37.78222527614783
2018-10-10,4.29,4.29,4.23,4.23,10000,-57.0517790988198,,,,37.095270178670475
2018-10-11,4.23,4.23,4.23,4.23,1200,-58.05338048328712,,,,37.09527017867047
2018-10-12,4.23,4.23,4.23,4.23,15000,-58.05338048328712,,,,37.09527017867047
2018-10-15,4.23,4.23,4.23,4.23,31000,-58.05338048328712,,,,37.09527017867047
2018-10-16,4.23,4.36,4.23,4.36,39000,-35.600167294019386,,,,40.260693719540384
2018-10-17,4.23,4.29,4.23,4.29,16000,-42.79939363314822,,,,39.119188926591775
2018-10-18,4.36,4.36,4.29,4.29,12000,-32.49767873723298,,,,39.11918892659178
2018-10-19,4.29,4.29,4.29,4.29,0,-36.826673368518165,,,,39.119188926591775
2018-10-22,4.23,4.23,4.23,4.23,6000,-49.82043747959514,-0.04652547553546782,-0.022856230444166452,-0.023669245091301368,37.96677768708061
2018-10-23,4.23,4.23,4.23,4.23,5000,-61.35458167330673,-0.05089126872483618,-0.0284632381003004,-0.022428030624535782,37.966777687080615
2018-10-24,4.23,4.23,4.23,4.23,500,-63.777777777779136,-0.05373180448602444,-0.0335169513774452,-0.020214853108579234,37.966777687080615
2018-10-25,4.23,4.23,4.23,4.23,500,-63.777777777779136,-0.0553449672107611,-0.03788255454410838,-0.017462412666652716,37.96677768708061
