time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2021-09-08,33.4,33.4,33.4,33.4,9000,,,,,
2021-09-09,38.4,38.4,38.4,38.4,8000,,,,,
2021-09-10,44.14,44.14,44.14,44.14,10000,,,,,
2021-09-13,50.7,50.7,50.7,50.7,12100,,,,,
2021-09-14,57.41,58.31,57.41,58.31,16500,,,,,
2021-09-15,64.87,67.03,64.13,67.03,21900,,,,,
2021-09-16,74.56,76.95,59.58,59.58,8621,,,,,
2021-09-17,53.91,59.58,53.91,58.83,8829,,,,,
2021-09-20,46.45,49.96,46.45,46.45,33700,,,,,
2021-09-21,44.89,46.45,39.59,46.45,15700,,,,,
2021-09-22,46.53,46.53,44.74,44.74,4706,,,,,
2021-09-23,44.74,44.74,43.99,43.99,3001,,,,,
2021-09-24,41.01,41.16,38.92,39.07,19603,,,,,
2021-09-27,37.88,39.15,35.79,36.54,8301,-87.58019900086711,,,,
2021-09-28,37.8,42.5,37.8,42.5,2500,-64.40489079439327,,,,56.4925799086758
2021-09-29,42.43,42.43,42.13,42.35,1100,-56.57728110906225,,,,56.36266070920123
2021-09-30,42.35,42.35,41.09,41.09,700,-60.78486171761285,,,,55.21399134164838
2021-10-01,35.57,42.35,35.49,42.13,1301,-66.06916593015903,,,,56.01087758261533
2021-10-04,42.35,42.35,42.35,42.35,400,-41.21061359867332,,,,56.188466739689815
2021-10-05,42.35,42.35,41.01,42.35,5200,-40.44987215001056,,,,56.1884667396898
2021-10-06,42.05,42.05,42.05,42.05,4200,-27.15544311065661,,,,55.83199734123877
2021-10-07,42.05,42.05,42.05,42.05,0,-6.95568838112546,,,,55.83199734123877
2021-10-08,41.98,42.05,41.76,42.05,5700,5.705357430495106,,,,55.83199734123877
2021-10-11,42.05,42.05,41.98,42.05,6900,17.782782913862015,,,,55.83199734123877
2021-10-12,42.05,42.13,41.76,42.05,4800,31.622807017543714,,,,55.83199734123877
2021-10-13,42.05,42.05,42.05,42.05,0,48.72344108356035,,,,55.83199734123876
2021-10-14,42.05,42.05,42.05,42.05,4000,44.61240457290431,,,,55.83199734123877
2021-10-15,39.52,40.26,39.52,40.26,300,-183.60350076103555,,,,52.49383152967175
2021-10-18,40.04,40.04,40.04,40.04,200,-150.4653465346534,,,,52.08167327502681
2021-10-19,40.04,43.25,40.04,41.76,7201,13.791803728069914,,,,55.0529774065305
2021-10-20,37.28,43.25,37.28,43.25,9400,-26.051667821438986,,,,57.51088554224093
2021-10-21,40.26,40.26,39.52,39.52,3404,-163.9234847033272,,,,50.121682405656074
2021-10-22,39.97,39.97,39.74,39.74,4968,-122.70754989875572,,,,50.525446750125504
2021-10-25,40.12,40.12,40.12,40.12,5200,-80.76923076923141,-2.0699645409142775,-2.4648378328686054,0.39487329195432785,51.259373762864634
2021-10-26,40.26,40.26,40.12,40.26,3400,-62.026403612092615,-1.9786764835969137,-2.367605563014267,0.3889290794173532,51.54456919990863
2021-10-27,40.26,40.26,40.26,40.26,1800,-50.06958942240756,-1.8846054816121196,-2.2710055467338375,0.3864000651217179,51.54456919990864
2021-10-28,40.26,40.26,40.26,40.26,0,-43.13909041266892,-1.7894261440842953,-2.1746896662039292,0.3852635221196339,51.54456919990864
2021-10-29,43.25,43.25,40.41,42.13,1837,85.83536697368092,-1.54528932813988,-2.048809598591119,0.5035202704512391,55.853914448066156
2021-11-01,42.5,47.72,42.5,46.98,46800,264.71203579938424,-0.9495093233043406,-1.8289495435337635,0.8794402202294229,64.63790131264277
2021-11-02,50.7,50.7,46.98,46.98,12000,260.6250827704944,-0.4719094981676193,-1.5575415344605346,1.0856320362929153,64.63790131264278
2021-11-03,48.47,51.45,47.35,47.35,8400,188.04298125285777,-0.06282804544605369,-1.2585988366576384,1.1957707912115847,65.24967071713559
2021-11-04,46.98,46.98,45.04,45.11,18700,82.18241869918697,0.07970389666282074,-0.9909382899935466,1.0706421866563673,58.635966237952786
2021-11-05,45.11,45.34,44.74,44.89,5400,53.14729588233843,0.17291605761236895,-0.7581674204723635,0.9310834780847325,58.01401160902997
2021-11-08,45.71,45.86,44.96,45.04,9100,51.50496243391146,0.2559407870444872,-0.5553457789689934,0.8112865660134806,58.33848785513629
2021-11-09,45.19,45.19,44.29,44.29,5900,30.40878451837335,0.2582428880292582,-0.39262804556934305,0.6508709335986013,56.00781228289043
2021-11-10,44.74,44.74,43.99,44.74,11470,22.00219193668486,0.2930010254044575,-0.25550223137458294,0.5485032567790404,57.114867657763156
2021-11-11,45.11,45.11,43.99,43.99,17100,12.295132252660231,0.25706508146304685,-0.15298876880705697,0.4100538502701038,54.64661026881195
2021-11-12,45.48,45.48,43.25,44.59,2900,6.915254992370758,0.27384387089397677,-0.06762224086685022,0.341466111760827,56.27459302946173
2021-11-15,45.04,45.04,43.99,43.99,6700,-7.396747733486734,0.2360056703524691,-0.00689665862298635,0.24290232897545547,54.18016678750885
2021-11-16,44.96,44.96,44.07,44.07,3100,-21.53828630934964,0.2100525996108047,0.03649319302377186,0.17355940658703284,54.42373179261559
2021-11-17,43.02,44.07,42.95,43.02,4500,-93.04506528148285,0.10356455159826794,0.04990746473867108,0.05365708685959686,50.620345096998385
2021-11-18,43.02,43.25,43.02,43.25,2300,-113.41037037037023,0.03730110028817535,0.047386191848571936,-0.010085091560396588,51.421196969394735
