time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,3.68,3.72,3.68,3.72,7750,,,,,
2018-01-03,3.64,3.72,3.64,3.66,32730,,,,,
2018-01-04,3.63,3.67,3.63,3.67,8350,,,,,
2018-01-05,3.67,3.67,3.58,3.66,12900,,,,,
2018-01-08,3.71,3.72,3.63,3.68,44190,,,,,
2018-01-09,3.77,3.77,3.58,3.65,38940,,,,,
2018-01-10,3.63,3.72,3.63,3.67,35580,,,,,
2018-01-11,3.65,3.73,3.65,3.73,37510,,,,,
2018-01-12,3.76,3.83,3.76,3.81,30960,,,,,
2018-01-15,3.85,3.86,3.78,3.79,20820,,,,,
2018-01-16,3.74,4.05,3.74,4.02,75120,,,,,
2018-01-17,4.02,4.17,3.75,4.12,120500,,,,,
2018-01-18,3.93,4.17,3.93,3.93,15630,,,,,
2018-01-19,4.11,4.11,3.83,4.11,80,123.09909909909886,,,,
2018-01-22,4.11,4.11,3.83,3.83,93520,63.254113345521084,,,,54.263565891472865
2018-01-23,3.83,3.83,3.83,3.83,0,10.284664830119587,,,,54.263565891472865
2018-01-24,3.83,3.83,3.83,3.83,0,3.9051603905158716,,,,54.263565891472865
2018-01-25,3.83,3.83,3.78,3.78,113420,-24.480874316939826,,,,51.7579669710197
2018-01-26,3.73,3.83,3.73,3.83,6060,-31.869918699187114,,,,54.043236068579304
2018-01-29,3.83,3.83,3.63,3.78,14390,-72.96969696969731,,,,51.42005099957604
2018-01-30,3.83,3.83,3.83,3.83,10,-23.565275016567394,,,,53.83329453968758
2018-01-31,3.66,3.72,3.63,3.67,72010,-141.45833333333357,,,,45.96460683621766
2018-02-01,3.79,3.79,3.65,3.65,18110,-111.2093308778393,,,,45.07764032929653
2018-02-02,3.75,3.75,3.53,3.65,25170,-129.2186621697585,,,,45.07764032929652
2018-02-05,3.64,3.64,3.4,3.4,43330,-187.92866941015072,,,,35.2239110487517
2018-02-06,3.4,3.63,3.34,3.39,59740,-161.5384615384613,,,,34.89532331013984
2018-02-07,3.62,3.62,3.39,3.53,1330,-109.75442211918238,,,,42.92296373149355
2018-02-08,3.72,3.72,3.34,3.67,8050,-66.66666666666663,,,,49.613685918462416
2018-02-09,3.53,3.66,3.42,3.66,720,-55.048409405255754,,,,49.17031093478399
2018-02-12,3.65,3.66,3.43,3.43,9330,-83.71134020618551,,,,40.25893955814907
2018-02-13,3.43,3.6,3.43,3.54,12660,-64.08602150537598,,,,45.35936989080942
2018-02-21,3.57,3.73,3.43,3.43,21090,-52.14238628872763,,,,41.5400535743649
2018-02-22,3.63,3.65,3.43,3.65,11300,-13.911472448057317,,,,50.51456275704784
2018-02-23,3.46,3.62,3.44,3.48,980,-57.05329153604981,-0.07647002201866204,-0.0667381115092603,-0.00973191050940174,44.792314202783544
2018-02-26,3.64,3.64,3.45,3.62,1860,11.99442119944331,-0.06783371156338314,-0.06695723152008487,-0.0008764800432982667,49.83239275642234
2018-02-27,3.44,3.61,3.43,3.61,100,-1.3164080865063201,-0.06109205851080368,-0.06578419691822864,0.004692138407424953,49.48488303491544
2018-02-28,3.4,3.61,3.4,3.61,40,0.4301075268815578,-0.055113930808517786,-0.06365014369628647,0.00853621288776868,49.48488303491543
2018-03-01,3.61,3.61,3.45,3.45,490,-57.36434108527085,-0.06256566630321059,-0.0634332482176713,0.0008675819144607078,43.815077642798855
2018-03-02,3.45,3.61,3.45,3.6,4050,42.424242424241775,-0.055725109596167055,-0.06189162049337045,0.006166510897203395,49.64056679387788
2018-03-05,3.53,3.61,3.41,3.61,10030,5.555555555554738,-0.048932934288983265,-0.05929988325249301,0.010366948963509745,50.012672181652704
2018-03-06,3.53,3.6,3.51,3.6,15190,72.28070175438589,-0.04385150993960574,-0.05621020858991556,0.012358698650309821,49.617844402486206
2018-03-07,3.51,3.6,3.44,3.59,19530,0.7829977628646949,-0.040168325507020874,-0.05300183197333662,0.012833506466315744,49.199558210978545
2018-03-08,3.61,3.61,3.61,3.61,10,190.59059059059175,-0.035229439407336915,-0.04944735346013668,0.014217914052799763,50.10550552311274
2018-03-09,3.53,3.59,3.53,3.59,180,62.27106227106317,-0.0325539082533699,-0.04606866441878332,0.013514756165413422,49.16134915239189
2018-03-12,3.53,3.59,3.37,3.57,18000,-114.38596491227896,-0.031682151272303116,-0.04319136178948728,0.011509210517184162,48.183566989500996
2018-03-13,3.57,3.58,3.57,3.57,10580,62.49999999999972,-0.030638100631612097,-0.04068070955791224,0.010042608926300142,48.18356698950099
2018-03-14,3.59,3.59,3.58,3.58,110,88.43537414966323,-0.028673239296237885,-0.03827921550557737,0.009605976209339485,48.774373089527394
2018-03-15,3.58,3.58,3.43,3.58,2160,-70.85889570552142,-0.02680705746030343,-0.035984783896522585,0.009177726436219155,48.774373089527394
2018-03-16,3.43,3.57,3.35,3.53,2110,-167.6012461059181,-0.029028059640579418,-0.03459343904533395,0.005565379404754531,45.74952598702224
2018-03-19,3.53,3.56,3.53,3.56,4760,6.85358255451918,-0.028044194572242276,-0.033283590150715615,0.0052393955784733395,47.83972453281426
2018-03-20,3.53,3.56,3.41,3.43,13490,-162.0299379335496,-0.037324138526425354,-0.034091699825857566,-0.0032324387005677885,40.54899653016905
2018-03-21,3.61,3.61,3.36,3.59,38460,-52.6881720430096,-0.031405870815014225,-0.033554534023688895,0.00214866320867467,50.53978070443611
2018-03-22,3.43,3.48,3.4,3.48,11400,-152.34521575984948,-0.03518607849621613,-0.03388084291819434,-0.001305235578021792,44.94733563979024
2018-03-23,3.48,3.48,3.39,3.47,15910,-130.3811057434237,-0.03854451951714388,-0.03481357823798425,-0.0037309412791596344,44.46562660878154
2018-03-26,3.52,3.52,3.51,3.51,40,-19.607843137254097,-0.037545639752718074,-0.035359990540931016,-0.002185649211787058,46.916306801411665
2018-03-27,3.29,3.47,3.29,3.39,3920,-179.08496732026111,-0.045907820680843425,-0.0374695565689135,-0.008438264111929925,41.06205517827367
2018-03-28,3.46,3.46,3.34,3.46,590,-107.56953944368453,-0.046352175303382204,-0.039246080315807244,-0.00710609498757496,45.3462481584946
2018-03-29,3.69,3.69,3.34,3.45,51290,-2.105263157893947,-0.046969807269150454,-0.04079082570647589,-0.006178981562674567,44.84474663640647
2018-03-30,3.45,3.45,3.45,3.45,100,-57.2390572390571,-0.04691843849852306,-0.042016348264885324,-0.004902090233637739,44.84474663640647
2018-04-02,3.69,3.69,3.24,3.58,22380,28.24858757062137,-0.035973138880526445,-0.04080770638801355,0.004834567507487106,52.727099365233066
2018-04-03,3.57,3.57,3.57,3.57,20,138.34296724470113,-0.02778553218402724,-0.03820327154721629,0.01041773936318905,52.110173706769544
2018-04-04,3.43,3.48,3.43,3.48,310,-27.878787878787985,-0.028233583550770103,-0.03620933394792705,0.00797575039715695,46.80259899533321
2018-04-05,3.71,3.71,3.43,3.48,7120,86.44688644688672,-0.028262870706471155,-0.034620041299635876,0.006357170593164721,46.802598995333206
2018-04-06,3.48,3.53,3.43,3.48,113860,2.0703933747411956,-0.027963732487075177,-0.03328877953712374,0.005325047050048562,46.80259899533321
2018-04-09,3.48,3.48,3.35,3.4,27190,-101.87265917603011,-0.033792456303935126,-0.03338951489048601,-0.00040294141344911216,42.04793535689565
2018-04-10,3.53,3.53,3.34,3.35,1810,-93.33333333333348,-0.04196262503447823,-0.035104136919284455,-0.006858488115193774,39.35680715323231
2018-04-11,3.43,3.43,3.34,3.34,1010,-125.12315270935954,-0.048683268626391385,-0.037819963260705844,-0.010863305365685541,38.8216535906091
2018-04-12,3.34,3.52,3.34,3.52,2800,-2.3450586264660243,-0.039034960686991305,-0.038062962745962936,-0.0009719979410283686,51.5833983389544
2018-04-13,3.52,3.52,3.52,3.52,0,80.59701492537296,-0.031030902208122324,-0.03665655063839481,0.005625648430272488,51.58339833895441
2018-04-16,3.52,3.52,3.52,3.52,0,69.41580756013683,-0.024406287705212026,-0.03420649805175825,0.009800210346546226,51.58339833895441
2018-04-17,3.52,3.52,3.52,3.52,0,60.80808080807971,-0.01893792833449659,-0.03115278410830592,0.01221485577380933,51.58339833895441
2018-04-18,3.34,3.5,3.34,3.34,30800,-104.7619047619054,-0.028796758704055847,-0.030681579027455906,0.001884820323400059,40.28139247529652
2018-04-19,3.24,3.43,3.11,3.43,360,-157.34560797851904,-0.029013258182154278,-0.03034791485839558,0.0013346566762413026,46.583368716282116
2018-04-20,3.61,3.61,3.19,3.43,40,-50.86142322097369,-0.028852244859499887,-0.030048780858616442,0.0011965359991165554,46.583368716282116
2018-04-23,3.4,3.4,3.24,3.34,11150,-121.23552123552162,-0.0355767814886514,-0.031154380984623434,-0.004422400504027965,41.50382628695622
2018-04-24,3.56,3.56,3.34,3.34,7030,-23.85185185185157,-0.04043985968540964,-0.03301147672478068,-0.0074283829606289625,41.50382628695622
2018-04-26,3.55,3.55,3.42,3.42,1280,40.71782178217796,-0.037407344202124104,-0.03389065022024936,-0.0035166939818747425,47.414984105019194
2018-04-27,3.42,3.51,3.42,3.51,310,60.93234323432309,-0.027425660057645462,-0.03259765218772858,0.005171992130083118,53.15067382729537
2018-05-02,3.35,3.35,3.35,3.35,20,-85.8081979891733,-0.032056241881114556,-0.03248937012640578,0.00043312824529122274,43.96881593071858
2018-05-03,3.56,3.56,3.24,3.24,330,-79.73071324599742,-0.04409380608034441,-0.034810257317193505,-0.009283548763150906,38.98281479757376
2018-05-04,3.09,3.14,3.01,3.01,52570,-269.3736730360947,-0.07137003095346905,-0.04212221204444862,-0.029247818909020437,31.053466069643548
2018-05-07,3.04,3.04,2.94,2.97,10240,-221.30726698262342,-0.09511784211100593,-0.05272133805776008,-0.042396504053245854,29.91386286785898
2018-05-08,3.18,3.18,2.85,2.85,2410,-173.92080493346373,-0.12221236262348034,-0.06661954297090414,-0.0555928196525762,26.743116304686815
2018-05-09,2.94,3.04,2.94,3.04,14610,-114.29558965850993,-0.12689083467600648,-0.07867380131192461,-0.04821703336408187,37.95662413354483
2018-05-10,3.14,3.14,3.04,3.04,28820,-70.83580711128728,-0.12911025483481176,-0.08876109201650204,-0.04034916281830972,37.95662413354483
