time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,19.0,19.0,17.3,17.3,11400,,,,,
2018-01-03,17.3,19.0,16.2,17.6,20930,,,,,
2018-01-04,17.5,19.3,16.3,19.3,41600,,,,,
2018-01-05,19.0,19.0,17.4,17.4,18500,,,,,
2018-01-08,17.5,17.6,16.3,17.6,21500,,,,,
2018-01-09,17.5,18.0,16.5,17.7,18700,,,,,
2018-01-10,18.0,18.2,17.2,18.1,19100,,,,,
2018-01-11,18.5,19.7,16.7,18.2,27400,,,,,
2018-01-12,18.6,18.6,17.2,18.3,18000,,,,,
2018-01-15,18.4,18.4,16.9,17.8,14400,,,,,
2018-01-16,17.7,19.5,16.8,18.1,19800,,,,,
2018-01-17,18.5,18.7,18.2,18.7,15700,,,,,
2018-01-18,18.6,18.6,17.8,18.1,12850,,,,,
2018-01-19,18.0,18.0,17.1,17.9,13800,-52.45901639344158,,,,
2018-01-22,18.0,18.0,17.0,17.9,13700,-53.22997416020628,,,,54.28571428571427
2018-01-23,17.9,19.6,17.6,18.4,25700,120.19464720194725,,,,57.55102040816325
2018-01-24,18.6,19.8,18.0,18.0,10900,121.46118721461177,,,,54.214729370008875
2018-01-25,18.0,18.7,17.0,17.2,13200,-56.344086021504395,,,,48.19684067878885
2018-01-26,17.1,17.1,16.1,16.1,5400,-230.88512241054607,,,,41.39317483033283
2018-01-29,16.4,17.0,16.3,16.9,12300,-158.0372250423005,,,,47.227783408636476
2018-01-30,16.5,16.8,15.3,15.3,9600,-206.2015503875961,,,,38.88896376534458
2018-01-31,15.8,15.8,15.6,15.6,14300,-158.82181393992354,,,,40.992734748378076
2018-02-01,15.5,16.0,14.7,15.7,9800,-132.58535408372498,,,,41.71303519185062
2018-02-02,15.5,16.1,14.7,15.9,11500,-101.49476831091147,,,,43.20625378947586
2018-02-05,14.4,15.7,14.4,15.6,14100,-102.52100840336122,,,,41.48927952667942
2018-02-06,15.6,17.1,15.6,17.1,11900,-15.421899096717286,,,,51.80254050208571
2018-02-07,16.7,18.8,16.6,17.4,13300,54.41753171856968,,,,53.56539706597322
2018-02-08,17.7,17.7,17.5,17.5,11800,53.082112119097424,,,,54.16717038591303
2018-02-09,17.4,19.2,16.6,17.6,3600,67.28607478779533,,,,54.79803073492984
2018-02-12,17.8,18.0,17.7,17.7,10300,75.38461538461549,,,,55.45828045224822
2018-02-13,18.0,18.0,17.9,17.9,9900,93.40560072267392,,,,56.816843905433565
2018-02-21,17.5,18.1,16.4,18.1,7900,64.11657559198578,,,,58.19017722923628
2018-02-22,18.2,18.5,16.3,16.3,15000,22.586520947176886,,,,44.479747089594355
2018-02-23,16.5,17.9,15.9,16.8,5500,9.029927760578019,-0.24100174931784224,-0.38711573088960766,0.14611398157176542,48.135318704439584
2018-02-26,16.8,17.0,16.2,16.3,11500,-24.144591611478713,-0.2894866882361633,-0.3675899223589188,0.0781032341227555,44.948182117684794
2018-02-27,17.2,17.3,17.1,17.1,10100,23.525817293003744,-0.26035680632617186,-0.3461432991523694,0.08578649282619755,50.585772302064846
2018-02-28,17.1,18.8,16.5,17.4,10700,52.75148966000712,-0.21063559621064343,-0.3190417585640242,0.1084061623533808,52.548186180855225
2018-03-01,17.5,17.5,17.2,17.2,8600,15.434500648508715,-0.1852342424596074,-0.29228025534314084,0.10704601288353344,51.09145215137046
2018-03-02,17.3,17.7,17.3,17.6,11000,34.3137254901966,-0.1313131334813349,-0.26008683097077967,0.12877369748944478,53.84717480038799
2018-03-05,17.5,19.0,17.0,19.0,14600,163.96396396396395,0.024110107267812708,-0.2032474433230612,0.2273575505908739,61.93189084492884
2018-03-06,20.9,20.9,20.9,20.9,9100,350.71814959895556,0.29717264509386254,-0.10316342563967643,0.40033607073353894,69.69151884844145
2018-03-07,20.6,20.9,20.3,20.7,14177,206.98338525441358,0.491769532050526,0.01582316589836405,0.4759463661521619,68.11753738787615
2018-03-08,20.6,21.1,20.5,21.1,12700,157.00174317257435,0.6705361012382198,0.1467657529663352,0.5237703482718846,69.5965024309483
2018-03-09,21.2,21.3,19.3,20.5,16600,100.20880314039916,0.7550906941774294,0.26843074120855404,0.4866599529688753,64.74487555792516
2018-03-12,20.5,20.5,19.5,19.9,12800,67.03263189996946,0.7648689001078353,0.36771837298841026,0.397150527119425,60.22369298412962
2018-03-13,19.9,20.4,19.5,20.0,27200,56.773345024112174,0.7717906409352722,0.44853282657778265,0.3232578143574895,60.71606690305248
2018-03-14,19.7,20.6,19.7,19.9,14400,52.21878224974207,0.7604411143364267,0.5109144841295115,0.24952663020691523,59.91732280033223
2018-03-15,20.3,20.4,19.7,19.7,6900,39.43972300912822,0.726928623532924,0.554117312010194,0.17281131152273,58.266362540032034
2018-03-16,19.6,20.0,19.1,19.1,9800,6.114673357494594,0.6445250638033073,0.5721988623688167,0.07232620143449064,53.503456668507255
2018-03-19,19.2,19.7,19.2,19.6,8100,2.9565410692452385,0.6125048951968779,0.5802600689344289,0.032244826262448956,56.68130314703854
2018-03-20,19.7,19.7,19.2,19.2,14927,-16.6666666666671,0.5485289238363187,0.5739138399148069,-0.02538491607848825,53.529355948643484
2018-03-21,19.4,19.5,19.0,19.1,10600,-48.62970044614406,0.48417704970669107,0.5559664818731838,-0.0717894321664927,52.73976530768437
2018-03-22,19.1,19.1,18.5,19.0,8400,-104.8156508653121,0.42026401955149595,0.5288259894088462,-0.10856196985735023,51.915080135587225
2018-03-23,19.0,19.3,18.7,18.8,7000,-111.22031122031134,0.34944595866578254,0.4929499832602334,-0.14350402459445089,50.22357886294018
2018-03-26,18.9,19.3,18.3,19.1,11400,-99.13043478260863,0.31391105673349173,0.4571421979548851,-0.14323114122139335,52.71244534394065
2018-03-27,19.1,19.1,17.5,19.0,8600,-126.13399916770716,0.274515779644279,0.4206169142927639,-0.1461011346484849,51.782990096723346
2018-03-28,18.9,19.0,17.5,18.1,6150,-151.85185185185233,0.16872727731347936,0.370238986896907,-0.20151170958342762,44.22494001750329
2018-03-29,18.2,18.8,18.1,18.8,9500,-90.1587301587304,0.13976218543249885,0.32414362660402535,-0.1843814411715265,50.30085604700141
2018-03-30,18.8,19.2,18.7,18.7,8400,-42.301184433164636,0.10749879794247263,0.2808146608717148,-0.17331586292924217,49.471739577003184
2018-04-02,18.9,18.9,18.3,18.3,8000,-83.97141398672848,0.0490873257158988,0.2344691938405516,-0.1853818681246528,46.19191364407307
2018-04-03,18.2,18.9,18.0,18.8,10700,-68.23104693140847,0.04264999191199337,0.19610535345483995,-0.15345536154284659,50.60060727769914
2018-04-04,18.9,18.9,17.8,18.5,11200,-90.22869022869112,0.013188833040992165,0.1595220493720704,-0.14633321633107824,48.05641641191523
2018-04-05,18.1,18.8,18.0,18.4,16400,-77.61194029850728,-0.018020779556419342,0.12401348358637246,-0.1420342631427918,47.20441558952611
2018-04-06,18.5,18.7,18.4,18.7,7650,-26.44836272040402,-0.018335766297333578,0.09554363360963125,-0.11387939990696483,50.06465648420968
2018-04-09,18.7,18.7,18.0,18.3,8600,-87.50000000000023,-0.05028242808811001,0.066378421270083,-0.11666084935819301,46.45118039959766
2018-04-10,18.4,18.7,17.9,18.6,11100,-63.95061728395082,-0.050807220908939854,0.04294129283427843,-0.09374851374321828,49.40091250854331
2018-04-11,18.6,18.6,17.5,17.5,7600,-207.75193798449794,-0.1383886714562088,0.006675299976180979,-0.1450639714323898,40.575205337134825
2018-04-12,17.9,18.5,17.7,18.5,6400,-76.54320987654336,-0.12565745839260245,-0.019791251697575712,-0.10586620669502673,49.42169218531659
2018-04-13,18.3,18.3,18.0,18.1,5700,-100.90090090090077,-0.1461596993439933,-0.04506494122685924,-0.10109475811713407,46.443370838554685
2018-04-16,18.1,18.1,17.3,17.8,8400,-182.67074413863514,-0.18448869496865683,-0.07294969197521876,-0.11153900299343807,44.2876973046891
2018-04-17,16.5,17.2,16.5,17.2,6600,-256.8328246863338,-0.26027934743848036,-0.11041562306787109,-0.14986372437060927,40.26260532113884
2018-04-18,17.3,17.9,17.2,17.9,4400,-94.53652547575327,-0.26085288601240464,-0.1405030756567778,-0.12034981035562684,46.38486297268882
2018-04-19,17.9,18.3,17.5,18.3,5000,-19.076105018279318,-0.2264207252254522,-0.15768660557051267,-0.06873411965493953,49.56567615301058
2018-04-20,17.5,18.0,17.5,18.0,5700,-48.611111111111796,-0.22079529184279068,-0.17030834282496826,-0.05048694901782241,47.2992033358514
2018-04-23,17.6,18.5,17.5,18.5,5100,23.433048433048153,-0.17398567546785415,-0.17104380935354543,-0.0029418661143087166,51.29647196260274
2018-04-24,18.3,18.4,18.2,18.2,5900,47.58771929824485,-0.1592603557955492,-0.1686871186419462,0.009426762846396985,48.89990218256071
2018-04-26,18.5,18.5,16.4,16.4,6900,-156.13707165109153,-0.2894982351885247,-0.19284934195126188,-0.0966488932372628,37.56090667907042
2018-04-27,16.5,17.8,16.4,17.8,6200,-97.18574108818068,-0.27655642291591676,-0.20959075814419287,-0.06696566477172389,47.715837367675306
2018-05-02,17.8,18.7,17.7,18.0,6200,54.36893203883531,-0.2473107703044306,-0.21713476057624043,-0.03017600972819018,48.992112640734994
2018-05-03,17.7,17.7,16.2,17.1,6450,-129.90543735224628,-0.2933740251495145,-0.23238261349089523,-0.060991411658619266,43.80959665703406
2018-05-04,18.0,18.0,17.2,17.2,3300,-42.35159817351604,-0.31814296811760556,-0.2495346844162373,-0.06860828370136826,44.51195074347963
2018-05-07,17.2,18.3,16.9,16.9,5200,-50.02929115407149,-0.3578548981567877,-0.2711987271643474,-0.08665617099244033,42.78419147517829
2018-05-08,16.7,16.7,16.0,16.3,7000,-178.01418439716363,-0.43275336302330913,-0.30350965433613974,-0.1292437086871694,39.48327558863489
2018-05-09,16.3,17.2,16.3,16.6,10500,-104.10509031198663,-0.4625712102774422,-0.33532196552440025,-0.12724924475304195,41.89708906303573
2018-05-10,16.6,16.9,15.7,15.7,5400,-158.07860262008748,-0.5524561765275138,-0.37874880772502295,-0.17370736880249082,37.1143558127928
2018-05-11,15.7,16.6,15.5,15.6,7600,-142.78606965174166,-0.624560281976688,-0.427911102575356,-0.19664917940133203,36.614224185021385
2018-05-14,14.2,15.5,14.1,15.1,5900,-187.8354203935602,-0.7138206462804391,-0.4850930113163726,-0.22872763496406645,34.13722802385428
2018-05-15,15.1,15.7,15.1,15.7,1900,-110.2752793676752,-0.7277560240536864,-0.5336256138638353,-0.1941304101898511,39.43241930721319
2018-05-16,15.6,15.9,15.6,15.9,6000,-74.05247813411107,-0.7144261231745652,-0.5697857157259814,-0.14464040744858386,41.131401296246295
2018-05-17,15.4,15.9,15.4,15.4,6200,-80.40404040404013,-0.7357269002843765,-0.6029739526376604,-0.13275294764671608,38.24319995958121
2018-05-18,15.0,15.0,14.7,14.7,4800,-122.59887005649732,-0.7998716470195895,-0.6423534915140462,-0.15751815550554327,34.58205080334915
2018-05-21,14.7,15.4,14.7,15.1,5300,-89.13219789132201,-0.8091033244102022,-0.6757034580932774,-0.1333998663169248,38.22159125520104
2018-05-22,15.1,16.3,13.9,13.9,7000,-109.23766816143481,-0.9028420651075777,-0.7211311794961375,-0.18171088561144022,32.398194592893844
2018-05-23,13.6,14.3,13.6,14.3,4500,-140.56224899598382,-0.9340864680458907,-0.7637222372060881,-0.17036423083980257,35.90380222503164
2018-05-24,14.0,14.0,13.5,13.9,3500,-141.94107452339722,-0.9798296729913378,-0.8069437243631381,-0.17288594862819973,34.00478158831899
2018-05-25,13.9,14.6,13.9,14.0,3900,-96.58119658119654,-0.9965250082278985,-0.8448599811360902,-0.1516650270918083,34.93136733226127
2018-05-28,14.0,14.8,12.6,13.7,5200,-120.42328042328053,-1.0221806126642026,-0.8803241074417126,-0.14185650522248994,33.41561401500413
2018-05-29,13.7,14.3,12.5,12.5,4000,-150.83106678754896,-1.126358871266273,-0.9295310602066247,-0.19682781105964842,28.15319623155234
2018-05-30,12.5,13.7,12.5,13.7,3700,-111.06259097525465,-1.099417519786229,-0.9635083521225456,-0.13590916766368344,38.57136577802275
2018-05-31,13.6,14.3,13.6,14.3,4200,-36.84210526315759,-1.0179174008797975,-0.974390161873996,-0.04352723900580158,43.02032688833476
2018-06-01,14.0,14.8,13.0,13.0,4200,-69.57186544342493,-1.0461675367692909,-0.9887456368530549,-0.05742189991623592,36.801235552939396
2018-06-04,13.0,14.3,13.0,14.3,3100,-39.20765027322377,-0.952674993243745,-0.9815315081311929,0.028856514887447893,45.31473705622575
2018-06-05,14.3,15.6,14.3,15.6,3200,105.0720568968746,-0.7648654506725201,-0.9381982966394584,0.17333284596693832,52.24295804147333
2018-06-06,15.4,16.8,14.1,14.1,4200,99.75429975430016,-0.7286629264281412,-0.896291222597195,0.16762829616905373,45.137083844439076
2018-06-07,14.1,15.5,14.1,14.4,3800,62.06608113759935,-0.6680636504369257,-0.8506457081651411,0.18258205772821534,46.6985880141654
2018-06-08,13.5,15.8,13.0,14.1,4400,26.80851063829839,-0.6369039481596257,-0.807897356164038,0.17099340800441232,45.30978408621934
2018-06-11,14.0,15.1,14.0,14.1,4000,46.03886397608379,-0.6052329113536548,-0.7673644672019614,0.16213155584830663,45.30978408621934
2018-06-12,15.0,15.5,12.7,14.2,13500,6.249999999999974,-0.5655449718463696,-0.727000568130843,0.16145559628447337,45.931411743875366
2018-06-13,13.9,15.6,13.9,15.6,1900,114.12352406902832,-0.4163245637213304,-0.6648653672489405,0.2485408035276101,53.8415585920122
2018-06-14,14.6,14.6,14.6,14.6,500,49.2492492492495,-0.37444162785446267,-0.6067806193700449,0.23233899151558224,48.395287692891905
2018-06-15,13.2,13.2,13.2,13.2,100,-115.04922644163155,-0.44904113248464306,-0.5752327219929645,0.12619158950832143,41.99125948320299
2018-06-18,12.2,14.5,12.0,14.5,3800,-69.69696969696942,-0.3986670562549026,-0.5399195888453521,0.14125253259044945,48.770351604325555
2018-06-19,13.1,13.9,13.1,13.9,3300,-80.63492063492055,-0.40252022096089135,-0.5124397152684599,0.10991949430756853,46.09299855823911
2018-06-20,12.7,14.4,12.7,14.4,8300,-50.07680491551428,-0.3610659172865418,-0.4821649556720763,0.12109903838553449,48.62411713612524
2018-06-21,13.9,14.9,13.0,13.0,4000,-76.54320987654289,-0.43615367460964016,-0.4729626994595891,0.03680902484994891,42.59360214849192
2018-06-22,12.5,14.2,12.5,14.2,1600,-72.04783258594898,-0.3942862061350336,-0.457227400794678,0.06294119465964437,48.4905523318648
