time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,23.94,23.94,23.85,23.85,200,,,,,
2018-01-03,25.19,25.46,25.19,25.46,200,,,,,
2018-01-04,25.37,25.37,25.37,25.37,0,,,,,
2018-01-05,25.37,25.37,25.37,25.37,0,,,,,
2018-01-08,25.37,25.37,25.37,25.37,0,,,,,
2018-01-09,25.37,25.37,25.37,25.37,0,,,,,
2018-01-10,25.37,25.37,25.37,25.37,0,,,,,
2018-01-11,25.37,25.37,25.37,25.37,0,,,,,
2018-01-12,25.37,25.37,25.37,25.37,0,,,,,
2018-01-15,25.37,25.37,25.37,25.37,0,,,,,
2018-01-16,25.37,25.37,25.37,25.37,0,,,,,
2018-01-17,25.37,25.37,25.37,25.37,0,,,,,
2018-01-18,25.37,25.37,25.37,25.37,0,,,,,
2018-01-19,25.37,25.37,25.37,25.37,0,35.897435897435486,,,,
2018-01-22,25.37,25.37,25.37,25.37,0,-71.7948717948718,,,,94.70588235294119
2018-01-23,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-01-24,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-01-25,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-01-26,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-01-29,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-01-30,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-01-31,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-01,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-02,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-02-05,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-06,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-07,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-08,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-09,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-02-12,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-02-13,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-02-21,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294117
2018-02-22,25.37,25.37,25.37,25.37,0,0.0,,,,94.70588235294119
2018-02-23,25.37,25.37,25.37,25.37,0,0.0,0.02971478864760968,0.04122946021165595,-0.011514671564046272,94.70588235294119
2018-02-26,25.37,25.37,25.37,25.37,0,0.0,0.027513693192229738,0.03848630680777071,-0.010972613615540971,94.70588235294119
2018-02-27,25.37,25.37,25.37,25.37,0,0.0,0.02547564184465756,0.03588417381514808,-0.01040853197049052,94.70588235294117
2018-02-28,25.37,25.37,25.37,25.37,0,0.0,0.02358855726357234,0.03342505050483293,-0.00983649324126059,94.70588235294119
2018-03-01,25.37,25.37,25.37,25.37,0,0.0,0.021841256725529945,0.031108291748972332,-0.009267035023442387,94.70588235294119
2018-03-02,25.37,25.37,25.37,25.37,0,0.0,0.020223385856972698,0.028931310570572404,-0.008707924713599706,94.70588235294119
2018-03-05,25.37,25.37,25.37,25.37,0,0.0,0.01872535727497393,0.02689011991145271,-0.008164762636478778,94.70588235294119
2018-03-06,25.37,25.37,25.37,25.37,0,0.0,0.017338293773125457,0.02497975468378726,-0.007641460910661802,94.70588235294119
2018-03-07,25.37,25.37,25.37,25.37,0,0.0,0.016053975715855984,0.023194598890201003,-0.00714062317434502,94.70588235294119
2018-03-08,25.37,25.37,25.37,25.37,0,0.0,0.014864792329497334,0.02152863757806027,-0.006663845248562936,94.70588235294117
2018-03-09,25.37,25.37,25.37,25.37,0,0.0,0.01376369660138721,0.01997564938272566,-0.0062119527813384486,94.70588235294119
2018-03-12,25.37,25.37,25.37,25.37,0,0.0,0.012744163519801788,0.018529352210140883,-0.005785188690339095,94.70588235294117
