time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-01-02,19.77,19.77,18.83,18.83,212200,,,,,
2018-01-03,18.83,18.83,18.47,18.73,193330,,,,,
2018-01-04,18.73,18.73,18.52,18.73,259600,,,,,
2018-01-05,18.57,18.78,18.57,18.78,202700,,,,,
2018-01-08,18.73,18.78,18.62,18.78,237900,,,,,
2018-01-09,18.62,18.73,18.62,18.62,97200,,,,,
2018-01-10,18.67,18.73,18.62,18.67,132400,,,,,
2018-01-11,18.67,18.73,18.67,18.73,92900,,,,,
2018-01-12,18.67,18.73,18.67,18.73,123400,,,,,
2018-01-15,18.73,19.14,18.73,19.04,125130,,,,,
2018-01-16,19.04,19.09,18.88,19.04,69900,,,,,
2018-01-17,19.04,19.35,19.04,19.19,182800,,,,,
2018-01-18,19.19,19.56,19.19,19.35,87900,,,,,
2018-01-19,19.35,19.71,19.35,19.61,193700,170.5491147658855,,,,
2018-01-22,19.61,19.71,19.51,19.66,138500,155.59182404601012,,,,80.74074074074086
2018-01-23,19.61,19.71,19.45,19.71,78400,123.76811594202921,,,,81.47945205479465
2018-01-24,19.71,19.77,19.61,19.77,73300,114.88050784167291,,,,82.35412232440474
2018-01-25,19.71,19.87,19.56,19.87,119800,104.1152263374485,,,,83.73301666225275
2018-01-26,19.92,19.92,19.51,19.87,80000,89.50766747376957,,,,83.73301666225275
2018-01-29,19.77,19.87,19.51,19.71,145800,68.43765162542485,,,,73.12907875949635
2018-01-30,19.61,19.61,19.19,19.25,157800,-2.341303729006966,,,,52.531615830675904
2018-01-31,19.66,19.71,19.14,19.51,96800,9.629256836102082,,,,59.47876330940963
2018-02-01,19.66,19.71,19.45,19.61,78800,34.50858034321329,,,,61.794751970697384
2018-02-02,19.56,19.61,19.4,19.61,134400,8.451801363193645,,,,61.79475197069737
2018-02-05,19.51,19.51,18.88,19.25,59200,-137.09865732633028,,,,49.889584878146835
2018-02-06,17.69,19.19,17.69,18.62,73300,-299.2753623188441,,,,36.60053194617337
2018-02-07,18.52,18.99,18.47,18.78,143400,-166.02234727999405,,,,40.90573456835306
2018-02-08,19.25,19.25,18.67,18.83,127200,-99.3055555555566,,,,42.2260412294011
2018-02-09,18.21,18.99,18.21,18.99,141500,-110.1153088965968,,,,46.35634945449878
2018-02-12,18.88,19.51,18.73,19.25,169600,-24.759554543153442,,,,52.321372535716215
2018-02-13,19.25,19.45,18.62,19.45,172000,-16.666666666667066,,,,56.342891346645644
2018-02-21,19.56,19.66,19.4,19.66,203000,67.94305351006386,,,,60.144189921710954
2018-02-22,19.66,19.71,19.45,19.51,209100,70.88803088803051,,,,56.36871332434712
2018-02-23,19.51,19.66,19.25,19.66,204700,69.13381603646998,0.16511910207148617,0.18285999343035225,-0.017740891358866084,59.131524618146805
2018-02-26,19.61,19.97,19.51,19.77,226600,103.74174614820237,0.18060610263280807,0.18240921527084342,-0.0018031126380353424,61.07793829901742
