time,open,high,low,close,volume,cci,macd,macdsignal,macdhist,rsi
2018-12-18,13.79,13.82,13.4,13.4,110800,,,,,
2018-12-19,14.81,14.81,11.78,11.81,28342,,,,,
2018-12-20,11.07,12.45,11.07,11.07,2168,,,,,
2018-12-21,9.91,9.91,9.87,9.87,5206,,,,,
2018-12-24,8.39,8.39,8.39,8.39,6500,,,,,
2018-12-25,7.16,8.11,7.16,7.19,39291,,,,,
2018-12-26,7.05,7.05,6.7,6.81,3830,,,,,
2018-12-27,6.77,7.79,6.77,7.79,3168,,,,,
2018-12-28,8.11,8.11,7.23,7.23,12300,,,,,
2019-01-02,6.91,7.23,6.91,7.16,8017,,,,,
2019-01-03,6.98,6.98,6.7,6.77,8810,,,,,
2019-01-04,6.1,6.31,5.82,5.82,25141,,,,,
2019-01-07,6.03,6.7,5.92,6.03,1332,,,,,
2019-01-08,5.89,6.07,5.89,5.92,8768,-80.18726340075715,,,,
2019-01-09,6.03,6.17,6.03,6.17,1800,-72.97089370432107,,,,14.243323442136498
2019-01-10,6.17,6.21,6.17,6.17,6500,-71.39272019112997,,,,14.243323442136498
2019-01-11,6.35,6.52,6.17,6.52,11174,-51.27301214257719,,,,17.553553643673435
2019-01-14,6.88,6.95,6.88,6.88,3933,10.410980578300011,,,,20.934187472578287
2019-01-15,7.86,7.86,7.86,7.86,100,133.63102725366886,,,,29.418651307335015
2019-01-16,7.41,7.41,6.7,6.7,4675,26.291079812206814,,,,25.878718433678326
2019-01-17,6.52,6.63,6.52,6.63,3300,-16.339257873401937,,,,25.677921595177033
2019-01-18,6.81,6.84,6.81,6.84,220,22.404371584699415,,,,27.49546673064007
2019-01-21,6.7,6.7,6.52,6.52,2200,-4.392063761234494,,,,26.43461259090255
2019-01-22,6.56,6.56,6.56,6.56,500,-1.4407334643090486,,,,26.814725815864467
2019-01-23,6.59,6.81,6.56,6.81,5700,30.844444444444594,,,,29.274417578860778
2019-01-24,6.7,6.77,6.56,6.77,1600,17.87752261656227,,,,29.10586239241383
2019-01-25,6.67,6.81,6.67,6.81,900,24.144144144144263,,,,29.542744503839018
2019-01-28,6.7,6.7,6.56,6.56,1600,-23.1910384498941,,,,28.36617024057705
2019-01-29,6.56,6.7,6.56,6.7,268,-23.80811953209476,,,,30.046334310988133
2019-01-30,6.56,6.7,6.56,6.7,600,-37.24461925051887,,,,30.046334310988136
2019-01-31,6.59,6.59,6.56,6.56,1620,-70.13441771151017,,,,29.250654252189445
2019-02-01,6.67,6.74,6.52,6.67,3600,-41.557056523284565,,,,30.801235935559717
2019-02-11,7.41,7.41,6.7,6.7,3630,157.00934579439246,,,,31.243821459502353
2019-02-12,6.7,6.7,6.59,6.59,900,-38.23889115369044,-0.461755330443375,-0.6241065186539748,0.1623511882105998,30.474182497750558
2019-02-13,6.63,6.63,6.49,6.63,1258,-71.85305240410577,-0.43032181801556124,-0.5853495785262921,0.15502776051073086,31.138463142163808
2019-02-14,6.7,6.7,6.7,6.7,5768,32.845221225004764,-0.39520642431268094,-0.5473209476835699,0.15211452337088893,32.3564831027012
2019-02-15,6.7,6.7,6.7,6.7,0,25.723577235772858,-0.36319058680401195,-0.5104948755076583,0.1473042887036463,32.35648310270121
2019-02-18,6.7,6.7,6.7,6.7,1100,17.727840199749213,-0.333968029362131,-0.47518950627855283,0.14122147691642184,32.356483102701205
2019-02-19,6.63,6.74,6.59,6.59,6100,-39.268910604415744,-0.3160418885816023,-0.4433599827391627,0.1273180941575604,31.270891072412276
2019-02-20,6.63,6.63,6.63,6.63,5643,-44.39639639639655,-0.29520469123410464,-0.4137289244381511,0.11852423320404648,32.16220166803767
2019-02-21,6.7,7.62,6.63,6.7,6130,237.15220949263556,-0.26993105010732865,-0.38496934957198664,0.11503829946465799,33.78063967678494
2019-02-22,6.74,6.74,6.74,6.74,300,34.65346534653454,-0.24386274381019746,-0.3567480284196288,0.11288528460943137,34.738773542191595
2019-02-25,6.77,6.84,6.77,6.77,12500,64.38008130081357,-0.21826663210948105,-0.32905174915759927,0.11078511704811822,35.492643438997106
2019-02-26,6.74,6.74,6.59,6.59,960,-49.14141414141404,-0.21008430377291365,-0.30525826008066215,0.0951739563077485,33.027443953795235
2019-02-27,6.7,6.84,6.7,6.84,900,52.24010982153996,-0.1813365046058264,-0.280473908985695,0.09913740437986862,39.33030484347762
2019-02-28,6.88,6.88,6.49,6.56,5993,-57.831024585049114,-0.17908296959336933,-0.2601957211072299,0.08111275151386055,35.32093810389419
2019-03-01,6.7,6.77,6.7,6.77,2207,34.59993821439514,-0.1585244111694406,-0.23986145911967202,0.08133704795023142,40.24128442481956
2019-03-04,6.91,7.41,6.91,7.02,7720,242.05607476635564,-0.12066771256186737,-0.21602270980811109,0.09535499724624372,45.55162393706812
