time,open,high,low,close,volume
2018-01-02,10.92,10.92,10.63,10.63,2600
2018-01-03,10.7,10.7,10.41,10.49,18600
2018-01-04,10.49,10.56,10.41,10.49,19410
2018-01-05,10.56,10.56,10.41,10.41,7900
2018-01-08,10.49,10.63,10.49,10.49,23630
2018-01-09,10.56,10.7,10.56,10.63,7400
2018-01-10,10.63,10.99,10.63,10.77,25950
2018-01-11,10.63,10.92,10.63,10.7,14200
2018-01-12,10.77,10.77,10.56,10.56,3500
2018-01-15,10.77,10.92,10.77,10.92,20600
2018-01-16,10.92,11.28,10.77,10.99,13934
2018-01-17,10.99,10.99,10.84,10.84,11100
2018-01-18,10.84,10.84,10.84,10.84,0
2018-01-19,10.92,10.99,10.56,10.56,8539
2018-01-22,10.99,11.2,10.99,11.2,27159
2018-01-23,11.35,12.21,11.28,11.71,30509
2018-01-24,11.56,12.42,11.56,12.35,52000
2018-01-25,12.21,12.21,11.42,11.42,17500
2018-01-26,11.42,11.42,10.77,11.06,23040
2018-01-29,10.84,11.2,10.49,11.13,46300
2018-01-30,11.13,11.78,11.13,11.42,5600
2018-01-31,11.13,11.13,10.92,10.92,7710
2018-02-01,10.99,10.99,10.05,10.63,32900
2018-02-02,10.56,10.99,10.56,10.77,9000
2018-02-05,10.92,11.35,10.92,11.28,61565
2018-02-06,11.2,11.2,10.2,11.06,83800
2018-02-07,10.77,11.06,10.77,10.84,16500
2018-02-08,10.84,10.99,10.84,10.84,12800
2018-02-09,10.77,10.77,10.49,10.63,14440
2018-02-12,10.63,11.06,10.63,11.06,5100
2018-02-13,11.06,11.63,11.06,11.56,53752
2018-02-21,11.56,11.71,11.28,11.71,26147
2018-02-22,11.71,11.92,11.56,11.63,26060
2018-02-23,12.14,12.14,11.78,11.92,26000
2018-02-26,11.92,11.99,11.49,11.49,31200
2018-02-27,11.71,11.71,11.2,11.63,16800
2018-02-28,11.49,11.63,10.99,11.56,11800
2018-03-01,11.49,11.71,11.49,11.63,13166
2018-03-02,11.63,11.63,11.35,11.56,14200
2018-03-05,11.49,11.49,11.28,11.35,14500
2018-03-06,11.42,11.56,11.42,11.49,2700
2018-03-07,11.63,11.63,11.35,11.49,11300
2018-03-08,11.35,11.49,11.35,11.35,9700
2018-03-09,11.35,11.63,11.2,11.28,9700
2018-03-12,11.49,11.49,11.13,11.28,4200
2018-03-13,11.35,11.35,10.99,10.99,24600
2018-03-14,11.13,11.13,11.06,11.06,13700
2018-03-15,11.06,11.06,10.84,10.99,37100
2018-03-16,10.99,11.35,10.99,11.06,1730
2018-03-19,11.2,11.2,11.13,11.13,4300
2018-03-20,11.13,11.2,11.13,11.13,15010
2018-03-21,10.99,11.06,10.92,10.99,13200
2018-03-22,10.84,11.2,10.84,11.2,300
2018-03-23,10.77,10.77,10.13,10.41,91000
2018-03-26,10.41,10.77,10.27,10.63,5600
2018-03-27,10.63,10.99,10.63,10.7,9000
2018-03-28,10.84,10.84,10.63,10.63,3500
2018-03-29,10.92,10.92,10.2,10.77,17800
2018-03-30,10.84,10.99,10.27,10.99,35300
2018-04-02,10.77,11.13,10.77,11.13,23500
2018-04-03,10.77,11.06,10.7,11.06,19200
2018-04-04,10.7,10.99,10.63,10.99,8800
2018-04-05,10.92,11.06,10.7,10.7,16900
2018-04-06,10.77,10.84,10.49,10.84,12730
2018-04-09,10.63,10.77,9.77,10.13,26600
2018-04-10,10.05,10.41,8.98,9.7,83520
2018-04-11,9.77,10.41,9.77,10.05,4600
2018-04-12,10.13,10.34,10.05,10.27,35100
2018-04-13,9.98,10.05,9.7,10.05,20320
2018-04-16,10.27,10.27,9.62,9.98,3700
2018-04-17,9.91,9.91,9.77,9.84,13100
2018-04-18,9.7,9.84,9.7,9.84,9400
2018-04-19,9.77,9.77,9.62,9.62,12000
2018-04-20,9.7,9.91,9.7,9.84,10700
2018-04-23,9.77,9.77,9.55,9.55,5790
2018-04-24,9.7,9.7,9.62,9.62,200
2018-04-26,9.48,9.7,9.34,9.34,21500
2018-04-27,9.34,9.48,9.19,9.48,6600
2018-05-02,9.7,10.2,7.97,9.26,25000
2018-05-03,9.12,9.12,8.62,8.98,23900
2018-05-04,9.05,9.12,9.05,9.12,14600
2018-05-07,8.98,8.98,8.26,8.26,31200
2018-05-08,8.26,8.4,7.18,7.18,134000
2018-05-09,7.61,7.61,6.68,6.75,98600
2018-05-10,6.54,6.82,6.18,6.46,56170
2018-05-11,6.46,6.61,6.1,6.54,29810
2018-05-14,6.61,6.97,6.54,6.82,27448
2018-05-15,6.97,6.97,6.75,6.82,10076
2018-05-16,6.97,6.97,6.82,6.89,16445
2018-05-17,6.89,6.89,6.82,6.82,39400
2018-05-18,7.18,7.18,6.54,6.61,12190
2018-05-21,6.89,6.89,6.54,6.68,1210
2018-05-22,6.54,6.54,6.1,6.1,21646
2018-05-23,6.32,6.46,6.32,6.32,16000
2018-05-24,6.39,6.39,6.25,6.25,13810
2018-05-25,6.1,6.1,6.03,6.03,3100
2018-05-28,6.03,6.1,5.67,5.75,10090
2018-05-29,5.75,5.96,5.6,5.96,4745
2018-05-30,5.75,5.75,5.39,5.39,6400
2018-05-31,5.75,5.75,5.67,5.67,9000
2018-06-01,5.75,5.75,5.6,5.6,9560
2018-06-04,5.6,5.67,4.88,5.39,37437
2018-06-05,5.75,5.75,4.74,5.39,17553
2018-06-06,5.39,5.67,5.39,5.67,26793
2018-06-07,5.6,5.75,5.46,5.67,12661
2018-06-08,5.67,5.67,5.53,5.6,9421
2018-06-11,5.67,5.89,5.6,5.6,29272
2018-06-12,5.67,5.67,5.67,5.67,3040
2018-06-13,5.39,5.67,5.39,5.6,20580
2018-06-14,5.67,5.75,5.53,5.53,4400
2018-06-15,5.53,5.6,5.39,5.6,13800
2018-06-18,5.39,5.39,5.03,5.03,5000
2018-06-19,5.1,5.31,5.1,5.31,4500
2018-06-20,5.1,5.31,5.1,5.24,2600
2018-06-21,5.1,5.1,5.03,5.03,4020
2018-06-22,5.1,5.39,5.03,5.17,9100
2018-06-25,5.17,5.31,5.17,5.17,2900
2018-06-26,5.17,5.17,5.1,5.1,10060
2018-06-27,5.17,5.24,5.17,5.17,4824
2018-06-28,5.1,5.24,5.1,5.17,1200
2018-06-29,5.1,5.24,5.1,5.24,10730
2018-07-02,5.17,5.17,4.96,5.1,2630
2018-07-03,5.1,5.1,4.88,5.03,18318
2018-07-04,4.96,5.03,4.96,5.03,5542
2018-07-05,4.96,4.96,4.81,4.81,2900
2018-07-06,4.67,4.96,4.67,4.88,4815
2018-07-09,5.03,5.1,4.6,4.74,14600
2018-07-10,5.03,5.03,4.88,4.96,22600
2018-07-11,5.03,5.03,4.81,4.81,8315
2018-07-12,5.03,5.03,4.88,4.88,4100
2018-07-13,4.96,4.96,4.81,4.81,5107
2018-07-16,4.96,4.96,4.88,4.88,4800
2018-07-17,4.74,4.88,4.74,4.88,4300
2018-07-18,4.81,4.88,4.74,4.88,10410
2018-07-19,4.81,4.81,4.81,4.81,20400
2018-07-20,4.88,5.03,4.74,4.96,27800
2018-07-23,5.03,5.6,5.03,5.6,48345
2018-07-24,5.75,6.32,5.6,5.82,25400
2018-07-25,5.75,5.82,5.46,5.6,13200
2018-07-26,5.24,5.31,4.88,5.31,14800
2018-07-27,5.24,5.24,5.03,5.03,16300
2018-07-30,5.1,5.1,4.96,5.03,19200
2018-07-31,5.03,5.1,4.96,5.1,7600
2018-08-01,5.1,5.1,4.81,5.03,22400
2018-08-02,4.88,4.96,4.81,4.88,8860
2018-08-03,4.96,5.17,4.88,4.88,11000
