time,open,high,low,close,volume
2018-01-02,18.36,18.36,18.36,18.36,190
2018-01-03,17.09,18.36,17.09,18.3,1480
2018-01-04,17.77,18.96,17.09,18.66,780
2018-01-05,18.3,18.66,17.42,18.54,320
2018-01-08,18.54,18.63,18.19,18.19,710
2018-01-09,18.19,18.93,18.19,18.33,700
2018-01-10,17.8,18.3,17.77,18.3,5450
2018-01-11,18.3,18.36,17.15,18.36,7680
2018-01-12,18.36,19.05,18.07,18.66,8270
2018-01-15,18.96,19.25,18.96,18.96,440
2018-01-16,18.96,19.22,18.96,18.96,17610
2018-01-17,19.25,19.25,18.07,18.96,2270
2018-01-18,19.25,19.25,18.66,19.25,5440
2018-01-19,19.25,19.55,19.25,19.55,2200
2018-01-22,19.25,19.25,19.02,19.02,120
2018-01-23,19.02,19.02,19.02,19.02,0
2018-01-24,19.02,19.02,19.02,19.02,0
2018-01-25,19.52,20.14,18.96,19.61,3710
2018-01-26,20.14,20.14,19.55,20.02,1770
2018-01-29,18.68,20.76,18.68,20.76,2230
2018-01-30,20.76,20.76,19.32,19.32,920
2018-01-31,19.53,20.63,19.32,20.27,5550
2018-02-01,20.27,20.27,20.27,20.27,60
2018-02-02,19.11,20.27,18.86,20.27,1510
2018-02-05,20.27,20.45,18.92,20.45,4230
2018-02-06,20.15,20.39,20.15,20.39,200
2018-02-07,20.36,20.48,20.24,20.33,1340
2018-02-08,18.99,20.27,18.99,20.27,20
2018-02-09,19.08,20.15,19.05,20.15,420
2018-02-12,20.21,21.37,20.21,20.21,2980
2018-02-13,20.76,20.76,20.76,20.76,40
2018-02-21,20.88,21.12,20.76,21.0,150
2018-02-22,20.45,20.76,20.45,20.73,220
2018-02-23,20.82,20.97,19.6,20.91,210
2018-02-26,21.06,21.18,20.15,20.66,2730
2018-02-27,20.82,20.82,19.75,20.66,60
2018-02-28,20.73,20.88,20.6,20.6,410
2018-03-01,20.51,20.76,20.51,20.57,930
2018-03-02,20.76,20.76,19.44,20.57,250
2018-03-05,20.51,21.15,20.51,20.66,160
2018-03-06,19.69,20.63,19.66,19.66,180
2018-03-07,19.78,19.78,19.78,19.78,2110
2018-03-08,19.66,19.66,18.44,19.57,140
2018-03-09,20.05,20.45,19.53,20.45,1290
2018-03-12,21.03,21.03,20.45,20.76,12190
2018-03-13,20.45,21.98,20.45,21.67,8570
2018-03-14,22.28,23.14,20.45,22.28,740
2018-03-15,23.08,23.08,20.73,22.28,1860
2018-03-16,22.22,22.89,21.98,22.46,170
2018-03-19,22.16,22.59,22.16,22.53,360
2018-03-20,22.56,22.59,22.5,22.5,1620
2018-03-21,21.06,22.37,21.06,22.37,740
2018-03-22,22.34,22.34,20.88,22.28,710
2018-03-23,20.79,22.16,20.73,22.04,1080
2018-03-26,20.57,22.25,20.57,22.25,150
2018-03-27,20.79,21.73,20.79,21.37,850
2018-03-28,21.37,21.37,21.37,21.37,40
2018-03-29,21.37,21.98,20.15,21.21,780
2018-03-30,21.21,22.59,19.75,22.59,3280
2018-04-02,21.15,22.46,21.15,22.46,50
2018-04-03,22.46,23.78,21.03,21.95,1180
2018-04-04,20.79,22.46,20.79,22.22,750
2018-04-05,22.53,22.53,20.97,22.19,40
2018-04-06,20.97,22.28,20.94,22.28,270
2018-04-09,22.77,22.77,21.37,22.34,7860
2018-04-10,22.59,22.59,21.4,22.53,290
2018-04-11,22.5,22.5,22.5,22.5,30
2018-04-12,21.4,22.46,21.0,21.98,3530
2018-04-13,22.28,22.4,21.06,22.22,3230
2018-04-16,22.25,23.5,22.25,23.5,240
2018-04-17,22.37,22.37,22.25,22.37,480
2018-04-18,22.34,23.14,21.37,23.14,700
2018-04-19,21.52,22.59,21.52,22.46,250
2018-04-20,20.94,22.46,20.94,22.46,340
2018-04-23,22.46,22.46,21.37,22.4,330
2018-04-24,20.94,22.13,20.94,22.13,150
2018-04-26,22.13,22.13,22.13,22.13,50
2018-04-27,22.13,22.13,22.01,22.13,110
2018-05-02,20.79,20.79,20.79,20.79,30
2018-05-03,22.01,22.01,21.37,21.95,1140
2018-05-04,21.95,21.95,21.95,21.95,0
2018-05-07,20.79,21.92,20.79,21.92,30
2018-05-08,21.92,22.59,21.92,22.59,120
2018-05-09,21.98,22.28,21.98,22.28,120
2018-05-10,20.85,21.95,20.85,21.95,520
2018-05-11,21.95,21.95,21.95,21.95,0
2018-05-14,21.92,23.2,21.92,23.2,510
2018-05-15,21.58,23.2,21.58,23.2,2230
2018-05-16,21.61,22.89,21.58,22.59,460
2018-05-17,22.59,22.59,22.59,22.59,30
2018-05-18,21.03,22.53,21.03,22.53,2290
2018-05-21,22.53,22.53,22.53,22.53,50
2018-05-22,22.53,22.53,22.53,22.53,100
2018-05-23,22.53,22.53,20.97,20.97,1110
2018-05-24,19.63,21.67,19.63,21.67,1710
2018-05-25,21.73,22.28,21.73,22.28,140
2018-05-28,22.28,22.28,22.28,22.28,0
2018-05-29,22.28,22.28,22.28,22.28,250
2018-05-30,22.28,22.28,22.28,22.28,0
2018-05-31,22.25,23.01,22.25,23.01,340
2018-06-01,22.22,22.8,22.22,22.8,2140
2018-06-04,22.71,22.77,22.71,22.77,2180
2018-06-05,21.27,21.27,21.27,21.27,10
2018-06-06,22.43,22.59,22.37,22.37,1340
2018-06-07,22.59,22.59,22.59,22.59,20
2018-06-08,22.46,22.77,22.46,22.77,2000
2018-06-11,22.77,23.75,22.77,23.75,287970
2018-06-12,23.2,23.2,22.89,22.89,6700
2018-06-13,22.59,23.2,22.59,22.89,7000
2018-06-14,22.89,22.89,22.59,22.89,13740
2018-06-15,22.89,22.89,22.89,22.89,9590
2018-06-18,22.01,23.32,22.01,22.89,7460
2018-06-19,22.89,22.89,22.83,22.83,10060
2018-06-20,22.83,22.83,22.83,22.83,50
2018-06-21,22.89,22.89,22.86,22.86,2030
2018-06-22,23.32,23.32,23.2,23.2,70
2018-06-25,23.2,23.2,23.2,23.2,0
2018-06-26,23.47,23.47,23.47,23.47,10
2018-06-27,23.47,23.47,23.47,23.47,10
2018-06-28,23.2,23.2,23.2,23.2,1390
2018-06-29,23.47,23.75,23.2,23.2,760
2018-07-02,21.76,23.66,21.76,23.5,80
2018-07-03,23.5,23.5,23.5,23.5,0
2018-07-04,21.89,23.5,21.89,23.5,150
2018-07-05,22.89,22.89,21.89,21.89,1550
2018-07-06,21.4,23.2,21.37,23.2,1030
2018-07-09,23.99,23.99,23.99,23.99,10
2018-07-10,23.62,23.81,23.2,23.2,3600
2018-07-11,23.2,23.69,22.89,23.69,2840
2018-07-12,23.2,23.56,23.2,23.56,3060
2018-07-13,23.56,23.56,23.56,23.56,300
2018-07-16,22.4,23.2,22.4,23.2,1300
2018-07-17,23.2,23.2,23.2,23.2,1000
2018-07-18,24.42,24.42,23.84,23.84,120
2018-07-19,23.81,23.81,23.81,23.81,20
2018-07-20,23.81,25.03,23.5,25.03,380
2018-07-23,24.11,24.39,23.81,24.39,1420
2018-07-24,24.42,24.42,24.11,24.11,2140
2018-07-25,24.48,25.03,24.48,24.6,1250
2018-07-26,24.72,25.03,24.72,25.03,2720
2018-07-27,25.03,25.15,24.97,25.03,4060
2018-07-30,26.49,26.49,26.19,26.37,5130
2018-07-31,26.37,26.37,26.24,26.31,1430
2018-08-01,26.31,26.31,25.26,25.26,240
2018-08-02,24.6,24.93,23.52,23.52,2970
2018-08-03,23.52,24.21,23.52,24.21,370
2018-08-06,22.96,25.52,22.96,25.52,310
2018-08-07,24.86,24.93,23.81,23.81,510
2018-08-08,22.63,23.78,22.63,23.78,430
2018-08-09,22.3,23.75,22.17,23.75,1230
2018-08-10,23.29,23.75,23.29,23.75,810
2018-08-13,23.09,23.09,23.09,23.09,80
2018-08-14,23.03,23.03,22.89,22.96,420
2018-08-15,22.96,22.96,22.66,22.66,300
2018-08-16,22.66,22.66,22.66,22.66,0
2018-08-17,22.63,23.03,22.63,23.03,460
2018-08-20,22.37,22.37,22.37,22.37,30
2018-08-21,22.96,22.96,22.37,22.37,120
2018-08-22,22.34,22.34,22.34,22.34,100
2018-08-23,22.3,22.3,22.3,22.3,10
2018-08-24,22.17,22.96,22.17,22.83,670
2018-08-27,23.48,23.48,23.48,23.48,30
2018-08-28,22.83,22.83,22.83,22.83,300
2018-08-29,22.63,22.83,22.63,22.63,160
2018-08-30,22.63,22.63,22.63,22.63,0
2018-08-31,22.96,22.96,22.96,22.96,10
2018-09-04,22.96,22.96,22.5,22.5,140
2018-09-05,22.5,22.5,22.5,22.5,90
2018-09-06,22.96,23.62,22.96,23.62,20
2018-09-07,23.62,23.62,23.62,23.62,0
2018-09-10,22.3,22.3,22.3,22.3,20
2018-09-11,22.96,22.96,22.24,22.24,410
2018-09-12,21.98,21.98,21.94,21.94,920
2018-09-13,21.94,22.96,21.94,22.96,360
2018-09-14,22.96,22.96,22.96,22.96,50
2018-09-17,22.96,22.96,22.96,22.96,0
2018-09-18,22.96,22.96,22.96,22.96,40
2018-09-19,22.63,22.63,22.63,22.63,500
2018-09-20,22.63,22.63,22.63,22.63,300
2018-09-21,22.63,22.7,22.63,22.7,60
2018-09-24,22.96,24.27,22.96,24.27,3170
2018-09-25,24.27,25.91,23.94,25.91,4970
2018-09-26,26.9,27.55,25.58,25.65,14190
2018-09-27,25.58,25.65,25.58,25.65,510
2018-09-28,26.9,27.16,26.9,27.09,920
2018-10-01,28.86,28.86,28.8,28.8,640
2018-10-02,28.8,28.8,26.9,28.37,2460
2018-10-03,28.21,28.21,26.76,27.55,2160
2018-10-04,28.21,28.47,26.93,26.93,3490
2018-10-05,26.27,26.27,26.17,26.24,870
2018-10-08,25.39,25.39,25.35,25.35,50
2018-10-09,25.35,25.58,24.63,25.58,3150
2018-10-10,25.98,25.98,25.98,25.98,20
2018-10-11,24.27,27.78,24.17,27.78,7770
2018-10-12,28.47,28.86,27.78,28.8,60
2018-10-15,30.67,30.67,28.73,28.86,980
2018-10-16,26.86,28.83,26.86,26.86,600
2018-10-17,26.86,27.55,26.86,26.86,2020
2018-10-18,28.47,28.47,25.06,28.44,1120
2018-10-19,26.96,28.44,26.96,28.44,1680
2018-10-22,28.44,28.44,28.44,28.44,0
2018-10-23,28.6,28.86,26.96,26.96,7300
2018-10-24,28.8,28.83,28.8,28.83,30
2018-10-25,28.83,28.86,26.9,28.86,2020
2018-10-26,28.86,28.86,28.86,28.86,10
2018-10-29,28.86,28.86,28.83,28.86,270
2018-10-30,28.86,28.86,26.9,26.9,170
2018-10-31,27.55,27.55,26.9,26.93,350
2018-11-01,26.24,27.22,25.62,25.62,1630
2018-11-02,25.71,26.24,25.71,25.91,1110
2018-11-05,26.17,26.17,25.91,25.91,1180
2018-11-06,25.88,26.86,25.85,25.91,570
2018-11-07,25.91,27.68,24.14,27.68,14310
2018-11-08,27.68,29.52,27.68,29.52,2800
2018-11-09,27.55,30.5,27.55,30.5,1730
2018-11-12,31.13,31.13,30.5,31.06,4590
2018-11-13,30.8,31.06,30.8,31.06,1550
2018-11-14,28.99,28.99,28.9,28.9,2000
2018-11-15,30.5,30.77,28.9,28.9,1250
2018-11-16,30.73,30.77,30.73,30.77,1370
2018-11-19,31.45,31.45,28.93,28.93,1310
2018-11-20,30.73,30.77,30.7,30.77,1550
2018-11-21,30.77,30.77,28.63,28.63,1020
2018-11-22,30.37,30.37,28.86,28.86,460
2018-11-23,30.18,30.83,30.18,30.83,600
2018-11-26,30.83,30.83,29.22,29.29,1810
2018-11-27,29.29,29.29,29.29,29.29,0
2018-11-28,29.26,29.52,29.26,29.26,200
2018-11-29,29.52,29.52,29.52,29.52,10
2018-11-30,29.52,29.52,28.27,28.27,70
2018-12-03,28.27,29.52,28.27,29.52,4110
2018-12-04,28.9,28.9,28.9,28.9,10
2018-12-05,28.24,28.27,28.24,28.27,20
2018-12-06,29.49,29.52,29.49,29.52,120
2018-12-07,27.75,29.81,27.75,29.81,200
2018-12-10,28.21,29.19,28.21,29.19,1470
2018-12-11,28.27,28.37,28.27,28.37,2900
2018-12-12,28.27,29.52,28.27,29.52,1110
2018-12-13,28.44,28.44,28.44,28.44,10
2018-12-14,28.86,28.9,28.54,28.54,1080
2018-12-17,28.54,28.6,28.54,28.54,1530
2018-12-18,28.67,28.67,28.21,28.21,1420
2018-12-19,28.24,29.52,28.21,29.52,1110
2018-12-20,29.98,29.98,28.21,28.27,4070
2018-12-21,28.54,28.54,28.21,28.21,2430
2018-12-24,27.16,28.34,27.16,28.21,710
2018-12-25,26.7,26.73,26.7,26.73,700
2018-12-26,26.9,28.6,25.94,25.94,240
2018-12-27,27.55,27.75,25.98,27.75,1060
2018-12-28,26.9,27.42,26.37,26.37,1350
2019-01-02,26.37,28.17,25.65,25.65,520
2019-01-03,24.93,24.93,23.94,24.27,1330
2019-01-04,24.27,24.93,23.62,24.93,680
2019-01-07,25.58,26.67,25.26,25.91,2460
2019-01-08,26.9,27.68,26.67,26.67,1160
2019-01-09,26.9,28.14,26.9,28.14,2100
2019-01-10,27.22,28.21,27.22,28.17,400
2019-01-11,28.17,28.17,28.17,28.17,0
2019-01-14,28.14,28.14,27.88,27.88,3470
2019-01-15,28.01,28.21,28.01,28.21,2150
2019-01-16,28.21,28.21,28.21,28.21,10
2019-01-17,28.21,28.21,28.21,28.21,0
2019-01-18,28.21,28.86,28.21,28.86,3010
2019-01-21,28.21,28.21,28.21,28.21,1000
2019-01-22,27.55,29.52,27.55,29.52,640
2019-01-23,29.52,29.52,29.52,29.52,0
2019-01-24,29.52,29.52,29.52,29.52,0
2019-01-25,29.19,29.19,29.19,29.19,600
2019-01-28,29.19,29.52,29.19,29.52,50
2019-01-29,29.52,29.52,29.19,29.19,30
2019-01-30,29.19,29.19,29.19,29.19,20
2019-01-31,30.18,30.18,28.27,28.27,30
2019-02-01,28.27,28.27,28.27,28.27,0
2019-02-11,28.86,28.86,28.86,28.86,40
2019-02-12,30.18,30.18,30.18,30.18,2880
2019-02-13,29.85,29.85,28.93,29.85,1250
2019-02-14,29.85,29.85,29.85,29.85,0
2019-02-15,30.5,30.5,28.86,29.52,1670
2019-02-18,29.52,29.52,28.86,29.52,5040
2019-02-19,29.52,30.89,29.52,30.89,570
2019-02-20,30.89,30.89,29.86,29.86,30
2019-02-21,29.86,29.86,29.52,29.52,370
2019-02-22,30.51,30.51,30.17,30.17,20
2019-02-25,30.17,30.17,30.17,30.17,80
2019-02-26,29.86,29.86,29.52,29.52,220
2019-02-27,30.41,30.41,30.2,30.2,360
2019-02-28,29.86,29.86,29.17,29.17,1010
2019-03-01,29.17,29.86,29.17,29.52,370
2019-03-04,29.52,29.52,29.52,29.52,270
2019-03-05,29.83,29.83,29.83,29.83,10
2019-03-06,29.52,29.52,29.52,29.52,10
2019-03-07,29.17,29.48,28.52,29.48,70
2019-03-08,29.45,29.45,29.45,29.45,110
2019-03-11,29.17,29.17,28.49,28.49,560
2019-03-12,28.49,28.49,28.49,28.49,0
2019-03-13,28.49,28.49,28.49,28.49,0
2019-03-14,28.83,29.17,28.59,28.49,6270
2019-03-15,29.17,29.17,29.17,29.17,170
2019-03-18,29.17,29.17,29.17,29.17,0
2019-03-19,28.18,28.18,28.18,28.18,20
2019-03-20,28.18,28.18,27.53,27.53,5000
2019-03-21,28.15,28.15,27.8,27.87,1040
2019-03-22,28.15,28.15,28.15,28.15,200
2019-03-25,28.01,28.01,28.01,28.01,70
2019-03-26,29.52,29.86,29.52,29.86,30
2019-03-27,29.52,29.52,28.15,29.17,3150
2019-03-28,29.52,29.52,27.46,28.15,2150
2019-03-29,29.17,29.17,27.46,29.17,2180
2019-04-01,27.46,27.46,27.18,27.46,3660
2019-04-02,28.01,28.01,27.18,27.94,90
2019-04-03,27.94,27.94,27.46,27.46,1280
2019-04-04,27.46,27.46,27.46,27.46,1050
2019-04-05,27.46,27.46,27.46,27.46,20
2019-04-08,27.29,28.35,27.29,27.46,1200
2019-04-09,27.8,27.8,27.46,27.46,260
2019-04-10,27.46,27.46,27.46,27.46,0
2019-04-11,27.46,27.49,27.46,27.46,940
2019-04-12,27.46,27.46,27.46,27.46,0
2019-04-16,27.46,27.46,27.46,27.46,140
2019-04-17,27.46,27.46,27.18,27.18,260
2019-04-18,27.18,27.18,27.18,27.18,0
2019-04-19,26.84,26.84,26.09,26.09,3050
2019-04-22,26.09,26.09,26.09,26.09,0
2019-04-23,26.09,26.09,26.09,26.09,250
2019-04-24,26.09,26.09,26.09,26.09,0
2019-04-25,26.09,26.09,26.09,26.09,100
2019-04-26,26.39,26.39,26.39,26.39,20
2019-05-02,26.39,26.39,26.39,26.39,120
2019-05-03,26.39,26.39,26.39,26.39,0
2019-05-06,26.39,26.77,26.39,26.77,330
2019-05-07,28.01,28.01,27.9,28.01,330
2019-05-08,28.01,28.01,28.01,28.01,0
2019-05-09,26.12,26.12,26.12,26.12,100
2019-05-10,26.12,26.12,26.12,26.12,0
2019-05-13,26.39,26.77,26.39,26.77,780
2019-05-14,26.43,26.43,26.43,26.43,30
2019-05-15,26.43,26.43,26.43,26.43,0
2019-05-16,26.43,26.43,26.43,26.43,0
2019-05-17,26.43,26.43,26.43,26.43,0
