time,open,high,low,close,volume
2018-01-02,9.88,9.88,9.88,9.88,0
2018-01-03,9.88,9.88,9.88,9.88,37
2018-01-04,8.89,8.89,8.89,8.89,100
2018-01-05,8.89,8.89,8.89,8.89,67
2018-01-08,8.89,8.89,8.89,8.89,0
2018-01-09,8.89,8.89,8.89,8.89,0
2018-01-10,8.89,8.89,8.89,8.89,0
2018-01-11,8.17,8.17,8.17,8.17,600
2018-01-12,8.17,8.17,8.17,8.17,0
2018-01-15,8.17,8.17,8.17,8.17,0
2018-01-16,8.17,8.17,8.17,8.17,0
2018-01-17,8.17,8.17,8.17,8.17,0
2018-01-18,8.17,8.17,8.17,8.17,86
2018-01-19,8.17,8.17,8.17,8.17,0
2018-01-22,8.17,8.17,8.17,8.17,46
2018-01-23,8.17,8.17,8.17,8.17,0
2018-01-24,8.17,8.17,8.17,8.17,0
2018-01-25,8.23,8.23,8.23,8.23,2100
2018-01-26,8.23,8.23,8.23,8.23,0
2018-01-29,8.23,8.23,8.23,8.23,0
2018-01-30,8.23,8.23,8.23,8.23,2200
2018-01-31,8.23,8.23,8.23,8.23,0
2018-02-01,8.23,8.23,7.97,8.03,11300
2018-02-02,8.03,8.03,8.03,8.03,0
2018-02-05,8.03,8.03,8.03,8.03,0
2018-02-06,8.03,8.03,8.03,8.03,0
2018-02-07,8.03,8.03,8.03,8.03,0
2018-02-08,8.03,8.03,8.03,8.03,0
2018-02-09,8.03,8.03,8.03,8.03,0
2018-02-12,7.84,7.84,7.84,7.84,1500
2018-02-13,7.84,7.84,7.84,7.84,0
2018-02-21,7.84,7.84,7.84,7.84,0
2018-02-22,8.49,8.56,8.49,8.56,3300
2018-02-23,8.56,8.56,8.56,8.56,0
2018-02-26,8.56,8.56,8.56,8.56,1000
2018-02-27,8.56,8.56,8.56,8.56,1003
2018-02-28,8.56,8.56,8.56,8.56,1500
2018-03-01,8.56,8.56,8.56,8.56,0
2018-03-02,8.56,8.56,8.56,8.56,5000
2018-03-05,8.56,8.56,8.56,8.56,0
2018-03-06,8.63,8.63,8.3,8.3,5600
2018-03-07,8.63,8.63,8.43,8.43,5124
2018-03-08,8.43,8.43,8.43,8.43,0
2018-03-09,8.43,8.43,8.43,8.43,0
2018-03-12,8.56,8.69,8.1,8.23,5856
2018-03-13,8.23,8.23,8.23,8.23,0
2018-03-14,8.23,8.23,8.23,8.23,0
2018-03-15,8.23,8.23,8.23,8.23,26
2018-03-16,8.03,8.63,8.03,8.1,10320
2018-03-19,8.63,8.63,8.1,8.1,5100
2018-03-20,8.1,8.1,8.1,8.1,0
2018-03-21,8.56,8.56,8.56,8.56,101
2018-03-22,8.56,8.56,8.56,8.56,0
2018-03-23,8.56,8.56,8.56,8.56,0
2018-03-26,8.56,8.56,8.56,8.56,3
2018-03-27,8.17,8.63,8.17,8.63,5100
2018-03-28,8.63,8.63,8.63,8.63,0
2018-03-29,8.63,8.63,8.63,8.63,0
2018-03-30,8.63,8.63,8.63,8.63,0
2018-04-02,8.63,8.63,8.63,8.63,3
2018-04-03,8.63,8.63,8.63,8.63,0
2018-04-04,8.63,8.63,8.63,8.63,27
2018-04-05,8.63,8.63,8.63,8.63,0
2018-04-06,8.63,8.63,8.63,8.63,0
2018-04-09,8.23,8.23,8.23,8.23,100
2018-04-10,8.23,8.23,8.23,8.23,0
2018-04-11,8.23,8.23,8.23,8.23,0
2018-04-12,8.23,8.23,8.23,8.23,0
2018-04-13,8.23,8.23,8.23,8.23,57
2018-04-16,8.23,8.23,8.23,8.23,0
2018-04-17,8.23,8.23,8.23,8.23,0
2018-04-18,8.23,8.23,8.23,8.23,0
2018-04-19,9.02,9.02,9.02,9.02,1400
2018-04-20,9.02,9.02,9.02,9.02,0
2018-04-23,9.02,9.02,9.02,9.02,0
2018-04-24,9.02,9.02,9.02,9.02,0
2018-04-26,9.02,9.02,9.02,9.02,0
2018-04-27,9.02,9.02,9.02,9.02,0
2018-05-02,9.02,9.02,9.02,9.02,0
2018-05-03,9.02,9.02,9.02,9.02,900
2018-05-04,9.02,9.02,9.02,9.02,0
2018-05-07,9.02,9.02,9.02,9.02,0
2018-05-08,9.02,9.02,9.02,9.02,0
2018-05-09,9.02,9.02,9.02,9.02,0
2018-05-10,9.02,9.02,9.02,9.02,0
2018-05-11,9.22,9.22,9.22,9.22,3000
2018-05-14,9.22,9.22,9.22,9.22,0
2018-05-15,9.22,9.22,9.22,9.22,0
2018-05-16,9.22,9.22,9.22,9.22,0
2018-05-17,9.22,9.22,9.22,9.22,0
2018-05-18,9.22,9.22,9.22,9.22,0
2018-05-21,9.22,9.22,9.22,9.22,0
2018-05-22,9.22,9.22,9.22,9.22,500
2018-05-23,9.22,9.22,9.22,9.22,510
2018-05-24,9.22,9.22,9.22,9.22,0
