time,open,high,low,close,volume
2018-01-02,13.11,13.11,11.47,11.47,600
2018-01-03,12.81,12.95,10.93,12.95,3200
2018-01-04,12.84,12.84,12.57,12.57,400
2018-01-05,12.76,12.76,10.98,12.76,1400
2018-01-08,11.2,12.57,11.2,12.57,300
2018-01-09,12.57,12.57,12.57,12.57,100
2018-01-10,12.54,12.57,12.54,12.54,300
2018-01-11,12.54,12.54,12.54,12.54,0
2018-01-12,12.29,12.29,12.29,12.29,200
2018-01-15,12.29,12.29,12.02,12.02,1301
2018-01-16,12.29,12.29,12.29,12.29,100
2018-01-17,12.29,12.29,12.29,12.29,0
2018-01-18,12.29,12.29,12.29,12.29,0
2018-01-19,12.02,12.16,12.02,12.16,2000
2018-01-22,12.05,12.05,12.05,12.05,0
2018-01-23,12.05,12.05,12.05,12.05,0
2018-01-24,11.97,11.97,11.97,11.97,100
2018-01-25,11.47,11.47,11.47,11.47,2800
2018-01-26,11.75,11.75,10.93,11.2,1900
2018-01-29,12.02,12.57,11.47,11.47,3200
2018-01-30,12.16,12.29,11.58,11.58,900
2018-01-31,12.02,12.16,12.02,12.16,310
2018-02-01,11.75,11.97,11.75,11.75,1800
2018-02-02,11.75,11.75,11.75,11.75,5600
2018-02-05,12.57,12.57,11.47,11.47,216
2018-02-06,11.2,11.47,11.2,11.47,9700
2018-02-07,11.23,11.23,11.23,11.23,0
2018-02-08,11.47,11.47,11.47,11.47,2000
2018-02-09,12.29,12.29,12.02,12.02,800
2018-02-12,12.57,12.57,12.57,12.57,100
2018-02-13,12.57,12.57,12.57,12.57,0
2018-02-21,12.57,12.57,12.57,12.57,0
2018-02-22,12.57,12.57,12.57,12.57,0
2018-02-23,12.27,12.29,12.02,12.29,700
2018-02-26,12.57,12.57,11.75,12.29,14000
2018-02-27,12.02,12.02,11.88,11.88,600
2018-02-28,11.75,11.8,11.75,11.8,200
2018-03-01,11.47,11.61,11.47,11.47,13100
2018-03-02,12.29,12.29,12.16,12.16,400
2018-03-05,12.24,12.24,12.24,12.24,0
2018-03-06,12.29,12.29,12.29,12.29,300
2018-03-07,12.02,12.02,12.02,12.02,300
2018-03-08,12.02,12.02,11.88,11.97,400
2018-03-09,12.29,12.29,12.29,12.29,500
2018-03-12,12.29,12.29,12.29,12.29,0
2018-03-13,12.29,12.29,12.29,12.29,0
2018-03-14,12.16,12.16,11.88,11.88,800
2018-03-15,11.97,11.97,11.97,11.97,0
2018-03-16,12.16,12.16,11.88,11.97,1400
2018-03-19,12.07,12.16,11.75,12.16,1500
2018-03-20,11.83,11.83,11.83,11.83,0
2018-03-21,12.24,12.29,12.24,12.24,2800
2018-03-22,12.24,12.27,12.24,12.27,300
2018-03-23,12.24,12.24,12.18,12.18,2300
2018-03-26,12.29,12.29,12.18,12.18,400
2018-03-27,12.27,12.29,12.16,12.16,1200
2018-03-28,12.21,12.21,12.21,12.21,0
2018-03-29,12.57,12.57,12.1,12.1,1500
2018-03-30,10.41,12.84,10.41,12.16,3600
2018-04-02,12.57,12.84,12.57,12.57,2800
2018-04-03,12.54,12.57,12.54,12.57,500
2018-04-04,12.51,12.51,12.51,12.51,400
2018-04-05,12.27,12.29,12.24,12.29,2300
2018-04-06,12.51,12.51,12.51,12.51,100
2018-04-09,12.7,12.98,12.7,12.98,300
2018-04-10,13.11,13.11,12.43,12.43,2300
2018-04-11,13.09,13.09,12.57,12.57,500
2018-04-12,13.09,13.09,13.09,13.09,110
2018-04-13,12.84,13.06,12.57,12.98,2800
2018-04-16,13.36,13.36,12.57,13.0,3300
2018-04-17,12.98,13.39,12.98,13.39,4600
2018-04-18,13.22,13.6,13.22,13.6,7700
2018-04-19,13.52,13.66,13.39,13.66,4900
2018-04-20,13.93,13.93,13.93,13.93,100
2018-04-23,13.93,14.21,13.39,13.39,12450
2018-04-24,13.66,13.8,13.66,13.8,800
2018-04-26,13.63,13.66,12.84,12.84,1300
2018-04-27,13.36,13.39,13.36,13.39,400
2018-05-02,13.66,13.8,13.63,13.63,1000
2018-05-03,13.93,14.07,13.52,13.52,1000
2018-05-04,13.8,13.8,13.39,13.39,1000
2018-05-07,13.39,13.44,13.39,13.44,200
2018-05-08,13.41,13.41,13.41,13.41,0
2018-05-09,13.39,13.39,13.25,13.25,1100
2018-05-10,13.58,13.58,13.25,13.25,6800
2018-05-11,13.39,13.39,13.39,13.39,0
2018-05-14,13.25,13.25,13.25,13.25,200
2018-05-15,13.25,13.28,13.25,13.25,600
2018-05-16,13.25,13.25,13.25,13.25,0
2018-05-17,13.74,14.18,13.71,13.89,6100
2018-05-18,14.03,14.03,14.03,14.03,200
2018-05-21,14.03,14.03,14.03,14.03,0
2018-05-22,14.03,14.03,14.03,14.03,0
2018-05-23,14.03,14.03,14.03,14.03,0
2018-05-24,14.03,14.03,14.03,14.03,0
2018-05-25,14.03,14.03,14.03,14.03,0
2018-05-28,14.32,14.32,12.15,12.44,2900
2018-05-29,12.15,12.15,11.86,11.86,4000
2018-05-30,12.01,12.01,12.01,12.01,0
2018-05-31,12.44,12.44,12.44,12.44,100
2018-06-01,13.02,13.02,13.02,13.02,100
2018-06-04,12.15,12.15,11.86,11.86,1800
2018-06-05,12.15,12.15,12.15,12.15,1700
2018-06-06,12.15,12.15,12.15,12.15,1000
2018-06-07,12.15,12.15,12.15,12.15,0
2018-06-08,12.58,12.73,11.92,12.15,2820
2018-06-11,13.61,13.97,13.61,13.64,10700
2018-06-12,12.97,12.97,12.64,12.64,900
2018-06-13,13.24,13.24,13.11,13.11,500
2018-06-14,13.71,13.71,13.71,13.71,100
2018-06-15,13.71,13.71,13.71,13.71,0
2018-06-18,13.31,13.37,13.31,13.37,500
2018-06-19,12.74,12.74,12.51,12.51,600
2018-06-20,12.97,12.97,12.94,12.94,2600
2018-06-21,11.64,13.21,11.64,12.97,8200
2018-06-22,12.97,12.97,12.97,12.97,100
2018-06-25,12.81,12.81,12.81,12.81,200
2018-06-26,12.77,12.81,12.77,12.81,400
2018-06-27,12.64,12.64,12.48,12.48,2300
2018-06-28,12.38,12.38,12.38,12.38,900
2018-06-29,12.38,12.38,12.38,12.38,0
2018-07-02,12.38,12.38,12.38,12.38,0
2018-07-03,12.61,12.61,12.38,12.51,600
2018-07-04,12.14,12.14,12.14,12.14,5000
2018-07-05,12.48,12.48,11.98,11.98,2700
2018-07-06,12.11,12.14,11.98,11.98,1400
2018-07-09,12.11,12.11,12.11,12.11,0
2018-07-10,11.81,11.98,11.81,11.91,3300
2018-07-11,12.24,12.24,11.64,11.64,2200
