time,open,high,low,close,volume
2018-01-02,5.42,5.5,5.4,5.45,3310030
2018-01-03,5.45,5.68,5.4,5.58,6782770
2018-01-04,5.53,5.68,5.53,5.65,6287380
2018-01-05,5.58,5.63,5.53,5.55,4328700
2018-01-08,5.55,5.58,5.45,5.53,3936640
2018-01-09,5.53,5.76,5.48,5.63,6557520
2018-01-10,5.55,5.81,5.55,5.71,7446810
2018-01-11,5.6,5.76,5.58,5.68,6321480
2018-01-12,5.6,5.99,5.6,5.76,11275550
2018-01-15,5.73,5.94,5.73,5.86,7351380
2018-01-16,5.83,5.89,5.73,5.83,4737850
2018-01-17,5.78,5.83,5.58,5.58,3804990
2018-01-18,5.55,5.71,5.48,5.68,4493960
2018-01-19,5.68,5.81,5.65,5.68,4791330
2018-01-22,5.63,5.73,5.6,5.6,3560910
2018-01-23,5.6,5.6,5.6,5.6,0
2018-01-24,5.6,5.6,5.6,5.6,0
2018-01-25,5.58,5.63,5.5,5.6,3261740
2018-01-26,5.58,5.63,5.53,5.6,4049540
2018-01-29,5.55,5.71,5.55,5.6,5323560
2018-01-30,5.58,5.6,5.53,5.53,4327420
2018-01-31,5.53,5.58,5.37,5.42,5223250
2018-02-01,5.4,5.42,5.25,5.35,2610140
2018-02-02,5.35,5.35,5.25,5.32,1779100
2018-02-05,5.35,5.45,5.19,5.22,3058160
2018-02-06,4.86,5.07,4.86,4.86,3423190
2018-02-07,4.99,5.17,4.91,5.02,1630770
2018-02-08,5.02,5.02,4.81,4.91,805670
2018-02-09,4.59,4.91,4.57,4.91,2009140
2018-02-12,4.96,5.09,4.94,5.09,955590
2018-02-13,5.12,5.22,4.99,5.22,2233370
2018-02-21,5.25,5.27,5.17,5.25,1717230
2018-02-22,5.27,5.27,5.17,5.22,2076520
2018-02-23,5.19,5.22,5.14,5.17,2102600
2018-02-26,5.14,5.19,5.09,5.12,2115270
2018-02-27,5.12,5.17,5.1,5.11,1739330
2018-02-28,5.12,5.12,5.07,5.08,1983940
2018-03-01,5.1,5.1,4.98,5.02,1379980
2018-03-02,4.94,5.02,4.91,4.98,1289080
2018-03-05,5.04,5.17,4.98,5.12,2763090
2018-03-06,5.09,5.19,5.08,5.19,2927960
2018-03-07,5.17,5.27,5.14,5.19,2282630
2018-03-08,5.17,5.19,5.12,5.17,1622880
2018-03-09,5.17,5.22,5.12,5.17,1693050
2018-03-12,5.17,5.22,5.12,5.17,1800440
2018-03-13,5.14,5.53,5.14,5.53,4750840
2018-03-14,5.63,5.78,5.6,5.78,5912590
2018-03-15,5.73,5.78,5.71,5.73,3046630
2018-03-16,5.71,5.86,5.58,5.78,4158810
2018-03-19,5.73,5.76,5.55,5.63,3256640
2018-03-20,5.63,5.78,5.53,5.63,3240200
2018-03-21,5.63,5.81,5.63,5.63,3591580
2018-03-22,5.63,5.73,5.48,5.53,2252730
2018-03-23,5.22,5.35,5.14,5.14,2956670
2018-03-26,5.14,5.48,5.02,5.48,3197820
2018-03-27,5.5,5.53,5.3,5.37,2242420
2018-03-28,5.3,5.37,5.25,5.35,2338690
2018-03-29,5.32,5.35,5.19,5.32,3316860
2018-03-30,5.37,5.68,5.37,5.68,6027860
2018-04-02,5.76,5.91,5.76,5.81,4181450
2018-04-03,5.81,6.19,5.63,6.19,9115180
2018-04-04,6.27,6.6,6.24,6.35,8460780
2018-04-05,6.32,6.63,6.22,6.6,6649570
2018-04-06,6.58,6.73,6.45,6.45,5133820
2018-04-09,6.37,6.88,6.37,6.88,9041660
2018-04-10,6.83,7.34,6.81,7.16,11854080
2018-04-11,7.04,7.16,6.81,6.91,6041530
2018-04-12,6.83,7.09,6.68,7.01,6489960
2018-04-13,6.99,7.14,6.83,6.96,5252260
2018-04-16,6.91,6.96,6.78,6.96,3950240
2018-04-17,6.91,7.09,6.88,6.96,4170860
2018-04-18,6.93,7.27,6.93,7.11,7055420
2018-04-19,7.09,7.16,6.88,7.06,3996670
2018-04-20,7.01,7.52,6.99,7.5,8266570
2018-04-23,7.47,7.68,7.16,7.16,10786920
2018-04-24,7.14,7.57,7.09,7.42,6599780
2018-04-26,7.42,7.57,7.24,7.47,5726220
2018-04-27,7.42,7.68,7.39,7.57,6705370
2018-05-02,7.55,7.65,7.06,7.06,7203900
2018-05-03,7.04,7.34,6.91,7.27,7079490
2018-05-04,7.52,7.75,7.52,7.75,11221910
2018-05-07,7.75,7.86,7.63,7.7,4417300
2018-05-08,7.65,7.7,7.29,7.29,4505080
2018-05-09,7.04,7.29,6.91,7.16,5450010
2018-05-10,7.14,7.22,6.78,6.78,3839490
2018-05-11,6.78,7.11,6.7,7.06,5126000
2018-05-14,7.06,7.14,6.91,6.96,3510290
2018-05-15,6.93,7.04,6.86,6.91,3626500
2018-05-16,6.88,6.93,6.7,6.81,2337530
2018-05-17,6.81,6.86,6.73,6.83,1440440
2018-05-18,6.88,7.04,6.81,6.96,2667700
2018-05-21,6.96,7.04,6.96,6.96,2558530
2018-05-22,6.88,6.93,6.58,6.76,1821390
2018-05-23,6.76,6.96,6.63,6.96,1766610
2018-05-24,6.96,7.04,6.78,6.86,1870040
2018-05-25,6.86,6.88,6.5,6.5,2639070
2018-05-28,6.5,6.5,6.06,6.06,1711830
2018-05-29,6.06,6.45,5.96,6.4,2353740
2018-05-30,6.35,6.35,6.14,6.17,1574070
2018-05-31,6.17,6.52,6.12,6.45,3245290
2018-06-01,6.4,6.6,6.4,6.5,2484660
2018-06-04,6.5,6.68,6.42,6.65,4883650
2018-06-05,6.68,7.11,6.65,7.11,6602190
2018-06-06,7.14,7.27,7.04,7.16,4260410
2018-06-07,7.14,7.16,6.93,7.01,3610590
2018-06-08,7.01,7.32,6.91,7.32,3598310
2018-06-11,7.32,7.63,7.11,7.32,5756920
2018-06-12,7.22,7.29,7.01,7.27,3419110
2018-06-13,7.22,7.32,7.09,7.27,2470490
2018-06-14,7.16,7.29,7.09,7.16,2596950
2018-06-15,7.14,7.19,6.96,7.09,2090970
2018-06-18,7.09,7.16,6.86,6.86,2576880
2018-06-19,6.81,6.81,6.4,6.45,2902010
2018-06-20,6.52,6.63,6.45,6.6,2746260
2018-06-21,6.63,6.63,6.4,6.4,1859190
2018-06-22,6.35,6.55,6.29,6.55,2158720
2018-06-25,6.55,6.65,6.5,6.55,2957200
2018-06-26,6.5,6.6,6.42,6.6,3045110
2018-06-27,6.58,6.81,6.58,6.65,3751680
2018-06-28,6.6,6.65,6.5,6.52,2323160
2018-06-29,6.52,6.6,6.47,6.52,2148540
2018-07-02,6.5,6.5,6.14,6.22,1920030
2018-07-03,6.22,6.35,5.96,5.96,1843840
2018-07-04,5.96,6.19,5.94,6.12,2739110
2018-07-05,6.09,6.17,5.89,5.96,1922620
2018-07-06,5.96,6.19,5.91,6.19,1669150
2018-07-09,6.22,6.29,6.06,6.06,1901050
2018-07-10,6.04,6.14,5.99,6.04,1790820
2018-07-11,6.01,6.01,5.63,5.81,1542220
2018-07-12,5.81,5.81,5.58,5.63,1548000
2018-07-13,5.63,5.73,5.63,5.68,1952930
2018-07-16,5.71,5.73,5.55,5.63,1717490
2018-07-17,5.63,6.01,5.58,6.01,3602990
