time,open,high,low,close,volume
2018-02-21,27.07,27.07,22.86,22.86,81200
2018-02-22,23.78,23.78,22.86,22.86,28900
2018-02-23,23.05,23.05,20.49,21.03,37800
2018-02-26,20.12,22.22,18.29,20.94,21100
2018-02-27,22.68,22.68,18.29,21.95,34700
2018-02-28,18.66,20.12,18.66,20.12,2300
2018-03-01,20.12,20.3,19.2,20.3,21100
2018-03-02,20.03,20.03,18.75,19.75,24900
2018-03-05,19.39,19.66,19.2,19.48,35500
2018-03-06,20.58,20.58,18.75,19.84,4200
2018-03-07,18.75,18.75,18.29,18.47,3000
2018-03-08,19.2,19.2,19.2,19.2,2100
2018-03-09,19.2,19.2,16.46,19.11,36700
2018-03-12,18.29,19.11,17.83,18.75,7000
2018-03-13,18.29,18.29,17.56,18.11,15100
2018-03-14,17.47,18.02,17.19,17.19,11700
2018-03-15,16.74,17.83,16.46,17.65,29700
2018-03-16,19.11,19.66,17.83,18.29,33500
2018-03-19,18.47,19.39,18.47,19.39,14000
2018-03-20,18.29,19.11,17.47,18.29,101100
2018-03-21,18.75,18.75,17.47,18.11,63600
2018-03-22,18.29,20.49,18.11,20.49,135400
2018-03-23,20.39,21.77,20.12,21.49,97700
2018-03-26,22.22,22.31,20.76,21.95,198500
2018-03-27,21.95,24.51,19.02,21.95,362200
2018-03-28,21.58,23.96,20.58,21.86,433200
2018-03-29,21.77,23.14,21.49,21.77,272700
2018-03-30,22.04,22.86,22.04,22.77,46000
2018-04-02,22.86,23.5,22.86,23.5,47800
2018-04-03,23.69,24.69,23.32,24.05,49300
2018-04-04,24.05,24.05,23.41,23.78,60400
2018-04-05,23.78,24.05,23.41,23.96,206800
2018-04-06,23.78,23.96,23.32,23.59,70500
2018-04-09,23.23,24.51,23.14,24.23,71600
2018-04-10,23.14,23.96,23.14,23.78,63800
2018-04-11,23.78,23.78,22.86,23.59,77400
2018-04-12,23.5,23.59,22.86,23.5,100200
2018-04-13,23.59,23.78,23.05,23.59,36600
2018-04-16,23.41,23.5,23.41,23.5,55000
2018-04-17,23.5,23.5,22.86,23.5,58000
2018-04-18,23.41,23.5,23.41,23.5,10500
2018-04-19,22.86,23.41,22.68,23.41,30000
2018-04-20,23.32,23.5,23.32,23.5,20200
2018-04-23,23.32,23.41,22.86,22.86,31600
2018-04-24,23.32,23.32,22.86,22.86,21100
2018-04-26,22.86,22.86,22.77,22.77,28200
2018-04-27,22.86,22.86,22.86,22.86,33200
2018-05-02,22.86,23.41,22.86,23.41,13900
2018-05-03,23.5,23.5,23.23,23.32,1300
2018-05-04,23.5,23.5,23.5,23.5,4700
2018-05-07,21.95,21.95,20.21,21.03,11900
2018-05-08,22.77,22.86,19.2,22.77,101600
2018-05-09,22.31,22.31,20.3,20.3,300
2018-05-10,20.49,22.77,20.49,21.03,1400
2018-05-11,21.86,21.86,21.86,21.86,100
2018-05-14,21.86,21.86,21.86,21.86,0
2018-05-15,21.49,21.49,21.49,21.49,100
2018-05-16,21.86,21.86,20.12,21.77,10500
2018-05-17,22.86,22.86,22.86,22.86,100
2018-05-18,20.39,20.39,20.3,20.3,1100
2018-05-21,23.32,23.32,20.12,20.12,7100
2018-05-22,21.49,21.49,20.12,20.12,600
2018-05-23,23.32,23.32,23.32,23.32,100
2018-05-24,23.32,23.32,23.32,23.32,0
2018-05-25,23.32,23.32,23.32,23.32,0
2018-05-28,19.94,21.49,19.94,21.49,4300
2018-05-29,20.12,21.95,20.12,21.95,8900
2018-05-30,21.49,21.49,21.49,21.49,0
2018-05-31,21.49,21.49,21.49,21.49,0
2018-06-01,21.49,21.49,20.12,20.58,800
2018-06-04,21.67,21.67,19.84,19.84,3100
2018-06-05,21.31,21.31,21.31,21.31,100
2018-06-06,22.41,22.41,19.2,19.2,92700
2018-06-07,22.77,22.77,18.29,18.29,52000
2018-06-08,21.03,21.03,18.29,19.2,9800
2018-06-11,19.2,19.2,18.75,18.75,700
2018-06-12,19.66,19.66,18.29,18.29,2100
2018-06-13,19.11,19.11,18.29,18.29,300
2018-06-14,19.02,19.02,18.75,18.75,200
2018-06-15,19.2,19.2,16.46,18.29,32400
2018-06-18,18.29,18.29,18.29,18.29,100
2018-06-19,18.47,18.47,17.83,17.83,555
2018-06-20,17.38,17.38,17.38,17.38,300
2018-06-21,18.47,18.47,18.29,18.29,200
2018-06-22,18.29,19.84,18.2,19.84,15200
2018-06-25,19.94,19.94,19.94,19.94,100
2018-06-26,19.94,19.94,19.94,19.94,0
2018-06-27,19.57,20.12,19.57,20.12,5100
2018-06-28,18.38,18.38,18.29,18.29,300
2018-06-29,19.75,19.75,17.38,17.38,7200
2018-07-02,17.83,17.83,17.83,17.83,100
2018-07-03,19.02,19.02,16.46,16.46,3200
2018-07-04,15.55,15.55,14.45,14.45,46200
2018-07-05,14.54,14.54,13.63,13.63,14500
2018-07-06,12.8,13.72,11.8,13.63,222600
2018-07-09,14.63,14.63,13.72,13.72,6700
2018-07-10,13.81,13.81,13.81,13.81,76100
2018-07-11,13.72,13.72,11.8,12.8,83101
2018-07-12,13.26,13.26,13.26,13.26,800
2018-07-13,13.26,13.26,13.26,13.26,1300
2018-07-16,13.72,13.72,13.35,13.35,12400
2018-07-17,13.72,13.72,13.72,13.72,500
2018-07-18,13.72,13.72,13.72,13.72,1300
2018-07-19,13.72,13.72,13.72,13.72,28300
2018-07-20,14.63,15.55,14.63,15.46,4800
2018-07-23,16.46,16.46,14.63,14.63,4000
2018-07-24,14.91,14.91,14.91,14.91,0
2018-07-25,15.46,15.91,15.46,15.91,500
2018-07-26,16.37,16.37,14.17,14.17,5110
2018-07-27,15.91,15.91,15.64,15.64,200
2018-07-30,15.91,15.91,15.91,15.91,100
2018-07-31,13.72,16.19,13.72,16.19,24400
2018-08-01,15.46,15.46,15.46,15.46,3100
2018-08-02,14.63,15.0,14.36,14.36,3100
2018-08-03,15.27,15.27,13.72,14.91,7400
2018-08-06,14.63,14.63,13.81,14.63,6600
2018-08-07,15.0,15.0,13.9,14.54,6200
2018-08-08,13.72,14.36,13.08,14.17,16500
2018-08-09,13.44,14.27,13.26,13.99,45000
2018-08-10,14.08,14.08,13.81,14.08,11010
2018-08-13,13.9,14.08,13.81,13.9,17800
2018-08-14,13.9,14.17,13.81,13.81,24110
2018-08-15,14.17,14.17,13.9,13.9,8200
2018-08-16,13.99,14.08,13.99,14.08,5000
2018-08-17,14.36,14.36,13.9,13.9,8100
2018-08-20,13.99,14.17,13.9,14.17,11700
2018-08-21,13.72,13.99,13.72,13.99,700
2018-08-22,14.36,14.36,13.72,14.17,3800
2018-08-23,14.17,14.17,13.99,14.17,10100
2018-08-24,14.82,14.82,14.17,14.27,1000
2018-08-27,14.54,14.54,13.99,14.36,3100
2018-08-28,13.99,13.99,13.72,13.99,13700
2018-08-29,13.72,13.72,13.72,13.72,2300
2018-08-30,13.72,13.72,13.72,13.72,1600
2018-08-31,13.72,13.72,13.63,13.63,6400
2018-09-04,13.72,13.81,13.72,13.81,10000
2018-09-05,13.63,13.81,13.63,13.72,5700
2018-09-06,13.72,13.72,13.72,13.72,2490
2018-09-07,13.72,13.72,13.72,13.72,3500
2018-09-10,12.8,13.81,12.8,13.81,5500
2018-09-11,13.72,13.72,13.72,13.72,300
2018-09-12,13.72,13.72,13.72,13.72,3000
2018-09-13,12.44,13.63,12.44,13.35,21700
2018-09-14,13.72,13.72,13.72,13.72,200
2018-09-17,13.26,13.63,13.26,13.63,3700
2018-09-18,13.53,14.54,12.8,12.8,37800
2018-09-19,13.53,14.17,13.08,14.17,7000
2018-09-20,14.17,14.36,13.44,14.36,32800
