time,open,high,low,close,volume
2018-01-02,5.46,5.46,5.46,5.46,0
2018-01-03,5.46,5.46,5.46,5.46,0
2018-01-04,5.46,5.46,5.46,5.46,0
2018-01-05,5.46,5.46,5.46,5.46,0
2018-01-08,5.46,5.46,5.46,5.46,0
2018-01-09,5.46,5.46,5.46,5.46,0
2018-01-10,5.46,5.46,5.46,5.46,0
2018-01-11,5.46,5.46,5.46,5.46,0
2018-01-12,5.46,5.46,5.46,5.46,0
2018-01-15,5.46,5.46,5.46,5.46,0
2018-01-16,5.46,5.46,5.46,5.46,0
2018-01-17,5.46,5.46,5.46,5.46,0
2018-01-18,5.46,5.46,5.46,5.46,0
2018-01-19,5.46,5.46,5.46,5.46,0
2018-01-22,5.46,5.46,5.46,5.46,0
2018-01-23,5.46,5.46,5.46,5.46,0
2018-01-24,5.46,5.46,5.46,5.46,0
2018-01-25,5.46,5.46,5.46,5.46,0
2018-01-26,5.46,5.46,5.46,5.46,3300
2018-01-29,5.46,5.46,5.46,5.46,0
2018-01-30,5.46,5.46,5.46,5.46,0
2018-01-31,4.97,4.97,4.97,4.97,100
2018-02-01,4.48,4.48,4.48,4.48,100
2018-02-02,4.1,4.1,4.1,4.1,100
2018-02-05,3.71,3.71,3.71,3.71,100
2018-02-06,3.39,3.39,3.39,3.39,100
2018-02-07,3.11,3.11,3.11,3.11,100
2018-02-08,2.89,2.89,2.89,2.89,100
2018-02-09,2.68,2.68,2.68,2.68,100
2018-02-12,2.46,2.46,2.46,2.46,100
2018-02-13,2.46,2.46,2.46,2.46,0
2018-02-21,2.46,2.46,2.46,2.46,0
2018-02-22,2.29,2.29,2.29,2.29,100
2018-02-23,2.29,2.29,2.29,2.29,0
2018-02-26,2.29,2.29,2.29,2.29,0
2018-02-27,2.29,2.29,2.29,2.29,0
2018-02-28,2.29,2.29,2.29,2.29,0
2018-03-01,2.29,2.29,2.29,2.29,0
2018-03-02,2.29,2.29,2.29,2.29,0
2018-03-05,2.29,2.29,2.29,2.29,0
2018-03-06,2.29,2.29,2.29,2.29,0
2018-03-07,2.29,2.29,2.29,2.29,0
2018-03-08,2.29,2.29,2.29,2.29,0
2018-03-09,2.29,2.29,2.29,2.29,0
2018-03-12,2.29,2.29,2.29,2.29,0
2018-03-13,2.29,2.29,2.29,2.29,0
2018-03-14,2.29,2.29,2.29,2.29,0
2018-03-15,2.29,2.29,2.29,2.29,0
2018-03-16,2.29,2.29,2.29,2.29,0
2018-03-19,2.29,2.29,2.29,2.29,0
2018-03-20,2.29,2.29,2.29,2.29,0
2018-03-21,2.29,2.29,2.29,2.29,0
2018-03-22,2.29,2.29,2.29,2.29,0
2018-03-23,2.29,2.29,2.29,2.29,0
2018-03-26,2.29,2.29,2.29,2.29,0
2018-03-27,2.29,2.29,2.29,2.29,0
2018-03-28,2.29,2.29,2.29,2.29,0
2018-03-29,2.29,2.29,2.29,2.29,0
2018-03-30,2.29,2.29,2.29,2.29,0
2018-04-02,2.29,2.29,2.29,2.29,0
2018-04-03,2.29,2.29,2.29,2.29,0
2018-04-04,2.29,2.29,2.29,2.29,0
2018-04-05,2.29,2.29,2.29,2.29,0
2018-04-06,2.29,2.29,2.29,2.29,0
2018-04-09,2.29,2.29,2.29,2.29,0
2018-04-10,2.29,2.29,2.29,2.29,0
2018-04-11,2.29,2.29,2.29,2.29,0
2018-04-12,2.29,2.29,2.29,2.29,0
2018-04-13,2.29,2.29,2.29,2.29,0
2018-04-16,2.29,2.29,2.29,2.29,0
2018-04-17,2.29,2.29,2.29,2.29,0
2018-04-18,2.29,2.29,2.29,2.29,0
2018-04-19,2.29,2.29,2.29,2.29,0
2018-04-20,2.29,2.29,2.29,2.29,0
2018-04-23,2.29,2.29,2.29,2.29,0
2018-04-24,2.29,2.29,2.29,2.29,0
2018-04-26,2.29,2.29,2.29,2.29,0
2018-04-27,2.29,2.29,2.29,2.29,0
2018-05-02,2.29,2.29,2.29,2.29,0
2018-05-03,2.29,2.29,2.29,2.29,0
2018-05-04,2.29,2.29,2.29,2.29,0
2018-05-07,2.29,2.29,2.29,2.29,0
2018-05-08,2.29,2.29,2.29,2.29,0
2018-05-09,2.29,2.29,2.29,2.29,0
2018-05-10,2.29,2.29,2.29,2.29,0
2018-05-11,2.29,2.29,2.29,2.29,0
2018-05-14,2.29,2.29,2.29,2.29,0
2018-05-15,2.29,2.29,2.29,2.29,0
2018-05-16,2.29,2.29,2.29,2.29,0
2018-05-17,2.29,2.29,2.29,2.29,0
2018-05-18,2.29,2.29,2.29,2.29,0
2018-05-21,2.29,2.29,2.29,2.29,0
2018-05-22,2.29,2.29,2.29,2.29,0
2018-05-23,2.29,2.29,2.29,2.29,0
2018-05-24,2.29,2.29,2.29,2.29,0
2018-05-25,2.29,2.29,2.29,2.29,0
2018-05-28,2.29,2.29,2.29,2.29,0
2018-05-29,2.29,2.29,2.29,2.29,0
2018-05-30,2.29,2.29,2.29,2.29,0
2018-05-31,2.29,2.29,2.29,2.29,0
2018-06-01,2.29,2.29,2.29,2.29,0
2018-06-04,2.29,2.29,2.29,2.29,0
2018-06-05,2.49,2.49,2.49,2.49,100
2018-06-06,2.49,2.49,2.49,2.49,0
2018-06-07,2.49,2.49,2.49,2.49,0
2018-06-08,2.49,2.49,2.49,2.49,0
2018-06-11,2.69,2.69,2.69,2.69,100
2018-06-12,2.95,2.95,2.95,2.95,100
2018-06-13,3.21,3.21,3.21,3.21,100
2018-06-14,3.47,3.47,3.47,3.47,100
2018-06-15,3.47,3.47,3.47,3.47,0
2018-06-18,3.8,3.8,3.15,3.15,200
2018-06-19,3.41,3.41,3.41,3.41,100
2018-06-20,3.74,3.74,3.74,3.74,100
2018-06-21,3.41,3.41,3.41,3.41,100
2018-06-22,3.41,3.41,3.41,3.41,0
2018-06-25,3.41,3.41,3.41,3.41,0
2018-06-26,3.41,3.41,3.41,3.41,0
2018-06-27,3.08,3.08,3.08,3.08,100
2018-06-28,2.82,2.82,2.82,2.82,100
2018-06-29,2.82,2.82,2.82,2.82,0
2018-07-02,2.69,2.69,2.69,2.69,100
2018-07-03,2.69,2.69,2.69,2.69,0
2018-07-04,2.69,2.69,2.69,2.69,0
2018-07-05,2.62,2.62,2.62,2.62,100
2018-07-06,2.62,2.62,2.62,2.62,0
2018-07-09,2.62,2.62,2.62,2.62,0
2018-07-10,2.62,2.62,2.62,2.62,0
2018-07-11,2.62,2.62,2.62,2.62,0
2018-07-12,2.62,2.62,2.62,2.62,0
2018-07-13,2.62,2.62,2.62,2.62,0
2018-07-16,2.62,2.62,2.62,2.62,0
2018-07-17,2.62,2.62,2.62,2.62,0
2018-07-18,2.62,2.62,2.62,2.62,0
2018-07-19,2.62,2.62,2.62,2.62,0
2018-07-20,2.62,2.62,2.62,2.62,0
2018-07-23,2.62,2.62,2.62,2.62,0
2018-07-24,2.62,2.62,2.62,2.62,0
2018-07-25,2.88,2.88,2.88,2.88,100
2018-07-26,2.88,2.88,2.88,2.88,0
2018-07-27,2.88,2.88,2.88,2.88,0
2018-07-30,2.88,2.88,2.88,2.88,0
2018-07-31,2.88,2.88,2.88,2.88,0
2018-08-01,2.88,2.88,2.88,2.88,0
2018-08-02,3.15,3.15,3.15,3.15,100
2018-08-03,3.15,3.15,3.15,3.15,0
2018-08-06,3.15,3.15,3.15,3.15,0
2018-08-07,3.15,3.15,3.15,3.15,0
2018-08-08,3.15,3.15,3.15,3.15,0
2018-08-09,3.41,3.41,3.41,3.41,100
2018-08-10,3.41,3.41,3.41,3.41,0
2018-08-13,3.41,3.41,3.41,3.41,0
2018-08-14,3.41,3.41,3.41,3.41,0
2018-08-15,3.41,3.41,3.41,3.41,0
2018-08-16,3.41,3.41,3.41,3.41,0
2018-08-17,3.41,3.41,3.41,3.41,0
2018-08-20,3.74,3.74,3.74,3.74,100
2018-08-21,3.74,3.74,3.74,3.74,0
2018-08-22,3.74,3.74,3.74,3.74,0
2018-08-23,3.74,3.74,3.74,3.74,0
2018-08-24,3.74,3.74,3.74,3.74,0
2018-08-27,3.74,3.74,3.74,3.74,0
2018-08-28,3.74,3.74,3.74,3.74,0
2018-08-29,3.74,3.74,3.74,3.74,0
2018-08-30,4.06,4.06,4.06,4.06,200
2018-08-31,4.06,4.06,4.06,4.06,0
2018-09-04,4.06,4.06,4.06,4.06,0
2018-09-05,4.06,4.06,4.06,4.06,0
2018-09-06,4.06,4.06,4.06,4.06,0
2018-09-07,4.06,4.06,4.06,4.06,0
2018-09-10,4.06,4.06,4.06,4.06,0
2018-09-11,4.06,4.06,4.06,4.06,0
2018-09-12,4.46,4.46,4.46,4.46,100
2018-09-13,4.46,4.46,4.46,4.46,0
2018-09-14,4.46,4.46,4.46,4.46,0
2018-09-17,4.46,4.46,4.46,4.46,0
2018-09-18,4.46,4.46,4.46,4.46,0
2018-09-19,4.46,4.46,4.46,4.46,0
2018-09-20,4.46,4.46,4.46,4.46,0
2018-09-21,4.46,4.46,4.46,4.46,0
