time,open,high,low,close,volume
2018-01-02,4.13,4.13,4.13,4.13,0
2018-01-03,4.13,4.13,4.13,4.13,0
2018-01-04,4.13,4.13,4.13,4.13,0
2018-01-05,4.13,4.13,4.13,4.13,0
2018-01-08,4.13,4.13,4.13,4.13,0
2018-01-09,4.13,4.13,4.13,4.13,0
2018-01-10,4.13,4.13,4.13,4.13,0
2018-01-11,4.13,4.13,4.13,4.13,0
2018-01-12,4.13,4.13,4.13,4.13,0
2018-01-15,4.13,4.13,4.13,4.13,0
2018-01-16,4.13,4.13,4.13,4.13,0
2018-01-17,4.13,4.13,4.13,4.13,0
2018-01-18,4.13,4.13,4.13,4.13,0
2018-01-19,4.13,4.13,4.13,4.13,0
2018-01-22,4.13,4.13,4.13,4.13,0
2018-01-23,4.13,4.13,4.13,4.13,0
2018-01-24,4.13,4.13,4.13,4.13,0
2018-01-25,4.13,4.13,4.13,4.13,0
2018-01-26,4.13,4.13,4.13,4.13,0
2018-01-29,4.13,4.13,4.13,4.13,0
2018-01-30,4.13,4.13,4.13,4.13,0
2018-01-31,4.13,4.13,4.13,4.13,0
2018-02-01,4.13,4.13,4.13,4.13,0
2018-02-02,4.13,4.13,4.13,4.13,0
2018-02-05,4.13,4.13,4.13,4.13,0
2018-02-06,4.13,4.13,4.13,4.13,0
2018-02-07,4.13,4.13,4.13,4.13,0
2018-02-08,4.13,4.13,4.13,4.13,0
2018-02-09,4.13,4.13,4.13,4.13,0
2018-02-12,4.13,4.13,4.13,4.13,0
2018-02-13,4.13,4.13,4.13,4.13,0
2018-02-21,4.13,4.13,4.13,4.13,0
2018-02-22,4.13,4.13,4.13,4.13,0
2018-02-23,4.13,4.13,4.13,4.13,0
2018-02-26,4.13,4.13,4.13,4.13,0
2018-02-27,4.13,4.13,4.13,4.13,0
2018-02-28,4.13,4.13,4.13,4.13,0
2018-03-01,4.13,4.13,4.13,4.13,0
2018-03-02,4.13,4.13,4.13,4.13,0
2018-03-05,4.13,4.13,4.13,4.13,0
2018-03-06,4.13,4.13,4.13,4.13,0
2018-03-07,4.13,4.13,4.13,4.13,0
2018-03-08,4.13,4.13,4.13,4.13,0
