time,open,high,low,close,volume
2018-08-08,7.7,7.7,4.49,6.1,1500
2018-08-09,5.2,5.78,5.2,5.78,1100
2018-08-10,4.56,5.78,4.49,4.56,2300
2018-08-13,4.75,4.75,4.75,4.75,0
2018-08-14,5.39,5.39,5.26,5.26,600
2018-08-15,4.75,4.75,4.75,4.75,200
2018-08-16,5.2,5.2,4.69,4.69,1800
2018-08-17,4.88,4.88,4.88,4.88,0
2018-08-20,5.26,5.26,5.26,5.26,100
2018-08-21,5.26,5.26,5.26,5.26,0
2018-08-22,5.01,5.01,5.01,5.01,100
2018-08-23,4.82,4.82,4.37,4.37,300
2018-08-24,4.37,4.82,4.37,4.62,650
2018-08-27,4.49,4.49,4.43,4.49,1400
2018-08-28,4.49,4.49,4.49,4.49,0
2018-08-29,4.17,4.17,4.11,4.11,3600
2018-08-30,4.37,4.37,4.37,4.37,100
2018-08-31,4.37,5.01,4.37,4.94,4100
2018-09-04,4.37,5.33,4.37,4.94,4300
2018-09-05,5.26,5.52,5.07,5.07,8600
2018-09-06,5.07,5.07,5.07,5.07,0
2018-09-07,5.07,5.07,5.07,5.07,0
2018-09-10,4.49,4.49,4.49,4.49,100
2018-09-11,4.94,5.14,4.94,5.14,200
2018-09-12,5.07,5.07,5.07,5.07,0
2018-09-13,4.43,4.62,4.43,4.43,1800
2018-09-14,5.01,5.07,3.79,4.62,26500
2018-09-17,3.98,4.75,3.98,4.49,13700
2018-09-18,4.49,4.49,4.49,4.49,100
2018-09-19,4.37,4.43,4.37,4.43,7800
2018-09-20,4.49,4.49,4.43,4.43,2200
2018-09-21,4.49,4.49,4.49,4.49,0
2018-09-24,4.49,4.49,4.49,4.49,0
2018-09-25,4.82,4.82,3.85,4.49,7500
2018-09-26,4.49,4.49,4.04,4.04,6400
2018-09-27,4.49,4.49,4.49,4.49,200
2018-09-28,4.24,4.49,4.24,4.49,1300
2018-10-01,4.49,4.49,4.37,4.37,600
2018-10-02,4.49,4.49,4.49,4.49,2900
2018-10-03,4.49,4.49,4.43,4.43,500
2018-10-04,4.37,4.49,4.37,4.49,10100
2018-10-05,4.43,4.49,4.43,4.49,4000
2018-10-08,4.92,4.92,4.92,4.92,500
2018-10-09,5.27,5.27,5.27,5.27,100
2018-10-10,4.5,5.13,4.5,5.13,900
2018-10-11,5.06,5.06,5.06,5.06,0
2018-10-12,5.06,5.06,5.06,5.06,0
2018-10-15,5.06,5.06,5.06,5.06,0
2018-10-16,4.92,4.92,4.92,4.92,200
2018-10-17,4.29,4.92,4.29,4.92,9600
2018-10-18,4.78,4.78,4.78,4.78,700
2018-10-19,4.78,4.78,4.78,4.78,0
2018-10-22,4.22,4.78,4.22,4.78,8300
2018-10-23,4.08,4.08,4.08,4.08,100
2018-10-24,4.57,4.64,4.57,4.64,8100
2018-10-25,4.64,4.71,4.29,4.29,5800
2018-10-26,4.64,4.64,4.64,4.29,50
2018-10-29,4.92,4.92,4.92,4.92,500
2018-10-30,4.71,4.71,4.71,4.71,100
2018-10-31,5.06,5.06,5.06,5.06,100
2018-11-01,5.06,5.06,5.06,5.06,100
2018-11-02,5.2,5.2,5.2,5.2,100
2018-11-05,4.64,4.64,4.64,4.64,2000
2018-11-06,4.92,4.92,4.92,4.92,200
2018-11-07,4.92,4.92,4.92,4.92,10
2018-11-08,4.92,4.92,4.92,4.92,0
2018-11-09,4.57,4.92,4.57,4.92,2100
2018-11-12,4.78,4.78,4.78,4.78,0
2018-11-13,4.78,4.78,4.78,4.78,0
2018-11-14,4.78,4.78,4.78,4.78,0
2018-11-15,4.78,4.78,4.78,4.78,0
2018-11-16,4.78,4.78,4.78,4.78,0
2018-11-19,4.78,4.78,4.78,4.78,0
2018-11-20,5.27,5.27,4.57,4.57,1041
2018-11-21,4.64,4.64,4.64,4.64,0
2018-11-22,4.64,4.64,4.64,4.57,9
2018-11-23,4.64,4.57,4.57,4.57,0
2018-11-26,4.64,4.57,4.57,4.57,0
2018-11-27,4.64,4.57,4.57,4.57,0
2018-11-28,4.64,4.57,4.57,4.57,0
2018-11-29,4.64,4.57,4.57,4.57,0
2018-11-30,4.64,4.57,4.57,4.57,0
2018-12-03,5.2,5.2,5.2,5.2,100
2018-12-04,5.62,5.62,5.62,5.62,109
2018-12-05,5.62,5.62,5.62,5.62,0
2018-12-06,5.62,5.62,5.62,5.62,0
2018-12-07,4.78,5.48,4.78,5.48,400
2018-12-10,5.34,5.48,5.48,5.48,0
2018-12-11,5.34,5.48,5.48,5.48,0
2018-12-12,4.57,6.12,4.57,6.12,1300
2018-12-13,4.99,6.12,6.12,6.12,0
2018-12-14,4.99,4.99,4.99,4.99,0
2018-12-17,4.99,4.99,4.99,6.12,20
2018-12-18,4.99,6.12,6.12,6.12,0
2018-12-19,5.27,5.27,5.27,5.27,100
2018-12-20,5.27,5.27,5.27,5.27,0
2018-12-21,5.27,5.27,5.27,5.27,0
2018-12-24,5.27,5.27,5.27,5.27,0
2018-12-25,5.27,5.27,5.27,5.27,0
2018-12-26,5.27,5.27,5.27,5.27,0
2018-12-27,5.62,5.62,4.5,4.5,700
2018-12-28,4.36,4.99,4.36,4.99,1600
2019-01-02,4.92,4.99,4.99,4.99,0
2019-01-03,4.22,4.92,4.22,4.92,800
2019-01-04,4.71,4.92,4.92,4.92,0
2019-01-07,4.71,4.71,4.71,4.92,11
2019-01-08,4.71,4.92,4.92,4.92,0
2019-01-09,4.71,4.92,4.92,4.92,0
2019-01-10,4.08,4.71,4.01,4.71,2300
2019-01-11,4.08,4.71,4.71,4.71,0
2019-01-14,4.64,4.64,4.64,4.64,100
2019-01-15,4.15,4.64,4.08,4.64,1600
2019-01-16,4.43,4.64,4.64,4.64,0
2019-01-17,4.43,4.64,4.64,4.64,0
2019-01-18,4.43,4.64,4.64,4.64,0
2019-01-21,4.22,4.22,4.22,4.22,500
2019-01-22,4.22,4.22,4.22,4.22,0
2019-01-23,4.22,4.22,4.22,4.22,0
2019-01-24,3.87,4.78,3.87,4.78,6400
2019-01-25,3.94,4.78,4.78,4.78,0
2019-01-28,4.5,4.5,4.5,4.5,200
2019-01-29,4.5,4.5,4.5,4.5,0
2019-01-30,4.5,4.5,4.5,4.5,0
2019-01-31,4.5,4.5,4.5,4.5,0
2019-02-01,4.5,4.5,4.5,4.5,0
2019-02-11,3.87,4.5,3.87,4.5,1200
2019-02-12,4.43,4.5,4.5,4.5,0
2019-02-13,4.43,4.5,4.5,4.5,0
2019-02-14,4.43,4.5,4.5,4.5,0
2019-02-15,4.43,4.5,4.5,4.5,0
2019-02-18,4.43,4.5,4.5,4.5,0
2019-02-19,4.43,4.5,4.5,4.5,0
2019-02-20,3.87,4.43,3.87,4.43,6400
2019-02-21,4.08,4.43,4.43,4.43,0
2019-02-22,4.5,4.5,4.5,4.5,1000
2019-02-25,3.87,4.22,3.87,4.22,500
2019-02-26,4.15,4.22,4.22,4.22,0
2019-02-27,4.15,4.22,4.22,4.22,0
2019-02-28,4.08,4.08,4.08,4.08,100
2019-03-01,4.08,4.08,4.08,4.08,0
2019-03-04,4.08,4.08,4.08,4.08,0
2019-03-05,4.08,4.08,4.08,4.08,100
2019-03-06,4.08,4.08,4.08,4.08,100
2019-03-07,4.08,4.43,4.08,4.43,200
2019-03-08,4.15,4.15,4.15,4.15,100
2019-03-11,4.15,4.15,4.15,4.15,0
2019-03-12,4.43,4.43,3.66,3.66,8300
2019-03-13,4.08,4.08,4.08,4.08,100
2019-03-14,3.73,3.73,3.52,3.52,3900
2019-03-15,3.87,4.01,3.73,3.73,3800
2019-03-18,3.8,3.73,3.73,3.73,0
2019-03-19,3.8,3.73,3.73,3.73,0
2019-03-20,3.8,3.73,3.73,3.73,0
2019-03-21,3.8,3.8,3.8,3.73,50
2019-03-22,3.66,3.66,3.66,3.66,400
2019-03-25,3.66,3.66,3.66,3.66,0
2019-03-26,3.66,3.66,3.66,3.66,0
2019-03-27,3.66,3.66,3.66,3.66,0
2019-03-28,3.38,3.38,3.38,3.38,200
2019-03-29,3.52,3.52,3.45,3.45,200
2019-04-01,3.52,3.45,3.45,3.45,0
2019-04-02,3.52,3.45,3.45,3.45,0
2019-04-03,3.52,3.45,3.45,3.45,0
2019-04-04,3.52,3.45,3.45,3.45,0
2019-04-05,3.52,3.45,3.45,3.45,0
2019-04-08,3.52,3.45,3.45,3.45,0
2019-04-09,3.87,3.87,3.52,3.73,1450
2019-04-10,3.59,3.73,3.73,3.73,0
2019-04-11,3.52,3.52,3.52,3.52,300
2019-04-12,3.66,3.66,3.59,3.59,200
2019-04-16,3.73,3.73,3.45,3.45,5300
2019-04-17,3.66,3.94,3.66,3.94,6600
2019-04-18,3.8,4.43,3.8,4.43,21800
2019-04-19,4.64,4.99,4.64,4.92,6400
2019-04-22,5.55,5.62,4.57,4.57,2900
2019-04-23,5.2,4.57,4.57,4.57,0
2019-04-24,4.92,4.92,4.92,4.92,3000
2019-04-25,4.92,4.92,4.92,4.92,0
2019-04-26,4.92,4.92,4.92,4.92,0
2019-05-02,4.22,4.22,4.22,4.22,2100
2019-05-03,3.59,3.59,3.59,3.59,18500
2019-05-06,3.52,3.52,3.3,3.3,13900
2019-05-07,3.3,3.3,3.3,3.3,200
2019-05-08,3.3,3.3,3.3,3.3,0
2019-05-09,3.3,3.38,3.3,3.38,600
2019-05-10,3.38,3.38,3.38,3.38,0
2019-05-13,3.38,3.38,3.38,3.38,0
2019-05-14,3.38,3.38,3.38,3.38,50
2019-05-15,3.8,3.8,3.8,3.8,150
2019-05-16,3.8,4.15,3.8,4.15,200
2019-05-17,4.01,4.15,4.15,4.15,0
2019-05-20,4.01,4.15,4.15,4.15,0
2019-05-21,4.01,4.15,4.15,4.15,0
2019-05-22,3.45,3.45,3.45,3.45,16300
2019-05-23,3.66,3.66,3.66,3.66,100
2019-05-24,3.66,3.66,3.66,3.66,0
2019-05-27,3.66,3.66,3.66,3.66,0
2019-05-28,3.66,3.66,3.66,3.66,0
2019-05-29,3.66,3.66,3.66,3.66,0
2019-05-30,3.52,3.52,3.52,3.52,300
2019-05-31,3.73,3.73,3.73,3.73,300
2019-06-03,3.87,3.87,3.87,3.87,100
2019-06-04,3.87,3.87,3.87,3.87,0
2019-06-05,3.87,3.87,3.87,3.87,0
2019-06-06,3.87,3.87,3.87,3.87,0
2019-06-07,3.87,3.87,3.87,3.87,0
2019-06-10,3.87,3.87,3.87,3.87,0
2019-06-11,3.87,3.87,3.87,3.87,0
2019-06-12,3.87,3.87,3.87,3.87,0
2019-06-13,3.87,3.87,3.87,3.87,0
2019-06-14,3.87,3.87,3.87,3.87,0
2019-06-17,3.87,3.87,3.87,3.87,0
2019-06-18,3.3,3.3,3.3,3.3,100
2019-06-19,3.3,3.3,3.3,3.3,100
2019-06-20,3.16,3.52,2.81,3.52,1030
2019-06-21,3.23,3.59,3.23,3.59,200
2019-06-24,3.59,3.59,3.59,3.59,0
2019-06-25,3.52,3.52,3.52,3.52,1900
2019-06-26,3.52,3.52,3.52,3.52,0
2019-06-27,3.52,3.52,3.52,3.52,0
2019-06-28,3.52,3.52,3.52,3.52,0
2019-07-01,3.02,3.3,3.02,3.3,3400
2019-07-02,3.23,3.52,3.23,3.52,1000
2019-07-03,3.38,3.38,3.38,3.38,100
2019-07-04,3.38,3.38,3.38,3.38,300
2019-07-05,3.8,3.8,3.8,3.8,100
2019-07-08,3.8,3.8,3.8,3.8,0
2019-07-09,3.8,3.8,3.8,3.8,0
2019-07-10,4.22,4.22,4.22,4.22,100
2019-07-11,4.43,4.43,4.43,4.43,100
2019-07-12,4.43,4.43,4.43,4.43,0
2019-07-15,4.43,4.43,4.43,4.43,0
2019-07-16,4.92,4.92,4.92,4.92,100
2019-07-17,4.29,4.29,4.29,4.29,3000
2019-07-18,4.29,4.29,4.29,4.29,0
2019-07-19,4.29,4.29,4.29,4.29,0
2019-07-22,3.8,3.8,3.8,3.8,100
2019-07-23,3.8,3.8,3.8,3.8,0
2019-07-24,3.8,3.8,3.8,3.8,0
2019-07-25,3.66,3.66,3.66,3.66,200
2019-07-26,3.66,3.66,3.66,3.66,0
2019-07-29,3.66,3.66,3.66,3.66,2200
2019-07-30,3.66,3.66,3.66,3.66,0
2019-07-31,3.59,3.59,3.59,3.59,2000
2019-08-01,3.59,3.59,3.59,3.59,0
2019-08-02,3.52,3.66,3.52,3.66,2000
2019-08-05,3.73,3.73,3.73,3.73,2000
2019-08-06,3.73,3.73,3.73,3.73,0
2019-08-07,3.73,3.73,3.73,3.73,0
2019-08-08,3.73,3.73,3.73,3.73,0
2019-08-09,3.73,3.73,3.73,3.73,0
2019-08-12,3.73,3.73,3.73,3.73,0
2019-08-13,3.73,3.73,3.73,3.73,0
2019-08-14,3.73,3.73,3.73,3.73,0
2019-08-15,3.52,3.52,3.52,3.52,1000
2019-08-16,4.01,4.01,4.01,4.01,100
2019-08-19,4.01,4.01,4.01,4.01,0
2019-08-20,4.01,4.01,4.01,4.01,0
2019-08-21,3.52,3.52,3.52,3.52,3000
2019-08-22,3.52,3.52,3.52,3.52,0
2019-08-23,3.52,3.52,3.52,3.52,0
2019-08-26,3.52,3.52,3.52,3.52,0
2019-08-27,3.52,3.52,3.52,3.52,3200
2019-08-28,3.52,3.52,3.52,3.52,0
2019-08-29,3.52,3.52,3.52,3.52,0
2019-08-30,3.52,3.52,3.52,3.52,0
2019-09-03,3.52,3.52,3.52,3.52,0
2019-09-04,3.52,3.52,3.52,3.52,0
2019-09-05,3.52,3.52,3.52,3.52,10
2019-09-06,3.52,3.52,3.52,3.52,0
2019-09-09,3.52,3.52,3.52,3.52,0
2019-09-10,3.52,3.52,3.52,3.52,0
2019-09-11,3.52,3.52,3.52,3.52,0
2019-09-12,3.52,3.52,3.52,3.52,0
2019-09-13,3.52,3.52,3.52,3.52,0
