time,open,high,low,close,volume
2018-01-02,12.33,12.33,12.33,12.33,0
2018-01-03,11.71,11.71,11.71,11.71,100
2018-01-04,11.71,11.71,11.71,11.71,0
2018-01-05,11.71,11.71,11.71,11.71,0
2018-01-08,11.78,11.78,11.78,11.78,1000
2018-01-09,11.71,11.71,11.71,11.71,2000
2018-01-10,11.64,11.64,11.64,11.64,1000
2018-01-11,11.64,11.64,11.64,11.64,0
2018-01-12,11.64,11.64,11.64,11.64,200
2018-01-15,11.64,11.64,11.64,11.64,100
2018-01-16,11.64,11.64,11.64,11.64,0
2018-01-17,12.05,12.05,12.05,12.05,180
2018-01-18,12.05,12.05,12.05,12.05,0
2018-01-19,12.05,12.05,12.05,12.05,0
2018-01-22,11.64,11.98,11.64,11.98,200
2018-01-23,11.71,11.71,11.71,11.71,10000
2018-01-24,11.71,11.71,11.71,11.71,70
2018-01-25,11.64,11.64,11.64,11.64,200
2018-01-26,11.64,11.64,11.64,11.64,0
2018-01-29,11.64,11.64,11.64,11.64,0
2018-01-30,11.44,11.44,11.44,11.44,1500
2018-01-31,11.44,11.44,11.44,11.44,0
2018-02-01,11.44,11.44,11.44,11.44,800
2018-02-02,11.44,11.44,11.44,11.44,0
2018-02-05,11.44,11.44,11.44,11.44,0
2018-02-06,11.44,11.44,11.44,11.44,900
2018-02-07,11.44,11.44,11.44,11.44,0
2018-02-08,10.96,11.98,10.96,11.98,400
2018-02-09,12.26,12.33,12.26,12.33,900
2018-02-12,12.33,12.33,12.33,12.33,100
2018-02-13,12.33,12.33,12.33,12.33,0
2018-02-21,12.33,12.33,12.33,12.33,0
2018-02-22,12.33,12.33,12.33,12.33,600
2018-02-23,12.33,12.33,12.33,12.33,0
2018-02-26,12.33,12.33,12.33,12.33,0
2018-02-27,12.33,12.33,12.33,12.33,0
2018-02-28,12.33,12.33,12.33,12.33,10
2018-03-01,12.33,12.33,12.33,12.33,0
2018-03-02,12.33,12.33,12.33,12.33,0
2018-03-05,11.64,11.64,11.64,11.64,500
2018-03-06,11.71,11.71,11.57,11.57,1700
2018-03-07,11.57,11.57,11.57,11.57,40
2018-03-08,11.57,11.57,11.57,11.57,0
2018-03-09,11.57,11.57,11.57,11.57,0
2018-03-12,11.57,11.57,11.57,11.57,0
2018-03-13,11.64,11.64,11.64,11.64,3300
2018-03-14,11.64,11.64,11.64,11.64,3500
2018-03-15,11.64,11.64,11.64,11.64,0
2018-03-16,11.64,11.64,11.64,11.64,0
2018-03-19,11.64,11.64,11.64,11.64,0
2018-03-20,12.67,12.67,12.33,12.33,5100
2018-03-21,12.33,13.35,12.33,13.35,6200
2018-03-22,13.35,13.35,13.01,13.01,500
2018-03-23,13.01,13.01,13.01,13.01,0
2018-03-26,13.01,13.01,13.01,13.01,0
2018-03-27,13.01,13.01,13.01,13.01,0
2018-03-28,13.01,13.01,13.01,13.01,0
2018-03-29,13.01,13.01,13.01,13.01,0
2018-03-30,13.01,13.01,13.01,13.01,0
2018-04-02,13.01,13.01,13.01,13.01,0
2018-04-03,13.01,13.01,13.01,13.01,10
2018-04-04,13.01,13.01,13.01,13.01,0
2018-04-05,13.01,13.01,13.01,13.01,0
2018-04-06,13.01,13.01,13.01,13.01,0
2018-04-09,13.01,13.01,13.01,13.01,0
2018-04-10,13.01,13.01,13.01,13.01,0
2018-04-11,13.01,13.01,13.01,13.01,0
2018-04-12,13.35,13.35,13.35,13.35,2000
2018-04-13,13.35,13.35,13.35,13.35,0
2018-04-16,13.35,13.35,13.35,13.35,0
2018-04-17,13.35,13.35,13.35,13.35,400
