time,open,high,low,close,volume
2018-01-02,8.28,8.78,7.68,8.75,223660
2018-01-03,9.34,9.34,8.75,8.93,210080
2018-01-04,8.98,8.98,8.45,8.98,239120
2018-01-05,8.87,8.98,8.69,8.75,25490
2018-01-08,8.75,9.13,8.63,8.87,95590
2018-01-09,8.87,9.46,8.69,9.4,115990
2018-01-10,9.4,9.72,9.34,9.46,75520
2018-01-11,9.58,9.58,9.16,9.46,101410
2018-01-12,9.16,9.52,9.16,9.4,79360
2018-01-15,9.34,9.34,9.16,9.22,13440
2018-01-16,8.98,9.34,8.6,8.87,32980
2018-01-17,8.87,9.04,8.87,8.87,49450
2018-01-18,8.69,9.16,8.39,8.87,27920
2018-01-19,9.1,9.46,8.57,9.46,119400
2018-01-22,9.46,10.11,9.34,9.99,244790
2018-01-23,9.99,9.99,9.99,9.99,0
2018-01-24,9.99,9.99,9.99,9.99,0
2018-01-25,10.46,10.46,10.05,10.34,110580
2018-01-26,10.46,10.46,9.93,10.05,35800
2018-01-29,10.34,10.4,10.05,10.23,388040
2018-01-30,10.23,10.23,10.05,10.05,10280
2018-01-31,10.05,10.05,9.69,9.93,36430
2018-02-01,9.87,9.87,9.25,9.87,17270
2018-02-02,9.31,9.87,9.31,9.34,650
2018-02-05,9.75,9.75,8.87,8.87,12840
2018-02-06,8.25,8.57,8.25,8.51,59330
2018-02-07,9.04,9.04,8.63,8.87,37340
2018-02-08,8.87,9.49,8.69,9.46,54630
2018-02-09,9.46,9.46,8.81,9.4,20610
2018-02-12,9.99,9.99,9.4,9.75,5290
2018-02-13,9.07,9.07,9.07,9.07,218470
2018-02-21,8.45,9.4,8.45,9.28,148920
2018-02-22,9.28,9.28,8.93,9.04,16350
2018-02-23,9.25,9.25,8.63,8.69,36200
2018-02-26,9.04,9.04,8.69,8.81,85630
2018-02-27,8.87,8.87,8.45,8.69,265250
2018-02-28,8.33,8.75,8.33,8.57,486430
2018-03-01,8.75,8.75,8.28,8.57,155650
2018-03-02,8.33,8.57,8.33,8.39,60360
2018-03-05,8.39,8.57,7.83,7.83,106360
2018-03-06,7.83,8.36,7.39,7.98,324130
2018-03-07,8.28,8.48,8.16,8.25,119660
2018-03-08,8.6,8.6,8.28,8.45,35170
2018-03-09,8.33,8.48,8.16,8.16,164690
2018-03-12,8.28,8.57,8.04,8.16,14220
2018-03-13,8.07,8.28,7.98,8.04,78580
2018-03-14,8.04,8.28,8.04,8.07,56410
2018-03-15,8.07,8.28,8.07,8.22,21250
2018-03-16,8.22,8.78,8.22,8.78,599250
2018-03-19,9.16,9.16,8.87,9.04,378940
2018-03-20,9.1,9.1,8.87,8.98,157570
2018-03-21,8.87,9.16,8.63,8.75,175030
2018-03-22,8.48,8.69,8.39,8.39,124100
2018-03-23,8.28,8.45,8.25,8.45,90780
2018-03-26,8.75,8.75,8.45,8.45,59150
2018-03-27,8.48,8.57,8.45,8.45,38870
2018-03-28,8.45,8.54,8.39,8.45,32450
2018-03-29,8.51,8.51,8.33,8.33,89850
2018-03-30,8.33,8.51,8.33,8.39,91300
2018-04-02,8.48,8.63,8.42,8.57,299920
2018-04-03,8.57,8.75,8.57,8.75,180550
2018-04-04,8.75,8.98,8.75,8.87,206910
2018-04-05,8.81,8.93,8.69,8.87,176530
2018-04-06,8.87,9.04,8.81,9.04,322360
2018-04-09,9.04,9.1,8.87,8.98,232070
2018-04-10,9.1,9.61,9.07,9.28,353180
2018-04-11,9.28,9.28,8.93,9.04,266950
2018-04-12,8.98,9.04,8.81,9.04,247360
2018-04-13,8.98,9.16,8.93,8.93,229650
2018-04-16,8.9,9.04,8.81,9.01,204940
2018-04-17,8.93,9.16,8.93,9.16,297930
2018-04-18,9.22,9.46,9.16,9.16,331310
2018-04-19,9.28,9.28,8.87,8.93,187750
2018-04-20,8.84,8.98,8.81,8.93,182540
2018-04-23,8.87,8.98,8.3,8.3,225050
2018-04-24,8.33,8.57,8.28,8.51,274680
2018-04-26,8.48,8.54,8.22,8.28,387060
2018-04-27,8.28,8.51,8.28,8.51,253310
2018-05-02,8.57,8.66,8.51,8.63,240950
2018-05-03,8.66,8.69,8.45,8.69,231050
2018-05-04,8.75,8.81,8.63,8.69,165710
2018-05-07,8.75,8.87,8.75,8.78,252400
2018-05-08,8.84,8.93,8.54,8.63,225480
2018-05-09,8.51,8.69,8.51,8.54,136880
2018-05-10,8.54,8.66,8.48,8.54,111400
2018-05-11,8.36,8.54,8.28,8.54,88830
2018-05-14,8.54,8.63,8.45,8.45,123060
2018-05-15,8.45,8.51,8.3,8.3,97680
2018-05-16,8.28,8.39,8.16,8.16,131120
2018-05-17,8.16,8.28,8.04,8.07,81750
2018-05-18,8.07,8.1,8.04,8.07,76000
2018-05-21,8.07,8.1,8.04,8.04,61310
2018-05-22,7.98,7.98,7.74,7.98,136670
2018-05-23,7.8,8.07,7.8,8.07,67400
2018-05-24,7.98,8.16,7.8,7.92,53420
2018-05-25,8.04,8.1,7.74,7.92,47570
2018-05-28,8.04,8.1,7.51,7.68,72200
2018-05-29,7.68,7.86,7.57,7.8,102830
2018-05-30,7.92,7.95,7.74,7.8,85700
