time,open,high,low,close,volume
2018-01-02,13.06,13.06,13.06,13.06,1000
2018-01-03,13.06,13.1,13.06,13.1,1100
2018-01-04,13.56,13.56,13.56,13.56,200
2018-01-05,13.46,13.81,13.46,13.81,1800
2018-01-08,13.66,13.66,13.66,13.66,0
2018-01-09,13.66,13.66,13.66,13.66,0
2018-01-10,13.46,13.56,13.41,13.41,1400
2018-01-11,13.36,13.36,12.6,12.6,4100
2018-01-12,13.56,13.56,13.56,13.56,200
2018-01-15,13.56,13.56,13.56,13.56,0
2018-01-16,13.06,13.31,13.06,13.31,11500
2018-01-17,13.21,13.21,13.21,13.21,1700
2018-01-18,13.21,13.21,13.21,13.21,0
2018-01-19,12.75,12.75,12.7,12.7,10300
2018-01-22,12.65,12.65,12.55,12.55,2856
2018-01-23,12.81,14.06,12.81,14.06,2600
2018-01-24,12.81,12.81,12.65,12.65,1800
2018-01-25,12.55,12.6,12.55,12.6,1700
2018-01-26,12.55,12.55,12.55,12.6,10
2018-01-29,12.55,12.55,12.55,12.55,0
2018-01-30,12.55,12.55,12.55,12.55,800
2018-01-31,12.55,12.55,12.55,12.55,700
2018-02-01,12.55,12.55,12.55,12.55,0
2018-02-02,12.45,12.45,12.45,12.45,436
2018-02-05,12.45,12.45,12.1,12.2,3100
2018-02-06,12.35,12.35,12.35,12.35,0
2018-02-07,12.55,12.55,12.55,12.55,1200
2018-02-08,12.55,12.55,12.15,12.15,500
2018-02-09,12.3,12.3,12.3,12.3,0
2018-02-12,12.3,12.3,12.3,12.3,0
2018-02-13,12.05,12.05,12.05,12.05,200
2018-02-21,12.5,12.5,12.5,12.5,300
2018-02-22,12.55,12.5,12.5,12.5,4300
2018-02-23,12.55,12.55,12.05,12.05,2500
2018-02-26,12.45,12.45,12.45,12.45,0
2018-02-27,12.5,12.55,12.4,12.4,18600
2018-02-28,12.55,12.55,12.55,12.55,2000
2018-03-01,12.55,12.55,12.55,12.55,0
2018-03-02,12.05,12.05,12.05,12.05,3000
2018-03-05,12.05,12.05,12.05,12.05,500
2018-03-06,12.05,12.05,12.05,12.05,2000
2018-03-07,12.5,12.5,12.5,12.5,100
2018-03-08,12.55,12.55,12.05,12.05,5000
2018-03-09,11.95,12.05,11.95,11.95,4000
2018-03-12,11.95,12.0,11.95,12.0,3100
2018-03-13,12.05,12.05,12.0,12.0,2900
2018-03-14,12.05,12.05,12.05,12.05,0
2018-03-15,12.0,12.25,11.95,12.25,5000
2018-03-16,12.1,12.1,12.1,12.1,0
2018-03-19,12.05,12.05,11.95,12.05,14400
2018-03-20,12.0,12.0,12.0,12.0,22500
2018-03-21,12.0,12.0,12.0,12.0,26000
2018-03-22,12.0,12.0,12.0,12.0,7300
2018-03-23,12.0,12.05,12.0,12.05,5600
2018-03-26,12.5,12.55,12.5,12.55,1000
2018-03-27,12.55,12.55,12.55,12.55,900
2018-03-28,12.05,12.05,12.05,12.05,1200
2018-03-29,12.05,12.05,12.05,12.05,6000
2018-03-30,12.05,12.05,12.05,12.05,3300
2018-04-02,12.05,12.1,12.05,12.05,13700
2018-04-03,12.05,12.3,12.05,12.1,15500
2018-04-04,12.1,12.1,12.05,12.05,11900
2018-04-05,12.1,12.1,12.1,12.1,5740
2018-04-06,12.15,12.15,12.15,12.15,600
2018-04-09,12.1,12.15,12.1,12.15,17000
2018-04-10,12.7,12.7,12.7,12.7,100
2018-04-11,12.7,12.7,12.7,12.7,0
2018-04-12,12.7,12.7,12.7,12.7,0
2018-04-13,12.7,12.7,12.7,12.7,0
2018-04-16,12.55,12.55,12.55,12.55,10500
2018-04-17,14.06,14.06,14.06,14.06,100
2018-04-18,12.55,12.81,12.55,12.6,10300
2018-04-19,12.65,12.65,12.65,12.6,10
2018-04-20,12.65,12.65,12.65,12.65,0
2018-04-23,11.95,11.95,11.95,11.95,100
2018-04-24,10.9,11.5,10.9,11.5,500
2018-04-26,11.15,11.15,11.15,11.15,0
2018-04-27,11.5,11.5,11.5,11.5,800
2018-05-02,11.5,11.5,11.5,11.5,0
2018-05-03,11.1,11.8,11.1,11.55,9000
2018-05-04,11.45,11.45,11.45,11.55,4
2018-05-07,11.55,11.55,11.45,11.45,4400
2018-05-08,11.45,11.45,11.45,11.45,0
2018-05-09,11.45,11.55,11.45,11.55,600
2018-05-10,11.55,11.55,11.55,11.55,0
2018-05-11,11.55,11.55,11.55,11.55,0
2018-05-14,11.55,11.55,11.55,11.55,100
2018-05-15,12.05,12.45,12.05,12.45,1000
2018-05-16,12.2,12.2,12.2,12.2,1212
2018-05-17,12.2,12.2,12.2,12.2,0
2018-05-18,12.2,12.2,12.2,12.2,0
2018-05-21,12.2,12.2,12.2,12.2,0
2018-05-22,11.55,11.55,11.55,11.55,3100
2018-05-23,11.15,11.2,11.15,11.2,2000
2018-05-24,11.2,11.2,11.2,11.2,12
2018-05-25,11.2,11.2,11.15,11.2,8000
2018-05-28,10.7,10.7,10.7,10.7,1300
2018-05-29,11.05,11.05,11.05,11.05,1000
2018-05-30,11.05,11.05,11.05,11.05,0
2018-05-31,11.05,11.05,11.05,11.05,0
2018-06-01,11.3,11.3,11.05,11.05,22000
2018-06-04,11.05,11.05,11.05,11.05,25100
2018-06-05,11.05,11.05,11.05,11.05,3200
2018-06-06,11.1,11.1,11.05,11.05,20000
2018-06-07,11.05,11.05,11.05,11.05,5800
2018-06-08,11.05,11.05,11.05,11.05,33300
2018-06-11,11.2,11.2,11.05,11.05,4100
2018-06-12,11.3,11.3,11.3,11.3,1000
2018-06-13,11.25,11.3,11.05,11.3,9000
2018-06-14,11.87,11.87,11.31,11.48,8600
2018-06-15,11.42,11.53,11.31,11.31,3100
2018-06-18,11.59,11.59,10.98,10.98,6400
2018-06-19,10.98,10.98,10.87,10.87,19500
2018-06-20,10.98,11.04,10.98,11.04,2400
2018-06-21,11.04,11.04,10.82,10.93,1600
2018-06-22,10.93,10.93,10.93,10.93,0
2018-06-25,10.93,10.98,10.93,10.98,11300
2018-06-26,10.98,10.98,10.98,10.98,100
2018-06-27,10.93,10.93,10.93,10.93,2300
2018-06-28,10.87,10.87,10.87,10.87,300
2018-06-29,10.93,10.93,10.93,10.93,1500
2018-07-02,10.98,11.09,10.98,11.04,6100
2018-07-03,11.04,11.09,11.04,11.04,19200
2018-07-04,11.04,11.04,11.04,11.04,0
2018-07-05,11.31,11.31,11.31,11.31,1100
2018-07-06,11.2,11.2,11.2,11.2,200
