time,open,high,low,close,volume
2018-01-02,26.8,26.8,26.8,26.8,10
2018-01-03,27.85,27.85,27.85,27.85,10
2018-01-04,26.91,26.95,26.01,26.01,510
2018-01-05,26.38,26.76,26.38,26.76,200
2018-01-08,24.99,25.03,24.99,25.03,20
2018-01-09,25.71,25.71,25.71,25.71,150
2018-01-10,24.91,27.1,24.91,27.1,20
2018-01-11,26.38,26.38,26.38,26.38,40
2018-01-12,26.38,26.38,26.38,26.38,0
2018-01-15,26.38,26.38,26.38,26.38,500
2018-01-16,26.38,26.38,26.38,26.38,0
2018-01-17,25.4,27.48,25.37,27.48,1010
2018-01-18,26.38,27.4,26.38,27.4,430
2018-01-19,29.25,29.25,29.25,29.25,10
2018-01-22,29.25,29.25,29.25,29.25,0
2018-01-23,29.25,29.25,29.25,29.25,0
2018-01-24,29.25,29.25,29.25,29.25,0
2018-01-25,29.25,29.25,29.25,29.25,0
2018-01-26,27.21,27.21,27.21,27.21,30
2018-01-29,25.63,26.69,25.63,26.69,1370
2018-01-30,24.84,28.53,24.84,28.53,120
2018-01-31,28.53,28.53,28.53,28.53,100
2018-02-01,28.61,28.61,28.61,28.61,10
2018-02-02,26.61,26.61,26.61,26.61,240
2018-02-05,28.46,28.46,28.46,28.46,10
2018-02-06,26.5,26.5,26.5,26.5,60
2018-02-07,24.65,26.35,24.65,26.35,60
2018-02-08,27.1,27.1,27.1,27.1,10
2018-02-09,28.57,28.57,25.22,26.72,530
2018-02-12,28.5,28.57,28.5,28.57,40
2018-02-13,28.65,30.49,26.57,30.15,1040
2018-02-21,30.15,32.15,28.04,28.04,750
2018-02-22,26.08,26.08,26.08,26.08,100
2018-02-23,26.16,26.16,26.16,26.16,10
2018-02-26,24.39,24.39,24.39,24.39,10
2018-02-27,24.27,24.27,24.27,24.27,10
2018-02-28,25.97,25.97,24.8,25.97,40
2018-03-01,25.63,25.63,25.63,25.63,10
2018-03-02,26.8,26.8,25.29,25.67,1750
2018-03-05,25.67,25.67,25.67,25.67,0
2018-03-06,26.87,26.91,25.78,25.78,130
2018-03-07,25.78,25.78,25.78,25.78,0
2018-03-08,25.78,25.78,25.78,25.78,0
2018-03-09,25.78,25.78,25.78,25.78,0
2018-03-12,27.25,27.36,27.06,27.06,1450
2018-03-13,25.71,27.52,25.71,27.52,20
2018-03-14,27.74,27.74,27.74,27.74,10
2018-03-15,27.89,27.89,27.89,27.89,10
2018-03-16,26.16,26.16,26.16,26.16,20
2018-03-19,25.67,25.67,25.67,25.67,230
2018-03-20,27.36,27.36,27.36,27.36,310
2018-03-21,25.86,25.86,25.86,25.86,10
2018-03-22,25.86,25.86,25.86,25.86,0
2018-03-23,27.03,27.06,26.99,26.99,600
2018-03-26,26.99,26.99,26.99,26.99,0
2018-03-27,27.14,27.14,27.14,27.14,10
2018-03-28,27.14,27.14,27.14,27.14,30
2018-03-29,26.38,26.38,26.38,26.38,290
2018-03-30,27.14,27.14,27.14,27.14,560
2018-04-02,27.14,27.14,27.14,27.14,0
2018-04-03,26.76,26.76,26.38,26.38,520
2018-04-04,26.38,26.38,26.38,26.38,0
2018-04-05,24.95,24.95,24.95,24.95,10
2018-04-06,24.95,24.95,24.95,24.95,0
2018-04-09,26.69,26.69,26.69,26.69,410
2018-04-10,27.89,28.53,24.88,25.63,1440
2018-04-11,27.14,27.14,25.71,26.76,610
2018-04-12,28.57,28.57,25.63,28.57,430
2018-04-13,26.61,26.61,26.61,26.61,30
2018-04-16,26.61,26.61,26.61,26.61,0
2018-04-17,28.46,28.46,25.63,25.71,3440
2018-04-18,25.71,25.71,25.71,25.71,0
2018-04-19,25.71,25.71,25.71,25.71,0
2018-04-20,27.48,27.48,27.48,27.48,60
2018-04-23,27.48,27.48,27.48,27.48,0
2018-04-24,27.44,28.27,27.44,28.27,710
2018-04-26,28.27,28.27,28.27,28.27,0
2018-04-27,28.27,28.27,28.27,28.27,0
2018-05-02,27.59,27.59,27.21,27.21,40
2018-05-03,27.21,27.21,27.21,27.21,0
2018-05-04,27.21,27.21,27.21,27.21,0
2018-05-07,27.21,27.21,27.21,27.21,0
2018-05-08,29.1,29.1,29.1,29.1,10
2018-05-09,30.91,30.91,30.91,30.91,100
2018-05-10,29.4,29.4,29.02,29.02,250
2018-05-11,29.02,29.02,29.02,29.02,0
