time,open,high,low,close,volume
2018-01-02,10.93,10.93,10.93,10.93,100
2018-01-03,10.93,10.93,10.93,10.93,0
2018-01-04,10.93,10.93,10.93,10.93,0
2018-01-05,10.93,10.93,10.93,10.93,100
2018-01-08,12.0,12.0,12.0,12.0,100
2018-01-09,10.86,11.14,10.86,11.14,200
2018-01-10,11.79,12.21,11.79,12.21,700
2018-01-11,11.0,12.21,11.0,12.21,600
2018-01-12,11.0,12.21,11.0,11.43,10200
2018-01-15,11.43,11.43,11.43,11.43,0
2018-01-16,11.43,11.43,11.43,11.43,200
2018-01-17,11.43,11.43,11.43,11.43,0
2018-01-18,11.43,11.43,11.43,11.43,0
2018-01-19,11.43,11.43,11.43,11.43,0
2018-01-22,10.36,10.36,10.36,10.36,100
2018-01-23,11.29,11.29,11.29,11.29,200
2018-01-24,11.29,11.29,11.29,11.29,0
2018-01-25,11.29,11.29,11.29,11.29,0
2018-01-26,11.29,11.29,11.29,11.29,0
2018-01-29,11.29,11.29,11.29,11.29,0
2018-01-30,10.21,12.36,10.21,12.36,1200
2018-01-31,11.14,13.57,11.14,13.57,200
2018-02-01,12.21,14.93,12.21,12.21,10900
2018-02-02,12.21,12.21,12.21,12.21,1100
2018-02-05,12.21,12.21,12.21,12.21,300
2018-02-06,12.5,12.5,11.0,11.0,20400
2018-02-07,11.43,11.43,11.43,11.43,10000
2018-02-08,11.79,11.79,11.79,11.79,100
2018-02-09,11.79,11.79,10.71,10.71,1100
2018-02-12,10.71,10.71,10.71,10.71,0
2018-02-13,10.71,10.71,10.71,10.71,0
2018-02-21,10.79,10.79,10.71,10.71,300
2018-02-22,10.71,10.71,10.71,10.71,0
2018-02-23,10.71,10.71,10.71,10.71,0
2018-02-26,11.43,11.43,11.43,11.43,300
2018-02-27,12.5,12.57,12.5,12.57,10500
2018-02-28,12.57,12.57,12.57,12.57,1000
2018-03-01,11.36,11.36,11.36,11.36,100
2018-03-02,11.36,11.36,11.36,11.36,0
2018-03-05,11.36,11.36,11.36,11.36,0
2018-03-06,11.36,11.36,11.36,11.36,0
2018-03-07,11.36,11.36,11.36,11.36,0
2018-03-08,11.36,11.36,11.36,11.36,0
2018-03-09,11.36,11.36,11.36,11.36,0
2018-03-12,11.36,11.36,11.36,11.36,0
2018-03-13,11.36,11.36,11.36,11.36,0
2018-03-14,11.36,11.36,11.36,11.36,31
2018-03-15,11.36,11.36,11.36,11.36,0
2018-03-16,11.36,11.36,11.36,11.36,5
2018-03-19,11.36,11.36,11.36,11.36,30
2018-03-20,11.36,11.36,11.36,11.36,0
2018-03-21,11.36,11.36,11.36,11.36,0
2018-03-22,11.36,11.36,11.36,11.36,0
2018-03-23,11.36,11.36,11.36,11.36,0
2018-03-26,12.14,12.14,12.14,12.14,100
2018-03-27,12.14,12.14,12.14,12.14,0
2018-03-28,10.93,10.93,10.93,10.93,100
2018-03-29,10.93,10.93,10.93,10.93,0
2018-03-30,10.93,10.93,10.93,10.93,0
2018-04-02,10.93,10.93,10.93,10.93,7900
2018-04-03,10.93,10.93,10.93,10.93,14000
2018-04-04,10.93,10.93,10.93,10.93,0
2018-04-05,10.93,10.93,10.93,10.93,0
2018-04-06,10.93,10.93,10.93,10.93,0
2018-04-09,10.93,10.93,10.93,10.93,0
2018-04-10,10.71,10.71,10.71,10.71,4000
2018-04-11,10.71,10.71,10.71,10.71,1
2018-04-12,10.71,10.71,10.71,10.71,0
2018-04-13,10.71,10.71,10.71,10.71,10000
2018-04-16,11.57,11.64,10.71,11.64,10000
2018-04-17,11.64,11.64,11.64,11.64,0
2018-04-18,10.71,10.71,10.71,10.71,100
2018-04-19,11.79,11.79,11.71,11.79,2200
2018-04-20,10.71,10.71,10.71,10.71,100
2018-04-23,10.36,11.79,10.36,11.79,800
2018-04-24,10.71,11.79,10.71,11.79,400
2018-04-26,10.71,10.71,10.71,10.71,100
2018-04-27,10.71,10.71,10.71,10.71,0
2018-05-02,10.71,10.71,10.71,10.71,0
2018-05-03,10.71,10.71,10.71,10.71,0
2018-05-04,10.71,10.71,10.71,10.71,0
2018-05-07,10.71,10.71,10.71,10.71,1
2018-05-08,10.71,10.71,10.71,10.71,0
2018-05-09,10.71,10.71,10.71,10.71,0
2018-05-10,10.71,10.71,10.71,10.71,0
2018-05-11,10.71,10.71,10.71,10.71,0
2018-05-14,10.71,10.71,10.71,10.71,0
2018-05-15,10.75,10.75,10.75,10.75,0
2018-05-16,10.75,10.75,10.75,10.75,0
2018-05-17,10.75,10.75,10.75,10.75,0
2018-05-18,10.75,10.75,10.75,10.75,0
2018-05-21,10.75,10.75,10.75,10.75,0
2018-05-22,10.75,10.75,10.75,10.75,0
2018-05-23,10.75,10.75,10.75,10.75,0
2018-05-24,10.75,10.75,10.75,10.75,0
2018-05-25,10.75,10.75,10.75,10.75,0
2018-05-28,10.75,10.75,10.75,10.75,0
2018-05-29,10.75,10.75,10.75,10.75,0
2018-05-30,10.75,10.75,10.75,10.75,0
2018-05-31,10.75,10.75,10.75,10.75,0
2018-06-01,10.75,10.75,10.75,10.75,0
2018-06-04,10.75,10.75,10.75,10.75,0
2018-06-05,11.81,11.81,11.81,11.81,500
2018-06-06,10.68,10.68,10.68,10.68,100
2018-06-07,10.68,10.68,10.68,10.68,0
2018-06-08,10.68,10.68,10.68,10.68,0
2018-06-11,10.68,10.68,10.68,10.68,0
2018-06-12,10.68,10.68,10.68,10.68,0
2018-06-13,10.68,10.68,10.68,10.68,0
2018-06-14,10.68,10.68,10.68,10.68,0
2018-06-15,10.68,10.68,10.68,10.68,0
2018-06-18,10.68,10.68,10.68,10.68,0
2018-06-19,10.68,10.68,10.68,10.68,0
2018-06-20,10.68,10.68,10.68,10.68,0
2018-06-21,10.68,10.68,10.68,10.68,0
2018-06-22,10.68,10.68,10.68,10.68,0
2018-06-25,10.68,10.68,10.68,10.68,0
2018-06-26,10.68,10.68,10.68,10.68,0
2018-06-27,9.62,9.62,9.62,9.62,100
2018-06-28,9.62,9.62,9.62,9.62,0
2018-06-29,9.62,9.62,9.62,9.62,0
2018-07-02,9.62,9.62,9.62,9.62,2
2018-07-03,9.62,9.62,9.62,9.62,0
2018-07-04,9.62,9.62,9.62,9.62,0
2018-07-05,9.62,9.62,9.62,9.62,0
2018-07-06,10.53,10.53,10.53,10.53,100
2018-07-09,10.15,10.15,10.15,10.15,100
2018-07-10,10.15,10.15,10.15,10.15,0
2018-07-11,10.15,10.15,10.15,10.15,0
2018-07-12,9.77,9.77,9.77,9.77,1000
2018-07-13,9.77,9.77,9.77,9.77,0
2018-07-16,9.77,9.77,9.77,9.77,0
2018-07-17,9.77,9.77,9.77,9.77,0
2018-07-18,9.77,9.77,9.77,9.77,0
