time,open,high,low,close,volume
2018-01-02,8.22,8.22,8.22,8.22,0
2018-01-03,8.22,8.22,8.22,8.22,0
2018-01-04,8.22,8.22,8.22,8.22,0
2018-01-05,8.22,8.22,8.22,8.22,0
2018-01-08,8.22,8.22,8.22,8.22,0
2018-01-09,8.22,8.22,8.22,8.22,0
2018-01-10,8.01,8.22,8.01,8.22,1500
2018-01-11,8.14,8.14,8.14,8.14,0
2018-01-12,8.14,8.14,8.14,8.14,0
2018-01-15,8.14,8.14,8.14,8.14,0
2018-01-16,8.14,8.14,8.14,8.14,0
2018-01-17,8.14,8.14,8.14,8.14,0
2018-01-18,8.14,8.14,8.14,8.14,0
2018-01-19,8.14,8.14,8.14,8.14,0
2018-01-22,8.14,8.14,8.14,8.14,0
2018-01-23,8.14,8.14,8.14,8.14,0
2018-01-24,8.14,8.14,8.14,8.14,0
2018-01-25,8.14,8.14,8.14,8.14,0
2018-01-26,8.14,8.14,8.14,8.22,50
2018-01-29,8.14,8.14,8.14,8.14,0
2018-01-30,8.01,8.14,7.59,7.59,3600
2018-01-31,7.84,7.84,7.84,7.84,0
2018-02-01,7.84,7.84,7.84,7.84,0
2018-02-02,7.84,7.84,7.84,7.84,0
2018-02-05,7.17,7.17,7.17,7.17,900
2018-02-06,7.17,7.17,7.17,7.17,0
2018-02-07,6.32,6.32,6.32,6.32,200
2018-02-08,6.32,6.32,6.32,6.32,0
2018-02-09,6.32,6.32,6.32,6.32,0
2018-02-12,6.32,6.32,6.32,6.32,0
2018-02-13,6.32,6.32,6.32,6.32,0
2018-02-21,5.44,5.44,5.44,5.44,100
2018-02-22,5.44,5.44,5.44,5.44,0
2018-02-23,5.44,5.44,5.44,5.44,0
2018-02-26,5.44,5.44,5.44,5.44,25
2018-02-27,5.44,5.44,5.44,5.44,0
2018-02-28,4.64,4.64,4.64,4.64,100
2018-03-01,5.31,5.31,5.31,5.31,100
2018-03-02,5.31,5.31,5.31,5.31,0
2018-03-05,6.07,6.07,6.07,6.07,300
2018-03-06,6.66,6.66,6.66,6.66,100
2018-03-07,6.66,6.66,6.66,6.66,0
2018-03-08,6.66,6.66,6.66,6.66,0
2018-03-09,6.66,6.66,6.66,6.66,10
2018-03-12,6.66,6.66,6.66,6.66,0
2018-03-13,5.69,5.69,5.69,5.69,100
2018-03-14,5.06,6.28,5.06,6.28,600
2018-03-15,5.27,5.27,5.27,6.28,10
2018-03-16,5.86,5.9,5.86,5.9,1800
2018-03-19,5.9,5.9,5.9,5.9,0
2018-03-20,5.9,5.9,5.9,5.9,0
2018-03-21,6.75,6.75,6.75,6.75,100
2018-03-22,6.87,6.87,6.87,6.87,2000
2018-03-23,6.87,6.87,6.87,6.87,0
2018-03-26,6.87,6.87,6.87,6.87,0
2018-03-27,6.87,6.87,6.87,6.87,0
2018-03-28,6.87,6.87,6.87,6.87,0
2018-03-29,6.87,6.87,6.87,6.87,0
2018-03-30,7.55,7.55,7.55,7.55,100
2018-04-02,7.55,7.55,7.55,7.55,0
2018-04-03,7.59,7.59,7.59,7.59,100
2018-04-04,7.59,7.59,7.59,7.59,0
2018-04-05,7.59,7.59,7.59,7.59,0
2018-04-06,7.59,7.59,7.59,7.59,0
2018-04-09,7.59,7.59,7.59,7.59,0
2018-04-10,7.59,7.59,7.59,7.59,0
2018-04-11,7.59,7.59,7.59,7.59,0
2018-04-12,7.59,7.59,7.59,7.59,0
2018-04-13,7.59,7.59,7.59,7.59,0
2018-04-16,7.59,7.59,7.59,7.59,0
