time,open,high,low,close,volume
2018-01-02,11.17,11.28,10.59,10.82,359680
2018-01-03,10.82,11.57,10.82,11.32,659940
2018-01-04,11.32,11.62,11.13,11.43,283880
2018-01-05,11.28,11.38,11.05,11.05,216670
2018-01-08,10.82,11.03,10.59,10.71,423910
2018-01-09,10.78,11.01,10.71,10.78,341750
2018-01-10,10.86,10.86,10.63,10.71,314570
2018-01-11,10.71,10.97,10.55,10.92,261050
2018-01-12,10.92,11.43,10.92,11.01,283960
2018-01-15,11.01,11.28,10.86,11.01,122790
2018-01-16,11.01,11.01,10.75,10.75,154750
2018-01-17,10.75,10.82,10.53,10.53,246700
2018-01-18,10.32,10.59,10.32,10.59,144260
2018-01-19,10.65,10.75,10.21,10.29,165770
2018-01-22,9.6,9.94,9.58,9.58,730890
2018-01-23,9.58,9.58,9.58,9.58,0
2018-01-24,9.58,9.58,9.58,9.58,0
2018-01-25,10.25,10.25,10.25,10.25,104580
2018-01-26,10.96,10.96,10.78,10.96,560450
2018-01-29,11.13,11.17,10.94,10.97,248510
2018-01-30,11.09,11.74,10.97,11.74,361420
2018-01-31,11.85,12.39,11.47,11.47,512700
2018-02-01,11.66,11.85,11.4,11.4,129700
2018-02-02,11.17,11.36,10.94,10.94,76660
2018-02-05,10.63,10.9,10.32,10.32,540210
2018-02-06,9.87,11.03,9.75,10.71,626880
2018-02-07,10.71,11.09,10.71,10.86,59260
2018-02-08,10.86,10.86,10.11,10.25,82650
2018-02-09,9.87,10.29,9.79,10.02,90580
2018-02-12,10.06,10.67,10.06,10.52,30270
2018-02-13,10.55,10.9,10.5,10.71,66770
2018-02-21,10.71,10.71,10.21,10.48,269000
2018-02-22,10.48,10.48,10.11,10.23,80410
2018-02-23,10.23,10.36,10.06,10.06,75560
2018-02-26,10.06,10.25,9.56,9.94,262360
2018-02-27,9.94,9.94,9.71,9.92,45360
2018-02-28,9.75,10.02,9.75,9.94,66130
2018-03-01,9.77,9.9,9.73,9.75,63350
2018-03-02,9.75,9.75,9.5,9.54,130600
2018-03-05,9.56,9.94,9.56,9.9,78000
2018-03-06,9.62,9.9,9.48,9.67,69690
2018-03-07,9.79,9.79,9.5,9.66,72140
2018-03-08,9.66,9.67,9.5,9.54,43990
2018-03-09,9.58,9.66,9.48,9.48,79620
2018-03-12,9.48,9.48,8.83,9.29,179450
2018-03-13,9.18,9.75,9.02,9.67,223090
2018-03-14,9.18,10.06,9.18,9.98,124880
2018-03-15,10.0,10.0,9.6,9.6,74500
2018-03-16,9.58,9.9,9.58,9.87,169340
2018-03-19,9.98,10.38,9.98,10.23,170120
2018-03-20,10.25,10.94,10.23,10.94,221600
2018-03-21,11.28,11.32,10.94,11.05,214770
2018-03-22,11.05,11.05,10.73,10.9,98450
2018-03-23,10.36,10.71,10.36,10.67,92830
2018-03-26,10.67,10.67,10.32,10.36,77480
2018-03-27,10.36,10.78,10.36,10.71,97260
2018-03-28,10.82,11.01,10.71,10.97,122840
2018-03-29,10.99,11.47,10.99,11.47,198540
2018-03-30,11.47,12.26,11.47,12.08,288110
2018-04-02,12.24,12.24,11.7,12.06,125110
2018-04-03,11.89,12.05,11.82,11.85,120620
2018-04-04,11.85,12.24,11.85,12.01,209710
2018-04-05,12.01,12.03,11.55,11.8,122020
2018-04-06,11.85,12.05,11.66,11.97,135750
2018-04-09,11.97,12.01,11.62,11.78,155500
2018-04-10,11.78,11.82,10.96,10.96,397100
2018-04-11,10.59,11.45,10.32,10.5,133850
2018-04-12,10.44,10.88,10.17,10.63,42820
2018-04-13,10.5,10.8,10.32,10.63,25970
2018-04-16,10.63,11.36,10.63,11.28,112450
2018-04-17,11.4,11.4,11.09,11.26,42110
2018-04-18,11.38,11.38,10.48,10.63,23920
2018-04-19,10.63,11.09,10.4,10.71,89330
2018-04-20,10.71,11.09,10.59,10.59,19350
2018-04-23,11.05,11.05,10.52,10.67,59740
2018-04-24,10.67,10.67,10.32,10.63,58510
2018-04-26,11.05,11.09,9.9,10.52,123820
2018-04-27,10.48,10.63,10.32,10.63,24920
2018-05-02,10.32,10.48,9.9,9.9,182070
2018-05-03,9.9,9.9,9.22,9.22,162040
2018-05-04,8.83,9.18,8.76,9.18,104850
2018-05-07,9.37,9.45,8.99,9.45,56100
2018-05-08,9.48,9.56,9.18,9.37,95140
2018-05-09,9.37,9.56,9.33,9.5,113930
2018-05-10,9.56,9.67,9.52,9.56,35650
2018-05-11,9.29,9.54,9.29,9.45,29850
2018-05-14,9.45,9.54,9.45,9.54,11160
2018-05-15,9.37,9.62,9.33,9.62,36940
2018-05-16,9.62,9.79,9.56,9.73,82790
2018-05-17,9.73,9.73,9.52,9.52,7410
2018-05-18,9.71,9.71,9.18,9.48,24300
2018-05-21,9.37,9.48,9.18,9.37,27730
2018-05-22,9.37,9.37,8.72,9.18,49780
2018-05-23,8.64,9.18,8.55,8.8,86840
2018-05-24,8.8,9.12,8.68,8.8,26050
2018-05-25,8.8,8.8,8.18,8.18,69100
2018-05-28,8.18,8.18,7.63,7.63,119620
2018-05-29,7.38,8.14,7.36,8.14,102860
2018-05-30,8.26,8.26,7.92,8.03,22260
2018-05-31,8.03,8.03,7.84,7.99,56510
2018-06-01,8.03,8.03,7.8,7.99,91960
2018-06-04,7.99,8.49,7.99,8.3,80880
2018-06-05,8.18,8.53,8.18,8.28,45580
2018-06-06,8.11,8.85,8.03,8.85,58500
2018-06-07,8.85,8.85,8.41,8.78,40920
2018-06-08,8.78,8.95,8.53,8.8,23100
