time,open,high,low,close,volume
2020-08-18,9.49,9.49,9.49,9.49,0
2020-08-19,13.23,13.23,13.23,13.23,1100
2020-08-20,15.17,15.17,15.17,15.17,500
2020-08-21,17.43,17.43,17.43,17.43,700
2020-08-24,19.99,19.99,19.99,19.99,4081
2020-08-25,22.95,22.95,22.95,22.95,12200
2020-08-26,26.37,26.37,26.37,26.37,5700
2020-08-27,30.26,30.26,30.26,30.26,16839
2020-08-28,34.78,34.78,25.75,25.75,13883
2020-08-31,25.05,25.05,25.05,25.05,2436
2020-09-01,25.05,25.05,25.05,25.05,347
2020-09-03,25.05,25.05,25.05,25.05,122
2020-09-04,21.32,21.32,21.32,21.32,2708
2020-09-07,18.13,18.13,18.13,18.13,800
2020-09-08,15.48,18.13,15.48,15.48,28893
2020-09-09,15.48,17.97,15.48,17.97,7221
2020-09-10,18.83,18.83,18.83,18.83,8193
2020-09-11,19.29,19.29,17.12,18.59,15372
2020-09-14,17.89,18.67,16.34,16.65,13191
2020-09-15,16.8,19.06,16.34,18.28,44378
2020-09-16,18.05,18.67,17.89,17.89,22200
2020-09-17,18.13,18.44,17.89,17.89,33150
2020-09-18,17.19,18.2,17.12,17.5,6836
2020-09-21,17.12,17.19,17.12,17.12,3443
2020-09-22,18.28,18.28,16.42,16.73,1647
2020-09-23,16.73,17.89,16.73,17.12,4374
2020-09-24,17.35,17.35,16.34,16.42,8735
2020-09-25,17.12,17.12,16.1,16.1,1920
2020-09-28,16.73,17.82,15.64,17.43,9989
2020-09-29,17.12,17.19,16.1,16.65,4907
2020-09-30,15.95,17.19,15.95,17.19,5492
2020-10-01,16.96,19.45,16.96,19.45,32581
2020-10-02,18.44,19.06,18.36,18.44,17824
2020-10-05,18.52,18.83,18.28,18.36,39900
2020-10-06,17.89,18.28,17.5,18.28,5800
2020-10-07,18.28,19.45,17.89,18.67,24600
2020-10-08,18.67,18.75,18.44,18.67,4700
2020-10-09,17.58,18.59,17.12,17.89,2600
2020-10-12,17.5,17.58,17.12,17.12,11700
2020-10-13,17.27,17.27,16.34,16.34,5100
2020-10-14,16.42,16.49,15.95,16.49,900
2020-10-15,17.12,17.12,16.34,16.34,800
2020-10-16,16.96,17.12,16.73,16.73,3500
2020-10-19,15.71,16.49,15.71,16.49,1700
2020-10-20,16.34,16.34,16.34,16.34,2300
2020-10-21,16.34,16.34,16.34,16.34,3700
2020-10-22,16.34,16.34,16.34,16.34,0
2020-10-23,15.95,15.95,15.95,15.95,1200
2020-10-26,15.95,15.95,15.56,15.56,900
2020-10-27,15.56,15.56,15.56,15.56,100
2020-10-28,15.17,15.17,14.08,14.08,600
2020-10-29,15.56,15.56,15.56,15.56,600
2020-10-30,15.56,15.56,15.56,15.56,0
2020-11-02,14.78,14.78,14.78,14.78,1500
2020-11-03,14.08,14.39,13.61,13.61,12900
2020-11-04,14.78,14.78,14.0,14.78,2900
2020-11-05,14.47,14.78,14.78,14.78,0
2020-11-06,14.08,14.08,14.08,14.08,500
2020-11-09,14.39,15.17,14.39,15.17,600
2020-11-10,15.95,15.95,15.95,15.95,100
2020-11-11,16.73,16.73,14.08,15.87,400
2020-11-12,15.95,15.95,14.31,14.39,2300
2020-11-13,14.08,14.08,14.08,14.08,700
2020-11-16,14.08,14.08,14.08,14.08,100
2020-11-17,14.24,15.17,14.08,14.39,5400
2020-11-18,12.53,15.56,12.53,15.4,2200
2020-11-19,15.25,15.25,14.47,15.25,3800
2020-11-20,14.78,14.78,14.39,14.47,3100
2020-11-23,14.47,14.78,14.47,14.47,5700
2020-11-24,16.05,16.05,16.05,16.05,100
2020-11-25,15.88,15.96,15.88,15.96,700
2020-11-26,15.88,15.96,15.88,15.96,600
2020-11-27,15.88,15.88,15.88,15.88,100
2020-11-30,14.42,15.45,14.42,15.45,800
2020-12-01,15.02,15.28,15.02,15.28,3800
2020-12-02,15.88,17.16,15.88,17.16,4400
2020-12-03,16.74,17.16,16.74,17.16,2200
2020-12-04,16.91,16.91,16.91,16.91,100
2020-12-07,16.91,16.91,16.91,16.91,2200
2020-12-08,16.91,16.91,16.31,16.31,6000
2020-12-09,16.48,16.48,16.13,16.13,300
2020-12-10,16.22,16.13,16.13,16.13,0
2020-12-11,16.22,16.13,16.13,16.13,0
2020-12-14,16.22,16.13,16.13,16.13,0
2020-12-15,15.88,15.88,15.62,15.62,570
2020-12-16,15.45,15.45,15.02,15.02,2500
2020-12-17,15.1,15.02,15.02,15.02,0
2020-12-18,15.1,15.1,15.1,15.1,100
2020-12-21,15.1,15.1,15.1,15.1,0
2020-12-22,15.1,15.1,15.1,15.1,0
2020-12-23,14.93,14.93,14.76,14.76,214
2020-12-24,13.99,13.99,13.99,13.99,600
2020-12-25,15.1,15.1,15.1,15.1,112
2020-12-28,15.1,15.1,15.1,15.1,0
2020-12-29,15.1,15.1,14.76,14.85,871
2020-12-30,15.02,15.02,15.02,14.85,20
2020-12-31,13.9,13.9,13.9,13.9,1370
2021-01-04,15.02,15.02,15.02,15.02,110
2021-01-05,15.02,15.02,15.02,15.02,200
2021-01-06,15.1,15.1,15.02,15.1,2110
2021-01-07,14.85,15.02,14.85,15.02,200
2021-01-08,14.93,14.93,14.93,15.02,10
2021-01-11,15.02,15.02,15.02,15.02,2301
2021-01-12,15.02,15.02,14.42,14.42,1040
2021-01-13,15.1,15.1,15.1,15.1,3310
2021-01-14,15.1,15.1,15.1,15.1,1000
2021-01-15,15.1,15.28,14.76,15.28,4175
2021-01-18,15.19,15.88,15.19,15.88,3000
2021-01-19,15.62,15.62,14.68,14.68,1200
2021-01-20,14.93,14.93,14.93,14.93,300
2021-01-21,14.93,14.93,14.93,14.93,300
2021-01-22,14.93,14.93,14.93,14.93,0
2021-01-25,15.19,15.28,15.19,15.28,1100
2021-01-26,15.28,15.45,15.28,15.36,766
2021-01-27,15.36,15.36,15.36,15.36,0
2021-01-28,13.73,14.16,13.73,13.73,2400
2021-01-29,13.3,15.02,13.13,15.02,600
2021-02-01,13.82,13.82,13.82,15.02,1
2021-02-02,13.82,13.82,13.82,15.02,9
2021-02-03,13.82,14.5,13.82,14.5,2149
2021-02-04,14.16,14.16,13.73,14.16,1398
2021-02-05,14.16,14.33,13.73,13.73,3610
2021-02-08,12.7,12.7,12.62,12.62,801
2021-02-09,14.5,14.5,14.5,14.5,100
2021-02-17,13.3,14.16,13.3,14.16,598
2021-02-18,13.65,13.65,13.65,13.65,200
2021-02-19,14.16,14.16,14.16,14.16,1600
2021-02-22,14.16,14.16,14.16,14.16,604
2021-02-23,15.45,15.45,15.45,15.45,100
