time,open,high,low,close,volume
2018-01-02,8.84,8.84,8.65,8.7,61460
2018-01-03,8.65,8.83,8.65,8.73,30140
2018-01-04,8.65,8.86,8.65,8.86,86680
2018-01-05,8.88,9.17,8.81,9.17,87920
2018-01-08,9.24,9.24,8.98,9.14,61220
2018-01-09,9.14,9.14,8.98,9.05,38690
2018-01-10,8.98,9.24,8.98,9.21,170600
2018-01-11,9.24,9.31,9.11,9.12,70640
2018-01-12,9.12,9.26,9.04,9.04,49680
2018-01-15,9.04,9.12,8.88,9.12,71720
2018-01-16,9.11,9.21,9.0,9.12,46860
2018-01-17,9.21,9.21,8.98,9.12,23130
2018-01-18,8.67,9.08,8.67,8.85,10590
2018-01-19,8.88,8.91,8.72,8.72,81470
2018-01-22,8.72,8.87,8.65,8.87,85930
2018-01-23,8.87,8.87,8.87,8.87,0
2018-01-24,8.87,8.87,8.87,8.87,0
2018-01-25,8.95,9.35,8.95,9.07,74350
2018-01-26,8.91,9.31,8.91,9.07,15420
2018-01-29,9.19,9.19,8.91,9.04,46030
2018-01-30,8.88,8.95,8.88,8.93,36750
2018-01-31,8.91,9.02,8.91,9.0,79130
2018-02-01,9.0,9.31,9.0,9.17,87360
2018-02-02,9.17,9.4,9.14,9.35,120110
2018-02-05,9.47,9.61,9.24,9.24,183580
2018-02-06,8.7,9.24,8.7,8.91,71370
2018-02-07,9.07,9.21,8.93,9.11,52290
2018-02-08,9.02,9.02,8.86,8.88,104260
2018-02-09,8.65,8.98,8.65,8.88,35540
2018-02-12,8.98,9.21,8.88,9.21,34080
2018-02-13,9.21,9.33,9.0,9.33,52730
2018-02-21,9.33,9.97,9.33,9.97,315080
2018-02-22,9.97,10.4,9.97,10.16,133010
2018-02-23,10.26,10.26,9.94,10.16,117170
2018-02-26,10.16,10.85,9.96,10.38,185880
2018-02-27,10.45,10.57,10.22,10.38,144590
2018-02-28,10.31,10.36,10.22,10.26,129740
2018-03-01,10.16,10.29,10.05,10.05,137420
2018-03-02,9.77,10.17,9.77,9.98,65080
2018-03-05,10.01,10.01,9.73,9.73,105340
2018-03-06,9.7,10.01,9.59,9.89,79980
2018-03-07,9.96,10.05,9.73,9.89,36330
2018-03-08,9.89,10.03,9.89,10.01,68190
2018-03-09,10.01,10.1,9.84,10.01,61370
2018-03-12,10.01,10.1,9.94,9.96,37390
2018-03-13,9.96,10.05,9.82,10.05,30610
2018-03-14,10.05,10.05,9.94,9.94,39530
2018-03-15,9.94,10.38,9.94,10.38,123920
2018-03-16,10.52,10.52,10.24,10.29,56570
2018-03-19,10.29,10.29,10.05,10.15,80410
2018-03-20,10.15,10.17,10.0,10.0,50880
2018-03-21,10.0,10.0,9.75,9.75,92400
2018-03-22,9.82,10.05,9.63,9.85,70130
2018-03-23,9.63,9.85,9.63,9.8,64440
2018-03-26,9.8,9.82,9.67,9.81,37220
2018-03-27,9.82,9.94,9.64,9.77,24760
2018-03-28,9.77,9.77,9.59,9.7,12300
2018-03-29,9.82,9.82,9.59,9.63,25380
2018-03-30,9.56,9.68,9.35,9.38,125280
2018-04-02,9.38,9.57,9.38,9.43,81970
2018-04-03,9.43,9.47,9.12,9.26,136570
2018-04-04,9.33,9.35,9.21,9.28,89710
2018-04-05,9.24,9.47,9.12,9.47,86300
2018-04-06,9.52,9.66,9.38,9.45,75360
2018-04-09,9.45,9.57,9.45,9.45,82450
2018-04-10,9.45,9.45,9.13,9.13,98690
2018-04-11,9.17,9.26,9.12,9.19,78160
2018-04-12,9.12,9.17,9.0,9.17,81020
2018-04-13,9.22,9.22,9.0,9.12,66700
2018-04-16,8.93,9.12,8.9,9.07,67840
2018-04-17,9.07,9.09,8.88,8.88,54330
2018-04-18,8.98,9.17,8.91,9.12,60100
2018-04-19,9.12,9.12,8.9,9.05,73060
2018-04-20,8.95,9.21,8.88,9.21,55420
2018-04-23,9.38,9.38,8.93,8.93,72060
2018-04-24,8.88,9.09,8.8,9.09,40860
2018-04-26,9.07,9.07,8.81,8.98,48410
2018-04-27,8.93,8.97,8.8,8.88,61920
2018-05-02,8.88,8.98,8.67,8.86,54310
2018-05-03,8.86,8.86,8.62,8.83,94770
2018-05-04,8.84,8.88,8.78,8.84,49550
2018-05-07,8.72,8.88,8.7,8.86,44250
2018-05-08,8.98,8.98,8.86,8.98,52370
2018-05-09,9.09,9.09,8.86,8.95,43650
2018-05-10,9.02,9.12,8.79,9.09,98530
2018-05-11,8.9,9.02,8.84,9.02,44110
2018-05-14,9.02,9.02,8.84,8.84,38390
2018-05-15,8.95,8.95,8.79,8.95,72900
2018-05-16,8.95,8.95,8.77,8.93,37440
2018-05-17,8.93,9.0,8.78,8.88,115730
2018-05-18,8.88,8.88,8.7,8.77,25360
2018-05-21,8.88,8.88,8.7,8.84,42910
2018-05-22,8.86,8.86,8.62,8.63,51980
2018-05-23,8.6,8.74,8.46,8.65,44530
2018-05-24,8.65,8.65,8.58,8.65,35420
2018-05-25,8.28,8.86,8.28,8.7,28980
2018-05-28,8.7,8.7,8.1,8.45,43170
2018-05-29,8.45,8.45,8.1,8.33,65740
2018-05-30,8.15,8.2,7.98,8.13,46120
2018-05-31,7.97,8.08,7.71,7.83,66190
2018-06-01,7.91,8.05,7.91,8.05,25430
2018-06-04,8.05,8.1,7.87,8.07,57350
2018-06-05,8.0,8.07,7.91,8.0,34660
2018-06-06,7.93,8.48,7.93,8.48,97970
2018-06-07,8.5,8.68,8.38,8.53,23870
2018-06-08,8.55,8.55,8.33,8.53,28810
2018-06-11,8.08,8.45,8.08,8.38,28390
2018-06-12,8.38,8.38,8.1,8.25,26940
2018-06-13,8.29,8.29,8.2,8.27,30900
2018-06-14,8.41,8.45,8.2,8.45,53380
2018-06-15,8.45,8.56,8.2,8.35,41000
2018-06-18,8.43,8.48,8.15,8.38,23680
2018-06-19,7.98,8.34,7.91,8.33,26710
2018-06-20,8.32,8.33,8.03,8.3,16150
2018-06-21,8.18,8.18,8.18,8.18,8500
2018-06-22,8.2,8.23,8.0,8.18,7490
2018-06-25,8.3,8.3,8.03,8.17,15180
2018-06-26,8.19,8.19,7.96,8.0,12390
