time,open,high,low,close,volume
2018-01-02,9.75,9.75,9.75,9.75,500
2018-01-03,9.6,9.6,9.6,9.6,100
2018-01-04,9.6,9.6,9.6,9.6,0
2018-01-05,10.26,10.56,10.26,10.56,400
2018-01-08,10.34,10.34,10.34,10.34,100
2018-01-09,10.34,10.34,10.34,10.34,0
2018-01-10,10.04,10.04,10.04,10.04,100
2018-01-11,10.04,10.04,9.67,9.67,800
2018-01-12,9.75,10.34,9.75,9.75,1200
2018-01-15,10.56,10.56,9.82,9.82,3200
2018-01-16,10.34,10.71,9.89,9.89,600
2018-01-17,10.34,10.34,10.34,10.34,100
2018-01-18,10.34,10.34,10.34,10.34,0
2018-01-19,10.34,10.34,10.34,10.34,0
2018-01-22,10.34,10.34,10.34,10.34,0
2018-01-23,10.34,10.34,10.34,10.34,0
2018-01-24,10.34,10.34,10.34,10.34,0
2018-01-25,10.34,10.34,10.34,10.34,0
2018-01-26,10.34,10.34,10.34,10.34,0
2018-01-29,10.41,10.41,10.34,10.41,1200
2018-01-30,10.41,10.41,10.41,10.41,0
2018-01-31,10.41,10.41,10.41,10.41,0
2018-02-01,10.41,10.41,10.41,10.41,0
2018-02-02,10.48,10.48,10.41,10.41,500
2018-02-05,10.48,11.0,10.48,11.0,5800
2018-02-06,10.34,11.0,10.19,10.19,6300
2018-02-07,10.93,11.0,10.19,10.19,7100
2018-02-08,10.41,11.0,10.41,11.0,3300
2018-02-09,11.0,11.0,11.0,11.0,0
2018-02-12,11.0,11.0,11.0,11.0,0
2018-02-13,10.63,11.0,10.63,11.0,700
2018-02-21,11.0,11.0,11.0,11.0,0
2018-02-22,11.0,11.0,11.0,11.0,0
2018-02-23,11.0,11.0,11.0,11.0,0
2018-02-26,10.34,10.34,10.34,10.34,400
2018-02-27,10.41,11.08,10.41,10.63,3050
2018-02-28,10.63,10.63,10.63,10.63,0
2018-03-01,10.93,10.93,10.48,10.48,700
2018-03-02,10.48,10.48,10.48,10.48,0
2018-03-05,10.48,10.48,10.48,10.48,0
2018-03-06,11.08,11.08,10.78,10.78,1600
2018-03-07,11.08,11.22,11.08,11.22,5900
2018-03-08,11.22,11.22,11.22,11.22,1900
2018-03-09,11.22,11.22,11.22,11.22,0
2018-03-12,11.22,11.22,11.22,11.22,0
2018-03-13,10.12,10.12,10.12,10.12,322
2018-03-14,11.08,11.08,11.08,11.08,14000
2018-03-15,12.18,12.18,11.59,11.59,1530
2018-03-16,11.59,11.59,11.59,11.59,0
2018-03-19,11.59,11.59,11.59,11.59,22
2018-03-20,11.59,11.59,11.59,11.59,0
2018-03-21,11.59,11.59,11.59,11.59,0
2018-03-22,11.59,11.59,11.59,11.59,0
2018-03-23,11.59,11.59,11.59,11.59,0
2018-03-26,11.59,11.81,11.59,11.81,1000
2018-03-27,11.81,11.81,11.81,11.81,0
2018-03-28,11.0,11.0,11.0,11.0,5010
2018-03-29,11.0,11.0,11.0,11.0,500
2018-03-30,12.04,12.04,12.04,12.04,100
2018-04-02,11.74,11.74,11.74,11.74,100
2018-04-03,11.15,11.15,11.15,11.15,300
2018-04-04,10.78,10.78,10.78,10.78,400
2018-04-05,10.78,10.78,10.78,10.78,0
2018-04-06,10.78,10.78,10.78,10.78,0
2018-04-09,10.78,10.78,10.78,10.78,0
2018-04-10,10.78,10.78,10.78,10.78,0
2018-04-11,10.78,10.78,10.78,10.78,0
2018-04-12,11.67,11.67,11.67,11.67,100
2018-04-13,11.08,11.08,11.08,11.08,1000
2018-04-16,10.63,10.63,10.63,10.63,1000
2018-04-17,10.63,10.63,10.63,10.63,1400
2018-04-18,10.63,10.71,10.63,10.71,700
2018-04-19,10.71,10.71,10.71,10.71,0
2018-04-20,10.41,10.41,10.41,10.41,100
2018-04-23,11.44,11.44,11.44,11.44,100
2018-04-24,11.44,11.44,11.44,11.44,0
2018-04-26,11.44,11.44,11.44,11.44,0
2018-04-27,11.44,11.44,11.44,11.44,0
2018-05-02,11.44,11.44,11.44,11.44,0
2018-05-03,10.71,10.71,10.56,10.56,2000
2018-05-04,10.56,10.56,10.56,10.56,1300
2018-05-07,11.59,11.59,10.56,10.56,200
2018-05-08,10.34,10.34,10.34,10.34,300
2018-05-09,11.0,11.08,10.48,10.63,3900
2018-05-10,11.0,11.08,10.41,10.41,1800
2018-05-11,11.37,11.44,10.71,11.44,3100
2018-05-14,10.78,10.78,10.78,10.78,100
2018-05-15,11.81,11.81,11.81,11.81,100
2018-05-16,10.78,10.78,10.78,10.78,300
2018-05-17,10.78,10.78,10.78,10.78,0
2018-05-18,10.56,11.08,10.56,10.63,9100
2018-05-21,10.63,10.63,10.63,10.63,0
2018-05-22,10.63,10.63,10.63,10.63,0
2018-05-23,10.63,10.63,10.63,10.63,0
2018-05-24,11.0,11.0,10.48,10.48,3000
2018-05-25,10.48,10.48,10.48,10.48,0
2018-05-28,10.48,10.48,10.48,10.48,1000
2018-05-29,10.71,10.71,10.48,10.48,5100
2018-05-30,10.48,10.63,10.48,10.48,3800
2018-05-31,10.48,10.48,10.48,10.48,0
2018-06-01,10.56,10.56,10.34,10.34,4200
2018-06-04,10.34,10.34,10.34,10.34,0
2018-06-05,10.34,10.34,10.34,10.34,0
2018-06-06,10.34,10.34,10.34,10.34,0
2018-06-07,10.34,10.34,10.34,10.34,0
2018-06-08,10.34,10.34,10.34,10.34,0
2018-06-11,10.34,10.34,10.34,10.34,0
2018-06-12,10.34,10.34,10.34,10.34,0
2018-06-13,10.34,10.34,10.34,10.34,1000
2018-06-14,10.34,10.34,10.34,10.34,0
2018-06-15,10.34,10.34,10.34,10.34,0
2018-06-18,10.34,10.34,10.34,10.34,0
2018-06-19,10.34,10.34,10.34,10.34,0
2018-06-20,10.34,10.34,10.34,10.34,0
2018-06-21,11.3,11.3,11.3,11.3,100
2018-06-22,10.34,10.34,10.34,10.34,2100
2018-06-25,10.34,10.34,10.34,10.34,0
2018-06-26,11.37,11.37,10.71,10.71,200
2018-06-27,10.71,10.71,10.71,10.71,0
2018-06-28,9.97,9.97,9.97,9.97,400
2018-06-29,9.97,9.97,9.97,9.97,0
2018-07-02,9.97,9.97,9.97,9.97,0
2018-07-03,9.97,9.97,9.97,9.97,1200
2018-07-04,10.93,10.93,9.01,9.01,200
2018-07-05,9.89,9.89,9.3,9.3,42000
2018-07-06,10.19,10.19,9.45,9.45,200
2018-07-09,10.19,10.19,10.19,10.19,100
2018-07-10,10.19,10.19,10.19,10.19,0
2018-07-11,10.19,10.19,10.19,10.19,0
2018-07-12,9.3,10.12,9.3,9.82,700
2018-07-13,9.82,9.82,9.82,9.82,0
2018-07-16,10.78,10.78,9.75,9.75,200
2018-07-17,8.79,10.34,8.79,9.45,400
2018-07-18,9.53,10.34,8.71,8.71,2200
2018-07-19,9.53,9.53,7.9,7.9,4200
2018-07-20,8.64,8.64,7.9,7.9,200
2018-07-23,8.64,8.64,7.9,8.64,4300
2018-07-24,9.45,9.45,8.93,9.45,400
2018-07-25,9.6,9.67,9.6,9.67,7800
2018-07-26,9.6,9.67,9.6,9.67,200
2018-07-27,9.97,9.97,9.97,9.97,4500
2018-07-30,9.97,9.97,9.97,9.97,0
2018-07-31,9.97,9.97,9.97,9.97,0
2018-08-01,9.97,9.97,9.97,9.97,200
2018-08-02,9.97,9.97,9.97,9.97,3600
2018-08-03,9.89,9.97,9.89,9.97,2500
2018-08-06,9.97,10.19,9.97,10.19,2500
2018-08-07,10.19,10.19,10.19,10.19,5100
2018-08-08,10.12,10.19,10.12,10.19,300
2018-08-09,10.19,10.19,10.19,10.19,500
2018-08-10,10.19,10.19,10.19,10.19,0
2018-08-13,10.19,10.19,10.19,10.19,1900
2018-08-14,10.19,10.19,10.12,10.12,300
2018-08-15,10.19,10.19,10.12,10.12,7000
2018-08-16,10.12,10.12,10.12,10.12,0
2018-08-17,10.12,10.12,10.12,10.12,0
2018-08-20,10.12,10.12,10.12,10.12,0
2018-08-21,10.19,11.0,10.19,11.0,700
2018-08-22,11.0,11.0,11.0,11.0,0
2018-08-23,10.12,10.12,10.12,10.12,100
2018-08-24,10.12,10.12,10.12,10.12,0
2018-08-27,10.04,10.04,10.04,10.04,2400
2018-08-28,10.04,10.04,10.04,10.04,0
2018-08-29,9.89,9.89,9.89,9.89,3000
2018-08-30,9.89,9.89,9.89,9.89,0
2018-08-31,9.89,9.89,9.89,9.89,0
2018-09-04,9.89,9.89,9.89,9.89,0
2018-09-05,9.89,9.89,9.89,9.89,0
2018-09-06,9.89,9.89,9.89,9.89,0
2018-09-07,9.89,9.89,9.89,9.89,0
2018-09-10,9.89,9.89,9.89,9.89,0
2018-09-11,10.34,10.34,10.34,10.34,100
2018-09-12,9.75,9.75,9.75,9.75,3000
2018-09-13,9.75,9.75,9.75,9.75,0
2018-09-14,9.75,9.75,9.75,9.75,0
2018-09-17,9.75,9.75,9.75,9.75,3100
2018-09-18,9.75,9.75,9.75,9.75,0
2018-09-19,9.75,9.75,9.75,9.75,0
2018-09-20,9.75,9.75,9.75,9.75,0
2018-09-21,9.75,9.75,9.75,9.75,0
2018-09-24,9.75,9.75,9.75,9.75,0
2018-09-25,9.75,9.75,9.75,9.75,0
2018-09-26,9.82,9.82,9.82,9.82,3000
2018-09-27,9.89,9.97,9.89,9.89,7000
2018-09-28,9.89,10.04,9.89,10.04,6000
2018-10-01,10.04,10.04,10.04,10.04,0
2018-10-02,10.04,10.04,10.04,10.04,0
2018-10-03,9.82,9.82,9.82,9.82,4000
2018-10-04,9.82,9.82,9.82,9.82,0
2018-10-05,9.82,9.82,9.82,9.82,0
2018-10-08,9.82,9.82,9.82,9.82,13400
2018-10-09,9.82,9.82,9.82,9.82,1700
2018-10-10,10.26,10.71,10.26,10.71,1800
2018-10-11,9.89,9.89,9.82,9.82,9490
2018-10-12,10.26,10.78,9.82,9.82,500
2018-10-15,9.82,9.82,8.93,8.93,1800
2018-10-16,8.93,8.93,8.93,8.93,0
2018-10-17,9.23,9.23,9.23,9.23,400
2018-10-18,10.04,10.04,10.04,10.04,100
2018-10-19,10.04,10.93,10.04,10.93,200
2018-10-22,10.93,10.93,10.93,10.93,0
2018-10-23,10.04,10.04,9.89,9.89,2100
2018-10-24,9.89,9.89,9.89,9.89,0
2018-10-25,9.89,9.89,9.89,9.89,0
2018-10-26,9.89,9.89,9.89,9.89,0
2018-10-29,9.89,9.89,9.89,9.89,0
2018-10-30,9.89,9.89,9.89,9.89,0
2018-10-31,9.89,9.89,9.89,9.89,0
2018-11-01,9.89,9.89,9.89,9.89,0
2018-11-02,9.89,9.89,9.89,9.89,0
2018-11-05,9.89,9.89,9.89,9.89,0
2018-11-06,9.97,9.97,9.97,9.97,5000
2018-11-07,9.97,9.97,9.97,9.97,0
2018-11-08,9.97,9.97,9.97,9.97,0
2018-11-09,9.97,9.97,9.97,9.97,0
2018-11-12,9.97,9.97,9.97,9.97,0
2018-11-13,9.97,9.97,9.97,9.97,0
2018-11-14,9.97,9.97,9.97,9.97,0
2018-11-15,9.97,9.97,9.97,9.97,0
2018-11-16,9.97,9.97,9.97,9.97,0
2018-11-19,9.97,9.97,9.97,9.97,0
2018-11-20,9.97,9.97,9.97,9.97,0
2018-11-21,9.97,9.97,9.97,9.97,0
2018-11-22,9.97,9.97,9.97,9.97,0
2018-11-23,9.97,9.97,9.97,9.97,0
2018-11-26,9.97,9.97,9.97,9.97,0
2018-11-27,9.97,9.97,9.97,9.97,0
2018-11-28,9.97,9.97,9.97,9.97,0
2018-11-29,10.34,10.85,10.34,10.85,200
2018-11-30,10.85,10.85,10.85,10.85,0
2018-12-03,10.85,10.85,10.85,10.85,0
2018-12-04,10.85,10.85,10.85,10.85,0
2018-12-05,10.85,10.85,10.85,10.85,0
2018-12-06,10.85,10.85,10.85,10.85,0
2018-12-07,10.85,10.85,10.85,10.85,0
2018-12-10,10.85,10.85,10.85,10.85,0
2018-12-11,10.85,10.85,10.85,10.85,0
2018-12-12,10.85,10.85,10.85,10.85,0
2018-12-13,10.85,10.85,10.85,10.85,0
2018-12-14,9.97,10.04,9.97,10.04,600
2018-12-17,10.52,10.52,10.44,10.44,1100
2018-12-18,10.44,10.44,10.44,10.44,0
2018-12-19,10.44,10.44,10.44,10.44,0
2018-12-20,10.44,10.44,10.44,10.44,200
2018-12-21,10.44,10.44,10.44,10.44,0
2018-12-24,10.44,10.44,10.44,10.44,0
2018-12-25,10.44,10.44,10.44,10.44,0
2018-12-26,10.44,10.44,10.44,10.44,0
2018-12-27,10.44,10.44,10.44,10.44,0
2018-12-28,10.44,10.44,10.44,10.44,0
2019-01-02,10.44,10.44,10.44,10.44,0
2019-01-03,10.44,10.44,10.44,10.44,0
2019-01-04,10.44,10.44,10.44,10.44,0
2019-01-07,10.44,10.44,10.44,10.44,0
2019-01-08,10.44,10.44,10.44,10.44,0
2019-01-09,10.44,10.44,10.44,10.44,0
2019-01-10,11.08,11.08,11.08,11.08,100
2019-01-11,11.08,11.08,11.08,11.08,0
2019-01-14,11.08,11.08,11.08,11.08,0
2019-01-15,11.08,11.08,11.08,11.08,0
2019-01-16,11.08,11.08,11.08,11.08,0
2019-01-17,11.08,11.08,11.08,11.08,0
2019-01-18,11.08,11.08,11.08,11.08,0
2019-01-21,11.08,11.08,11.08,11.08,0
2019-01-22,11.08,11.08,11.08,11.08,0
2019-01-23,11.08,11.08,11.08,11.08,0
2019-01-24,11.08,11.08,11.08,11.08,0
2019-01-25,11.08,11.08,11.08,11.08,0
2019-01-28,12.11,12.11,12.11,12.11,100
2019-01-29,12.11,12.11,12.11,12.11,0
2019-01-30,12.11,12.11,12.11,12.11,0
2019-01-31,12.11,12.11,12.11,12.11,0
2019-02-01,12.11,12.11,12.11,12.11,0
2019-02-11,12.11,12.11,12.11,12.11,0
2019-02-12,10.92,10.92,10.92,10.92,200
2019-02-13,11.87,11.87,11.87,11.87,100
2019-02-14,11.87,11.87,11.87,11.87,0
2019-02-15,11.87,11.87,11.87,11.87,0
2019-02-18,11.87,11.87,11.87,11.87,0
2019-02-19,10.76,11.87,10.76,11.87,1200
2019-02-20,10.76,11.4,10.76,10.76,1000
2019-02-21,11.64,11.64,10.76,10.76,200
2019-02-22,11.64,11.64,11.64,11.64,100
2019-02-25,11.64,11.64,11.64,11.64,0
2019-02-26,11.64,11.64,11.64,11.64,0
2019-02-27,11.64,11.64,11.64,11.64,0
2019-02-28,11.64,11.64,11.64,11.64,0
2019-03-01,10.76,10.76,10.76,10.76,2100
2019-03-04,11.64,11.64,10.76,11.56,1200
