time,open,high,low,close,volume
2018-01-02,5.87,5.87,5.87,5.87,3300
2018-01-03,5.87,5.87,5.87,5.87,0
2018-01-04,5.32,5.75,5.32,5.75,1900
2018-01-05,5.75,5.75,5.75,5.75,12
2018-01-08,5.75,5.75,5.75,5.75,0
2018-01-09,5.75,5.75,5.75,5.75,0
2018-01-10,5.56,5.56,5.56,5.56,300
2018-01-11,5.01,5.07,5.01,5.07,3100
2018-01-12,5.25,5.56,5.25,5.56,4700
2018-01-15,5.01,5.5,5.01,5.5,2600
2018-01-16,5.44,5.93,5.13,5.93,5000
2018-01-17,5.44,6.06,5.44,5.87,4500
2018-01-18,5.87,5.87,5.38,5.38,4207
2018-01-19,5.13,5.87,5.13,5.87,4402
2018-01-22,5.93,5.93,5.87,5.87,2000
2018-01-23,5.38,5.93,5.32,5.93,3500
2018-01-24,5.93,5.93,5.93,5.93,0
2018-01-25,5.93,6.18,5.93,5.93,2600
2018-01-26,5.93,5.93,5.93,5.93,0
2018-01-29,5.93,5.93,5.93,5.93,0
2018-01-30,5.93,5.93,5.93,5.93,0
2018-01-31,5.93,5.93,5.93,5.93,0
2018-02-01,5.87,5.93,5.87,5.93,5000
2018-02-02,5.93,5.93,5.93,5.93,0
2018-02-05,5.93,5.93,5.93,5.93,0
2018-02-06,5.38,5.38,5.38,5.38,1000
2018-02-07,5.81,5.81,5.81,5.81,600
2018-02-08,5.81,5.81,5.81,5.81,0
2018-02-09,5.93,5.93,5.87,5.87,2000
2018-02-12,5.56,5.93,5.56,5.93,1700
2018-02-13,5.38,6.49,5.38,6.49,700
2018-02-21,6.49,6.49,6.49,6.49,0
2018-02-22,6.8,6.8,6.8,6.8,500
2018-02-23,6.8,6.8,6.8,6.8,0
2018-02-26,6.8,6.8,6.8,6.8,0
2018-02-27,6.12,7.11,6.12,7.11,3905
2018-02-28,7.42,7.42,7.42,7.42,100
2018-03-01,7.42,7.42,7.42,7.42,0
2018-03-02,6.68,6.8,6.68,6.68,14400
2018-03-05,7.23,7.29,7.23,7.29,1000
2018-03-06,7.42,7.42,7.42,7.42,2900
2018-03-07,7.42,7.42,7.42,7.42,0
2018-03-08,7.6,8.04,6.68,7.42,1820
2018-03-09,7.42,7.42,7.42,7.42,0
2018-03-12,6.68,7.05,6.68,7.05,4400
2018-03-13,7.05,7.05,7.05,7.05,0
2018-03-14,7.05,7.05,7.05,7.05,0
2018-03-15,7.05,7.05,7.05,7.05,0
2018-03-16,7.05,7.05,7.05,7.05,0
2018-03-19,7.05,7.05,7.05,7.05,0
2018-03-20,7.05,7.05,7.05,7.05,0
2018-03-21,7.05,7.05,7.05,7.05,0
2018-03-22,7.05,7.05,7.05,7.05,0
2018-03-23,6.37,6.68,6.37,6.68,3900
2018-03-26,6.68,6.68,6.68,6.68,0
2018-03-27,6.68,6.68,6.68,6.68,0
2018-03-28,6.68,6.68,6.68,6.68,0
2018-03-29,6.68,6.68,6.68,6.68,0
2018-03-30,7.05,7.05,7.05,7.05,300
2018-04-02,7.42,7.42,7.42,7.42,100
2018-04-03,7.42,7.42,7.42,7.42,0
2018-04-04,7.42,7.42,7.42,7.42,0
2018-04-05,7.42,7.42,7.42,7.42,13
2018-04-06,6.68,6.68,6.68,6.68,100
2018-04-09,6.68,6.68,6.68,6.68,0
2018-04-10,6.68,6.68,6.68,6.68,0
2018-04-11,6.68,6.68,6.68,6.68,0
2018-04-12,6.68,6.68,6.68,6.68,0
2018-04-13,6.55,6.55,6.06,6.55,800
2018-04-16,6.68,6.68,6.68,6.68,100
2018-04-17,6.68,6.68,6.68,6.68,0
2018-04-18,6.06,6.61,6.06,6.61,10400
2018-04-19,6.61,6.61,6.61,6.61,0
2018-04-20,6.18,6.61,6.18,6.61,1100
2018-04-23,6.61,6.61,6.61,6.61,0
2018-04-24,6.61,6.61,6.61,6.61,0
2018-04-26,6.61,6.61,6.61,6.61,0
2018-04-27,6.61,6.61,6.61,6.61,0
2018-05-02,6.61,6.61,6.61,6.61,0
2018-05-03,6.0,6.55,6.0,6.55,1603
2018-05-04,7.11,7.11,7.11,7.11,542
2018-05-07,6.43,6.74,6.43,6.74,1202
2018-05-08,6.12,7.29,6.12,7.29,2102
2018-05-09,6.8,6.8,6.61,6.74,410
2018-05-10,6.12,6.61,6.12,6.55,2133
2018-05-11,5.93,6.55,5.93,6.55,2100
2018-05-14,6.55,6.55,6.55,6.55,420
2018-05-15,6.24,6.24,5.93,6.24,1920
2018-05-16,6.18,6.86,5.87,6.55,2310
2018-05-17,6.37,6.37,5.93,6.0,14716
2018-05-18,5.63,6.37,5.63,6.24,1930
2018-05-21,6.68,6.68,5.75,5.75,3212
2018-05-22,6.31,6.31,5.69,6.31,2400
2018-05-23,6.31,6.31,6.31,6.31,0
2018-05-24,6.12,6.12,6.12,6.12,160
2018-05-25,5.93,5.93,5.93,5.93,300
2018-05-28,6.12,6.12,6.12,6.12,100
2018-05-29,6.61,6.61,6.18,6.18,200
2018-05-30,6.18,6.18,6.18,6.18,0
2018-05-31,6.0,6.0,6.0,6.0,185
2018-06-01,6.55,6.55,6.0,6.0,200
2018-06-04,5.87,6.0,5.87,6.0,3500
2018-06-05,6.43,6.43,5.5,5.5,248
2018-06-06,5.19,6.0,5.13,6.0,4600
2018-06-07,6.49,6.49,6.49,6.49,100
2018-06-08,5.87,6.43,5.87,5.87,8805
2018-06-11,6.24,6.43,6.24,6.43,1000
2018-06-12,6.86,6.86,6.86,6.86,400
2018-06-13,6.18,6.55,6.18,6.55,310
2018-06-14,6.55,6.55,6.55,6.55,0
2018-06-15,6.55,6.55,6.55,6.55,0
2018-06-18,5.93,6.61,5.93,6.61,500
2018-06-19,6.0,6.61,6.0,6.61,6000
2018-06-20,6.0,6.0,6.0,6.0,9000
2018-06-21,6.49,6.49,6.49,6.49,200
2018-06-22,6.49,6.49,6.49,6.49,0
2018-06-25,5.87,5.87,5.87,5.87,1400
2018-06-26,6.37,6.37,6.37,6.37,130
2018-06-27,6.37,6.37,6.37,6.37,0
2018-06-28,6.37,6.37,6.37,6.37,4
2018-06-29,6.37,6.37,6.37,6.37,0
2018-07-02,5.75,6.24,5.75,6.24,1140
2018-07-03,5.63,6.8,5.63,6.8,2500
2018-07-04,6.8,6.8,6.8,6.8,0
2018-07-05,6.8,6.8,6.8,6.8,0
2018-07-06,6.8,6.8,6.8,6.8,200
2018-07-09,7.0,7.06,7.0,7.06,2000
2018-07-10,6.41,7.0,6.41,7.0,200
2018-07-11,7.0,7.0,7.0,7.0,0
2018-07-12,7.0,7.0,7.0,7.0,0
2018-07-13,7.0,7.0,7.0,7.0,0
2018-07-16,7.0,7.0,7.0,7.0,0
2018-07-17,7.0,7.0,7.0,7.0,0
2018-07-18,7.0,7.0,7.0,7.0,0
2018-07-19,7.0,7.0,7.0,7.0,0
2018-07-20,7.0,7.0,7.0,7.0,0
2018-07-23,7.0,7.0,7.0,7.0,0
2018-07-24,6.34,6.93,6.34,6.93,200
2018-07-25,6.93,6.93,6.93,6.93,0
2018-07-26,6.93,6.93,6.93,6.93,0
2018-07-27,6.93,6.93,6.93,6.93,0
2018-07-30,6.93,6.93,6.93,6.93,0
2018-07-31,6.93,6.93,6.93,6.93,0
2018-08-01,6.93,6.93,6.93,6.93,0
2018-08-02,6.93,6.93,6.93,6.93,25
2018-08-03,6.28,7.58,6.28,7.58,1100
2018-08-06,7.58,7.58,7.58,7.58,0
2018-08-07,7.58,7.58,7.58,7.58,33
2018-08-08,6.86,8.3,6.86,8.3,500
2018-08-09,8.3,8.3,8.3,8.3,10
2018-08-10,8.3,8.3,8.3,8.3,0
2018-08-13,8.83,8.83,7.52,7.52,700
2018-08-14,6.8,6.8,6.8,6.8,100
2018-08-15,7.19,7.19,7.19,7.19,502
2018-08-16,7.85,7.91,6.47,7.45,1200
2018-08-17,7.45,7.45,7.45,7.45,0
2018-08-20,7.45,7.45,7.45,7.45,0
2018-08-21,7.45,7.45,7.45,7.45,0
2018-08-22,7.45,7.45,7.45,7.45,0
2018-08-23,7.45,7.45,7.45,7.45,0
2018-08-24,7.45,7.45,7.45,7.45,0
2018-08-27,7.45,7.45,7.45,7.45,0
2018-08-28,7.45,7.45,7.45,7.45,0
2018-08-29,7.45,7.45,7.45,7.45,0
2018-08-30,7.45,7.45,7.45,7.45,0
