time,open,high,low,close,volume
2018-01-02,9.05,9.05,9.05,9.05,300
2018-01-03,9.05,9.05,9.05,9.05,0
2018-01-04,10.01,10.01,10.01,10.01,500
2018-01-05,10.01,10.01,10.01,10.01,0
2018-01-08,8.52,8.52,8.52,8.52,1200
2018-01-09,8.52,8.52,8.52,8.52,0
2018-01-10,9.57,9.57,9.57,9.57,500
2018-01-11,9.57,9.57,9.57,9.57,0
2018-01-12,8.17,8.17,8.17,8.17,3000
2018-01-15,8.17,8.17,8.17,8.17,0
2018-01-16,9.13,9.13,9.13,9.13,1000
2018-01-17,9.13,9.13,9.13,9.13,0
2018-01-18,9.13,9.13,9.13,9.13,0
2018-01-19,9.13,9.13,9.13,9.13,0
2018-01-22,9.13,9.13,9.13,9.13,0
2018-01-23,9.13,9.13,9.13,9.13,0
2018-01-24,10.45,10.45,9.13,9.13,1300
2018-01-25,9.13,9.13,9.13,9.13,2000
2018-01-26,8.25,8.25,7.9,7.9,9000
2018-01-29,8.08,8.08,8.08,8.08,0
2018-01-30,8.61,8.61,8.61,8.61,100
2018-01-31,8.61,8.61,8.61,8.61,0
2018-02-01,8.61,8.61,8.61,8.61,0
2018-02-02,8.61,8.61,8.61,8.61,0
2018-02-05,8.96,8.96,8.96,8.96,500
2018-02-06,8.96,8.96,8.96,8.96,0
2018-02-07,8.96,8.96,8.96,8.96,0
2018-02-08,8.96,8.96,8.96,8.96,0
2018-02-09,8.96,8.96,8.96,8.96,0
2018-02-12,8.96,8.96,8.96,8.96,0
2018-02-13,8.96,8.96,8.96,8.96,0
2018-02-21,8.96,8.96,8.96,8.96,0
2018-02-22,9.92,9.92,9.92,9.92,500
2018-02-23,9.92,9.92,9.92,9.92,0
2018-02-26,9.92,9.92,9.92,9.92,0
2018-02-27,9.92,9.92,9.92,9.92,0
2018-02-28,9.92,9.92,9.92,9.92,0
2018-03-01,9.92,9.92,9.92,9.92,0
2018-03-02,9.92,9.92,9.92,9.92,0
2018-03-05,9.92,9.92,9.92,9.92,2
2018-03-06,9.92,9.92,9.92,9.92,0
2018-03-07,9.92,9.92,9.92,9.92,0
2018-03-08,9.92,9.92,9.92,9.92,0
2018-03-09,9.92,9.92,9.92,9.92,0
2018-03-12,9.92,9.92,9.92,9.92,0
2018-03-13,9.92,9.92,9.92,9.92,0
2018-03-14,9.92,9.92,9.92,9.92,0
2018-03-15,9.92,9.92,9.92,9.92,0
2018-03-16,9.92,9.92,9.92,9.92,0
2018-03-19,9.92,9.92,9.92,9.92,0
2018-03-20,9.92,9.92,9.92,9.92,0
2018-03-21,9.92,9.92,9.92,9.92,0
2018-03-22,8.52,8.52,8.52,8.52,500
2018-03-23,8.52,8.52,8.52,8.52,0
2018-03-26,8.52,8.52,8.52,8.52,0
2018-03-27,8.52,8.52,8.52,8.52,0
2018-03-28,8.52,8.52,8.52,8.52,0
2018-03-29,7.9,7.99,7.9,7.99,2000
2018-03-30,8.17,8.17,8.17,8.17,200
2018-04-02,8.17,8.17,8.17,8.17,0
2018-04-03,7.64,7.64,7.64,7.64,100
2018-04-04,7.03,7.03,6.5,6.5,4350
2018-04-05,5.53,5.71,5.53,5.71,13610
2018-04-06,4.74,6.32,4.74,6.32,17800
2018-04-09,6.32,6.32,6.32,6.32,5000
