time,open,high,low,close,volume
2018-01-02,7.46,7.46,7.28,7.32,10651
2018-01-03,7.34,7.34,7.12,7.3,59129
2018-01-04,7.28,7.32,7.23,7.32,22210
2018-01-05,7.34,7.34,7.17,7.3,19156
2018-01-08,7.34,7.75,7.34,7.72,136500
2018-01-09,7.72,7.75,7.57,7.59,60400
2018-01-10,7.61,7.66,7.52,7.59,56910
2018-01-11,7.61,7.63,7.52,7.63,61600
2018-01-12,7.66,7.7,7.61,7.66,92400
2018-01-15,7.66,7.81,7.61,7.68,97100
2018-01-16,7.66,7.68,7.52,7.57,62210
2018-01-17,7.66,7.66,7.33,7.38,53002
2018-01-18,7.28,7.31,6.86,7.26,97300
2018-01-19,7.21,7.28,7.14,7.26,32200
2018-01-22,7.26,7.28,7.21,7.26,12708
2018-01-23,7.26,7.45,7.26,7.28,45800
2018-01-24,7.33,7.33,7.26,7.28,54600
2018-01-25,7.28,7.33,7.24,7.31,80302
2018-01-26,7.28,7.28,7.24,7.28,27000
2018-01-29,7.31,7.31,7.21,7.24,40960
2018-01-30,7.24,7.26,7.09,7.26,56300
2018-01-31,7.21,7.26,7.19,7.26,19400
2018-02-01,7.24,7.33,7.21,7.33,45511
2018-02-02,7.33,7.33,7.24,7.26,21700
2018-02-05,7.24,7.26,7.17,7.17,53460
2018-02-06,6.65,7.09,6.65,7.05,15315
2018-02-07,7.05,7.33,7.05,7.26,15100
2018-02-08,7.17,7.26,7.17,7.24,22200
2018-02-09,7.12,7.17,7.07,7.17,11300
2018-02-12,7.17,7.21,7.17,7.17,11800
2018-02-13,7.12,7.57,6.98,7.57,56718
2018-02-21,7.54,7.54,7.28,7.45,69633
2018-02-22,7.47,7.54,7.43,7.45,41260
2018-02-23,7.45,7.5,7.45,7.45,14718
2018-02-26,7.54,7.54,7.38,7.45,35800
2018-02-27,7.38,7.43,7.26,7.26,81300
2018-02-28,7.26,7.28,7.26,7.28,56360
2018-03-01,7.33,7.33,7.31,7.31,5200
2018-03-02,7.33,7.47,7.28,7.47,29944
2018-03-05,7.61,7.97,7.57,7.9,98650
2018-03-06,7.92,7.92,7.57,7.73,34410
2018-03-07,7.73,7.76,7.64,7.69,16000
2018-03-08,7.71,7.92,7.69,7.78,60109
2018-03-09,7.78,8.47,7.78,8.3,345600
2018-03-12,8.4,8.54,8.28,8.3,165700
2018-03-13,8.18,8.28,8.02,8.16,54730
2018-03-14,8.16,8.21,7.8,7.87,150200
2018-03-15,7.9,8.23,7.85,8.09,49400
2018-03-16,8.11,8.11,7.8,7.8,81601
2018-03-19,7.8,7.8,7.64,7.69,74600
2018-03-20,7.69,7.69,7.47,7.57,112900
2018-03-21,7.57,7.61,7.47,7.54,111525
2018-03-22,7.54,7.57,7.45,7.52,29700
2018-03-23,7.45,7.52,7.45,7.5,42400
2018-03-26,7.45,7.69,7.45,7.47,30100
2018-03-27,7.47,7.54,7.45,7.5,12900
2018-03-28,7.5,7.54,7.45,7.45,5916
2018-03-29,7.45,7.52,7.45,7.45,21100
2018-03-30,7.43,7.45,7.12,7.4,53100
2018-04-02,7.33,7.4,7.33,7.33,30500
2018-04-03,7.31,7.43,7.26,7.33,13500
2018-04-04,7.28,7.45,7.26,7.45,86000
2018-04-05,7.28,7.52,7.28,7.52,43310
2018-04-06,7.52,7.57,7.47,7.52,16491
2018-04-09,7.45,7.57,7.43,7.47,39600
2018-04-10,7.47,7.52,7.38,7.47,37230
2018-04-11,7.47,7.47,7.33,7.33,46000
2018-04-12,7.33,7.45,7.31,7.38,28514
2018-04-13,7.4,7.45,7.4,7.45,24040
2018-04-16,7.38,7.5,7.38,7.47,9984
2018-04-17,7.45,7.47,7.45,7.45,16020
2018-04-18,7.47,7.8,7.47,7.57,20200
2018-04-19,7.57,7.69,7.57,7.69,35900
2018-04-20,7.69,7.76,7.61,7.76,23358
2018-04-23,7.66,8.16,7.66,7.71,89604
2018-04-24,7.59,7.8,7.59,7.8,5207
2018-04-26,7.8,7.8,7.69,7.69,45910
2018-04-27,7.61,7.78,7.61,7.78,5608
2018-05-02,7.59,7.92,7.57,7.78,31550
2018-05-03,7.64,7.8,7.61,7.71,10201
2018-05-04,7.69,7.76,7.57,7.76,27000
2018-05-07,7.69,7.76,7.69,7.76,3800
2018-05-08,7.69,7.69,7.66,7.66,2500
2018-05-09,7.66,7.76,7.64,7.66,23699
2018-05-10,7.57,7.61,7.57,7.61,1900
2018-05-11,7.66,7.76,7.61,7.76,18800
2018-05-14,7.69,7.69,7.69,7.69,1800
2018-05-15,7.64,7.69,7.64,7.69,16107
2018-05-16,7.61,7.69,7.61,7.69,1400
2018-05-17,7.57,7.61,7.57,7.61,22600
2018-05-18,7.64,7.8,7.61,7.8,34800
2018-05-21,7.59,7.61,7.59,7.59,5019
2018-05-22,7.59,7.59,7.52,7.57,4700
2018-05-23,7.5,7.52,7.45,7.45,9530
2018-05-24,7.45,7.57,7.43,7.57,22936
2018-05-25,7.54,7.54,7.4,7.4,12590
2018-05-28,7.35,7.4,7.28,7.35,23700
2018-05-29,7.35,7.47,7.35,7.47,6300
2018-05-30,7.38,7.38,7.35,7.35,7650
2018-05-31,7.35,7.35,7.35,7.35,1900
2018-06-01,7.45,7.66,7.45,7.66,10870
2018-06-04,7.66,7.76,7.66,7.69,26000
2018-06-05,7.5,7.57,7.5,7.57,1200
2018-06-06,7.47,7.57,7.45,7.57,13300
2018-06-07,7.35,7.69,7.35,7.59,36410
2018-06-08,7.66,7.69,7.59,7.69,16600
2018-06-11,7.33,7.66,7.33,7.66,500
2018-06-12,7.52,7.59,7.45,7.59,4210
2018-06-13,7.59,7.61,7.57,7.59,10400
2018-06-14,7.61,7.66,7.61,7.64,46900
2018-06-15,7.64,7.76,7.64,7.64,13500
2018-06-18,7.64,7.69,7.64,7.64,18200
2018-06-19,7.64,7.64,7.57,7.64,68100
2018-06-20,7.54,7.64,7.54,7.64,8100
2018-06-21,7.61,7.61,7.61,7.61,9200
2018-06-22,7.61,7.64,7.54,7.61,5500
2018-06-25,7.66,7.69,7.66,7.69,4415
2018-06-26,7.57,7.64,7.57,7.64,7800
2018-06-27,7.57,7.64,7.5,7.57,11841
2018-06-28,7.57,7.64,7.57,7.64,2900
2018-06-29,7.57,7.57,7.35,7.52,43200
2018-07-02,7.57,7.57,7.45,7.45,17000
2018-07-03,7.45,7.45,7.4,7.4,8300
2018-07-04,7.54,7.54,7.33,7.43,54300
2018-07-05,7.4,7.4,7.33,7.33,9400
2018-07-06,7.21,7.45,7.21,7.45,18901
2018-07-09,7.43,7.45,7.31,7.45,52000
2018-07-10,7.43,7.43,7.4,7.4,3900
2018-07-11,7.4,7.4,7.33,7.4,16541
2018-07-12,7.38,7.4,7.28,7.28,6600
2018-07-13,7.33,7.4,7.28,7.4,69810
2018-07-16,7.24,7.43,7.24,7.4,28600
2018-07-17,7.4,7.43,7.33,7.43,3600
2018-07-18,7.43,7.54,7.33,7.52,65930
2018-07-19,7.47,7.52,7.45,7.52,13020
2018-07-20,7.43,7.8,7.43,7.8,39408
2018-07-23,7.8,8.51,7.8,8.25,302104
2018-07-24,8.04,8.13,8.04,8.04,109500
2018-07-25,7.92,8.16,7.92,8.04,149200
2018-07-26,8.04,8.06,7.8,8.04,108730
2018-07-27,8.02,8.11,8.02,8.09,92320
2018-07-30,8.09,8.13,8.04,8.09,60621
2018-07-31,8.04,8.4,8.04,8.28,109380
2018-08-01,8.28,8.73,8.28,8.73,201416
2018-08-02,8.73,8.73,8.51,8.63,54550
2018-08-03,8.63,8.66,8.51,8.66,31070
2018-08-06,8.42,8.73,8.42,8.58,83121
2018-08-07,8.66,8.94,8.58,8.94,155745
2018-08-08,8.89,9.1,8.87,9.1,199303
2018-08-09,9.27,9.46,9.06,9.34,122903
2018-08-10,9.34,9.46,8.99,8.99,201510
2018-08-13,9.1,9.34,8.99,9.13,81415
2018-08-14,9.08,9.15,8.96,9.03,79478
2018-08-15,8.96,8.96,8.8,8.94,141813
2018-08-16,8.84,8.99,8.82,8.99,57305
2018-08-17,8.99,9.03,8.92,8.99,36200
2018-08-20,9.01,9.34,9.01,9.29,50309
2018-08-21,9.22,9.25,9.2,9.22,60524
2018-08-22,9.22,9.22,9.2,9.2,55000
2018-08-23,9.2,9.2,9.1,9.1,67250
2018-08-24,8.99,9.13,8.99,9.1,10344
2018-08-27,9.06,9.22,8.99,9.15,43638
2018-08-28,9.15,9.22,9.1,9.15,33000
2018-08-29,9.22,9.91,9.13,9.65,76240
2018-08-30,9.7,9.88,9.58,9.88,86485
2018-08-31,9.84,9.88,9.77,9.88,18700
2018-09-04,9.7,9.88,9.7,9.86,46892
2018-09-05,9.86,10.05,9.7,9.86,10000
2018-09-06,9.88,9.91,9.7,9.7,11500
2018-09-07,9.7,9.79,9.58,9.58,47259
2018-09-10,9.77,9.91,9.6,9.7,59540
2018-09-11,9.72,9.77,9.67,9.7,54000
2018-09-12,9.65,9.81,9.65,9.67,32210
2018-09-13,9.6,9.72,9.46,9.65,43101
2018-09-14,9.7,9.81,9.65,9.7,47730
2018-09-17,9.81,10.17,9.72,10.15,83440
2018-09-18,10.19,10.22,10.15,10.17,21500
2018-09-19,10.17,10.41,10.17,10.29,27060
2018-09-20,10.29,10.29,10.03,10.24,35554
2018-09-21,10.07,10.17,10.05,10.1,21700
2018-09-24,10.05,10.07,10.0,10.0,24560
2018-09-25,10.03,10.05,10.0,10.0,15030
2018-09-26,10.15,10.29,10.05,10.29,17200
2018-09-27,10.29,10.31,10.17,10.29,13342
2018-09-28,10.17,10.41,10.17,10.31,45217
2018-10-01,10.31,10.36,10.31,10.36,34285
2018-10-02,10.22,10.45,10.22,10.45,96910
2018-10-03,10.5,11.0,10.48,10.88,50308
2018-10-04,10.88,10.95,10.88,10.95,35191
2018-10-05,11.19,11.35,11.11,11.19,88450
2018-10-08,11.19,11.47,11.19,11.45,54837
2018-10-09,11.52,11.78,11.47,11.54,158212
2018-10-10,11.56,11.68,11.3,11.45,60050
2018-10-11,11.35,11.35,10.88,11.11,127500
2018-10-12,11.16,11.35,11.11,11.23,93796
2018-10-15,11.35,11.47,11.35,11.35,88686
2018-10-16,11.54,11.54,11.35,11.54,118400
2018-10-17,11.59,11.61,11.37,11.54,39340
2018-10-18,11.54,11.94,11.35,11.82,236409
2018-10-19,11.82,11.85,11.49,11.82,95000
2018-10-22,11.82,11.82,11.16,11.16,46140
2018-10-23,10.9,11.45,10.9,11.28,79813
2018-10-24,11.16,11.35,11.11,11.11,37900
2018-10-25,10.29,11.09,10.17,10.31,158700
2018-10-26,10.31,10.71,10.29,10.31,78913
2018-10-29,10.31,10.64,10.12,10.43,121513
2018-10-30,10.48,10.59,10.33,10.5,119800
2018-10-31,10.5,11.23,10.5,11.14,175450
2018-11-01,11.16,11.35,11.02,11.35,158540
2018-11-02,11.71,11.82,11.21,11.35,27840
2018-11-05,11.4,11.4,11.11,11.16,79434
2018-11-06,11.19,11.35,11.16,11.28,82390
2018-11-07,11.26,11.28,11.16,11.23,46520
2018-11-08,11.26,11.35,11.11,11.21,78660
2018-11-09,11.11,11.11,11.0,11.0,55420
2018-11-12,11.0,11.02,10.9,11.0,37147
2018-11-13,10.88,11.14,10.88,11.07,115400
2018-11-14,11.09,11.11,10.85,11.11,65450
2018-11-15,11.02,11.11,11.02,11.11,31500
2018-11-16,11.09,11.09,10.88,10.88,237966
2018-11-19,10.81,10.88,10.55,10.64,161220
2018-11-20,10.64,10.78,10.64,10.71,82809
2018-11-21,10.55,11.0,10.55,10.9,179510
2018-11-22,11.11,11.11,10.9,11.0,82983
2018-11-23,11.0,11.59,11.0,11.59,416744
2018-11-26,11.59,11.61,11.4,11.59,249926
2018-11-27,11.59,12.18,11.45,11.45,301713
2018-11-28,11.59,11.85,11.42,11.85,316327
2018-11-29,11.85,12.3,11.85,12.08,355882
2018-11-30,12.06,12.08,11.87,11.87,144607
2018-12-03,11.87,12.06,11.82,11.94,198779
2018-12-04,11.94,11.94,11.73,11.82,164113
2018-12-05,11.73,11.82,11.37,11.37,274564
2018-12-06,11.37,11.59,11.23,11.23,306811
2018-12-07,11.35,11.61,11.35,11.54,212566
2018-12-10,11.59,11.82,11.42,11.54,106810
2018-12-11,11.59,11.59,11.37,11.49,209710
2018-12-12,11.47,11.49,11.45,11.49,36200
2018-12-13,11.49,11.59,11.45,11.52,32879
2018-12-14,11.52,11.54,11.42,11.45,60566
2018-12-17,11.37,11.45,11.33,11.42,101997
2018-12-18,11.33,11.42,10.9,11.42,69190
2018-12-19,11.45,11.45,11.14,11.23,41300
2018-12-20,11.23,11.33,11.23,11.33,12996
2018-12-21,11.23,11.33,11.11,11.3,63500
2018-12-24,11.14,11.33,10.85,10.85,199200
2018-12-25,10.85,10.85,10.41,10.52,157841
2018-12-26,11.02,11.02,10.57,10.57,69641
2018-12-27,11.02,11.04,10.59,10.59,57610
2018-12-28,10.64,10.88,10.52,10.88,103410
2019-01-02,10.69,10.69,10.41,10.41,247400
2019-01-03,10.41,10.52,9.96,10.05,151300
2019-01-04,10.05,10.26,9.81,10.26,63200
2019-01-07,10.26,10.52,10.19,10.26,35800
2019-01-08,10.26,10.29,10.1,10.24,18620
2019-01-09,10.24,10.41,10.17,10.29,83790
2019-01-10,10.29,10.5,10.29,10.41,178300
2019-01-11,10.55,10.81,10.52,10.64,208900
2019-01-14,10.71,10.71,10.62,10.67,305870
2019-01-15,10.64,10.64,10.41,10.41,218500
2019-01-16,10.53,10.57,10.38,10.45,34200
2019-01-17,10.5,10.55,10.16,10.16,38800
2019-01-18,10.16,10.26,10.16,10.19,66200
2019-01-21,10.19,10.67,10.19,10.65,148500
2019-01-22,10.53,10.53,10.4,10.4,70600
2019-01-23,10.4,10.4,10.28,10.38,34000
2019-01-24,10.16,10.19,10.07,10.07,163104
2019-01-25,10.38,10.4,10.04,10.31,54000
2019-01-28,10.21,10.21,9.87,9.92,127120
2019-01-29,9.85,9.85,9.63,9.73,128910
2019-01-30,9.8,9.97,9.7,9.97,56900
2019-01-31,9.92,9.97,9.92,9.92,16520
2019-02-01,9.92,10.11,9.92,10.11,13110
2019-02-11,10.16,10.19,10.11,10.11,43314
2019-02-12,10.11,10.21,10.07,10.21,87770
2019-02-13,10.21,10.7,10.21,10.65,143650
2019-02-14,10.7,10.74,10.48,10.5,47910
2019-02-15,10.67,10.67,10.36,10.36,98630
2019-02-18,10.62,10.77,10.28,10.33,72030
2019-02-19,10.36,10.38,10.26,10.33,43300
2019-02-20,10.28,10.33,10.16,10.33,66720
2019-02-21,10.36,10.4,10.19,10.28,44410
2019-02-22,10.19,10.4,10.16,10.4,57900
2019-02-25,10.28,10.4,10.28,10.4,23110
2019-02-26,10.4,10.72,10.36,10.62,112720
2019-02-27,10.67,10.67,10.43,10.43,58638
2019-02-28,10.45,10.53,10.16,10.4,43710
2019-03-01,10.21,10.4,10.21,10.4,53510
2019-03-04,10.4,10.86,10.4,10.74,177944
2019-03-05,10.74,10.99,10.65,10.94,267470
2019-03-06,10.89,10.99,10.79,10.79,111275
2019-03-07,10.79,10.89,10.65,10.7,133006
2019-03-08,10.7,10.89,10.55,10.7,96591
2019-03-11,10.7,10.72,10.65,10.7,59699
2019-03-12,10.89,10.89,10.67,10.72,97910
2019-03-13,10.77,10.77,10.11,10.4,291843
2019-03-14,10.4,10.4,10.07,10.19,183580
2019-03-15,10.16,10.45,10.11,10.28,97317
2019-03-18,10.21,10.43,10.16,10.19,117828
2019-03-19,10.19,10.33,10.11,10.26,154250
2019-03-20,10.19,10.26,10.07,10.24,134690
2019-03-21,10.24,10.4,10.19,10.28,90713
2019-03-22,10.21,10.33,10.19,10.19,87175
2019-03-25,10.16,10.21,10.09,10.14,94476
2019-03-26,10.16,10.21,10.09,10.14,190279
2019-03-27,10.14,10.4,10.14,10.31,130600
2019-03-28,10.31,10.36,10.26,10.28,54871
2019-03-29,10.36,10.38,10.21,10.21,54400
2019-04-01,10.16,10.26,10.14,10.14,19947
2019-04-02,10.16,10.31,10.09,10.11,77842
2019-04-03,10.11,10.11,10.07,10.11,25100
2019-04-04,10.11,10.11,10.04,10.07,39500
2019-04-05,10.04,10.09,9.97,10.07,77060
2019-04-08,10.04,10.07,9.68,9.75,94118
2019-04-09,9.75,9.75,9.44,9.44,135346
2019-04-10,9.44,9.44,9.19,9.22,144530
2019-04-11,9.34,9.39,9.29,9.32,117010
2019-04-12,9.32,9.56,9.32,9.49,41300
2019-04-16,9.49,9.49,9.29,9.34,73700
2019-04-17,9.34,9.37,9.29,9.29,77700
2019-04-18,9.27,9.27,8.78,8.8,214303
2019-04-19,8.58,8.9,8.58,8.83,118180
2019-04-22,8.83,9.19,8.83,9.19,153280
2019-04-23,9.19,9.19,9.07,9.15,13946
2019-04-24,9.15,9.19,8.97,9.12,78720
2019-04-25,9.12,9.12,9.0,9.0,39320
2019-04-26,8.97,9.07,8.92,9.05,30870
2019-05-02,9.05,9.05,8.75,8.85,214838
2019-05-03,8.85,8.95,8.83,8.9,28600
2019-05-06,8.9,8.9,8.75,8.78,201840
2019-05-07,8.83,8.95,8.83,8.92,80420
2019-05-08,9.02,9.16,8.8,8.94,56200
2019-05-09,8.91,8.99,8.88,8.88,29100
2019-05-10,8.91,8.94,8.88,8.88,32300
2019-05-13,8.85,8.88,8.68,8.68,106075
2019-05-14,8.68,8.74,8.46,8.57,170620
2019-05-15,8.51,8.88,8.51,8.88,100387
2019-05-16,8.83,9.05,8.83,8.99,78365
2019-05-17,8.99,9.02,8.88,8.88,69240
2019-05-20,8.83,8.85,8.8,8.85,29925
2019-05-21,8.83,8.83,8.66,8.83,106040
2019-05-22,8.74,8.83,8.68,8.71,65020
2019-05-23,8.66,8.97,8.66,8.88,72490
2019-05-24,8.88,9.02,8.63,8.83,59010
2019-05-27,8.85,8.97,8.83,8.88,105500
2019-05-28,8.88,8.91,8.74,8.8,86910
2019-05-29,8.74,8.8,8.66,8.77,82800
2019-05-30,8.68,8.83,8.66,8.77,61300
2019-05-31,8.74,8.74,8.57,8.57,80830
2019-06-03,8.57,8.57,8.4,8.46,80300
2019-06-04,8.46,8.46,8.4,8.46,38850
2019-06-05,8.6,8.6,8.46,8.46,28950
2019-06-06,8.46,8.49,8.4,8.46,20935
2019-06-07,8.4,8.51,8.4,8.46,34430
2019-06-10,8.49,8.49,8.43,8.43,68700
2019-06-11,8.43,8.43,8.18,8.18,105340
2019-06-12,8.18,8.23,8.04,8.09,69330
2019-06-13,8.09,8.18,8.09,8.12,57780
2019-06-14,8.06,8.15,8.04,8.12,17405
2019-06-17,8.12,8.12,8.04,8.09,39314
2019-06-18,8.09,8.09,8.01,8.06,29220
2019-06-19,8.09,8.09,8.01,8.04,31106
2019-06-20,8.01,8.01,7.7,7.81,268211
2019-06-21,7.81,7.89,7.42,7.89,211725
2019-06-24,7.92,7.95,7.78,7.95,121146
2019-06-25,7.95,7.95,7.87,7.87,65225
2019-06-26,7.87,7.89,7.81,7.89,51360
2019-06-27,7.89,7.95,7.89,7.95,77925
2019-06-28,7.92,8.04,7.89,8.04,74286
2019-07-01,8.04,8.35,8.04,8.29,128314
2019-07-02,8.23,8.43,8.2,8.35,68590
2019-07-03,8.35,8.94,8.35,8.74,200770
2019-07-04,8.74,8.83,8.6,8.74,97926
2019-07-05,8.8,8.8,8.57,8.6,140151
2019-07-08,8.6,8.74,8.54,8.71,72015
2019-07-09,8.71,8.74,8.63,8.71,50430
2019-07-10,8.71,8.8,8.68,8.8,103450
2019-07-11,8.83,8.85,8.77,8.83,100900
2019-07-12,8.77,8.83,8.68,8.8,138010
2019-07-15,8.83,8.83,8.63,8.68,83210
2019-07-16,8.68,8.68,8.46,8.46,109700
2019-07-17,8.46,8.46,8.18,8.32,130118
2019-07-18,8.35,8.43,8.18,8.35,68007
2019-07-19,8.35,8.35,8.23,8.35,111060
2019-07-22,8.35,8.83,8.35,8.83,365935
2019-07-23,8.83,9.39,8.77,9.25,405982
2019-07-24,9.3,9.3,8.94,9.08,219620
2019-07-25,8.99,9.08,8.94,8.94,129281
2019-07-26,8.88,9.22,8.8,8.99,350554
2019-07-29,9.02,9.28,8.97,9.22,247235
2019-07-30,9.22,9.5,9.02,9.05,308125
2019-07-31,9.02,9.05,8.91,9.02,140701
2019-08-01,9.02,9.25,8.71,8.77,324150
2019-08-02,8.8,9.14,8.6,8.91,205380
2019-08-05,8.97,8.97,8.85,8.85,289091
2019-08-06,8.74,8.83,8.6,8.68,325454
2019-08-07,8.63,8.85,8.63,8.68,101020
2019-08-08,8.68,8.97,8.51,8.85,359372
2019-08-09,8.85,9.19,8.68,8.74,825840
2019-08-12,8.74,8.74,8.37,8.4,760485
2019-08-13,8.4,8.46,8.29,8.35,166088
2019-08-14,8.4,8.4,7.78,7.92,683537
2019-08-15,7.89,7.92,7.64,7.92,246420
2019-08-16,7.92,8.06,7.84,7.95,321299
2019-08-19,7.95,8.18,7.95,8.06,152020
2019-08-20,8.06,8.12,7.95,8.01,142585
2019-08-21,7.92,8.09,7.92,8.06,151270
2019-08-22,8.04,8.09,7.92,8.04,113150
2019-08-23,7.98,8.06,7.92,8.01,91580
2019-08-26,8.01,8.01,7.89,7.89,85682
2019-08-27,7.92,8.01,7.89,7.95,72927
2019-08-28,7.92,8.01,7.84,7.84,75790
2019-08-29,7.84,7.89,7.84,7.87,117765
2019-08-30,7.89,7.92,7.84,7.89,60386
2019-09-03,7.89,7.89,7.78,7.81,82160
2019-09-04,7.81,7.84,7.61,7.81,144550
2019-09-05,7.84,7.89,7.81,7.81,52440
2019-09-06,7.84,7.84,7.75,7.81,60600
2019-09-09,7.81,7.81,7.73,7.73,31530
2019-09-10,7.73,7.75,7.64,7.67,83460
2019-09-11,7.67,7.7,7.47,7.58,90495
2019-09-12,7.61,7.61,7.16,7.25,280882
2019-09-13,7.27,7.61,7.27,7.56,124650
2019-09-16,7.58,7.58,7.39,7.47,56570
2019-09-17,7.47,7.61,7.42,7.56,70355
2019-09-18,7.56,7.78,7.56,7.61,94562
2019-09-19,7.61,7.84,7.61,7.84,159530
2019-09-20,7.89,7.89,7.67,7.73,52050
2019-09-23,7.64,7.67,7.56,7.56,52620
2019-09-24,7.61,7.7,7.5,7.58,102410
2019-09-25,7.61,7.61,7.44,7.47,68518
2019-09-26,7.56,7.56,7.44,7.44,75020
2019-09-27,7.47,7.58,7.33,7.58,120055
2019-09-30,7.58,7.58,7.47,7.53,56825
2019-10-01,7.5,7.61,7.47,7.5,53020
2019-10-02,7.47,7.47,7.33,7.47,106605
2019-10-03,7.44,7.53,7.33,7.53,58900
2019-10-04,7.56,7.75,7.47,7.7,127428
2019-10-07,7.73,7.73,7.56,7.56,58632
2019-10-08,7.56,7.56,7.33,7.5,48215
2019-10-09,7.44,7.58,7.33,7.39,87605
2019-10-10,7.39,7.53,7.33,7.39,52840
2019-10-11,7.39,7.42,7.33,7.39,27265
2019-10-14,7.44,7.44,7.27,7.27,75180
2019-10-15,7.3,7.33,7.27,7.33,55160
2019-10-16,7.33,7.36,7.3,7.36,53273
2019-10-17,7.33,7.42,7.33,7.36,73796
2019-10-18,7.36,7.39,7.33,7.39,58455
2019-10-21,7.33,7.33,7.13,7.25,118794
2019-10-22,7.25,7.33,7.25,7.3,54392
2019-10-23,7.33,7.33,7.27,7.33,62580
2019-10-24,7.33,7.33,7.13,7.3,175236
2019-10-25,7.27,7.33,7.27,7.3,63856
2019-10-28,7.33,7.36,7.3,7.33,49675
2019-10-29,7.33,7.36,7.3,7.33,80270
2019-10-30,7.33,7.33,7.25,7.33,37550
2019-10-31,7.27,7.27,7.25,7.25,33441
2019-11-01,7.27,7.36,7.19,7.33,119350
2019-11-04,7.33,7.33,7.22,7.3,216630
2019-11-05,7.27,7.3,7.25,7.27,33465
2019-11-06,7.27,7.36,7.27,7.3,75716
2019-11-07,7.3,7.84,7.3,7.67,198620
2019-11-08,7.67,7.67,7.56,7.64,71305
2019-11-11,7.7,7.7,7.56,7.56,73633
