time,open,high,low,close,volume
2018-01-02,11.01,11.06,10.93,11.03,883360
2018-01-03,11.06,11.56,11.03,11.46,3305720
2018-01-04,11.59,12.25,11.54,12.09,3965060
2018-01-05,12.28,12.54,11.93,12.09,2875060
2018-01-08,12.09,12.41,11.99,12.2,4018670
2018-01-09,12.46,12.68,12.09,12.62,3299510
2018-01-10,12.73,12.89,12.44,12.62,2945650
2018-01-11,12.49,12.68,12.44,12.57,2411000
2018-01-12,12.73,13.0,12.2,12.31,3958000
2018-01-15,12.31,12.62,12.25,12.46,3059400
2018-01-16,12.52,12.68,12.2,12.46,2008940
2018-01-17,12.46,12.46,11.99,11.99,3315830
2018-01-18,11.83,12.12,11.54,12.01,5618870
2018-01-19,12.2,12.28,11.93,11.93,2534480
2018-01-22,12.07,12.07,11.8,11.96,1803420
2018-01-23,11.96,11.96,11.96,11.96,0
2018-01-24,11.96,11.96,11.96,11.96,0
2018-01-25,11.96,12.46,11.93,12.2,5055770
2018-01-26,12.33,12.46,12.09,12.09,3233700
2018-01-29,12.09,12.2,11.91,12.09,2060140
2018-01-30,11.78,12.92,11.78,12.92,6763820
2018-01-31,13.42,13.82,12.01,12.01,11441780
2018-02-01,12.41,12.84,12.31,12.78,4758970
2018-02-02,12.73,12.78,12.36,12.68,1866850
2018-02-05,12.49,12.57,11.8,11.8,3966060
2018-02-06,11.03,11.72,10.98,11.09,6073460
2018-02-07,11.62,11.85,11.4,11.83,2586270
2018-02-08,11.67,12.15,11.62,11.88,1642970
2018-02-09,11.11,11.54,11.09,11.43,3522000
2018-02-12,11.72,11.99,11.62,11.99,1108190
2018-02-13,12.2,12.68,11.99,12.6,2412670
2018-02-21,12.6,12.97,12.52,12.62,1616910
2018-02-22,12.52,12.73,12.41,12.44,1253320
2018-02-23,12.54,12.65,12.36,12.65,1042550
2018-02-26,12.73,13.1,12.7,12.78,4362740
2018-02-27,12.84,12.89,12.46,12.65,3081900
2018-02-28,12.6,12.68,12.54,12.62,1808170
2018-03-01,12.46,13.5,12.41,13.37,7535680
2018-03-02,13.26,14.29,13.1,14.27,6768590
2018-03-05,14.32,14.64,13.9,13.9,4587870
2018-03-06,13.95,14.59,13.84,14.59,5905980
2018-03-07,14.53,14.96,14.11,14.48,4636250
2018-03-08,14.35,14.72,14.24,14.24,3753250
2018-03-09,14.32,14.53,14.24,14.27,2708890
2018-03-12,14.43,14.96,14.22,14.64,2788070
2018-03-13,14.64,14.96,14.59,14.85,2037890
2018-03-14,14.96,15.22,14.64,14.64,3144210
2018-03-15,14.64,14.85,14.27,14.43,3312930
2018-03-16,14.48,14.75,14.29,14.59,2002230
2018-03-19,14.59,15.33,14.59,14.9,3895260
2018-03-20,14.85,14.96,14.67,14.8,3536050
