time,open,high,low,close,volume
2018-01-02,8.91,8.91,8.91,8.91,200
2018-01-03,8.91,8.91,8.91,8.91,0
2018-01-04,8.91,8.91,8.91,8.91,0
2018-01-05,8.91,8.91,8.91,8.91,0
2018-01-08,8.99,9.14,8.91,9.14,25900
2018-01-09,9.14,9.14,9.14,9.14,0
2018-01-10,9.14,9.14,9.14,9.14,0
2018-01-11,9.06,9.06,8.91,8.91,9300
2018-01-12,9.14,9.14,8.91,8.91,12036
2018-01-15,8.99,8.99,8.99,8.99,100
2018-01-16,9.21,9.74,8.91,8.99,178700
2018-01-17,9.51,9.74,9.14,9.74,71600
2018-01-18,9.59,9.59,9.59,9.59,100
2018-01-19,9.59,9.66,9.06,9.66,44400
2018-01-22,9.06,9.06,9.06,9.06,1100
2018-01-23,8.99,8.99,8.84,8.84,13000
2018-01-24,8.91,8.99,8.91,8.99,34300
2018-01-25,8.99,8.99,8.99,8.99,0
2018-01-26,8.91,9.14,8.91,9.14,4350
2018-01-29,9.89,9.89,8.91,8.91,11500
2018-01-30,8.91,8.91,8.91,8.91,1100
2018-01-31,8.91,8.91,8.91,8.91,0
2018-02-01,8.91,8.91,8.91,8.91,0
2018-02-02,8.91,8.91,8.91,8.91,0
2018-02-05,8.91,8.91,8.91,8.91,600
2018-02-06,8.84,9.36,8.76,9.36,6600
2018-02-07,9.36,9.36,9.36,9.36,0
2018-02-08,9.36,9.36,9.36,9.36,0
2018-02-09,9.36,9.36,9.36,9.36,0
2018-02-12,9.36,9.36,9.36,9.36,0
2018-02-13,9.36,9.36,9.36,9.36,0
2018-02-21,9.36,9.36,9.36,9.36,0
2018-02-22,9.36,9.36,9.36,9.36,0
2018-02-23,9.36,9.36,9.36,9.36,0
2018-02-26,9.36,9.36,9.36,9.36,0
2018-02-27,9.36,9.36,9.36,9.36,0
2018-02-28,9.36,9.36,9.36,9.36,0
2018-03-01,9.36,9.36,9.36,9.36,0
2018-03-02,9.36,9.36,9.36,9.36,0
2018-03-05,8.61,8.61,8.54,8.54,5100
2018-03-06,8.31,8.99,8.31,8.99,1100
2018-03-07,8.99,8.99,8.99,8.99,0
2018-03-08,8.46,8.46,8.46,8.46,2200
2018-03-09,8.54,8.54,8.54,8.54,1200
2018-03-12,8.54,8.54,8.54,8.54,0
2018-03-13,8.54,8.54,8.54,8.54,0
2018-03-14,8.54,8.54,8.54,8.54,0
2018-03-15,9.36,9.36,9.36,9.36,100
2018-03-16,8.99,9.36,8.99,9.21,6900
2018-03-19,9.21,9.21,9.21,9.21,0
2018-03-20,10.04,10.11,10.04,10.11,2700
2018-03-21,10.11,10.11,10.11,10.11,0
