time,open,high,low,close,volume
2018-01-02,10.06,10.06,10.06,10.06,0
2018-01-03,10.06,10.06,10.06,10.06,0
2018-01-04,10.12,10.12,10.06,10.06,300
2018-01-05,10.06,10.06,10.06,10.06,0
2018-01-08,10.06,10.06,10.06,10.06,0
2018-01-09,10.06,10.06,10.06,10.06,0
2018-01-10,10.06,10.06,10.06,10.06,0
2018-01-11,10.06,10.06,10.06,10.06,0
2018-01-12,10.06,10.06,10.06,10.06,0
2018-01-15,10.06,10.06,10.06,10.06,200
2018-01-16,10.06,10.06,10.06,10.06,0
2018-01-17,10.06,10.06,10.06,10.06,0
2018-01-18,10.06,10.06,10.06,10.06,0
2018-01-19,10.06,10.06,10.06,10.06,0
2018-01-22,10.12,10.12,10.12,10.12,300
2018-01-23,10.12,10.12,10.12,10.12,0
2018-01-24,10.12,10.12,10.12,10.12,0
2018-01-25,10.12,10.12,10.12,10.12,0
2018-01-26,10.12,10.12,10.12,10.12,0
2018-01-29,10.12,10.12,10.12,10.12,0
2018-01-30,10.12,10.12,10.12,10.12,0
2018-01-31,10.12,10.12,10.12,10.12,0
2018-02-01,10.12,10.12,10.12,10.12,0
2018-02-02,10.12,10.12,10.12,10.12,0
2018-02-05,10.06,10.06,10.06,10.06,500
2018-02-06,10.06,10.06,10.06,10.06,0
2018-02-07,10.06,10.06,10.06,10.06,0
2018-02-08,10.06,10.06,10.06,10.06,0
2018-02-09,10.06,10.06,10.06,10.06,0
2018-02-12,10.06,10.06,10.06,10.06,0
2018-02-13,10.06,10.06,10.06,10.06,0
2018-02-21,10.06,10.06,10.06,10.06,0
2018-02-22,10.06,10.06,10.06,10.06,0
2018-02-23,10.06,10.06,10.06,10.06,1800
2018-02-26,10.06,10.06,10.06,10.06,0
2018-02-27,10.06,10.06,10.06,10.06,0
2018-02-28,10.06,10.06,10.06,10.06,0
2018-03-01,9.11,9.11,9.11,9.11,400
2018-03-02,9.11,9.11,9.11,9.11,0
2018-03-05,9.52,9.52,9.52,9.52,4300
2018-03-06,9.52,9.52,9.52,9.52,0
2018-03-07,9.52,9.52,9.52,9.52,0
2018-03-08,9.52,9.52,9.52,9.52,0
2018-03-09,9.52,9.52,9.52,9.52,0
2018-03-12,9.52,9.52,9.52,9.52,0
2018-03-13,9.52,9.52,9.52,9.52,0
2018-03-14,9.52,9.52,9.52,9.52,0
2018-03-15,9.52,9.52,9.52,9.52,0
2018-03-16,9.52,9.52,9.52,9.52,0
2018-03-19,9.52,9.52,9.52,9.52,0
2018-03-20,9.52,9.52,9.52,9.52,0
2018-03-21,9.52,9.52,9.52,9.52,300
2018-03-22,9.52,9.52,9.52,9.52,0
2018-03-23,9.52,9.52,9.52,9.52,0
2018-03-26,9.52,9.52,9.52,9.52,0
2018-03-27,9.52,9.52,9.52,9.52,0
2018-03-28,9.52,9.52,9.52,9.52,0
2018-03-29,9.52,9.52,9.52,9.52,0
