time,open,high,low,close,volume
2018-01-02,3.82,3.82,3.82,3.82,0
2018-01-03,4.36,4.36,4.36,4.36,500
2018-01-04,5.0,5.0,5.0,5.0,500
2018-01-05,5.73,5.73,5.0,5.0,1000
2018-01-08,5.14,5.14,5.14,5.14,0
2018-01-09,5.73,5.88,5.73,5.88,200
2018-01-10,5.83,5.83,5.83,5.83,0
2018-01-11,5.83,5.83,5.83,5.83,0
2018-01-12,5.83,5.83,5.83,5.83,0
2018-01-15,6.61,6.66,6.61,6.66,1200
2018-01-16,6.66,6.66,6.66,6.66,0
2018-01-17,6.66,6.66,6.66,6.66,0
2018-01-18,6.66,6.66,6.66,6.66,0
2018-01-19,6.66,6.66,6.66,6.66,0
2018-01-22,6.66,6.66,6.66,6.66,0
2018-01-23,6.66,6.66,6.66,6.66,0
2018-01-24,6.66,6.66,6.66,6.66,0
2018-01-25,6.66,6.66,6.66,6.66,0
2018-01-26,6.66,6.66,6.66,6.66,0
2018-01-29,6.66,6.66,6.66,6.66,0
2018-01-30,6.66,6.66,6.66,6.66,0
2018-01-31,6.66,6.66,6.66,6.66,0
2018-02-01,6.66,6.66,6.66,6.66,0
2018-02-02,6.66,6.66,6.66,6.66,0
2018-02-05,6.66,6.66,6.66,6.66,0
2018-02-06,6.66,6.66,6.66,6.66,0
2018-02-07,6.66,6.66,6.66,6.66,0
2018-02-08,6.66,6.66,6.66,6.66,0
2018-02-09,6.66,6.66,6.66,6.66,0
2018-02-12,6.66,6.66,6.66,6.66,0
2018-02-13,6.66,6.66,6.66,6.66,15
2018-02-21,6.66,6.66,6.66,6.66,0
2018-02-22,6.66,6.66,6.66,6.66,1
2018-02-23,6.66,6.66,6.66,6.66,0
2018-02-26,6.66,6.66,6.66,6.66,0
2018-02-27,6.66,6.66,6.66,6.66,5
2018-02-28,6.66,6.66,6.66,6.66,0
2018-03-01,6.66,6.66,6.66,6.66,0
2018-03-02,6.66,6.66,6.66,6.66,0
2018-03-05,6.32,6.32,6.32,6.32,710
2018-03-06,6.32,6.32,6.32,6.32,0
2018-03-07,6.32,6.32,6.32,6.32,0
2018-03-08,6.32,6.32,6.32,6.32,0
2018-03-09,6.32,6.32,6.32,6.32,0
2018-03-12,6.32,6.32,6.32,6.32,0
2018-03-13,6.32,6.32,6.32,6.32,0
