time,open,high,low,close,volume
2018-01-02,10.48,10.51,10.4,10.51,44150
2018-01-03,10.51,10.56,10.46,10.56,19320
2018-01-04,10.59,10.59,10.38,10.51,65350
2018-01-05,10.58,10.58,10.48,10.48,36890
2018-01-08,10.54,11.05,10.51,11.0,127960
2018-01-09,11.0,11.08,10.89,11.06,78380
2018-01-10,11.05,11.4,11.02,11.4,91330
2018-01-11,11.4,11.4,11.18,11.26,67980
2018-01-12,11.32,11.45,11.21,11.21,42750
2018-01-15,11.24,11.99,11.24,11.99,181450
2018-01-16,12.11,12.13,11.7,11.99,75100
2018-01-17,11.99,11.99,11.18,11.45,85530
2018-01-18,11.18,11.72,11.18,11.7,125330
2018-01-19,11.62,11.72,11.59,11.72,142130
2018-01-22,11.67,11.86,11.67,11.83,85280
2018-01-23,11.83,11.83,11.83,11.83,0
2018-01-24,11.83,11.83,11.83,11.83,0
2018-01-25,11.48,11.83,11.48,11.53,90860
2018-01-26,11.45,11.59,11.32,11.47,58050
2018-01-29,11.59,11.59,11.24,11.29,43950
2018-01-30,11.13,11.18,10.75,10.75,117360
2018-01-31,10.78,11.25,10.7,11.18,85200
2018-02-01,11.18,11.18,10.83,10.86,41230
2018-02-02,10.78,11.05,10.78,10.86,13710
2018-02-05,10.89,10.89,10.35,10.43,101500
2018-02-06,10.24,10.64,10.11,10.62,148780
2018-02-07,10.73,10.73,10.44,10.51,50240
2018-02-08,10.73,10.73,10.47,10.56,21710
2018-02-09,10.46,10.7,10.4,10.7,42400
2018-02-12,10.43,10.78,10.43,10.78,20710
2018-02-13,10.75,11.05,10.75,11.0,10270
2018-02-21,11.0,11.05,10.87,11.0,9110
2018-02-22,10.86,11.0,10.75,10.75,6350
2018-02-23,10.91,10.91,10.7,10.75,17570
2018-02-26,10.91,11.18,10.75,11.04,30020
2018-02-27,11.04,11.04,10.75,10.83,8620
2018-02-28,10.78,11.05,10.78,11.02,53280
2018-03-01,10.86,11.13,10.86,11.13,26050
2018-03-02,11.05,11.18,10.87,11.13,26790
2018-03-05,11.05,11.17,10.86,11.13,6020
2018-03-06,10.86,11.05,10.78,11.02,3130
2018-03-07,10.91,11.12,10.75,10.75,16140
2018-03-08,11.02,11.02,10.66,10.75,23060
2018-03-09,10.91,11.0,10.73,10.73,11990
2018-03-12,10.73,10.91,10.64,10.91,14760
2018-03-13,10.67,11.04,10.67,10.9,12980
2018-03-14,11.02,11.02,10.9,11.0,5820
2018-03-15,10.97,11.0,10.78,10.78,15220
2018-03-16,10.78,10.78,10.73,10.73,18690
2018-03-19,11.18,11.18,10.71,10.71,3090
2018-03-20,10.75,10.78,10.7,10.73,27220
2018-03-21,10.73,10.73,10.71,10.73,3550
2018-03-22,10.74,10.74,10.62,10.67,19510
2018-03-23,10.11,10.64,10.11,10.62,20270
2018-03-26,10.64,10.64,10.43,10.43,16100
2018-03-27,10.28,10.78,10.28,10.78,190
2018-03-28,10.51,10.62,10.51,10.59,22340
2018-03-29,10.73,10.78,10.59,10.78,8740
2018-03-30,10.78,10.78,10.78,10.78,0
2018-04-02,10.38,10.75,10.38,10.59,94280
2018-04-03,10.51,10.51,10.48,10.51,13840
2018-04-04,10.51,10.62,10.48,10.6,23140
2018-04-05,10.46,10.59,10.46,10.59,10220
2018-04-06,10.59,10.77,10.55,10.55,13100
2018-04-09,10.74,10.74,10.56,10.64,10350
2018-04-10,10.73,10.73,10.51,10.63,17570
2018-04-11,10.64,10.64,10.46,10.54,11780
2018-04-12,10.62,10.62,10.38,10.58,11090
2018-04-13,10.77,10.77,10.51,10.54,7540
2018-04-16,10.38,10.51,10.35,10.51,20110
2018-04-17,10.58,10.67,10.56,10.67,16920
2018-04-18,10.59,10.67,10.51,10.54,9730
2018-04-19,10.54,10.59,10.4,10.51,42260
2018-04-20,10.51,10.62,10.38,10.48,35850
2018-04-23,10.78,10.78,10.43,10.44,9230
2018-04-24,10.78,10.78,10.43,10.63,13410
2018-04-26,10.75,10.75,10.43,10.59,2270
2018-04-27,10.62,10.62,10.4,10.51,36900
2018-05-02,10.77,10.77,10.46,10.54,37670
2018-05-03,10.46,10.75,10.46,10.51,10600
2018-05-04,10.64,10.64,10.38,10.56,16260
2018-05-07,10.54,10.59,10.51,10.51,5490
2018-05-08,10.51,10.59,10.32,10.46,103340
2018-05-09,10.62,10.62,10.4,10.51,14300
2018-05-10,10.6,10.6,10.46,10.46,1460
2018-05-11,10.46,10.51,10.4,10.51,5520
2018-05-14,10.56,10.56,10.43,10.54,7360
2018-05-15,10.62,10.64,10.51,10.62,8320
2018-05-16,10.62,10.62,10.48,10.59,9140
2018-05-17,10.63,10.63,10.46,10.5,14600
2018-05-18,10.47,10.59,10.43,10.56,6840
2018-05-21,10.59,10.59,10.51,10.59,42920
2018-05-22,10.62,10.63,10.47,10.56,33450
2018-05-23,10.62,10.62,10.46,10.56,46000
2018-05-24,10.51,10.56,10.47,10.55,28260
2018-05-25,10.55,10.56,10.43,10.54,30900
2018-05-28,10.46,10.51,10.29,10.29,202090
2018-05-29,10.38,10.73,10.38,10.62,27380
2018-05-30,10.51,10.63,10.38,10.59,24720
2018-05-31,10.62,10.67,10.62,10.67,13810
2018-06-01,10.67,11.02,10.67,10.97,54950
2018-06-04,11.04,11.04,10.81,10.91,14610
2018-06-05,11.05,11.05,10.81,10.86,86240
2018-06-06,10.86,10.89,10.81,10.82,23440
2018-06-07,11.0,11.0,10.82,10.83,21300
2018-06-08,10.97,10.98,10.91,10.91,5270
2018-06-11,10.97,10.97,10.83,10.97,14420
2018-06-12,10.97,10.97,10.83,10.94,28620
2018-06-13,10.95,10.97,10.83,10.95,9810
2018-06-14,10.91,10.97,10.91,10.97,9890
2018-06-15,10.85,10.94,10.78,10.94,2030
2018-06-18,10.97,10.97,10.54,10.56,21830
2018-06-19,10.56,10.56,10.56,10.56,600
2018-06-20,10.56,10.75,10.38,10.75,90150
2018-06-21,10.67,10.7,10.46,10.7,2710
2018-06-22,10.67,10.7,10.51,10.69,90390
2018-06-25,10.51,10.64,10.4,10.51,68910
2018-06-26,10.48,10.51,10.46,10.51,51110
2018-06-27,10.7,10.7,10.5,10.54,50380
2018-06-28,10.46,10.67,10.46,10.51,32950
2018-06-29,10.54,10.54,10.48,10.51,10730
2018-07-02,10.51,10.51,10.46,10.48,11120
2018-07-03,10.47,10.51,10.32,10.48,19410
2018-07-04,10.35,10.56,10.24,10.32,68070
2018-07-05,10.46,10.46,10.28,10.32,18120
2018-07-06,10.32,10.46,10.24,10.35,71280
2018-07-09,10.35,10.4,10.35,10.4,41400
2018-07-10,10.48,10.51,10.35,10.4,25190
2018-07-11,10.4,10.43,10.24,10.29,32310
2018-07-12,10.43,10.43,10.24,10.29,34550
2018-07-13,10.29,10.29,10.24,10.29,13660
2018-07-16,10.38,10.38,10.24,10.24,29040
2018-07-17,10.24,10.35,10.24,10.29,6050
2018-07-18,10.29,10.46,10.29,10.32,22660
2018-07-19,10.48,10.48,10.35,10.35,20890
2018-07-20,10.35,10.48,10.35,10.44,8180
2018-07-23,10.44,10.59,10.44,10.51,21020
2018-07-24,10.51,10.51,10.42,10.43,12100
2018-07-25,10.51,10.51,10.38,10.48,38780
2018-07-26,10.48,10.48,10.4,10.4,3910
2018-07-27,10.43,10.48,10.4,10.46,19820
2018-07-30,10.48,10.48,10.42,10.43,45220
2018-07-31,10.48,10.48,10.43,10.43,26250
2018-08-01,10.51,10.51,10.43,10.43,19970
2018-08-02,10.48,10.48,10.38,10.48,33580
2018-08-03,10.48,10.48,10.35,10.38,11900
2018-08-06,10.42,10.64,10.42,10.46,33120
2018-08-07,10.74,10.74,10.48,10.48,10050
2018-08-08,10.48,10.65,10.46,10.65,10770
2018-08-09,10.67,10.67,10.37,10.46,23780
2018-08-10,10.37,10.63,10.37,10.4,14990
2018-08-13,10.4,10.57,10.33,10.33,25890
2018-08-14,10.33,10.33,10.23,10.31,6130
2018-08-15,10.24,10.43,10.23,10.4,33940
2018-08-16,10.43,10.43,10.23,10.36,8440
2018-08-17,10.24,10.4,10.23,10.37,13740
2018-08-20,10.37,10.37,10.23,10.37,19980
2018-08-21,10.31,10.37,10.24,10.37,12170
2018-08-22,10.51,10.6,10.43,10.54,20620
2018-08-23,10.54,10.54,10.43,10.43,57930
2018-08-24,10.46,10.51,10.37,10.51,21790
2018-08-27,10.44,10.48,10.43,10.48,9220
2018-08-28,10.43,10.48,10.37,10.46,39120
2018-08-29,10.38,10.48,10.37,10.48,14310
2018-08-30,10.46,10.51,10.4,10.5,15540
2018-08-31,10.5,10.51,10.46,10.5,7740
2018-09-04,10.47,10.51,10.4,10.46,16740
2018-09-05,10.46,10.48,10.43,10.47,10210
2018-09-06,10.46,10.5,10.43,10.43,8250
2018-09-07,10.43,10.46,10.43,10.46,4480
2018-09-10,10.47,10.57,10.46,10.51,59360
2018-09-11,10.46,10.46,10.4,10.46,9990
2018-09-12,10.43,10.48,10.43,10.46,7330
2018-09-13,10.43,10.46,10.37,10.46,13560
2018-09-14,10.46,10.48,10.4,10.48,8930
2018-09-17,10.48,10.51,10.43,10.5,31660
2018-09-18,10.51,10.6,10.5,10.6,83100
2018-09-19,10.54,10.63,10.51,10.54,52630
2018-09-20,10.8,10.8,10.57,10.71,6160
2018-09-21,10.65,10.71,10.51,10.71,49260
2018-09-24,10.7,10.7,10.57,10.68,16570
2018-09-25,10.74,10.77,10.68,10.74,31110
2018-09-26,10.74,10.74,10.71,10.73,16810
2018-09-27,10.83,10.83,10.65,10.7,21200
2018-09-28,10.68,10.83,10.68,10.71,36750
2018-10-01,10.71,10.85,10.71,10.83,25690
2018-10-02,10.8,10.88,10.8,10.88,37450
2018-10-03,10.81,10.88,10.8,10.85,22060
2018-10-04,10.85,11.1,10.85,11.1,77010
2018-10-05,11.02,11.11,11.02,11.1,6790
2018-10-08,11.1,11.1,10.94,11.04,6320
2018-10-09,11.02,11.02,10.88,11.0,25870
2018-10-10,10.94,11.05,10.88,11.0,17610
2018-10-11,10.88,10.88,10.6,10.65,27900
2018-10-12,10.65,10.74,10.51,10.68,40050
2018-10-15,11.05,11.05,10.8,11.02,81530
2018-10-16,11.02,11.05,10.97,10.97,43690
2018-10-17,10.97,11.08,10.94,11.05,49630
2018-10-18,11.05,11.11,11.0,11.08,25750
2018-10-19,11.0,11.02,10.97,10.98,20330
2018-10-22,11.05,11.05,10.8,10.88,124530
2018-10-23,10.8,10.8,10.68,10.74,105780
2018-10-24,10.89,10.89,10.77,10.8,31950
2018-10-25,10.22,10.59,10.22,10.48,31930
2018-10-26,10.8,10.83,10.4,10.46,4590
2018-10-29,10.49,10.49,10.31,10.31,21960
2018-10-30,10.31,10.34,10.26,10.26,14840
2018-10-31,10.28,10.31,10.18,10.18,40570
2018-11-01,10.25,10.25,10.15,10.15,14530
2018-11-02,10.49,10.49,10.18,10.28,11300
2018-11-05,10.28,10.43,10.18,10.4,6460
2018-11-06,10.4,10.52,10.28,10.4,9130
2018-11-07,10.4,10.4,10.32,10.32,2680
2018-11-08,10.4,10.4,10.31,10.34,14530
2018-11-09,10.34,10.34,10.26,10.26,10860
2018-11-12,10.28,10.28,10.22,10.26,12000
2018-11-13,10.22,10.22,10.18,10.18,15110
2018-11-14,10.28,10.28,10.17,10.18,26760
2018-11-15,10.8,10.89,10.8,10.89,164440
2018-11-16,10.94,10.94,10.83,10.85,29620
2018-11-19,10.85,11.02,10.85,10.86,10250
2018-11-20,10.85,10.86,10.77,10.82,35050
2018-11-21,10.82,10.82,10.79,10.8,13050
2018-11-22,10.8,10.86,10.8,10.85,21890
2018-11-23,10.82,10.88,10.8,10.86,45840
2018-11-26,10.86,10.86,10.8,10.8,51260
2018-11-27,10.8,10.82,10.77,10.8,21030
2018-11-28,10.8,10.85,10.8,10.8,28990
2018-11-29,10.8,10.85,10.79,10.79,23060
2018-11-30,10.83,10.83,10.79,10.83,43420
2018-12-03,10.96,11.14,10.96,11.11,138540
2018-12-04,11.13,11.2,11.11,11.16,143490
2018-12-05,11.16,11.16,10.96,11.11,117280
2018-12-06,11.11,11.11,10.89,11.11,119340
2018-12-07,11.11,11.11,10.91,11.1,153260
2018-12-10,11.11,11.19,11.1,11.14,26850
2018-12-11,11.14,11.2,11.11,11.2,64910
2018-12-12,11.23,11.31,11.2,11.31,65620
2018-12-13,11.31,11.34,11.23,11.34,61980
2018-12-14,11.36,11.45,11.36,11.42,55140
2018-12-17,11.45,11.59,11.42,11.5,106490
2018-12-18,11.43,11.51,11.33,11.45,95000
2018-12-19,11.45,11.5,11.42,11.47,75910
2018-12-20,11.48,11.48,11.39,11.47,80490
2018-12-21,11.47,11.47,11.24,11.41,43890
2018-12-24,11.33,11.4,11.29,11.33,38980
2018-12-25,10.74,11.31,10.74,10.95,47720
2018-12-26,10.95,10.95,10.72,10.9,39760
2018-12-27,10.95,11.14,10.95,10.96,20380
2018-12-28,11.05,11.05,10.9,11.0,20520
2019-01-02,11.0,11.14,10.91,10.91,7100
2019-01-03,10.91,11.02,10.9,11.0,27610
2019-01-04,10.98,11.07,10.9,11.05,24900
2019-01-07,11.26,11.26,11.0,11.0,6840
2019-01-08,11.0,11.0,10.79,11.0,78700
2019-01-09,11.0,11.24,10.96,11.07,26890
2019-01-10,11.1,11.14,10.96,10.96,45410
2019-01-11,11.07,11.28,11.07,11.17,39950
2019-01-14,11.17,11.33,11.17,11.28,64170
2019-01-15,11.34,11.54,11.28,11.45,87920
2019-01-16,11.5,11.52,11.34,11.48,40100
2019-01-17,11.38,11.59,11.36,11.57,31130
2019-01-18,11.57,11.93,11.48,11.93,263460
2019-01-21,11.93,12.37,11.93,12.35,254190
