time,open,high,low,close,volume
2018-01-02,30.88,30.88,28.59,29.7,18630
2018-01-03,28.89,29.55,28.89,29.33,109310
2018-01-04,29.33,29.33,28.81,28.96,40440
2018-01-05,28.96,30.29,28.96,29.22,33410
2018-01-08,29.55,30.59,29.55,30.51,141830
2018-01-09,30.51,30.81,30.29,30.51,58260
2018-01-10,30.59,30.66,30.14,30.51,63770
2018-01-11,30.29,31.25,29.55,31.25,136950
2018-01-12,31.25,32.73,31.25,32.65,123290
2018-01-15,32.51,32.58,31.92,32.43,33430
2018-01-16,32.51,32.51,31.14,31.14,64630
2018-01-17,31.14,31.14,29.77,30.25,141020
2018-01-18,28.45,31.36,28.45,29.52,42780
2018-01-19,29.91,30.06,29.29,29.29,75330
2018-01-22,29.06,29.98,27.76,27.99,80780
2018-01-23,27.99,27.99,27.99,27.99,0
2018-01-24,27.99,27.99,27.99,27.99,0
2018-01-25,27.99,28.07,26.92,26.92,139390
2018-01-26,26.92,27.45,26.92,27.15,83810
2018-01-29,27.45,27.45,26.3,26.38,60440
2018-01-30,26.38,27.22,26.15,26.61,101890
2018-01-31,27.11,27.11,26.38,26.61,53950
2018-02-01,26.46,26.99,26.15,26.15,56730
2018-02-02,26.69,26.99,26.07,26.3,19230
2018-02-05,25.96,26.69,25.46,25.65,33150
2018-02-06,24.08,26.84,24.04,24.69,84040
2018-02-07,26.07,26.42,24.69,25.0,49100
2018-02-08,26.23,26.23,24.54,24.62,64570
2018-02-09,23.01,25.69,23.01,24.58,28000
2018-02-12,25.31,26.0,24.92,25.31,22310
2018-02-13,25.11,26.46,25.11,25.69,9210
2018-02-21,26.3,26.38,25.92,26.26,30150
2018-02-22,26.26,26.8,26.26,26.46,18350
2018-02-23,26.76,26.84,26.07,26.76,17900
2018-02-26,26.84,27.3,26.84,27.07,25010
2018-02-27,27.07,27.22,26.3,26.49,16620
2018-02-28,26.38,26.84,26.15,26.69,33580
2018-03-01,26.53,27.45,26.53,27.38,73710
2018-03-02,26.84,29.26,26.84,28.91,161530
2018-03-05,29.06,29.91,28.76,28.76,135710
2018-03-06,28.76,29.75,28.45,28.83,23180
2018-03-07,29.06,29.14,27.99,28.22,46660
2018-03-08,27.8,28.68,27.68,27.68,19780
2018-03-09,27.68,28.83,27.68,28.53,52900
2018-03-12,29.03,29.03,27.91,28.37,44030
2018-03-13,28.37,28.37,28.14,28.22,47560
2018-03-14,28.18,28.68,27.95,28.22,34920
2018-03-15,28.76,28.76,27.61,28.07,36420
2018-03-16,28.45,28.45,27.8,28.34,26640
2018-03-19,28.6,28.76,27.76,27.84,28590
2018-03-20,28.45,28.45,27.61,28.3,40850
2018-03-21,28.37,28.37,27.61,27.95,77180
2018-03-22,27.68,27.76,27.45,27.45,43110
2018-03-23,27.99,27.99,26.84,27.38,24750
2018-03-26,27.61,27.61,26.53,26.84,56600
2018-03-27,27.53,27.53,26.46,26.69,37770
2018-03-28,26.69,26.69,26.38,26.69,33660
2018-03-29,27.65,27.65,26.45,26.93,41430
2018-03-30,26.93,26.93,26.05,26.21,60690
2018-04-02,26.29,26.85,26.21,26.37,48260
2018-04-03,26.45,26.81,25.72,26.53,25560
2018-04-04,25.64,28.37,25.64,28.37,110220
2018-04-05,29.09,29.41,28.45,29.17,66640
2018-04-06,29.17,29.25,28.05,28.61,20330
2018-04-09,28.37,28.65,28.17,28.61,23340
2018-04-10,28.61,28.61,28.21,28.29,34030
