time,open,high,low,close,volume
2022-07-19,19.5,19.5,15.33,16.67,578600
2022-07-20,16.67,16.75,16.42,16.67,240931
2022-07-21,16.67,16.67,15.42,15.92,188500
2022-07-22,15.17,15.33,14.58,14.92,153400
2022-07-25,14.67,15.0,13.67,14.08,253800
2022-07-26,13.92,14.17,13.75,14.17,143700
2022-07-27,13.83,15.17,13.83,14.42,112855
2022-07-28,14.5,14.83,14.5,14.75,291200
2022-07-29,14.75,15.33,14.58,15.33,316300
2022-08-01,15.42,15.67,15.25,15.58,356516
2022-08-02,15.58,15.92,15.08,15.83,542236
2022-08-03,15.17,15.83,15.17,15.5,273900
2022-08-04,15.42,15.83,15.33,15.58,370700
2022-08-05,15.25,15.67,15.08,15.25,239800
2022-08-08,15.42,15.67,15.0,15.17,187502
2022-08-09,15.17,15.25,14.92,15.17,151000
2022-08-10,15.0,15.08,14.92,14.92,190100
2022-08-11,15.0,15.25,14.67,14.83,173000
2022-08-12,14.83,15.08,14.67,15.0,168508
2022-08-15,15.08,15.33,14.83,15.0,134900
2022-08-16,14.92,15.17,14.75,15.0,165200
2022-08-17,14.92,15.08,14.75,14.92,140900
2022-08-18,14.83,15.0,14.75,14.83,169900
2022-08-19,14.92,15.0,14.67,14.83,212501
2022-08-22,14.75,14.92,14.58,14.58,218700
2022-08-23,14.33,14.83,14.17,14.58,197600
2022-08-24,14.58,14.83,14.42,14.67,218600
2022-08-25,14.67,14.92,14.42,14.67,181800
2022-08-26,14.67,15.5,14.33,15.25,544100
2022-08-29,15.0,15.42,14.92,15.17,800700
2022-08-30,15.17,15.33,14.83,15.08,565300
2022-08-31,15.08,15.25,15.0,15.0,463709
2022-09-05,14.92,15.25,14.83,15.0,150100
2022-09-06,14.92,15.25,14.92,15.08,241400
2022-09-07,15.08,15.17,14.83,15.0,197300
2022-09-08,14.83,15.17,14.83,14.92,176700
2022-09-09,14.83,15.08,14.58,14.92,190400
2022-09-12,14.92,15.08,14.67,14.92,156300
2022-09-13,14.75,15.0,14.75,14.92,177700
2022-09-14,14.75,14.92,14.58,14.83,147800
2022-09-15,14.75,14.92,14.67,14.75,127500
2022-09-16,14.67,14.75,14.5,14.58,114100
2022-09-19,14.75,14.75,14.33,14.5,182000
2022-09-20,14.58,14.67,14.33,14.67,150612
