time,open,high,low,close,volume
2018-01-02,33.84,33.89,32.9,33.42,2340
2018-01-03,33.37,33.68,33.37,33.68,430
2018-01-04,33.16,33.84,33.16,33.84,2450
2018-01-05,33.94,35.25,33.42,33.42,340
2018-01-08,34.15,34.15,33.21,33.89,140
2018-01-09,34.1,34.1,33.99,33.99,2520
2018-01-10,33.42,33.94,33.42,33.42,2690
2018-01-11,33.16,33.16,32.38,32.9,8890
2018-01-12,33.11,33.16,32.64,33.16,960
2018-01-15,34.1,34.1,32.43,33.32,2090
2018-01-16,33.58,33.58,32.38,33.42,14970
2018-01-17,33.42,33.42,32.58,33.32,2830
2018-01-18,32.9,32.9,32.64,32.9,510
2018-01-19,32.38,32.64,31.85,32.48,5510
2018-01-22,32.48,32.48,31.85,32.32,4460
2018-01-23,32.32,32.32,32.32,32.32,0
2018-01-24,32.32,32.32,32.32,32.32,0
2018-01-25,32.79,32.79,31.33,32.32,11900
2018-01-26,31.38,32.27,31.12,31.23,2440
2018-01-29,31.23,32.06,30.86,31.91,4530
2018-01-30,31.17,32.22,31.17,32.22,3090
2018-01-31,32.22,33.89,29.97,33.89,9010
2018-02-01,32.69,33.32,31.54,32.64,3770
2018-02-02,32.64,32.64,32.64,32.64,50
2018-02-05,32.48,32.74,31.44,32.11,1290
2018-02-06,30.34,32.9,30.34,31.8,970
2018-02-07,32.27,32.9,31.8,31.85,1460
2018-02-08,31.8,32.64,29.66,31.75,5790
2018-02-09,29.66,31.07,29.66,31.07,1590
2018-02-12,29.87,32.85,29.87,32.85,3400
2018-02-13,31.33,32.85,31.33,32.85,1640
2018-02-21,32.38,32.38,32.38,32.38,430
2018-02-22,32.27,32.64,32.27,32.53,19360
2018-02-23,32.64,33.89,32.64,32.79,450
2018-02-26,32.79,32.79,32.38,32.38,520
2018-02-27,31.91,34.41,31.91,34.41,2850
2018-02-28,33.0,33.73,33.0,33.58,2070
2018-03-01,33.37,33.42,31.85,31.85,1150
2018-03-02,33.37,33.37,33.32,33.32,210
2018-03-05,33.37,33.37,32.53,32.9,160
2018-03-06,32.9,32.9,32.9,32.9,30
2018-03-07,31.85,31.85,31.64,31.64,3830
2018-03-08,31.64,31.64,31.64,31.64,20
2018-03-09,31.85,32.9,31.85,32.85,170
2018-03-12,31.85,32.85,31.85,32.38,330
2018-03-13,32.85,32.85,32.69,32.69,80
2018-03-14,31.54,32.64,31.38,32.53,420
2018-03-15,31.49,32.01,31.49,32.01,250
2018-03-16,32.01,32.01,31.17,31.96,620
2018-03-19,32.11,32.32,31.33,32.22,900
2018-03-20,31.85,32.32,31.85,31.91,840
2018-03-21,32.27,32.32,31.64,32.17,210
2018-03-22,32.17,32.17,32.17,32.17,170
2018-03-23,31.38,31.96,30.81,31.96,1670
2018-03-26,31.33,31.8,31.33,31.8,60
2018-03-27,31.54,31.75,31.54,31.59,760
2018-03-28,31.59,32.74,31.59,31.59,420
2018-03-29,31.8,31.8,31.44,31.44,570
2018-03-30,31.8,31.8,31.8,31.8,280
2018-04-02,31.8,32.53,31.33,32.53,700
2018-04-03,30.91,32.53,30.86,32.53,1530
2018-04-04,31.33,32.43,31.33,32.43,750
2018-04-05,32.43,32.43,32.43,32.43,0
2018-04-06,31.8,32.27,31.8,32.27,730
2018-04-09,32.32,32.32,32.11,32.27,640
2018-04-10,32.27,32.27,32.27,32.27,10
2018-04-11,32.27,32.27,32.27,32.27,60
2018-04-12,32.27,32.27,32.27,32.27,60
2018-04-13,32.38,32.38,30.81,31.33,2170
2018-04-16,32.27,32.27,32.27,32.27,60
2018-04-17,31.33,32.22,31.33,32.22,940
2018-04-18,30.65,32.01,30.29,32.01,1710
2018-04-19,30.39,31.44,30.29,31.28,630
2018-04-20,31.7,31.7,30.29,31.54,1760
2018-04-23,30.29,31.02,30.29,31.02,1310
2018-04-24,30.18,30.91,30.03,30.29,1590
2018-04-26,30.29,30.29,29.76,29.87,4200
2018-04-27,29.87,29.87,29.87,29.87,280
2018-05-02,28.77,29.71,28.77,29.71,80
2018-05-03,29.92,29.92,29.71,29.71,530
2018-05-04,29.71,29.71,29.71,29.71,100
2018-05-07,29.97,30.81,29.35,30.13,480
2018-05-08,29.76,29.76,28.98,29.76,540
2018-05-09,29.76,29.76,29.03,29.03,380
2018-05-10,28.72,29.03,28.72,28.98,5600
2018-05-11,28.72,28.98,28.2,28.72,760
2018-05-14,27.99,28.72,27.99,28.72,170
2018-05-15,27.68,28.67,27.15,28.67,5310
2018-05-16,27.52,28.62,27.31,27.41,5130
2018-05-17,27.31,27.31,27.15,27.26,5930
2018-05-18,25.56,26.94,25.56,26.84,3870
2018-05-21,26.84,26.84,25.59,26.74,1000
2018-05-22,25.59,26.16,25.59,26.11,940
2018-05-23,26.11,26.11,25.22,25.64,1370
2018-05-24,26.37,26.37,25.33,25.59,11130
2018-05-25,25.59,25.59,25.56,25.59,2070
2018-05-28,25.59,25.59,24.54,25.43,1590
2018-05-29,25.33,25.43,24.86,25.07,4160
