time,open,high,low,close,volume
2018-10-18,3.3,3.3,3.3,3.3,1800
2018-10-19,3.53,3.53,3.53,3.53,2200
2018-10-22,3.77,3.77,3.77,3.77,2800
2018-10-23,4.03,4.03,4.03,4.03,3200
2018-10-24,4.31,4.31,4.31,4.31,3700
2018-10-25,4.6,4.6,4.6,4.6,800
2018-10-26,4.93,4.93,4.93,4.93,19500
2018-10-29,5.27,5.27,5.27,5.27,11200
2018-10-30,5.64,5.64,5.64,5.64,10200
2018-10-31,6.02,6.02,6.02,6.02,10500
2018-11-01,6.44,6.44,6.44,6.44,13610
2018-11-02,6.88,6.88,6.88,6.88,16600
2018-11-05,7.36,7.36,7.36,7.36,38600
2018-11-06,7.88,7.88,7.88,7.88,86870
2018-11-07,8.43,8.43,8.42,8.42,358700
2018-11-08,8.25,8.32,8.18,8.32,77250
2018-11-09,8.13,8.3,7.97,8.13,94040
2018-11-12,8.09,8.61,8.09,8.48,110590
2018-11-13,8.29,8.48,8.26,8.3,103310
2018-11-14,8.2,8.7,8.18,8.27,94280
2018-11-15,8.22,8.36,8.02,8.18,122210
2018-11-16,8.11,8.41,8.11,8.41,73460
2018-11-19,8.29,8.52,8.26,8.36,80460
2018-11-20,8.2,8.41,8.18,8.27,76790
2018-11-21,8.09,8.25,8.04,8.13,77530
2018-11-22,8.13,8.48,8.09,8.34,84560
2018-11-23,8.27,8.61,8.2,8.38,112660
2018-11-26,8.32,8.6,8.29,8.59,127760
2018-11-27,8.66,9.07,8.45,8.73,114620
2018-11-28,8.59,8.75,8.43,8.68,135880
2018-11-29,8.54,8.7,8.41,8.5,124920
2018-11-30,8.45,8.48,8.3,8.46,100060
2018-12-03,8.36,8.92,8.36,8.82,107730
2018-12-04,8.82,8.89,8.59,8.68,89790
2018-12-05,8.59,8.7,8.52,8.6,93080
2018-12-06,8.59,8.61,8.43,8.52,85200
2018-12-07,8.41,8.54,8.34,8.53,90240
2018-12-10,8.42,8.48,8.34,8.42,86510
2018-12-11,8.34,8.42,8.32,8.38,80490
2018-12-12,8.36,8.4,8.25,8.38,75340
2018-12-13,8.38,8.43,8.35,8.41,81630
2018-12-14,8.36,8.37,8.32,8.37,81190
2018-12-17,8.35,8.4,8.3,8.37,87800
2018-12-18,8.34,8.41,8.29,8.37,84140
2018-12-19,8.32,8.34,8.26,8.34,97400
2018-12-20,8.29,8.35,8.29,8.34,77710
2018-12-21,8.32,8.32,8.25,8.3,75730
2018-12-24,8.26,8.29,8.25,8.28,75900
2018-12-25,8.22,8.25,8.18,8.25,84100
2018-12-26,8.2,8.27,8.2,8.26,76440
2018-12-27,8.25,8.34,8.24,8.34,76750
2018-12-28,8.36,8.44,8.32,8.43,80510
2019-01-02,8.38,8.46,8.38,8.44,82010
2019-01-03,8.36,8.44,8.36,8.36,60760
2019-01-04,8.32,8.4,8.27,8.37,70050
2019-01-07,8.36,8.41,8.27,8.37,70500
