time,open,high,low,close,volume
2018-01-02,6.44,6.44,6.29,6.34,28336
2018-01-03,6.39,6.5,6.34,6.5,37710
2018-01-04,6.5,6.76,6.5,6.5,16400
2018-01-05,6.65,6.65,6.44,6.55,24500
2018-01-08,6.44,6.5,6.44,6.44,22400
2018-01-09,6.5,6.65,6.5,6.5,77100
2018-01-10,6.55,6.55,6.5,6.5,30100
2018-01-11,6.55,6.55,6.44,6.5,15850
2018-01-12,6.5,6.5,6.39,6.39,24300
2018-01-15,6.5,6.5,6.44,6.44,35300
2018-01-16,6.44,6.5,6.39,6.44,23400
2018-01-17,6.39,6.44,6.29,6.44,58400
2018-01-18,6.5,6.5,6.5,6.5,100
2018-01-19,6.5,6.5,6.44,6.44,1400
2018-01-22,6.39,6.44,6.34,6.44,33600
2018-01-23,6.39,6.7,6.39,6.55,25000
2018-01-24,6.55,6.65,6.44,6.44,28700
2018-01-25,6.5,6.5,6.39,6.39,23800
2018-01-26,6.39,6.44,6.24,6.39,91000
2018-01-29,6.34,6.39,6.29,6.39,11200
2018-01-30,6.44,6.5,6.39,6.5,28700
2018-01-31,6.5,6.55,6.44,6.5,58200
2018-02-01,6.34,6.44,6.29,6.39,22900
2018-02-02,6.44,6.7,6.29,6.5,73500
2018-02-05,6.5,6.5,6.24,6.24,47400
2018-02-06,6.13,6.13,5.4,5.92,55700
2018-02-07,6.13,6.13,5.82,5.92,23400
2018-02-08,5.82,5.92,5.82,5.82,18650
2018-02-09,6.34,6.34,5.77,5.87,17500
2018-02-12,6.13,6.5,6.13,6.44,21700
2018-02-13,6.39,6.76,6.39,6.7,96100
2018-02-21,6.55,6.7,6.5,6.6,18900
2018-02-22,6.65,6.86,6.65,7.02,96900
2018-02-23,7.07,7.22,6.65,6.76,96400
2018-02-26,6.91,6.91,6.5,6.6,96100
2018-02-27,6.65,7.28,6.65,7.17,260300
2018-02-28,7.22,7.33,7.12,7.22,81200
2018-03-01,7.33,7.69,7.17,7.17,112700
2018-03-02,6.81,7.28,6.81,6.96,30800
2018-03-05,6.86,7.12,6.81,7.12,69300
2018-03-06,6.91,7.17,6.7,7.02,54700
2018-03-07,6.91,6.91,6.91,6.91,5100
2018-03-08,6.86,6.91,6.81,6.91,48400
2018-03-09,6.91,7.02,6.86,6.86,37500
2018-03-12,6.91,6.96,6.86,6.91,49500
2018-03-13,7.22,7.22,6.91,6.91,65100
2018-03-14,6.91,6.91,6.86,6.86,35300
2018-03-15,6.96,6.96,6.76,6.91,25800
2018-03-16,6.91,6.91,6.86,6.86,38500
2018-03-19,6.86,6.96,6.86,6.96,49900
2018-03-20,6.86,7.02,6.86,6.96,28190
2018-03-21,7.12,7.9,7.12,7.69,447080
2018-03-22,8.0,8.0,7.64,7.69,104950
2018-03-23,7.64,7.85,7.54,7.79,196200
2018-03-26,7.64,7.95,7.43,7.48,47120
2018-03-27,7.43,7.54,6.76,7.38,44450
2018-03-28,7.12,7.43,6.96,7.43,39900
2018-03-29,7.02,7.28,6.91,7.02,22500
2018-03-30,7.07,7.28,6.91,6.91,21200
2018-04-02,7.02,7.07,6.96,7.07,47800
2018-04-03,7.02,7.07,6.96,7.07,31000
2018-04-04,7.07,7.12,7.02,7.07,50100
2018-04-05,7.12,7.22,7.07,7.22,44650
2018-04-06,7.07,7.12,7.07,7.12,23220
