time,open,high,low,close,volume
2018-01-02,5.94,5.94,5.94,5.94,0
2018-01-03,5.94,5.94,5.94,5.94,0
2018-01-04,5.94,5.94,5.94,5.94,0
2018-01-05,5.94,5.94,5.94,5.94,0
2018-01-08,5.94,5.94,5.94,5.94,0
2018-01-09,6.82,6.82,6.28,6.28,1000
2018-01-10,6.41,6.41,6.41,6.41,6000
2018-01-11,6.41,6.41,6.41,6.41,74
2018-01-12,6.41,6.41,6.41,6.41,0
2018-01-15,6.41,6.41,6.41,6.41,0
2018-01-16,6.05,6.05,6.05,6.05,1100
2018-01-17,6.79,6.79,6.79,6.79,100
2018-01-18,6.79,6.79,6.79,6.79,0
2018-01-19,6.79,6.79,6.79,6.79,0
2018-01-22,6.79,6.79,6.79,6.79,0
2018-01-23,6.79,6.79,6.79,6.79,0
2018-01-24,6.41,6.43,6.41,6.41,7400
2018-01-25,6.41,6.41,6.41,6.41,3400
2018-01-26,6.41,6.41,6.41,6.41,33
2018-01-29,6.41,6.41,6.41,6.41,0
2018-01-30,6.41,6.41,6.41,6.41,13
2018-01-31,6.41,6.41,6.41,6.41,0
2018-02-01,6.76,6.76,6.76,6.76,100
2018-02-02,6.76,6.76,6.76,6.76,0
2018-02-05,6.76,6.76,6.76,6.76,0
2018-02-06,6.76,6.76,6.76,6.76,0
2018-02-07,6.41,6.41,6.41,6.41,3500
2018-02-08,6.41,6.41,6.41,6.41,100
2018-02-09,6.41,6.41,6.41,6.41,0
2018-02-12,6.41,6.41,6.41,6.41,0
2018-02-13,6.41,6.41,6.41,6.41,0
2018-02-21,6.41,6.41,6.41,6.41,0
2018-02-22,6.41,6.41,6.41,6.41,0
2018-02-23,6.41,6.41,6.41,6.41,0
2018-02-26,6.41,6.41,6.41,6.41,0
2018-02-27,6.41,6.41,6.41,6.41,0
2018-02-28,6.66,6.66,6.66,6.66,100
2018-03-01,6.43,6.43,6.43,6.43,100
2018-03-02,6.43,6.43,6.43,6.43,0
2018-03-05,6.43,6.43,6.43,6.43,0
2018-03-06,6.43,6.43,6.43,6.43,0
2018-03-07,6.43,6.43,6.43,6.43,0
2018-03-08,6.43,6.43,6.43,6.43,0
2018-03-09,6.43,6.43,6.43,6.43,0
2018-03-12,6.43,6.43,6.43,6.43,0
2018-03-13,6.43,6.43,6.43,6.43,0
2018-03-14,6.43,6.43,6.43,6.43,0
2018-03-15,6.43,6.43,6.43,6.43,0
2018-03-16,6.41,6.43,6.41,6.41,7887
2018-03-19,6.41,6.41,6.41,6.41,15
2018-03-20,6.41,6.41,6.41,6.41,0
2018-03-21,6.69,6.69,6.69,6.69,100
2018-03-22,6.69,6.69,6.69,6.69,0
2018-03-23,6.69,6.69,6.69,6.69,0
2018-03-26,6.69,6.69,6.69,6.69,0
2018-03-27,6.69,6.69,6.69,6.69,0
2018-03-28,6.69,6.69,6.69,6.69,0
2018-03-29,6.69,6.69,6.69,6.69,0
2018-03-30,6.82,6.82,6.82,6.82,100
2018-04-02,6.87,6.87,6.87,6.87,500
2018-04-03,6.87,6.87,6.87,6.87,80
2018-04-04,6.87,6.87,6.87,6.87,0
2018-04-05,6.87,6.87,6.87,6.87,0
2018-04-06,6.41,6.41,6.15,6.15,3106
2018-04-09,6.41,6.41,6.41,6.41,0
2018-04-10,6.84,6.84,6.66,6.66,600
2018-04-11,6.82,6.82,6.82,6.82,0
2018-04-12,6.41,6.41,6.41,6.41,100
2018-04-13,6.41,6.41,6.41,6.41,0
2018-04-16,6.41,6.41,6.41,6.41,0
2018-04-17,6.41,6.41,6.41,6.41,0
2018-04-18,6.41,6.41,6.41,6.41,0
2018-04-19,6.66,6.66,6.66,6.66,500
2018-04-20,6.66,6.66,6.66,6.66,1000
2018-04-23,6.66,6.66,6.66,6.66,0
2018-04-24,6.66,6.66,6.66,6.66,0
2018-04-26,6.66,6.66,6.66,6.66,0
2018-04-27,6.87,6.87,6.61,6.61,300
2018-05-02,6.71,6.71,6.71,6.71,0
2018-05-03,6.71,6.71,6.71,6.71,0
2018-05-04,7.05,7.05,7.05,7.05,3700
2018-05-07,7.07,7.07,7.07,7.07,120
2018-05-08,7.12,7.12,7.12,7.12,300
2018-05-09,7.47,7.47,7.47,7.47,100
2018-05-10,7.47,7.47,7.47,7.47,0
2018-05-11,7.47,7.47,7.44,7.44,2700
2018-05-14,7.44,7.44,7.44,7.44,0
2018-05-15,7.44,7.44,7.44,7.44,0
2018-05-16,7.44,7.44,7.44,7.44,0
2018-05-17,7.44,7.44,7.44,7.44,0
2018-05-18,7.44,7.44,7.44,7.44,0
2018-05-21,7.44,7.44,7.44,7.44,0
2018-05-22,7.12,7.12,7.12,7.12,500
2018-05-23,7.12,7.12,7.12,7.12,0
2018-05-24,7.12,7.12,7.12,7.12,0
2018-05-25,7.04,7.04,7.04,7.04,200
2018-05-28,6.09,6.09,6.03,6.03,500
2018-05-29,6.03,6.89,6.03,6.89,3510
2018-05-30,6.95,6.95,6.75,6.75,200
2018-05-31,6.87,6.87,6.87,6.87,0
2018-06-01,6.95,6.95,6.95,6.95,64200
2018-06-04,6.95,6.95,6.95,6.95,32
2018-06-05,6.95,6.95,6.95,6.95,223
2018-06-06,6.95,6.95,6.95,6.95,51120
2018-06-07,6.95,6.95,6.95,6.95,8211
2018-06-08,6.92,6.92,6.92,6.92,100
2018-06-11,6.92,6.92,6.92,6.92,0
2018-06-12,6.38,6.38,6.38,6.38,142
2018-06-13,6.38,6.38,6.38,6.38,0
2018-06-14,6.38,6.38,6.38,6.38,0
2018-06-15,6.38,6.38,6.38,6.38,100
2018-06-18,6.32,6.32,6.32,6.32,500
2018-06-19,6.32,6.32,6.32,6.32,0
2018-06-20,6.32,6.32,6.32,6.32,0
2018-06-21,7.27,7.27,7.27,7.27,100
2018-06-22,8.33,8.33,8.33,8.33,100
2018-06-25,8.33,8.33,8.33,8.33,0
2018-06-26,7.09,7.09,7.09,7.09,200
2018-06-27,7.09,7.09,7.09,7.09,0
2018-06-28,7.09,7.09,7.09,7.09,0
2018-06-29,7.09,7.09,7.09,7.09,0
2018-07-02,6.32,6.32,6.03,6.03,700
2018-07-03,6.06,6.06,6.06,6.06,0
2018-07-04,6.95,6.95,6.95,6.95,100
2018-07-05,7.99,7.99,6.95,6.95,216
2018-07-06,8.59,8.59,8.59,8.59,100
2018-07-09,8.59,8.59,8.59,8.59,0
2018-07-10,8.59,8.59,8.59,8.59,0
2018-07-11,8.59,8.59,8.59,8.59,0
2018-07-12,8.59,8.59,8.59,8.59,0
2018-07-13,9.85,9.85,7.32,7.32,200
2018-07-16,9.85,9.85,9.85,9.85,100
2018-07-17,9.85,9.85,9.85,9.85,0
2018-07-18,9.85,9.85,9.85,9.85,0
2018-07-19,8.39,8.39,8.39,8.39,100
2018-07-20,7.15,7.15,7.15,7.15,127
2018-07-23,7.76,7.76,7.76,7.76,105
2018-07-24,6.75,6.75,6.75,6.75,166
2018-07-25,6.81,6.81,6.81,6.81,100
