time,open,high,low,close,volume
2018-01-02,6.93,6.93,6.93,6.93,0
2018-01-03,6.93,6.93,6.93,6.93,0
2018-01-04,6.93,6.93,6.93,6.93,0
2018-01-05,6.93,6.93,6.93,6.93,0
2018-01-08,6.93,6.93,6.93,6.93,0
2018-01-09,6.93,6.93,6.93,6.93,0
2018-01-10,6.93,6.93,6.93,6.93,0
2018-01-11,6.93,6.93,6.93,6.93,0
2018-01-12,6.93,6.93,6.93,6.93,0
2018-01-15,6.93,6.93,6.93,6.93,0
2018-01-16,6.93,6.93,6.93,6.93,0
2018-01-17,6.93,6.93,6.93,6.93,0
2018-01-18,6.93,6.93,6.93,6.93,0
2018-01-19,6.93,6.93,6.93,6.93,0
2018-01-22,6.93,6.93,6.93,6.93,0
2018-01-23,5.93,5.93,5.93,5.93,500
2018-01-24,5.93,5.93,5.93,5.93,0
2018-01-25,5.93,5.93,5.93,5.93,0
2018-01-26,5.93,5.93,5.93,5.93,1520
2018-01-29,5.93,5.93,5.93,5.93,0
2018-01-30,5.93,5.93,5.93,5.93,0
2018-01-31,5.93,5.93,5.93,5.93,0
2018-02-01,5.93,5.93,5.93,5.93,0
2018-02-02,5.93,5.93,5.93,5.93,0
2018-02-05,5.93,5.93,5.93,5.93,0
2018-02-06,5.93,5.93,5.93,5.93,0
2018-02-07,5.93,5.93,5.93,5.93,0
2018-02-08,5.93,5.93,5.93,5.93,0
2018-02-09,5.93,5.93,5.93,5.93,0
2018-02-12,5.93,5.93,5.93,5.93,0
2018-02-13,5.93,5.93,5.93,5.93,0
2018-02-21,5.93,5.93,5.93,5.93,0
2018-02-22,5.93,5.93,5.93,5.93,0
2018-02-23,5.93,5.93,5.93,5.93,0
2018-02-26,5.93,5.93,5.93,5.93,0
2018-02-27,5.93,5.93,5.93,5.93,0
2018-02-28,5.93,5.93,5.93,5.93,0
2018-03-01,5.93,5.93,5.93,5.93,0
2018-03-02,5.93,5.93,5.93,5.93,0
2018-03-05,5.93,5.93,5.93,5.93,0
2018-03-06,5.93,5.93,5.93,5.93,0
2018-03-07,5.93,5.93,5.93,5.93,0
2018-03-08,5.93,5.93,5.93,5.93,0
2018-03-09,5.93,5.93,5.93,5.93,0
2018-03-12,6.81,6.81,6.81,6.81,100
2018-03-13,6.81,6.81,6.81,6.81,0
2018-03-14,6.81,6.81,6.81,6.81,0
2018-03-15,6.81,6.81,6.81,6.81,0
2018-03-16,6.81,6.81,6.81,6.81,0
2018-03-19,6.81,6.81,6.81,6.81,0
2018-03-20,6.81,6.81,6.81,6.81,0
2018-03-21,6.81,6.81,6.81,6.81,0
2018-03-22,6.81,6.81,6.81,6.81,0
2018-03-23,6.81,6.81,6.81,6.81,0
2018-03-26,6.81,6.81,6.81,6.81,0
2018-03-27,6.81,6.81,6.81,6.81,0
2018-03-28,6.81,6.81,6.81,6.81,0
2018-03-29,6.81,6.81,6.81,6.81,0
2018-03-30,6.81,6.81,6.81,6.81,0
2018-04-02,6.81,6.81,6.81,6.81,0
2018-04-03,6.81,6.81,6.81,6.81,0
2018-04-04,6.81,6.81,6.81,6.81,0
2018-04-05,6.81,6.81,6.81,6.81,0
2018-04-06,6.87,6.87,6.87,6.87,100
2018-04-09,6.87,6.87,6.87,6.87,0
2018-04-10,6.87,6.87,6.87,6.87,0
2018-04-11,6.87,6.87,6.87,6.87,0
2018-04-12,6.87,6.87,6.87,6.87,0
2018-04-13,6.87,6.87,6.87,6.87,0
2018-04-16,6.87,6.87,6.87,6.87,0
2018-04-17,6.87,6.87,6.87,6.87,0
2018-04-18,6.87,6.87,6.87,6.87,0
2018-04-19,6.87,6.87,6.87,6.87,0
2018-04-20,6.87,6.87,6.87,6.87,0
2018-04-23,6.87,6.87,6.87,6.87,0
2018-04-24,6.87,6.87,6.87,6.87,0
2018-04-26,6.87,6.87,6.87,6.87,0
2018-04-27,6.87,6.87,6.87,6.87,0
2018-05-02,6.87,6.87,6.87,6.87,2100
2018-05-03,6.87,6.87,6.87,6.87,400
2018-05-04,6.91,6.91,6.91,6.91,0
2018-05-07,6.91,6.91,6.91,6.91,0
2018-05-08,6.91,6.91,6.91,6.91,0
2018-05-09,6.91,6.91,6.91,6.91,0
2018-05-10,6.91,6.91,6.91,6.91,0
2018-05-11,6.91,6.91,6.91,6.91,0
2018-05-14,6.91,6.91,6.91,6.91,0
2018-05-15,6.91,6.91,6.91,6.91,0
2018-05-16,6.91,6.91,6.91,6.91,0
2018-05-17,6.91,6.91,6.91,6.91,0
2018-05-18,6.91,6.91,6.91,6.91,0
2018-05-21,6.91,6.91,6.91,6.91,0
2018-05-22,6.91,6.91,6.91,6.91,0
2018-05-23,6.91,6.91,6.91,6.91,0
2018-05-24,6.91,6.91,6.91,6.91,0
2018-05-25,6.91,6.91,6.91,6.91,0
2018-05-28,6.91,6.91,6.91,6.91,0
2018-05-29,6.91,6.91,6.91,6.91,0
2018-05-30,6.91,6.91,6.91,6.91,0
2018-05-31,6.91,6.91,6.91,6.91,0
2018-06-01,6.91,6.91,6.91,6.91,0
2018-06-04,6.91,6.91,6.91,6.91,200
2018-06-05,6.91,6.91,6.91,6.91,0
2018-06-06,6.91,6.91,6.91,6.91,0
