time,open,high,low,close,volume
2018-01-02,3.53,3.53,3.43,3.48,190470
2018-01-03,3.48,3.48,3.36,3.39,118010
2018-01-04,3.45,3.49,3.38,3.45,395370
2018-01-05,3.44,3.52,3.42,3.43,108700
2018-01-08,3.4,3.44,3.32,3.32,245580
2018-01-09,3.32,3.54,3.32,3.54,409820
2018-01-10,3.59,3.78,3.54,3.57,815920
2018-01-11,3.53,3.61,3.44,3.58,220590
2018-01-12,3.53,3.59,3.48,3.5,178220
2018-01-15,3.48,3.5,3.44,3.44,188440
2018-01-16,3.44,3.54,3.42,3.44,157550
2018-01-17,3.49,3.5,3.25,3.41,482220
2018-01-18,3.43,3.43,3.34,3.38,135130
2018-01-19,3.47,3.47,3.35,3.37,79000
2018-01-22,3.38,3.4,3.34,3.38,124930
2018-01-23,3.38,3.38,3.38,3.38,0
2018-01-24,3.38,3.38,3.38,3.38,0
2018-01-25,3.38,3.38,3.27,3.32,243750
2018-01-26,3.29,3.34,3.27,3.27,142580
2018-01-29,3.3,3.3,3.13,3.17,147140
2018-01-30,3.17,3.22,3.16,3.18,147400
2018-01-31,3.19,3.19,3.05,3.07,246370
2018-02-01,3.07,3.08,3.01,3.06,112780
2018-02-02,3.06,3.27,3.06,3.27,325380
2018-02-05,3.27,3.49,3.19,3.36,611700
2018-02-06,3.13,3.36,3.12,3.3,459760
2018-02-07,3.36,3.36,3.23,3.23,146130
2018-02-08,3.3,3.3,3.11,3.13,72290
2018-02-09,3.08,3.13,2.91,2.94,297500
2018-02-12,3.11,3.14,3.03,3.03,49780
2018-02-13,3.03,3.22,3.02,3.19,93960
2018-02-21,3.19,3.32,3.19,3.27,71080
2018-02-22,3.27,3.27,3.15,3.24,31870
2018-02-23,3.3,3.3,3.17,3.22,105270
2018-02-26,3.19,3.26,3.11,3.13,142940
2018-02-27,3.13,3.15,3.08,3.1,49490
2018-02-28,3.15,3.15,3.02,3.1,60190
2018-03-01,3.11,3.11,3.09,3.1,39240
