time,open,high,low,close,volume
2018-05-10,11.64,11.64,11.64,11.64,100
2018-05-11,12.43,12.43,12.43,12.43,500
2018-05-14,13.29,13.29,13.29,13.29,500
2018-05-15,14.11,14.2,14.11,14.2,300
2018-05-16,15.17,15.17,15.14,15.17,178780
2018-05-17,15.34,15.75,15.17,15.28,195340
2018-05-18,14.99,15.28,14.4,14.46,32250
2018-05-21,14.11,14.37,13.81,14.11,29590
2018-05-22,14.14,14.26,14.11,14.26,26050
2018-05-23,14.26,14.28,14.26,14.28,8580
2018-05-24,14.28,14.31,14.2,14.28,8410
2018-05-25,14.28,14.28,14.17,14.23,6350
2018-05-28,14.23,14.26,14.17,14.23,4410
2018-05-29,14.23,14.28,14.23,14.28,8960
2018-05-30,14.14,14.31,14.11,14.31,7460
2018-05-31,14.31,14.31,14.11,14.31,17630
2018-06-01,14.31,14.34,14.31,14.34,5570
2018-06-04,14.28,14.4,14.28,14.4,6140
2018-06-05,14.4,14.4,14.34,14.4,4490
2018-06-06,14.4,14.4,14.34,14.4,5090
2018-06-07,14.37,14.43,14.37,14.4,4070
2018-06-08,14.4,14.43,14.37,14.43,6910
2018-06-11,14.4,14.43,14.37,14.37,4580
2018-06-12,14.37,14.37,14.31,14.31,6120
2018-06-13,14.31,14.34,14.28,14.34,3440
2018-06-14,14.34,14.43,14.31,14.43,8660
2018-06-15,14.43,14.46,14.4,14.43,6250
2018-06-18,14.43,14.64,14.4,14.61,71940
2018-06-19,14.64,15.28,14.61,15.28,399690
2018-06-20,15.31,16.34,15.28,16.34,741720
2018-06-21,16.4,16.7,15.46,15.58,294350
2018-06-22,14.49,14.7,14.49,14.49,66970
2018-06-25,13.49,13.49,13.49,13.49,20
2018-06-26,12.55,12.55,12.55,12.55,30
2018-06-27,11.7,12.35,11.7,12.29,497570
2018-06-28,12.29,12.64,12.17,12.61,236030
2018-06-29,12.64,12.82,11.73,12.11,193730
2018-07-02,12.11,12.11,11.7,11.76,59740
2018-07-03,11.76,11.96,11.73,11.85,148070
2018-07-04,11.82,12.05,11.76,12.05,187520
2018-07-05,12.05,12.2,11.99,12.17,113120
2018-07-06,12.17,12.4,12.14,12.35,289980
