time,open,high,low,close,volume
2020-03-30,12.51,12.51,12.51,12.51,0
2020-03-31,12.51,12.51,12.51,12.51,0
2020-04-01,12.51,12.51,12.51,12.51,0
2020-04-03,12.51,12.51,12.51,12.51,0
2020-04-06,12.51,12.51,12.51,12.51,0
2020-04-07,12.51,12.51,12.51,12.51,0
2020-04-08,12.51,12.51,12.51,12.51,0
2020-04-09,12.51,12.51,12.51,12.51,0
2020-04-10,12.51,12.51,12.51,12.51,0
2020-04-13,12.51,12.51,12.51,12.51,0
2020-04-14,12.51,12.51,12.51,12.51,0
2020-04-15,12.51,12.51,12.51,12.51,0
2020-04-16,12.51,12.51,12.51,12.51,0
2020-04-17,12.51,12.51,12.51,12.51,0
2020-04-20,12.51,12.51,12.51,12.51,0
2020-04-21,12.51,12.51,12.51,12.51,0
2020-04-22,12.51,12.51,12.51,12.51,0
2020-04-23,12.51,12.51,12.51,12.51,0
2020-04-24,12.51,12.51,12.51,12.51,0
2020-04-27,12.51,12.51,12.51,12.51,0
2020-04-28,12.51,12.51,12.51,12.51,0
2020-04-29,12.51,12.51,12.51,12.51,0
2020-05-04,12.51,12.51,12.51,12.51,0
2020-05-05,12.51,12.51,12.51,12.51,0
2020-05-06,10.18,10.18,10.18,10.18,500
2020-05-07,10.91,10.91,10.91,10.91,6900
2020-05-08,10.91,10.91,10.91,10.91,0
2020-05-11,10.91,10.91,10.91,10.91,2000
2020-05-12,10.91,10.91,10.91,10.91,0
2020-05-13,10.91,10.91,10.91,10.91,0
2020-05-14,10.91,10.91,10.91,10.91,0
2020-05-15,10.91,10.91,10.91,10.91,0
2020-05-18,10.91,10.91,10.91,10.91,0
2020-05-19,10.91,10.91,10.91,10.91,0
2020-05-20,10.91,10.91,10.91,10.91,0
2020-05-21,9.31,9.31,9.31,9.31,100
2020-05-22,9.31,9.31,9.31,9.31,0
2020-05-25,9.31,9.31,9.31,9.31,0
2020-05-26,9.31,9.31,9.31,9.31,1900
2020-05-27,9.31,9.31,9.31,9.31,400
2020-05-28,9.31,9.31,9.31,9.31,0
2020-05-29,9.31,9.31,9.31,9.31,700
2020-06-01,9.31,9.31,9.31,9.31,800
2020-06-02,9.31,9.31,9.31,9.31,0
2020-06-03,9.31,9.31,9.31,9.31,1000
2020-06-04,9.31,9.31,9.31,9.31,0
2020-06-05,9.09,9.09,9.09,9.09,1000
2020-06-08,9.31,9.31,9.31,9.31,100
2020-06-09,9.71,9.71,9.71,9.71,100
2020-06-10,9.71,9.71,9.71,9.71,100
2020-06-11,9.71,9.71,9.71,9.71,1300
2020-06-12,9.71,9.71,9.71,9.71,300
2020-06-15,9.71,9.71,9.71,9.71,0
2020-06-16,9.71,9.71,9.71,9.71,0
2020-06-17,9.71,9.71,9.71,9.71,0
2020-06-18,9.71,9.71,9.71,9.71,0
2020-06-19,9.71,9.71,9.71,9.71,0
2020-06-22,9.71,9.71,9.71,9.71,0
2020-06-23,9.48,9.48,9.48,9.48,1000
2020-06-24,9.48,9.48,9.48,9.48,0
2020-06-25,9.48,9.48,9.48,9.48,0
2020-06-26,9.48,9.48,9.48,9.48,0
2020-06-29,9.48,9.48,9.11,9.11,1000
2020-06-30,9.11,9.11,9.11,9.11,900
2020-07-01,9.11,9.11,9.11,9.11,300
2020-07-02,9.11,9.11,9.11,9.11,0
2020-07-03,8.73,8.73,8.73,8.73,1000
2020-07-06,9.71,9.71,9.11,9.11,700
2020-07-07,9.18,9.11,9.11,9.11,0
2020-07-08,9.18,9.11,9.11,9.11,0
2020-07-09,9.18,9.11,9.11,9.11,0
2020-07-10,9.18,9.11,9.11,9.11,0
2020-07-13,9.11,9.11,9.11,9.11,200
2020-07-14,9.11,9.11,9.11,9.11,0
2020-07-15,10.47,10.47,10.47,10.47,100
2020-07-16,10.47,10.47,10.47,10.47,0
2020-07-17,10.47,10.47,10.47,10.47,0
2020-07-20,10.47,10.47,10.47,10.47,0
2020-07-21,10.47,10.47,10.47,10.47,0
2020-07-22,10.47,10.47,10.47,10.47,0
2020-07-23,10.47,10.47,10.47,10.47,0
2020-07-24,10.47,10.47,10.47,10.47,0
2020-07-27,8.95,8.95,8.95,8.95,4500
2020-07-28,8.95,8.95,8.95,8.95,0
2020-07-29,8.95,8.95,8.95,8.95,0
2020-07-30,8.95,8.95,8.95,8.95,0
2020-07-31,8.95,8.95,8.95,8.95,0
2020-08-03,8.95,8.95,8.95,8.95,0
2020-08-04,8.95,8.95,8.95,8.95,0
2020-08-05,8.95,8.95,8.95,8.95,0
2020-08-06,7.74,7.74,7.74,7.74,100
2020-08-07,7.74,7.74,7.74,7.74,0
2020-08-10,7.74,7.74,7.74,7.74,0
2020-08-11,7.74,7.74,7.74,7.74,0
2020-08-12,7.74,7.74,7.74,7.74,0
2020-08-13,7.74,7.74,7.74,7.74,0
2020-08-14,7.74,7.74,7.74,7.74,0
2020-08-17,7.74,7.74,7.74,7.74,0
2020-08-18,8.19,8.19,8.19,8.19,1000
2020-08-19,8.19,8.19,8.19,8.19,0
2020-08-20,8.19,8.19,8.19,8.19,0
2020-08-21,8.19,8.19,8.19,8.19,0
2020-08-24,8.19,8.19,8.19,8.19,0
2020-08-25,8.19,8.19,8.19,8.19,0
2020-08-26,8.19,8.19,8.19,8.19,0
2020-08-27,8.19,8.19,8.19,8.19,0
2020-08-28,8.19,8.19,8.19,8.19,0
