time,open,high,low,close,volume
2018-01-02,7.15,7.15,7.1,7.1,22420
2018-01-03,7.15,7.15,7.02,7.15,73060
2018-01-04,7.19,7.19,7.1,7.1,62930
2018-01-05,7.06,7.15,7.06,7.15,26660
2018-01-08,7.15,7.15,7.06,7.06,27980
2018-01-09,6.84,7.02,6.84,6.93,58780
2018-01-10,6.91,6.91,6.84,6.84,19670
2018-01-11,6.84,7.0,6.8,6.93,55540
2018-01-12,6.93,7.06,6.93,7.06,43660
2018-01-15,6.97,7.06,6.93,7.06,41530
2018-01-16,7.04,7.04,6.91,6.97,25130
2018-01-17,6.84,7.0,6.84,6.93,63190
2018-01-18,6.91,6.95,6.87,6.89,6980
2018-01-19,6.93,7.0,6.89,7.0,10630
2018-01-22,7.02,7.02,6.84,6.84,10260
2018-01-23,6.84,6.84,6.84,6.84,0
2018-01-24,6.84,6.84,6.84,6.84,0
2018-01-25,6.93,7.0,6.5,7.0,19460
2018-01-26,7.0,7.02,6.87,7.0,22610
2018-01-29,6.89,6.89,6.84,6.84,40850
2018-01-30,6.82,7.1,6.82,7.06,50760
2018-01-31,7.0,7.06,7.0,7.02,3830
2018-02-01,7.06,7.08,6.93,7.0,43520
2018-02-02,7.04,7.47,6.93,7.28,67450
2018-02-05,6.87,7.13,6.87,7.02,41910
2018-02-06,6.8,6.91,6.58,6.89,8470
2018-02-07,6.93,7.06,6.93,6.93,60650
2018-02-08,6.89,6.95,6.8,6.8,53350
2018-02-09,6.8,6.93,6.8,6.93,2830
2018-02-12,7.0,7.02,6.93,6.93,48960
2018-02-13,7.0,7.02,6.93,6.97,24620
2018-02-21,7.02,7.04,6.97,7.04,20460
2018-02-22,6.93,7.02,6.67,6.97,71910
2018-02-23,6.97,6.97,6.89,6.97,14400
2018-02-26,6.97,6.97,6.97,6.97,20030
2018-02-27,6.97,6.97,6.84,6.93,19110
2018-02-28,6.93,6.93,6.84,6.84,7680
2018-03-01,6.84,6.84,6.82,6.84,15990
2018-03-02,6.84,6.93,6.84,6.93,7810
2018-03-05,6.93,6.93,6.87,6.89,4380
2018-03-06,6.89,6.89,6.8,6.89,20220
