time,open,high,low,close,volume
2018-01-02,9.26,9.43,9.26,9.35,621890
2018-01-03,9.26,9.52,9.26,9.43,1745420
2018-01-04,9.52,9.52,9.26,9.35,1502263
2018-01-05,9.43,9.43,9.18,9.35,1284412
2018-01-08,9.35,9.43,9.18,9.26,945114
2018-01-09,9.35,9.86,9.18,9.77,4514187
2018-01-10,9.77,9.86,9.52,9.6,3302536
2018-01-11,9.6,9.94,9.6,9.94,3149971
2018-01-12,9.86,10.03,9.6,9.6,3323489
2018-01-15,9.6,9.94,9.43,9.77,2172529
2018-01-16,9.77,10.11,9.77,9.94,5139587
2018-01-17,10.03,10.11,9.6,9.6,2306592
2018-01-18,9.6,9.6,9.26,9.6,2847566
2018-01-19,9.6,9.6,9.43,9.43,1955144
2018-01-22,9.43,9.52,9.26,9.35,1652135
2018-01-23,9.43,9.69,9.35,9.6,3189584
2018-01-24,9.69,9.69,9.35,9.43,1462388
2018-01-25,9.35,9.43,9.26,9.35,2114608
2018-01-26,9.43,9.43,9.09,9.09,2500930
2018-01-29,9.09,9.26,9.01,9.09,1654965
2018-01-30,9.09,9.52,9.01,9.43,1633167
2018-01-31,9.43,9.52,9.01,9.01,3248267
2018-02-01,9.09,9.18,8.92,9.01,2421407
2018-02-02,9.01,9.01,8.84,8.84,1105800
2018-02-05,8.84,8.92,8.07,8.24,3165176
2018-02-06,8.24,8.24,7.48,7.56,3995760
2018-02-07,7.48,7.99,7.48,7.82,1729051
2018-02-08,7.9,7.9,7.65,7.82,955184
2018-02-09,7.65,7.73,7.31,7.56,965247
2018-02-12,7.73,7.9,7.65,7.9,615950
2018-02-13,7.99,8.07,7.9,8.07,881800
2018-02-21,8.16,8.24,8.07,8.16,1207240
2018-02-22,8.16,8.16,7.73,7.82,1792709
2018-02-23,7.9,7.99,7.82,7.9,716850
2018-02-26,7.99,7.99,7.65,7.73,1507222
2018-02-27,7.73,7.82,7.56,7.65,1654010
2018-02-28,7.65,7.65,7.14,7.31,5148543
2018-03-01,6.63,7.39,6.63,7.39,1470282
2018-03-02,7.39,7.65,7.22,7.56,1184119
2018-03-05,7.56,7.9,7.48,7.65,2061216
2018-03-06,7.65,7.73,7.56,7.73,1121624
2018-03-07,7.73,7.82,7.48,7.56,1501634
