time,open,high,low,close,volume
2018-01-02,8.95,8.95,8.79,8.79,17000
2018-01-03,8.79,8.79,8.68,8.68,29700
2018-01-04,8.68,8.71,8.6,8.6,46136
2018-01-05,8.65,8.65,8.54,8.65,26916
2018-01-08,8.6,8.62,8.54,8.54,26790
2018-01-09,8.76,8.93,8.73,8.93,21900
2018-01-10,8.79,8.93,8.79,8.9,31750
2018-01-11,8.9,8.9,8.79,8.79,28986
2018-01-12,8.84,8.84,8.65,8.65,41221
2018-01-15,8.62,8.62,7.8,7.96,66396
2018-01-16,7.96,8.1,7.8,7.96,42275
2018-01-17,7.88,8.02,7.83,7.91,20100
2018-01-18,7.85,8.24,7.85,8.21,7200
2018-01-19,8.24,8.65,8.18,8.51,9101
2018-01-22,8.54,8.93,8.51,8.87,4896
2018-01-23,8.87,9.04,8.87,9.04,17315
2018-01-24,9.04,9.09,8.54,8.54,17500
2018-01-25,8.68,8.93,8.54,8.57,12509
2018-01-26,8.79,8.98,8.79,8.87,12100
2018-01-29,8.87,8.93,8.84,8.87,23300
2018-01-30,8.9,8.9,8.87,8.87,10350
2018-01-31,8.87,8.9,8.87,8.87,12300
2018-02-01,8.87,8.87,8.84,8.84,8900
2018-02-02,8.84,8.84,8.79,8.79,5550
2018-02-05,8.79,8.79,8.73,8.76,15118
2018-02-06,8.76,8.76,8.46,8.65,21058
2018-02-07,8.57,8.6,8.57,8.6,5501
2018-02-08,8.6,8.6,8.24,8.38,22513
2018-02-09,8.38,8.38,8.32,8.38,25884
2018-02-12,8.38,8.38,8.38,8.38,306
2018-02-13,8.38,8.38,8.32,8.35,13000
2018-02-21,8.35,8.35,8.29,8.32,10700
2018-02-22,8.29,8.29,8.24,8.24,6700
2018-02-23,8.24,8.24,8.24,8.24,14520
2018-02-26,8.24,8.24,8.13,8.13,30319
2018-02-27,8.16,8.4,8.16,8.4,5130
2018-02-28,8.4,8.4,8.27,8.4,4165
2018-03-01,8.43,8.43,8.32,8.32,8405
2018-03-02,8.35,8.43,8.35,8.43,10900
2018-03-05,8.35,8.51,8.35,8.35,10310
2018-03-06,8.51,8.51,8.4,8.4,4950
2018-03-07,8.46,8.51,8.46,8.51,2400
2018-03-08,8.51,8.54,8.51,8.51,2900
2018-03-09,8.51,8.93,8.51,8.65,13500
2018-03-12,8.76,8.93,8.76,8.93,3500
2018-03-13,8.93,9.01,8.93,8.98,11600
2018-03-14,8.98,9.04,8.98,9.01,21000
2018-03-15,9.01,9.01,8.87,8.87,15740
2018-03-16,8.87,8.9,8.87,8.9,16600
2018-03-19,8.9,8.93,8.9,8.93,10920
2018-03-20,8.95,8.95,8.93,8.93,2500
2018-03-21,8.93,8.93,8.38,8.38,51450
2018-03-22,8.84,8.84,8.84,8.84,100
2018-03-23,8.73,8.84,8.73,8.84,4200
2018-03-26,8.79,9.01,8.79,9.01,21100
2018-03-27,8.98,9.01,8.98,9.01,12730
2018-03-28,9.01,9.06,8.98,8.98,12200
2018-03-29,9.04,9.06,8.95,8.95,18500
2018-03-30,8.98,8.98,8.98,8.98,8100
2018-04-02,9.01,9.01,8.95,8.98,18760
2018-04-03,8.98,9.01,8.93,8.98,10200
2018-04-04,8.95,9.01,8.93,8.98,28700
2018-04-05,8.93,8.95,8.87,8.87,12900
2018-04-06,8.87,8.9,8.87,8.9,9300
2018-04-09,8.93,8.95,8.93,8.95,1500
2018-04-10,8.95,8.95,8.93,8.93,4200
2018-04-11,8.93,8.93,8.9,8.93,16000
2018-04-12,8.93,8.93,8.9,8.9,13300
2018-04-13,8.9,8.9,8.9,8.9,10600
2018-04-16,8.9,8.9,8.54,8.9,19900
2018-04-17,8.79,8.93,8.65,8.93,16400
2018-04-18,8.9,8.95,8.9,8.93,3100
2018-04-19,8.93,8.93,8.93,8.93,9200
2018-04-20,8.93,8.93,8.93,8.93,5650
2018-04-23,9.06,9.06,8.93,8.93,17343
2018-04-24,8.93,8.93,8.9,8.9,28400
2018-04-26,8.93,8.93,8.84,8.84,9300
2018-04-27,8.84,8.9,8.84,8.9,600
2018-05-02,8.84,8.84,8.84,8.84,6300
2018-05-03,8.87,8.9,8.87,8.9,8243
2018-05-04,8.9,8.9,8.84,8.84,18800
2018-05-07,8.9,8.9,8.84,8.84,2403
2018-05-08,8.84,8.84,8.82,8.82,7700
2018-05-09,8.9,8.9,8.87,8.87,320
2018-05-10,8.84,8.87,8.84,8.84,5200
2018-05-11,8.9,8.9,8.84,8.84,6400
2018-05-14,8.84,8.84,8.82,8.84,5300
2018-05-15,8.84,9.72,8.84,9.06,10166
2018-05-16,9.06,9.15,9.06,9.15,8608
2018-05-17,9.15,9.15,9.04,9.04,7620
2018-05-18,9.04,9.04,8.9,8.9,4000
2018-05-21,8.9,8.9,8.84,8.84,3100
2018-05-22,8.84,8.84,8.79,8.84,4800
2018-05-23,8.84,8.84,8.82,8.82,3500
2018-05-24,8.82,8.95,8.82,8.95,1700
2018-05-25,8.82,8.82,8.79,8.79,400
2018-05-28,8.38,8.76,7.91,8.76,500
2018-05-29,8.76,8.76,8.76,8.76,500
2018-05-30,8.76,8.76,8.76,8.76,0
2018-05-31,8.24,8.24,8.24,8.24,600
2018-06-01,8.98,9.04,8.98,9.04,300
2018-06-04,8.57,8.73,8.16,8.71,2500
2018-06-05,8.51,8.71,8.51,8.71,2400
2018-06-06,8.65,8.71,8.65,8.71,1100
2018-06-07,9.05,9.5,9.05,9.5,400
2018-06-08,8.99,8.99,8.79,8.79,2100
2018-06-11,8.85,8.85,8.85,8.85,200
2018-06-12,8.79,8.79,8.51,8.51,3200
2018-06-13,8.51,8.54,8.51,8.51,6100
2018-06-14,8.51,8.51,8.51,8.51,2400
2018-06-15,8.51,8.51,8.51,8.51,2275
2018-06-18,8.51,8.51,8.37,8.37,1355
2018-06-19,8.37,8.37,8.22,8.22,4900
2018-06-20,8.65,9.05,8.65,9.05,400
2018-06-21,8.51,8.51,8.51,8.51,100
2018-06-22,8.51,8.51,8.51,8.51,1100
2018-06-25,8.85,9.1,8.85,9.1,2868
2018-06-26,8.85,8.85,8.54,8.54,5653
2018-06-27,8.54,8.54,8.54,8.54,5100
2018-06-28,8.56,9.05,8.54,9.05,2700
2018-06-29,9.13,9.22,8.56,9.07,1400
2018-07-02,9.07,9.07,8.54,8.54,1400
2018-07-03,8.05,8.05,8.05,8.05,1300
2018-07-04,8.62,8.76,8.62,8.76,700
2018-07-05,8.2,8.71,8.2,8.71,2400
2018-07-06,8.68,8.68,8.54,8.54,300
2018-07-09,8.73,8.79,8.73,8.79,800
2018-07-10,8.79,8.79,8.79,8.79,450
2018-07-11,8.65,8.85,8.59,8.79,7400
2018-07-12,8.79,8.82,8.79,8.82,3500
2018-07-13,8.82,8.99,8.82,8.93,3000
2018-07-16,9.07,9.33,9.07,9.3,2172
2018-07-17,9.3,9.5,9.3,9.5,2500
2018-07-18,9.53,9.87,9.53,9.87,5500
2018-07-19,9.73,9.73,8.9,9.07,15511
2018-07-20,9.53,9.53,9.22,9.44,10200
2018-07-23,9.76,9.76,9.24,9.24,11400
2018-07-24,9.56,9.56,8.82,8.82,14000
2018-07-25,8.82,8.96,8.82,8.96,7100
2018-07-26,8.82,8.96,8.82,8.96,1900
2018-07-27,8.93,8.96,8.93,8.96,1200
2018-07-30,8.9,8.96,8.9,8.96,1300
2018-07-31,8.96,8.96,8.56,8.93,24011
2018-08-01,8.96,8.96,8.96,8.96,100
2018-08-02,8.96,8.96,8.96,8.96,7200
2018-08-03,8.68,8.96,8.65,8.96,2570
2018-08-06,8.96,8.96,8.96,8.96,60
2018-08-07,8.96,8.96,8.96,8.96,0
2018-08-08,8.62,8.62,8.62,8.62,270
2018-08-09,8.62,8.62,8.62,8.62,4020
2018-08-10,8.62,8.62,8.37,8.37,5720
2018-08-13,8.51,8.51,8.37,8.37,2600
2018-08-14,8.39,8.39,8.37,8.37,2558
2018-08-15,8.37,8.37,8.37,8.37,1100
2018-08-16,8.37,8.37,8.37,8.37,0
2018-08-17,8.37,8.37,8.37,8.37,0
2018-08-20,8.51,8.51,8.51,8.51,157
2018-08-21,8.51,8.51,8.51,8.51,500
2018-08-22,8.51,8.51,8.22,8.25,3800
2018-08-23,8.25,8.25,8.22,8.25,5000
2018-08-24,8.25,8.25,8.22,8.22,3500
2018-08-27,8.51,8.51,8.22,8.25,4910
2018-08-28,8.28,8.28,8.25,8.25,2500
2018-08-29,8.25,8.25,8.25,8.25,100
2018-08-30,8.22,8.25,8.22,8.25,1730
2018-08-31,8.37,8.37,8.28,8.28,1100
2018-09-04,8.88,8.88,8.37,8.37,1100
2018-09-05,8.37,8.37,8.31,8.31,3091
2018-09-06,8.34,8.34,8.34,8.34,1500
2018-09-07,8.39,8.39,8.39,8.39,2000
2018-09-10,8.39,8.39,8.39,8.39,0
2018-09-11,8.42,8.42,8.42,8.42,700
2018-09-12,8.45,8.45,8.22,8.34,14559
2018-09-13,8.34,8.34,8.34,8.34,0
2018-09-14,8.34,8.34,8.34,8.34,0
2018-09-17,8.37,8.37,8.37,8.37,1000
2018-09-18,8.37,8.37,8.37,8.37,0
2018-09-19,8.37,8.37,8.37,8.37,100
2018-09-20,8.37,8.51,8.37,8.51,400
2018-09-21,8.37,8.37,8.37,8.37,1000
