time,open,high,low,close,volume
2018-01-02,16.46,16.72,16.46,16.72,4770
2018-01-03,16.9,16.9,16.59,16.84,41890
2018-01-04,16.84,16.9,16.84,16.84,29740
2018-01-05,16.84,16.87,16.72,16.72,9630
2018-01-08,16.59,16.79,16.59,16.79,5110
2018-01-09,16.79,16.82,16.72,16.77,21060
2018-01-10,16.77,16.97,16.77,16.92,34110
2018-01-11,16.92,16.92,16.77,16.84,12710
2018-01-12,16.84,16.97,16.77,16.84,31050
2018-01-15,16.9,17.46,16.84,17.46,28510
2018-01-16,17.58,17.58,17.1,17.3,7820
2018-01-17,17.23,17.23,17.1,17.1,1210
2018-01-18,17.1,17.1,16.72,17.1,9360
2018-01-19,17.2,17.2,17.1,17.15,19910
2018-01-22,16.74,17.1,16.59,16.69,25060
2018-01-23,16.69,16.69,16.69,16.69,0
2018-01-24,16.69,16.69,16.69,16.69,0
2018-01-25,16.84,16.84,16.44,16.44,62660
2018-01-26,16.44,16.72,16.44,16.72,8400
2018-01-29,16.59,16.72,16.36,16.59,25830
2018-01-30,15.77,16.59,15.77,16.49,42780
2018-01-31,16.59,16.59,15.82,16.46,28190
2018-02-01,16.59,16.59,16.33,16.56,6860
2018-02-02,16.33,16.33,16.21,16.33,13890
2018-02-05,16.08,16.21,15.82,15.82,9350
2018-02-06,15.82,15.82,15.06,15.67,31900
2018-02-07,16.33,16.33,16.08,16.08,11980
2018-02-08,15.7,16.03,15.7,15.8,13580
2018-02-09,14.93,15.87,14.93,15.7,6570
2018-02-12,16.08,16.08,15.82,15.98,11190
2018-02-13,15.98,16.08,15.98,16.08,14050
2018-02-21,15.95,16.08,15.95,16.08,22970
2018-02-22,16.08,16.21,16.08,16.08,18430
2018-02-23,16.26,16.26,15.98,15.98,9020
2018-02-26,15.98,15.98,15.77,15.82,53980
2018-02-27,15.82,16.21,15.57,16.21,37640
2018-02-28,16.18,16.18,15.8,16.18,22290
2018-03-01,16.18,16.33,16.08,16.31,9830
2018-03-02,16.31,16.31,16.21,16.28,8920
2018-03-05,16.41,16.41,16.21,16.21,20640
2018-03-06,16.26,16.26,16.21,16.26,22920
2018-03-07,16.26,16.26,16.13,16.21,29360
2018-03-08,16.21,16.21,16.21,16.21,15130
2018-03-09,16.21,16.21,16.18,16.18,17210
2018-03-12,16.1,16.21,15.95,16.21,17410
