time,open,high,low,close,volume
2018-01-02,19.87,20.53,19.87,20.53,50
2018-01-03,19.1,19.87,19.1,19.87,750
2018-01-04,19.8,20.53,19.27,19.83,42150
2018-01-05,19.93,19.93,19.93,19.93,5010
2018-01-08,20.6,20.6,20.6,20.6,10
2018-01-09,19.17,20.56,19.17,20.56,3940
2018-01-10,19.27,20.26,19.27,19.27,4020
2018-01-11,19.07,19.93,18.0,19.93,8990
2018-01-12,18.54,19.93,18.54,19.27,3990
2018-01-15,19.93,19.93,19.4,19.93,1900
2018-01-16,19.93,20.6,19.27,19.93,1290
2018-01-17,19.93,19.93,19.93,19.93,4030
2018-01-18,19.93,20.0,19.93,19.93,5730
2018-01-19,19.93,20.33,19.93,20.33,1510
2018-01-22,20.26,20.26,20.06,20.26,1330
2018-01-23,20.26,20.26,20.26,20.26,0
2018-01-24,20.26,20.26,20.26,20.26,0
2018-01-25,20.6,20.8,20.6,20.8,1160
2018-01-26,20.99,21.59,20.99,21.59,5000
2018-01-29,21.73,21.92,21.73,21.92,4650
2018-01-30,21.92,21.92,21.92,21.92,4730
2018-01-31,21.92,22.59,21.92,21.92,3980
2018-02-01,21.92,22.59,21.92,22.59,3990
2018-02-02,23.22,23.59,22.26,23.59,53690
2018-02-05,23.25,23.49,22.26,23.49,1850
2018-02-06,23.49,23.49,22.26,23.25,10200
2018-02-07,22.26,22.26,22.26,22.26,2750
2018-02-08,22.26,22.26,22.26,22.26,2000
2018-02-09,20.73,21.59,20.73,21.59,2260
2018-02-12,21.59,21.59,21.59,21.59,2180
2018-02-13,21.59,21.59,21.59,21.59,21860
2018-02-21,21.59,21.59,21.59,21.59,4380
2018-02-22,21.59,22.26,21.59,22.26,24610
2018-02-23,22.26,22.26,22.26,22.26,0
2018-02-26,22.26,22.26,22.26,22.26,1070
2018-02-27,22.26,22.26,22.26,22.26,0
2018-02-28,22.26,22.26,22.26,22.26,0
2018-03-01,22.26,22.26,22.26,22.26,0
2018-03-02,22.26,22.26,22.26,22.26,0
2018-03-05,22.26,22.26,22.26,22.26,0
2018-03-06,20.73,20.8,20.73,20.73,2010
2018-03-07,21.26,21.59,21.26,21.26,2400
2018-03-08,21.92,21.92,21.92,21.92,220
2018-03-09,20.6,20.6,20.6,20.6,30
2018-03-12,20.6,20.6,20.6,20.6,10
2018-03-13,20.26,20.26,19.93,19.93,2110
2018-03-14,19.93,19.93,19.93,19.93,0
2018-03-15,19.27,19.6,19.27,19.6,2450
2018-03-16,19.6,19.6,19.6,19.6,480
2018-03-19,19.6,19.6,19.6,19.6,0
2018-03-20,19.6,19.67,19.6,19.67,130
2018-03-21,19.67,19.67,19.67,19.67,0
2018-03-22,19.67,19.67,19.27,19.67,10100
2018-03-23,19.93,20.06,19.93,20.06,5420
2018-03-26,20.06,20.06,18.87,18.87,1510
2018-03-27,20.06,20.06,20.06,20.06,1000
2018-03-28,20.06,20.06,20.06,20.06,0
2018-03-29,21.19,21.26,21.19,21.26,7800
2018-03-30,21.26,21.26,21.26,21.26,2620
2018-04-02,21.26,21.26,21.26,21.26,1000
2018-04-03,21.26,21.26,21.26,21.26,1600
2018-04-04,19.8,20.53,19.8,20.53,50
2018-04-05,20.53,21.92,20.53,21.92,1880
2018-04-06,21.26,21.26,20.6,20.6,6150
2018-04-09,19.17,19.2,19.17,19.2,510
2018-04-10,18.04,20.53,18.04,20.53,5950
2018-04-11,21.86,21.86,19.93,20.53,2240
2018-04-12,21.92,21.92,19.93,21.23,2290
2018-04-13,21.33,21.33,21.19,21.26,2630
2018-04-16,19.8,19.87,19.8,19.87,40
2018-04-17,18.54,20.56,18.54,20.56,210
2018-04-18,20.6,20.66,19.27,19.27,220
2018-04-19,19.93,20.6,19.93,20.6,2310
2018-04-20,22.02,22.02,19.27,20.6,240
2018-04-23,19.27,21.26,19.27,19.93,2030
2018-04-24,19.93,19.93,19.93,19.93,10
2018-04-26,19.93,19.93,19.93,19.93,800
2018-04-27,18.67,18.67,18.67,18.67,10
2018-05-02,18.67,18.67,18.67,18.67,120
2018-05-11,14.28,0.0,0.0,0.0,0
2018-05-14,21.26,21.26,21.26,21.26,100
2018-05-15,21.26,21.26,21.26,21.26,0
2018-05-16,21.26,21.26,21.26,21.26,0
2018-05-17,19.27,19.93,19.27,19.93,8014
2018-05-18,19.53,19.53,19.53,19.53,0
2018-05-21,21.26,21.26,21.26,21.26,4332
2018-05-22,21.26,21.26,21.26,21.26,3112
2018-05-23,21.26,21.26,21.26,21.26,0
2018-05-24,21.26,21.26,21.26,21.26,6500
2018-05-25,21.26,21.26,21.26,21.26,2400
2018-05-28,21.26,21.26,21.26,21.26,0
2018-05-29,24.45,24.45,24.45,24.45,106
2018-05-30,24.45,24.45,24.45,24.45,0
2018-05-31,24.45,24.45,24.45,24.45,0
2018-06-01,28.1,28.1,28.1,28.1,108
2018-06-04,28.1,28.1,28.1,28.1,0
2018-06-05,28.1,28.1,28.1,28.1,0
2018-06-06,28.1,28.1,28.1,28.1,0
2018-06-07,28.1,28.1,28.1,28.1,0
2018-06-08,28.1,28.1,28.1,28.1,0
2018-06-11,28.1,28.1,28.1,28.1,0
2018-06-12,28.1,28.1,28.1,28.1,0
2018-06-13,28.1,28.1,28.1,28.1,0
2018-06-14,28.1,28.1,28.1,28.1,0
2018-06-15,29.9,29.9,29.9,29.9,100
2018-06-18,29.9,29.9,29.9,29.9,74
2018-06-19,29.9,29.9,29.9,29.9,0
2018-06-20,29.9,29.9,29.9,29.9,0
2018-06-21,29.9,29.9,29.9,29.9,0
2018-06-22,25.45,25.45,25.45,25.45,300
2018-06-25,23.25,23.25,23.25,23.25,2058
2018-06-26,23.25,23.25,23.25,23.25,108
2018-06-27,26.71,26.71,26.71,26.71,110
2018-06-28,26.71,26.71,26.71,26.71,0
2018-06-29,26.71,26.71,26.71,26.71,0
2018-07-02,26.71,26.71,26.71,26.71,0
2018-07-03,26.71,26.71,25.25,25.25,36418
2018-07-04,26.58,26.71,25.25,25.25,19215
2018-07-05,26.58,26.58,26.58,26.58,0
2018-07-06,26.71,30.5,26.71,30.5,18809
2018-07-09,32.36,32.42,29.9,29.9,21900
2018-07-10,31.89,33.22,31.89,33.22,300
2018-07-11,32.75,32.75,32.75,32.75,339
2018-07-12,37.6,37.6,36.54,37.21,14400
2018-07-13,43.05,43.05,43.05,43.05,1600
2018-07-16,43.05,43.05,43.05,43.05,0
2018-07-17,36.61,36.61,36.61,36.61,3300
2018-07-18,36.61,36.61,36.61,36.61,3036
2018-07-19,36.61,36.61,34.55,34.55,2641
2018-07-20,36.61,36.67,36.61,36.67,3600
2018-07-23,36.67,36.87,36.67,36.87,3204
2018-07-24,31.36,31.36,31.36,31.36,144
2018-07-25,31.36,31.36,31.36,31.36,96
