time,open,high,low,close,volume
2018-01-02,12.24,12.24,11.48,11.48,200
2018-01-03,11.86,11.86,11.86,11.86,700
2018-01-04,12.46,12.46,12.39,12.39,1200
2018-01-05,12.46,12.46,12.46,12.46,0
2018-01-08,11.55,11.55,11.55,11.55,400
2018-01-09,11.55,11.55,11.55,11.55,0
2018-01-10,12.92,13.15,12.92,12.92,3500
2018-01-11,12.92,12.92,12.92,12.92,0
2018-01-12,12.54,12.92,12.54,12.92,1300
2018-01-15,13.15,13.3,12.92,12.92,3200
2018-01-16,12.54,12.92,12.54,12.92,1800
2018-01-17,12.92,12.92,12.92,12.92,1000
2018-01-18,12.92,13.07,12.92,13.07,24500
2018-01-19,12.31,12.31,12.31,12.31,300
2018-01-22,12.31,12.31,12.31,12.31,0
2018-01-23,13.07,13.07,13.07,13.07,35000
2018-01-24,13.07,13.07,12.84,13.07,61500
2018-01-25,13.07,13.07,13.07,13.07,1400
2018-01-26,13.07,13.07,13.07,13.07,1030
2018-01-29,13.3,13.3,12.92,12.92,5300
2018-01-30,13.3,13.3,13.3,13.3,50000
2018-01-31,13.3,13.3,13.3,13.3,500
2018-02-01,13.3,13.3,13.3,13.3,0
2018-02-02,13.61,13.61,13.61,13.61,200
2018-02-05,14.29,14.29,13.07,13.07,6300
2018-02-06,11.48,11.48,11.48,11.48,1600
2018-02-07,13.07,13.07,13.07,13.07,1500
2018-02-08,13.07,13.07,13.07,13.07,0
2018-02-09,13.07,13.07,13.07,13.07,1000
2018-02-12,13.3,13.3,13.15,13.15,20900
2018-02-13,13.3,13.3,13.3,13.3,2500
2018-02-21,13.22,13.3,13.22,13.3,3542
2018-02-22,13.3,13.3,13.3,13.3,1708
2018-02-23,13.3,13.3,13.3,13.3,2000
2018-02-26,15.05,15.05,15.05,15.05,1236
2018-02-27,13.68,13.68,13.61,13.68,3110
2018-02-28,13.91,13.91,13.68,13.91,2500
2018-03-01,14.06,15.43,14.06,15.43,2200
2018-03-02,15.2,17.03,15.2,15.43,8200
2018-03-05,17.48,17.48,15.66,15.66,1200
2018-03-06,17.33,18.17,15.81,15.81,9200
2018-03-07,14.82,14.82,14.52,14.52,10300
2018-03-08,15.13,15.13,15.13,15.13,100
2018-03-09,15.28,17.18,15.2,15.2,13600
2018-03-12,15.66,15.66,15.28,15.28,1900
2018-03-13,16.95,16.95,16.95,16.95,500
2018-03-14,19.0,19.0,19.0,19.0,5000
2018-03-15,16.19,16.19,16.19,16.19,100
2018-03-16,16.72,17.94,15.96,15.96,3900
2018-03-19,15.58,15.58,15.58,15.58,500
2018-03-20,15.58,17.03,15.58,16.72,2900
2018-03-21,16.8,16.8,16.8,16.8,0
2018-03-22,18.24,18.24,18.24,18.24,1000
