time,open,high,low,close,volume
2018-01-02,6.7,6.7,6.7,6.7,2100
2018-01-03,6.7,6.7,6.7,6.7,0
2018-01-04,6.7,6.7,6.7,6.7,0
2018-01-05,6.7,6.7,6.7,6.7,0
2018-01-08,6.7,6.7,6.7,6.7,0
2018-01-09,6.7,6.7,6.7,6.7,0
2018-01-10,6.3,6.7,6.3,6.7,3400
2018-01-11,6.3,6.3,6.3,6.3,0
2018-01-12,6.3,6.3,6.3,6.3,0
2018-01-15,6.3,6.3,6.3,6.3,0
2018-01-16,6.3,6.3,6.3,6.3,0
2018-01-17,6.3,6.3,6.3,6.3,0
2018-01-18,6.3,6.3,6.3,6.3,0
2018-01-19,6.3,6.3,6.3,6.3,0
2018-01-22,6.3,6.3,6.3,6.3,0
2018-01-23,6.3,6.3,6.3,6.3,0
2018-01-24,6.3,6.3,6.3,6.3,0
2018-01-25,6.3,6.3,6.3,6.3,0
2018-01-26,6.3,6.3,6.3,6.3,0
2018-01-29,6.3,6.3,6.3,6.3,0
2018-01-30,6.3,6.3,6.3,6.7,72
2018-01-31,6.3,6.3,6.3,6.3,0
2018-02-01,6.3,6.3,6.3,6.3,0
2018-02-02,6.3,6.3,6.3,6.3,0
2018-02-05,6.3,6.3,6.3,6.3,0
2018-02-06,6.3,6.3,6.3,6.3,0
2018-02-07,6.3,6.3,6.3,6.3,0
2018-02-08,6.3,6.3,6.3,6.3,0
2018-02-09,6.3,6.3,6.3,6.3,0
2018-02-12,6.3,6.3,6.3,6.3,0
2018-02-13,6.3,6.3,6.3,6.3,0
2018-02-21,6.3,6.3,6.3,6.3,0
2018-02-22,6.3,6.3,6.3,6.3,0
2018-02-23,6.3,6.3,6.3,6.3,0
2018-02-26,6.3,6.3,6.3,6.3,0
2018-02-27,6.3,6.3,6.3,6.3,0
2018-02-28,6.3,6.3,6.3,6.3,8000
2018-03-01,6.3,6.3,6.3,6.3,0
2018-03-02,6.3,6.3,6.3,6.3,0
2018-03-05,6.3,6.3,6.3,6.3,0
2018-03-06,6.3,6.3,6.3,6.3,0
2018-03-07,6.3,6.3,6.3,6.3,0
2018-03-08,6.3,6.3,6.3,6.3,0
2018-03-09,6.3,6.3,6.3,6.3,0
2018-03-12,6.3,6.3,6.3,6.3,0
2018-03-13,6.3,6.3,6.3,6.3,0
2018-03-14,6.3,6.3,6.3,6.3,0
2018-03-15,5.4,6.5,5.4,6.5,113800
2018-03-16,5.4,5.4,5.4,5.4,0
2018-03-19,5.4,5.4,5.4,5.4,0
2018-03-20,5.4,5.4,5.4,5.4,0
2018-03-21,5.4,5.4,5.4,5.4,0
2018-03-22,6.1,6.1,6.1,6.1,5000
2018-03-23,6.1,6.1,6.1,6.1,0
2018-03-26,6.1,6.1,6.1,6.1,0
2018-03-27,6.1,6.1,6.1,6.1,0
2018-03-28,6.1,6.1,6.1,6.1,0
2018-03-29,6.1,6.1,6.1,6.1,0
2018-03-30,6.1,6.1,6.1,6.1,0
2018-04-02,6.1,6.1,6.1,6.1,0
2018-04-03,6.1,6.1,6.1,6.1,0
2018-04-04,6.1,6.1,6.1,6.1,0
2018-04-05,6.1,6.1,6.1,6.1,0
2018-04-06,6.1,6.1,6.1,6.1,0
2018-04-09,6.1,6.1,6.1,6.1,0
2018-04-10,7.0,7.0,7.0,7.0,100
2018-04-11,8.0,8.0,8.0,8.0,900
2018-04-12,9.2,9.2,9.2,9.2,180
2018-04-13,10.5,10.5,10.5,10.5,100
2018-04-16,10.5,10.5,10.5,10.5,0
2018-04-17,11.7,11.7,11.7,11.7,100
2018-04-18,10.0,10.0,10.0,10.0,100
2018-04-19,10.0,10.0,10.0,10.0,0
2018-04-20,11.5,11.5,11.5,11.5,100
2018-04-23,11.5,11.5,11.5,11.5,0
2018-04-24,11.5,11.5,11.5,11.5,0
2018-04-26,9.8,9.8,9.8,9.8,100
2018-04-27,8.4,8.4,8.4,8.4,100
2018-05-02,7.2,7.2,7.2,7.2,100
2018-05-03,6.2,6.2,6.2,6.2,100
2018-05-04,6.2,6.2,6.2,6.2,0
2018-05-07,6.2,6.2,6.2,6.2,0
2018-05-08,6.2,6.2,6.2,6.2,0
2018-05-09,6.2,6.2,6.2,6.2,0
2018-05-10,6.2,6.2,6.2,6.2,0
2018-05-11,6.2,6.2,6.2,6.2,0
2018-05-14,6.2,6.2,6.2,6.2,0
2018-05-15,6.2,6.2,6.2,6.2,0
2018-05-16,6.2,6.2,6.2,6.2,0
2018-05-17,6.2,6.2,6.2,6.2,0
2018-05-18,6.2,6.2,6.2,6.2,0
2018-05-21,6.2,6.2,6.2,6.2,0
2018-05-22,6.2,6.2,6.2,6.2,0
2018-05-23,7.1,7.1,7.1,7.1,3400
2018-05-24,7.1,7.1,7.1,7.1,52
2018-05-25,7.1,7.1,7.1,7.1,0
2018-05-28,7.1,7.1,7.1,7.1,0
2018-05-29,7.1,7.1,7.1,7.1,0
2018-05-30,7.1,7.1,7.1,7.1,0
2018-05-31,7.1,7.1,7.1,7.1,0
2018-06-01,7.1,7.1,7.1,7.1,0
2018-06-04,7.1,7.1,7.1,7.1,0
2018-06-05,7.1,7.1,7.1,7.1,0
2018-06-06,7.1,7.1,7.1,7.1,0
2018-06-07,7.1,7.1,7.1,7.1,0
2018-06-08,7.1,7.1,7.1,7.1,0
2018-06-11,7.1,7.1,7.1,7.1,0
2018-06-12,7.1,7.1,7.1,7.1,0
2018-06-13,7.1,7.1,7.1,7.1,0
2018-06-14,7.1,7.1,7.1,7.1,100
2018-06-15,7.1,7.1,7.1,7.1,0
2018-06-18,7.1,7.1,7.1,7.1,0
2018-06-19,6.1,6.1,6.1,6.1,4000
2018-06-20,7.0,7.0,7.0,7.0,1700
2018-06-21,7.0,7.0,7.0,7.0,0
