time,open,high,low,close,volume
2018-01-02,9.91,9.91,9.91,9.91,40
2018-01-03,9.83,9.83,9.83,9.83,100
2018-01-04,9.76,9.76,9.18,9.18,170
2018-01-05,9.29,9.37,9.21,9.21,4100
2018-01-08,9.68,9.68,9.68,9.68,10
2018-01-09,9.68,9.68,9.68,9.68,6510
2018-01-10,9.37,9.37,9.29,9.29,6840
2018-01-11,9.29,9.29,8.67,9.21,13490
2018-01-12,9.21,9.21,9.21,9.21,40
2018-01-15,9.21,9.25,9.14,9.21,7250
2018-01-16,8.6,9.14,8.6,9.14,2840
2018-01-17,9.14,9.21,9.14,9.21,3540
2018-01-18,8.67,9.21,8.67,9.21,2810
2018-01-19,9.14,9.14,9.06,9.14,1310
2018-01-22,9.14,9.14,9.14,9.14,10
2018-01-23,9.14,9.14,9.14,9.14,0
2018-01-24,9.14,9.14,9.14,9.14,0
2018-01-25,9.14,9.14,8.52,9.06,29520
2018-01-26,8.52,8.52,8.44,8.44,6570
2018-01-29,8.44,8.44,8.44,8.44,0
2018-01-30,8.44,8.44,7.98,7.98,480
2018-01-31,7.98,7.98,7.98,7.98,0
2018-02-01,7.98,8.52,7.98,8.44,780
2018-02-02,8.9,8.9,8.67,8.67,900
2018-02-05,8.29,8.67,8.29,8.36,14500
2018-02-06,8.67,8.67,7.78,8.63,1670
2018-02-07,8.48,9.14,8.48,9.14,710
2018-02-08,9.68,9.68,9.14,9.14,20
2018-02-09,8.52,8.52,8.52,8.52,230
2018-02-12,7.94,8.05,7.94,8.05,730
2018-02-13,8.52,8.6,7.74,7.74,8950
2018-02-21,8.29,8.29,7.74,7.82,810
2018-02-22,7.74,8.29,7.74,7.74,3840
2018-02-23,7.74,8.21,7.74,8.21,740
2018-02-26,8.13,8.13,8.13,8.13,100
2018-02-27,8.13,8.13,8.13,8.13,0
2018-02-28,8.13,8.13,8.05,8.05,80
2018-03-01,8.29,8.36,8.05,8.29,6260
2018-03-02,8.44,8.44,8.21,8.21,340
2018-03-05,8.13,8.13,8.13,8.13,200
2018-03-06,8.05,8.21,7.9,8.21,1890
2018-03-07,8.21,8.21,8.21,8.21,40
2018-03-08,8.4,8.4,8.29,8.29,30
2018-03-09,8.4,8.52,8.4,8.52,980
2018-03-12,8.6,8.67,8.52,8.52,1540
2018-03-13,8.44,8.44,8.44,8.44,40
2018-03-14,8.44,8.44,8.44,8.44,760
2018-03-15,8.44,8.44,8.17,8.44,190
2018-03-16,8.21,8.21,8.13,8.13,200
2018-03-19,7.78,8.67,7.78,8.67,2610
2018-03-20,8.67,8.67,8.67,8.67,0
2018-03-21,8.52,8.52,8.52,8.52,10
2018-03-22,8.21,8.44,8.21,8.44,20
2018-03-23,8.44,8.44,8.44,8.44,0
2018-03-26,8.36,8.36,8.36,8.36,200
2018-03-27,7.82,8.94,7.78,8.94,17110
2018-03-28,8.32,8.9,8.32,8.32,240
2018-03-29,7.78,8.44,7.74,8.44,4620
2018-03-30,7.86,7.86,7.86,7.86,1180
2018-04-02,7.86,7.86,7.86,7.86,0
2018-04-03,7.9,7.9,7.44,7.44,1850
2018-04-04,7.47,7.9,7.43,7.9,90
2018-04-05,7.47,7.47,7.43,7.43,3750
2018-04-06,7.43,7.43,7.43,7.43,10
2018-04-09,6.92,6.92,6.92,6.92,30
2018-04-10,6.74,7.4,6.74,7.4,730
2018-04-11,7.16,7.78,7.16,7.17,30
2018-04-12,7.59,7.59,7.59,7.59,10
2018-04-13,7.06,7.36,7.06,7.36,250
2018-04-16,7.36,7.36,6.85,6.85,72710
2018-04-17,6.38,7.32,6.37,7.28,7030
2018-04-18,7.28,7.28,7.28,7.28,0
2018-04-19,7.59,7.59,7.59,7.59,10
2018-04-20,7.06,7.06,7.06,7.06,6530
2018-04-23,6.57,7.47,6.57,7.47,1480
2018-04-24,6.95,6.95,6.95,6.95,570
2018-04-26,6.5,6.5,6.47,6.47,1350
2018-04-27,6.02,6.92,6.02,6.66,7910
2018-05-02,6.58,7.12,6.19,6.19,4190
2018-05-03,6.19,6.19,6.19,6.19,0
2018-05-04,6.19,6.61,5.76,6.11,10570
2018-05-07,5.68,6.19,5.68,6.19,2030
2018-05-08,5.76,6.58,5.76,6.57,9090
2018-05-09,6.12,6.12,6.12,6.12,1350
2018-05-10,6.12,6.12,5.7,5.7,290
2018-05-11,6.07,6.07,6.07,6.07,10
2018-05-14,5.7,5.81,5.66,5.66,400
2018-05-15,5.27,5.27,5.27,5.27,31200
2018-05-16,5.27,5.62,5.27,5.62,40
2018-05-17,5.96,5.96,5.27,5.27,1680
2018-05-18,4.96,4.96,4.96,4.96,270
2018-05-21,4.65,5.3,4.65,5.3,3230
2018-05-22,4.94,4.94,4.93,4.93,1310
2018-05-23,4.61,5.15,4.59,5.11,37000
2018-05-24,4.89,5.03,4.75,5.03,2260
2018-05-25,5.02,5.23,5.02,5.23,220
2018-05-28,5.34,5.34,5.34,5.34,20
2018-05-29,4.98,4.98,4.97,4.97,710
2018-05-30,5.14,5.31,5.14,5.3,2750
2018-05-31,5.3,5.3,4.94,4.94,400
2018-06-01,4.94,4.94,4.94,4.94,0
2018-06-04,4.65,4.94,4.61,4.94,1110
2018-06-05,5.27,5.27,5.27,5.27,100
2018-06-06,4.91,4.91,4.9,4.9,4860
2018-06-07,4.65,4.65,4.65,4.65,50
2018-06-08,4.72,4.72,4.72,4.72,580
2018-06-11,4.98,4.98,4.88,4.88,9120
2018-06-12,4.88,4.88,4.88,4.88,0
2018-06-13,4.8,5.1,4.8,5.1,710
2018-06-14,4.88,4.88,4.8,4.8,200
2018-06-15,5.13,5.13,5.13,5.13,100
2018-06-18,4.9,4.9,4.9,4.9,150
2018-06-19,4.67,5.03,4.66,5.03,150
2018-06-20,5.03,5.03,5.03,5.03,0
2018-06-21,4.96,4.96,4.88,4.88,20
2018-06-22,4.88,4.88,4.88,4.88,0
2018-06-25,4.88,4.88,4.88,4.88,0
2018-06-26,4.88,4.88,4.88,4.88,0
2018-06-27,4.88,4.88,4.88,4.88,0
2018-06-28,4.88,4.88,4.88,4.88,0
2018-06-29,4.54,5.1,4.54,5.1,3010
2018-07-02,5.1,5.1,5.1,5.1,0
2018-07-03,4.75,5.03,4.75,5.03,110
2018-07-04,4.68,5.03,4.68,4.68,11460
2018-07-05,4.37,5.01,4.37,4.68,4750
2018-07-06,4.49,4.65,4.49,4.65,2110
2018-07-09,4.49,4.49,4.49,4.49,1940
2018-07-10,4.49,4.49,4.49,4.49,0
2018-07-11,4.49,4.49,4.49,4.49,0
2018-07-12,4.49,4.49,4.49,4.49,0
2018-07-13,4.41,4.79,4.34,4.79,1390
2018-07-16,4.48,5.11,4.48,4.88,1370
2018-07-17,4.88,5.11,4.55,4.55,130
2018-07-18,4.87,4.87,4.86,4.86,20
2018-07-19,5.03,5.03,4.53,4.55,2090
2018-07-20,4.57,4.87,4.57,4.86,360
2018-07-23,4.55,4.55,4.53,4.53,10680
