time,open,high,low,close,volume
2019-04-16,21.49,22.59,15.96,15.96,341000
2019-04-17,16.15,16.82,15.35,15.96,180150
2019-04-18,15.35,15.66,14.43,14.43,81360
2019-04-19,14.43,17.01,13.94,17.01,165290
2019-04-22,17.19,18.48,17.19,18.3,113910
2019-04-23,17.93,18.42,16.95,17.19,36760
2019-04-24,16.58,17.44,16.58,17.01,74364
2019-04-25,16.64,16.95,16.27,16.33,61356
2019-04-26,16.7,17.25,16.21,17.13,68816
2019-05-02,17.31,17.31,16.52,16.82,39850
2019-05-03,16.82,17.56,16.58,17.5,122966
2019-05-06,17.19,18.97,17.19,17.93,128350
2019-05-07,18.17,18.73,18.17,18.36,53489
2019-05-08,18.36,18.42,17.56,17.93,54568
2019-05-09,17.81,19.03,17.81,18.73,81350
2019-05-10,18.91,18.91,17.99,18.11,74629
2019-05-13,18.17,19.52,18.17,19.03,109032
2019-05-14,18.73,20.88,18.42,18.79,113160
2019-05-15,19.03,19.34,18.6,19.03,153558
2019-05-16,18.85,19.03,18.24,18.73,105700
2019-05-17,18.42,19.03,17.74,18.48,85944
2019-05-20,18.67,18.73,17.93,18.42,62756
2019-05-21,18.42,18.42,18.17,18.36,31000
2019-05-22,18.3,18.97,18.3,18.42,87035
2019-05-23,18.36,18.48,18.24,18.3,38568
2019-05-24,17.99,18.36,17.68,17.68,66451
2019-05-27,18.3,18.3,17.01,17.44,100110
2019-05-28,17.25,17.93,17.25,17.68,54900
2019-05-29,17.81,18.48,17.5,18.24,71543
2019-05-30,17.99,18.36,17.68,18.05,62160
2019-05-31,18.11,18.11,17.56,17.62,40554
2019-06-03,17.62,17.93,17.01,17.25,11067
2019-06-04,16.95,17.31,16.95,17.25,17700
2019-06-05,17.31,17.87,17.31,17.44,27500
2019-06-06,17.38,18.11,17.31,17.62,130701
2019-06-07,17.81,20.26,17.74,19.09,286635
2019-06-10,19.65,20.75,19.34,20.2,141824
2019-06-11,19.95,21.18,19.65,20.81,140410
2019-06-12,20.51,20.88,19.95,20.26,179163
2019-06-13,20.2,20.69,20.14,20.26,51374
2019-06-14,20.02,20.26,19.52,19.59,112120
2019-06-17,19.34,19.77,19.09,19.52,117592
2019-06-18,19.95,19.95,19.46,19.71,91850
2019-06-19,19.65,20.88,19.28,20.63,348665
2019-06-20,20.32,21.18,20.26,20.45,117796
2019-06-21,20.45,20.88,20.2,20.51,79510
2019-06-24,20.57,21.86,20.57,21.55,238389
2019-06-25,21.37,21.98,20.88,20.88,135080
2019-06-26,20.94,21.24,20.57,20.81,73241
2019-06-27,21.06,21.06,19.71,20.26,244215
2019-06-28,19.95,20.2,19.89,20.08,80480
2019-07-01,20.26,20.57,19.95,20.08,113394
2019-07-02,20.14,20.2,19.89,19.95,75324
2019-07-03,20.26,20.26,19.77,20.02,44970
2019-07-04,19.95,20.02,19.22,19.95,219118
2019-07-05,19.28,20.2,19.22,19.89,55293
2019-07-08,19.77,19.89,19.59,19.71,9200
2019-07-09,19.71,19.83,19.22,19.4,132470
2019-07-10,19.03,19.65,19.03,19.34,57185
2019-07-11,19.59,20.2,19.34,20.14,122000
2019-07-12,19.95,20.26,19.83,19.83,89890
2019-07-15,19.83,19.95,19.52,19.89,60200
2019-07-16,19.89,20.45,19.83,20.14,216802
2019-07-17,20.14,20.26,19.83,19.95,96564
2019-07-18,20.2,20.2,19.59,19.95,85553
2019-07-19,20.2,21.31,20.08,20.81,425615
2019-07-22,20.75,21.18,20.38,20.75,116525
2019-07-23,20.26,21.12,20.26,20.81,140330
2019-07-24,20.63,21.24,20.51,21.12,203470
2019-07-25,21.84,21.91,20.88,20.88,159187
2019-07-26,20.62,21.13,20.56,20.81,76625
2019-07-29,20.75,20.94,20.11,20.23,91970
2019-07-30,20.17,20.17,19.08,19.08,134320
2019-07-31,19.08,20.56,19.01,20.56,119045
2019-08-01,20.23,20.36,19.91,20.36,30400
2019-08-02,20.11,20.81,19.59,20.62,85621
2019-08-05,20.62,21.01,20.17,20.43,147858
2019-08-06,19.91,20.36,19.59,19.79,84700
2019-08-07,20.04,21.39,19.72,20.3,81500
2019-08-08,21.13,21.13,20.04,20.49,34330
2019-08-09,20.3,20.3,19.91,20.04,29382
2019-08-12,20.3,20.36,19.91,20.11,70218
2019-08-13,20.17,20.17,19.46,19.46,56040
2019-08-14,19.91,19.91,19.59,19.59,13580
2019-08-15,19.59,19.66,18.69,19.4,104770
2019-08-16,19.91,19.98,19.59,19.85,60128
2019-08-19,20.04,20.43,19.91,20.04,70310
2019-08-20,20.17,20.23,19.72,19.91,27122
2019-08-21,19.66,19.91,19.4,19.46,112670
2019-08-22,19.91,19.91,19.14,19.27,67398
2019-08-23,19.27,19.27,18.56,18.63,110864
2019-08-26,18.63,18.89,18.24,18.44,153798
2019-08-27,18.31,18.31,17.02,17.6,203665
2019-08-28,17.34,19.91,17.22,17.67,92860
2019-08-29,17.67,17.79,17.09,17.34,37490
2019-08-30,17.34,17.92,17.09,17.34,60611
2019-09-03,17.47,17.47,15.55,15.87,133892
2019-09-04,15.87,15.93,13.94,14.71,212883
2019-09-05,14.65,15.42,14.65,15.29,69500
2019-09-06,15.42,16.06,15.29,15.42,76801
2019-09-09,15.93,15.93,14.77,15.42,92592
2019-09-10,14.77,15.1,14.58,15.1,91202
2019-09-11,15.22,15.22,14.39,14.71,34677
2019-09-12,14.65,15.74,14.39,15.22,62220
2019-09-13,15.22,15.42,14.77,15.1,45271
2019-09-16,15.22,15.29,14.77,15.16,34710
2019-09-17,15.03,15.22,14.9,15.1,31900
2019-09-18,15.1,15.48,15.1,15.29,26481
2019-09-19,15.48,15.55,15.29,15.35,34710
2019-09-20,15.35,15.42,15.1,15.29,171430
2019-09-23,15.29,15.29,14.39,14.84,27510
2019-09-24,14.77,15.1,14.65,14.77,26725
2019-09-25,14.77,14.97,14.45,14.97,51500
2019-09-26,15.1,15.1,14.65,14.71,20960
2019-09-27,14.71,14.71,14.65,14.71,38311
2019-09-30,15.03,15.03,14.65,14.65,47691
2019-10-01,14.65,14.71,14.52,14.65,42544
2019-10-02,14.58,14.65,14.45,14.58,35202
2019-10-03,14.52,14.65,14.45,14.58,42759
2019-10-04,14.13,14.65,14.13,14.52,25710
2019-10-07,14.39,14.58,14.39,14.52,41360
2019-10-08,14.52,14.58,14.52,14.52,28730
2019-10-09,14.45,14.52,14.26,14.39,13392
2019-10-10,14.71,14.71,14.39,14.39,21110
2019-10-11,14.45,14.45,14.13,14.39,20420
2019-10-14,14.26,14.39,14.26,14.39,18200
2019-10-15,14.9,14.9,14.33,14.52,14162
2019-10-16,14.39,14.9,14.39,14.52,41255
2019-10-17,14.45,14.52,14.33,14.52,6014
2019-10-18,14.26,14.52,14.26,14.39,18000
2019-10-21,14.45,14.45,14.26,14.33,12710
2019-10-22,14.33,14.52,14.26,14.33,23600
2019-10-23,14.33,14.45,14.33,14.33,10800
2019-10-24,14.26,14.39,14.26,14.26,22600
2019-10-25,14.33,15.03,14.33,14.71,58450
2019-10-28,14.77,15.03,14.77,14.84,13950
2019-10-29,14.77,14.84,14.71,14.77,12100
2019-10-30,14.77,14.84,14.71,14.84,11700
2019-10-31,14.77,14.97,14.71,14.84,15101
2019-11-01,14.84,14.84,14.71,14.77,32300
2019-11-04,14.97,15.16,14.77,14.77,17100
2019-11-05,14.77,14.84,14.58,14.58,27040
2019-11-06,14.77,14.77,14.45,14.58,7320
2019-11-07,14.45,14.52,14.45,14.52,10740
2019-11-08,14.39,14.71,14.39,14.52,1800
2019-11-11,14.52,14.52,14.39,14.39,4300
2019-11-12,14.33,14.45,14.26,14.33,15100
2019-11-13,14.65,14.65,14.26,14.33,11580
2019-11-14,14.2,14.45,14.13,14.39,14350
2019-11-15,14.33,14.45,14.2,14.2,6500
2019-11-18,14.13,14.26,14.13,14.13,19050
2019-11-19,14.13,14.2,14.07,14.13,11565
2019-11-20,14.07,14.13,14.0,14.13,5630
2019-11-21,14.13,14.26,14.07,14.07,2930
2019-11-22,14.0,14.07,13.81,13.88,8600
2019-11-25,13.94,13.94,13.94,13.94,5300
2019-11-26,13.94,14.39,13.94,14.33,8800
2019-11-27,14.0,14.13,13.94,13.94,6116
2019-11-28,13.94,14.07,13.94,14.07,5700
2019-11-29,13.94,14.0,13.94,14.0,2500
2019-12-02,13.43,13.81,13.36,14.0,9760
2019-12-03,13.49,13.55,13.49,13.55,3770
2019-12-04,13.62,13.62,13.49,13.49,20880
2019-12-05,13.3,13.55,13.23,13.55,7848
2019-12-06,13.49,13.81,13.49,13.81,21000
2019-12-09,14.0,14.13,13.81,14.0,38260
